"","age","pop","gp","year","country","seed","share"
"1",0,986,0,1990,"India","139839",0
"2",1,978,0,1990,"India","139839",0
"3",2,911,0,1990,"India","139839",0
"4",3,876,0,1990,"India","139839",0
"5",4,846,0,1990,"India","139839",0
"6",5,907,0,1990,"India","139839",0
"7",6,842,0,1990,"India","139839",0
"8",7,832,0,1990,"India","139839",0
"9",8,829,0,1990,"India","139839",0
"10",9,763,0,1990,"India","139839",0
"11",10,824,0,1990,"India","139839",0
"12",11,807,0,1990,"India","139839",0
"13",12,712,0,1990,"India","139839",0
"14",13,762,0,1990,"India","139839",0
"15",14,688,0,1990,"India","139839",0
"16",15,728,0,1990,"India","139839",0
"17",16,725,0,1990,"India","139839",0
"18",17,706,0,1990,"India","139839",0
"19",18,636,0,1990,"India","139839",0
"20",19,661,0,1990,"India","139839",0
"21",20,701,0,1990,"India","139839",0
"22",21,601,0,1990,"India","139839",0
"23",22,623,0,1990,"India","139839",0
"24",23,626,0,1990,"India","139839",0
"25",24,603,0,1990,"India","139839",0
"26",25,598,0,1990,"India","139839",0
"27",26,604,0,1990,"India","139839",0
"28",27,529,0,1990,"India","139839",0
"29",28,540,0,1990,"India","139839",0
"30",29,515,2,1990,"India","139839",0.00388349514563107
"31",30,504,4,1990,"India","139839",0.00793650793650794
"32",31,474,9,1990,"India","139839",0.0189873417721519
"33",32,446,12,1990,"India","139839",0.0269058295964126
"34",33,455,11,1990,"India","139839",0.0241758241758242
"35",34,509,20,1990,"India","139839",0.0392927308447937
"36",35,431,24,1990,"India","139839",0.0556844547563805
"37",36,439,36,1990,"India","139839",0.082004555808656
"38",37,387,51,1990,"India","139839",0.131782945736434
"39",38,418,70,1990,"India","139839",0.167464114832536
"40",39,404,94,1990,"India","139839",0.232673267326733
"41",40,354,95,1990,"India","139839",0.268361581920904
"42",41,355,115,1990,"India","139839",0.323943661971831
"43",42,367,136,1990,"India","139839",0.370572207084469
"44",43,338,150,1990,"India","139839",0.443786982248521
"45",44,311,155,1990,"India","139839",0.498392282958199
"46",45,329,165,1990,"India","139839",0.501519756838906
"47",46,343,192,1990,"India","139839",0.559766763848397
"48",47,338,204,1990,"India","139839",0.603550295857988
"49",48,296,204,1990,"India","139839",0.689189189189189
"50",49,285,202,1990,"India","139839",0.708771929824561
"51",50,246,174,1990,"India","139839",0.707317073170732
"52",51,299,219,1990,"India","139839",0.732441471571906
"53",52,271,214,1990,"India","139839",0.789667896678967
"54",53,249,211,1990,"India","139839",0.847389558232932
"55",54,244,192,1990,"India","139839",0.786885245901639
"56",55,230,185,1990,"India","139839",0.804347826086957
"57",56,184,146,1990,"India","139839",0.793478260869565
"58",57,214,166,1990,"India","139839",0.775700934579439
"59",58,202,154,1990,"India","139839",0.762376237623762
"60",59,204,164,1990,"India","139839",0.803921568627451
"61",60,197,171,1990,"India","139839",0.868020304568528
"62",61,149,125,1990,"India","139839",0.838926174496644
"63",62,176,160,1990,"India","139839",0.909090909090909
"64",63,132,119,1990,"India","139839",0.901515151515151
"65",64,161,141,1990,"India","139839",0.875776397515528
"66",65,142,129,1990,"India","139839",0.908450704225352
"67",66,139,110,1990,"India","139839",0.79136690647482
"68",67,118,104,1990,"India","139839",0.88135593220339
"69",68,111,96,1990,"India","139839",0.864864864864865
"70",69,102,86,1990,"India","139839",0.843137254901961
"71",70,77,67,1990,"India","139839",0.87012987012987
"72",71,70,58,1990,"India","139839",0.828571428571429
"73",72,72,64,1990,"India","139839",0.888888888888889
"74",73,68,62,1990,"India","139839",0.911764705882353
"75",74,56,52,1990,"India","139839",0.928571428571429
"76",75,47,41,1990,"India","139839",0.872340425531915
"77",76,55,48,1990,"India","139839",0.872727272727273
"78",77,22,21,1990,"India","139839",0.954545454545455
"79",78,38,36,1990,"India","139839",0.947368421052632
"80",79,39,31,1990,"India","139839",0.794871794871795
"81",80,27,23,1990,"India","139839",0.851851851851852
"82",81,17,11,1990,"India","139839",0.647058823529412
"83",82,22,21,1990,"India","139839",0.954545454545455
"84",83,20,16,1990,"India","139839",0.8
"85",84,11,9,1990,"India","139839",0.818181818181818
"86",85,13,9,1990,"India","139839",0.692307692307692
"87",86,11,10,1990,"India","139839",0.909090909090909
"88",87,8,8,1990,"India","139839",1
"89",88,5,5,1990,"India","139839",1
"90",89,3,3,1990,"India","139839",1
"91",90,1,1,1990,"India","139839",1
"92",91,1,1,1990,"India","139839",1
"93",92,2,2,1990,"India","139839",1
"94",94,1,1,1990,"India","139839",1
"95",95,1,1,1990,"India","139839",1
"96",97,1,1,1990,"India","139839",1
"97",98,1,1,1990,"India","139839",1
"98",0,1012,0,1995,"India","139839",0
"99",1,966,0,1995,"India","139839",0
"100",2,942,0,1995,"India","139839",0
"101",3,903,0,1995,"India","139839",0
"102",4,904,0,1995,"India","139839",0
"103",5,924,0,1995,"India","139839",0
