"","age","pop","gp","year","country","seed","share"
"1",0,3745,0,1990,"Indonesia","382852",0
"2",1,3505,0,1990,"Indonesia","382852",0
"3",2,3394,0,1990,"Indonesia","382852",0
"4",3,3310,0,1990,"Indonesia","382852",0
"5",4,3237,0,1990,"Indonesia","382852",0
"6",5,3636,0,1990,"Indonesia","382852",0
"7",6,3630,0,1990,"Indonesia","382852",0
"8",7,3412,0,1990,"Indonesia","382852",0
"9",8,3412,0,1990,"Indonesia","382852",0
"10",9,3370,0,1990,"Indonesia","382852",0
"11",10,3648,0,1990,"Indonesia","382852",0
"12",11,3503,0,1990,"Indonesia","382852",0
"13",12,3413,0,1990,"Indonesia","382852",0
"14",13,3381,0,1990,"Indonesia","382852",0
"15",14,3300,0,1990,"Indonesia","382852",0
"16",15,3529,0,1990,"Indonesia","382852",0
"17",16,3416,0,1990,"Indonesia","382852",0
"18",17,3272,0,1990,"Indonesia","382852",0
"19",18,3262,0,1990,"Indonesia","382852",0
"20",19,3160,0,1990,"Indonesia","382852",0
"21",20,3128,0,1990,"Indonesia","382852",0
"22",21,3090,0,1990,"Indonesia","382852",0
"23",22,3134,0,1990,"Indonesia","382852",0
"24",23,3019,0,1990,"Indonesia","382852",0
"25",24,2874,0,1990,"Indonesia","382852",0
"26",25,2787,0,1990,"Indonesia","382852",0
"27",26,2770,0,1990,"Indonesia","382852",0
"28",27,2862,1,1990,"Indonesia","382852",0.000349406009783368
"29",28,2509,4,1990,"Indonesia","382852",0.00159426066161817
"30",29,2569,8,1990,"Indonesia","382852",0.00311405216037369
"31",30,2488,11,1990,"Indonesia","382852",0.00442122186495177
"32",31,2323,30,1990,"Indonesia","382852",0.012914334911752
"33",32,2319,44,1990,"Indonesia","382852",0.0189736955584304
"34",33,2272,70,1990,"Indonesia","382852",0.0308098591549296
"35",34,2175,87,1990,"Indonesia","382852",0.04
"36",35,2014,137,1990,"Indonesia","382852",0.0680238331678252
"37",36,1986,200,1990,"Indonesia","382852",0.100704934541793
"38",37,1944,276,1990,"Indonesia","382852",0.141975308641975
"39",38,1872,364,1990,"Indonesia","382852",0.194444444444444
"40",39,1794,414,1990,"Indonesia","382852",0.230769230769231
"41",40,2018,616,1990,"Indonesia","382852",0.305252725470763
"42",41,1924,661,1990,"Indonesia","382852",0.343555093555094
"43",42,1799,698,1990,"Indonesia","382852",0.387993329627571
"44",43,1848,832,1990,"Indonesia","382852",0.45021645021645
"45",44,1800,870,1990,"Indonesia","382852",0.483333333333333
"46",45,1760,933,1990,"Indonesia","382852",0.530113636363636
"47",46,1747,937,1990,"Indonesia","382852",0.536348025186033
"48",47,1706,1038,1990,"Indonesia","382852",0.608440797186401
"49",48,1602,1025,1990,"Indonesia","382852",0.639825218476904
"50",49,1551,1044,1990,"Indonesia","382852",0.673114119922631
"51",50,1473,1036,1990,"Indonesia","382852",0.703326544467074
"52",51,1450,1046,1990,"Indonesia","382852",0.721379310344828
"53",52,1438,1041,1990,"Indonesia","382852",0.723922114047288
"54",53,1381,1070,1990,"Indonesia","382852",0.774800868935554
"55",54,1264,988,1990,"Indonesia","382852",0.781645569620253
"56",55,1302,1033,1990,"Indonesia","382852",0.793394777265745
"57",56,1204,979,1990,"Indonesia","382852",0.81312292358804
"58",57,1135,945,1990,"Indonesia","382852",0.832599118942731
"59",58,1172,970,1990,"Indonesia","382852",0.827645051194539
"60",59,1100,918,1990,"Indonesia","382852",0.834545454545455
"61",60,1054,881,1990,"Indonesia","382852",0.835863377609108
"62",61,971,834,1990,"Indonesia","382852",0.858908341915551
"63",62,926,798,1990,"Indonesia","382852",0.861771058315335
"64",63,923,809,1990,"Indonesia","382852",0.876489707475623
"65",64,863,755,1990,"Indonesia","382852",0.874855156431054
"66",65,825,721,1990,"Indonesia","382852",0.873939393939394
"67",66,770,678,1990,"Indonesia","382852",0.88051948051948
"68",67,707,622,1990,"Indonesia","382852",0.87977369165488
"69",68,624,562,1990,"Indonesia","382852",0.900641025641026
"70",69,644,565,1990,"Indonesia","382852",0.877329192546584
"71",70,573,504,1990,"Indonesia","382852",0.879581151832461
"72",71,480,434,1990,"Indonesia","382852",0.904166666666667
"73",72,426,375,1990,"Indonesia","382852",0.880281690140845
"74",73,428,386,1990,"Indonesia","382852",0.901869158878505
"75",74,377,341,1990,"Indonesia","382852",0.904509283819629
"76",75,333,299,1990,"Indonesia","382852",0.897897897897898
"77",76,254,230,1990,"Indonesia","382852",0.905511811023622
"78",77,255,231,1990,"Indonesia","382852",0.905882352941176
"79",78,189,168,1990,"Indonesia","382852",0.888888888888889
"80",79,152,136,1990,"Indonesia","382852",0.894736842105263
"81",80,150,136,1990,"Indonesia","382852",0.906666666666667
"82",81,119,105,1990,"Indonesia","382852",0.882352941176471
"83",82,94,81,1990,"Indonesia","382852",0.861702127659574
"84",83,72,68,1990,"Indonesia","382852",0.944444444444444
"85",84,68,60,1990,"Indonesia","382852",0.882352941176471
"86",85,61,51,1990,"Indonesia","382852",0.836065573770492
"87",86,32,29,1990,"Indonesia","382852",0.90625
"88",87,34,29,1990,"Indonesia","382852",0.852941176470588
"89",88,15,13,1990,"Indonesia","382852",0.866666666666667
"90",89,12,11,1990,"Indonesia","382852",0.916666666666667
"91",90,9,8,1990,"Indonesia","382852",0.888888888888889
"92",91,5,5,1990,"Indonesia","382852",1
"93",92,4,4,1990,"Indonesia","382852",1
"94",94,1,1,1990,"Indonesia","382852",1
"95",95,1,1,1990,"Indonesia","382852",1
"96",98,1,1,1990,"Indonesia","382852",1
"97",0,3536,0,1995,"Indonesia","382852",0
"98",1,3417,0,1995,"Indonesia","382852",0
"99",2,3360,0,1995,"Indonesia","382852",0
"100",3,3171,0,1995,"Indonesia","382852",0
"101",4,3195,0,1995,"Indonesia","382852",0
"102",5,3575,0,1995,"Indonesia","382852",0
"103",6,3440,0,1995,"Indonesia","382852",0
"104",7,3331,0,1995,"Indonesia","382852",0
"105",8,3280,0,1995,"Indonesia","382852",0
"106",9,3213,0,1995,"Indonesia","382852",0
"107",10,3613,0,1995,"Indonesia","382852",0
"108",11,3606,0,1995,"Indonesia","382852",0
"109",12,3392,0,1995,"Indonesia","382852",0
"110",13,3394,0,1995,"Indonesia","382852",0
"111",14,3346,0,1995,"Indonesia","382852",0
"112",15,3629,0,1995,"Indonesia","382852",0
"113",16,3469,0,1995,"Indonesia","382852",0
"114",17,3390,0,1995,"Indonesia","382852",0
"115",18,3361,0,1995,"Indonesia","382852",0
"116",19,3272,0,1995,"Indonesia","382852",0
"117",20,3507,0,1995,"Indonesia","382852",0
"118",21,3391,0,1995,"Indonesia","382852",0
"119",22,3250,0,1995,"Indonesia","382852",0
"120",23,3232,0,1995,"Indonesia","382852",0
"121",24,3133,1,1995,"Indonesia","382852",0.000319182891797
"122",25,3087,0,1995,"Indonesia","382852",0
"123",26,3055,2,1995,"Indonesia","382852",0.000654664484451719
"124",27,3108,1,1995,"Indonesia","382852",0.000321750321750322
"125",28,2991,4,1995,"Indonesia","382852",0.00133734536944166
"126",29,2852,6,1995,"Indonesia","382852",0.00210378681626928
"127",30,2755,18,1995,"Indonesia","382852",0.00653357531760436
"128",31,2732,24,1995,"Indonesia","382852",0.00878477306002928
"129",32,2812,48,1995,"Indonesia","382852",0.0170697012802276
"130",33,2475,76,1995,"Indonesia","382852",0.0307070707070707
"131",34,2541,101,1995,"Indonesia","382852",0.0397481306572216
"132",35,2461,143,1995,"Indonesia","382852",0.0581064607882974
"133",36,2301,194,1995,"Indonesia","382852",0.0843111690569318
"134",37,2278,277,1995,"Indonesia","382852",0.121597892888499
"135",38,2239,364,1995,"Indonesia","382852",0.162572577043323
"136",39,2139,414,1995,"Indonesia","382852",0.193548387096774
"137",40,1987,445,1995,"Indonesia","382852",0.223955712128837
"138",41,1952,601,1995,"Indonesia","382852",0.307889344262295
"139",42,1901,679,1995,"Indonesia","382852",0.35718043135192
"140",43,1829,786,1995,"Indonesia","382852",0.429743028977583
"141",44,1753,795,1995,"Indonesia","382852",0.453508271534512
"142",45,1976,1024,1995,"Indonesia","382852",0.518218623481781
