"","age","pop","gp","year","country","seed","share"
"1",0,1283,0,1960,"IranIslamicRepublicof","201896",0
"2",1,1114,0,1960,"IranIslamicRepublicof","201896",0
"3",2,1044,0,1960,"IranIslamicRepublicof","201896",0
"4",3,1049,0,1960,"IranIslamicRepublicof","201896",0
"5",4,1016,0,1960,"IranIslamicRepublicof","201896",0
"6",5,979,0,1960,"IranIslamicRepublicof","201896",0
"7",6,919,0,1960,"IranIslamicRepublicof","201896",0
"8",7,844,0,1960,"IranIslamicRepublicof","201896",0
"9",8,814,0,1960,"IranIslamicRepublicof","201896",0
"10",9,825,0,1960,"IranIslamicRepublicof","201896",0
"11",10,956,0,1960,"IranIslamicRepublicof","201896",0
"12",11,924,0,1960,"IranIslamicRepublicof","201896",0
"13",12,856,0,1960,"IranIslamicRepublicof","201896",0
"14",13,880,0,1960,"IranIslamicRepublicof","201896",0
"15",14,793,0,1960,"IranIslamicRepublicof","201896",0
"16",15,781,0,1960,"IranIslamicRepublicof","201896",0
"17",16,749,0,1960,"IranIslamicRepublicof","201896",0
"18",17,767,0,1960,"IranIslamicRepublicof","201896",0
"19",18,759,0,1960,"IranIslamicRepublicof","201896",0
"20",19,703,0,1960,"IranIslamicRepublicof","201896",0
"21",20,746,0,1960,"IranIslamicRepublicof","201896",0
"22",21,659,0,1960,"IranIslamicRepublicof","201896",0
"23",22,702,0,1960,"IranIslamicRepublicof","201896",0
"24",23,653,0,1960,"IranIslamicRepublicof","201896",0
"25",24,638,0,1960,"IranIslamicRepublicof","201896",0
"26",25,579,0,1960,"IranIslamicRepublicof","201896",0
"27",26,609,0,1960,"IranIslamicRepublicof","201896",0
"28",27,610,1,1960,"IranIslamicRepublicof","201896",0.00163934426229508
"29",28,600,0,1960,"IranIslamicRepublicof","201896",0
"30",29,570,1,1960,"IranIslamicRepublicof","201896",0.00175438596491228
"31",30,559,5,1960,"IranIslamicRepublicof","201896",0.00894454382826476
"32",31,537,8,1960,"IranIslamicRepublicof","201896",0.0148975791433892
"33",32,464,11,1960,"IranIslamicRepublicof","201896",0.0237068965517241
"34",33,467,16,1960,"IranIslamicRepublicof","201896",0.0342612419700214
"35",34,527,30,1960,"IranIslamicRepublicof","201896",0.0569259962049336
"36",35,489,28,1960,"IranIslamicRepublicof","201896",0.0572597137014315
"37",36,478,53,1960,"IranIslamicRepublicof","201896",0.110878661087866
"38",37,433,50,1960,"IranIslamicRepublicof","201896",0.115473441108545
"39",38,430,115,1960,"IranIslamicRepublicof","201896",0.267441860465116
"40",39,404,111,1960,"IranIslamicRepublicof","201896",0.274752475247525
"41",40,401,123,1960,"IranIslamicRepublicof","201896",0.306733167082294
"42",41,367,126,1960,"IranIslamicRepublicof","201896",0.343324250681199
"43",42,351,150,1960,"IranIslamicRepublicof","201896",0.427350427350427
"44",43,363,158,1960,"IranIslamicRepublicof","201896",0.435261707988981
"45",44,365,180,1960,"IranIslamicRepublicof","201896",0.493150684931507
"46",45,336,180,1960,"IranIslamicRepublicof","201896",0.535714285714286
"47",46,345,199,1960,"IranIslamicRepublicof","201896",0.576811594202899
"48",47,348,223,1960,"IranIslamicRepublicof","201896",0.640804597701149
"49",48,321,213,1960,"IranIslamicRepublicof","201896",0.663551401869159
"50",49,299,189,1960,"IranIslamicRepublicof","201896",0.632107023411371
"51",50,317,209,1960,"IranIslamicRepublicof","201896",0.659305993690852
"52",51,290,210,1960,"IranIslamicRepublicof","201896",0.724137931034483
"53",52,266,201,1960,"IranIslamicRepublicof","201896",0.755639097744361
"54",53,248,193,1960,"IranIslamicRepublicof","201896",0.778225806451613
"55",54,260,214,1960,"IranIslamicRepublicof","201896",0.823076923076923
"56",55,241,189,1960,"IranIslamicRepublicof","201896",0.784232365145228
"57",56,221,160,1960,"IranIslamicRepublicof","201896",0.723981900452489
"58",57,219,170,1960,"IranIslamicRepublicof","201896",0.776255707762557
"59",58,197,164,1960,"IranIslamicRepublicof","201896",0.83248730964467
"60",59,197,159,1960,"IranIslamicRepublicof","201896",0.807106598984772
"61",60,192,163,1960,"IranIslamicRepublicof","201896",0.848958333333333
