"","age","pop","gp","year","country","seed","share"
"1",0,41,0,1990,"Iraq","105268",0
"2",1,62,0,1990,"Iraq","105268",0
"3",2,62,0,1990,"Iraq","105268",0
"4",3,59,0,1990,"Iraq","105268",0
"5",4,48,0,1990,"Iraq","105268",0
"6",5,64,0,1990,"Iraq","105268",0
"7",6,53,0,1990,"Iraq","105268",0
"8",7,41,0,1990,"Iraq","105268",0
"9",8,46,0,1990,"Iraq","105268",0
"10",9,53,0,1990,"Iraq","105268",0
"11",10,50,0,1990,"Iraq","105268",0
"12",11,47,0,1990,"Iraq","105268",0
"13",12,44,0,1990,"Iraq","105268",0
"14",13,41,0,1990,"Iraq","105268",0
"15",14,50,0,1990,"Iraq","105268",0
"16",15,43,0,1990,"Iraq","105268",0
"17",16,45,0,1990,"Iraq","105268",0
"18",17,35,0,1990,"Iraq","105268",0
"19",18,37,1,1990,"Iraq","105268",0.027027027027027
"20",19,35,0,1990,"Iraq","105268",0
"21",20,27,0,1990,"Iraq","105268",0
"22",21,39,1,1990,"Iraq","105268",0.0256410256410256
"23",22,32,0,1990,"Iraq","105268",0
"24",23,28,0,1990,"Iraq","105268",0
"25",24,29,0,1990,"Iraq","105268",0
"26",25,26,0,1990,"Iraq","105268",0
"27",26,24,0,1990,"Iraq","105268",0
"28",27,26,0,1990,"Iraq","105268",0
"29",28,23,0,1990,"Iraq","105268",0
"30",29,21,0,1990,"Iraq","105268",0
"31",30,16,0,1990,"Iraq","105268",0
"32",31,15,0,1990,"Iraq","105268",0
"33",32,12,1,1990,"Iraq","105268",0.0833333333333333
"34",33,16,0,1990,"Iraq","105268",0
"35",34,10,1,1990,"Iraq","105268",0.1
"36",35,16,1,1990,"Iraq","105268",0.0625
"37",36,17,2,1990,"Iraq","105268",0.117647058823529
"38",37,11,1,1990,"Iraq","105268",0.0909090909090909
"39",38,14,2,1990,"Iraq","105268",0.142857142857143
"40",39,13,1,1990,"Iraq","105268",0.0769230769230769
"41",40,18,2,1990,"Iraq","105268",0.111111111111111
"42",41,11,0,1990,"Iraq","105268",0
"43",42,12,6,1990,"Iraq","105268",0.5
"44",43,10,5,1990,"Iraq","105268",0.5
"45",44,15,11,1990,"Iraq","105268",0.733333333333333
"46",45,17,9,1990,"Iraq","105268",0.529411764705882
"47",46,11,7,1990,"Iraq","105268",0.636363636363636
"48",47,13,10,1990,"Iraq","105268",0.769230769230769
"49",48,16,12,1990,"Iraq","105268",0.75
"50",49,4,4,1990,"Iraq","105268",1
"51",50,9,9,1990,"Iraq","105268",1
"52",51,5,4,1990,"Iraq","105268",0.8
"53",52,18,17,1990,"Iraq","105268",0.944444444444444
"54",53,12,9,1990,"Iraq","105268",0.75
"55",54,15,11,1990,"Iraq","105268",0.733333333333333
