"","age","pop","gp","year","country","seed","share"
"1",0,661,0,1990,"Ireland","145474",0
"2",1,629,0,1990,"Ireland","145474",0
"3",2,568,0,1990,"Ireland","145474",0
"4",3,611,0,1990,"Ireland","145474",0
"5",4,602,0,1990,"Ireland","145474",0
"6",5,654,0,1990,"Ireland","145474",0
"7",6,700,0,1990,"Ireland","145474",0
"8",7,680,0,1990,"Ireland","145474",0
"9",8,693,0,1990,"Ireland","145474",0
"10",9,672,0,1990,"Ireland","145474",0
"11",10,759,0,1990,"Ireland","145474",0
"12",11,724,0,1990,"Ireland","145474",0
"13",12,724,0,1990,"Ireland","145474",0
"14",13,691,0,1990,"Ireland","145474",0
"15",14,693,0,1990,"Ireland","145474",0
"16",15,736,0,1990,"Ireland","145474",0
"17",16,763,0,1990,"Ireland","145474",0
"18",17,766,0,1990,"Ireland","145474",0
"19",18,732,0,1990,"Ireland","145474",0
"20",19,716,0,1990,"Ireland","145474",0
"21",20,714,0,1990,"Ireland","145474",0
"22",21,719,0,1990,"Ireland","145474",0
"23",22,688,0,1990,"Ireland","145474",0
"24",23,700,0,1990,"Ireland","145474",0
"25",24,664,0,1990,"Ireland","145474",0
"26",25,682,0,1990,"Ireland","145474",0
"27",26,695,0,1990,"Ireland","145474",0
"28",27,650,0,1990,"Ireland","145474",0
"29",28,665,0,1990,"Ireland","145474",0
"30",29,634,0,1990,"Ireland","145474",0
"31",30,546,0,1990,"Ireland","145474",0
"32",31,572,1,1990,"Ireland","145474",0.00174825174825175
"33",32,514,0,1990,"Ireland","145474",0
"34",33,542,1,1990,"Ireland","145474",0.0018450184501845
"35",34,533,1,1990,"Ireland","145474",0.00187617260787992
"36",35,482,2,1990,"Ireland","145474",0.004149377593361
"37",36,492,2,1990,"Ireland","145474",0.0040650406504065
"38",37,469,1,1990,"Ireland","145474",0.00213219616204691
"39",38,450,6,1990,"Ireland","145474",0.0133333333333333
"40",39,502,8,1990,"Ireland","145474",0.0159362549800797
"41",40,456,11,1990,"Ireland","145474",0.0241228070175439
"42",41,432,18,1990,"Ireland","145474",0.0416666666666667
"43",42,489,31,1990,"Ireland","145474",0.0633946830265849
"44",43,451,43,1990,"Ireland","145474",0.0953436807095344
