"","age","pop","gp","year","country","seed","share"
"1",0,849,0,1960,"Israel","317657",0
"2",1,853,0,1960,"Israel","317657",0
"3",2,858,0,1960,"Israel","317657",0
"4",3,761,0,1960,"Israel","317657",0
"5",4,760,0,1960,"Israel","317657",0
"6",5,851,0,1960,"Israel","317657",0
"7",6,806,0,1960,"Israel","317657",0
"8",7,794,0,1960,"Israel","317657",0
"9",8,773,0,1960,"Israel","317657",0
"10",9,735,0,1960,"Israel","317657",0
"11",10,826,0,1960,"Israel","317657",0
"12",11,790,0,1960,"Israel","317657",0
"13",12,799,0,1960,"Israel","317657",0
"14",13,760,0,1960,"Israel","317657",0
"15",14,759,0,1960,"Israel","317657",0
"16",15,740,0,1960,"Israel","317657",0
"17",16,738,0,1960,"Israel","317657",0
"18",17,721,0,1960,"Israel","317657",0
"19",18,704,0,1960,"Israel","317657",0
"20",19,675,0,1960,"Israel","317657",0
"21",20,677,0,1960,"Israel","317657",0
"22",21,633,0,1960,"Israel","317657",0
"23",22,603,0,1960,"Israel","317657",0
"24",23,611,0,1960,"Israel","317657",0
"25",24,581,0,1960,"Israel","317657",0
"26",25,560,0,1960,"Israel","317657",0
"27",26,540,0,1960,"Israel","317657",0
"28",27,556,0,1960,"Israel","317657",0
"29",28,547,1,1960,"Israel","317657",0.00182815356489945
"30",29,515,0,1960,"Israel","317657",0
"31",30,497,1,1960,"Israel","317657",0.00201207243460765
"32",31,491,5,1960,"Israel","317657",0.010183299389002
"33",32,501,10,1960,"Israel","317657",0.0199600798403194
"34",33,485,10,1960,"Israel","317657",0.0206185567010309
"35",34,480,19,1960,"Israel","317657",0.0395833333333333
"36",35,467,21,1960,"Israel","317657",0.0449678800856531
"37",36,468,51,1960,"Israel","317657",0.108974358974359
"38",37,480,67,1960,"Israel","317657",0.139583333333333
"39",38,465,77,1960,"Israel","317657",0.165591397849462
"40",39,394,98,1960,"Israel","317657",0.248730964467005
"41",40,406,122,1960,"Israel","317657",0.300492610837438
"42",41,405,138,1960,"Israel","317657",0.340740740740741
"43",42,372,165,1960,"Israel","317657",0.443548387096774
"44",43,370,166,1960,"Israel","317657",0.448648648648649
"45",44,348,177,1960,"Israel","317657",0.508620689655172
"46",45,359,218,1960,"Israel","317657",0.607242339832869
