"","age","pop","gp","year","country","seed","share"
"1",0,807,0,1990,"Italy","236053",0
"2",1,776,0,1990,"Italy","236053",0
"3",2,768,0,1990,"Italy","236053",0
"4",3,779,0,1990,"Italy","236053",0
"5",4,801,0,1990,"Italy","236053",0
"6",5,888,0,1990,"Italy","236053",0
"7",6,872,0,1990,"Italy","236053",0
"8",7,911,0,1990,"Italy","236053",0
"9",8,866,0,1990,"Italy","236053",0
"10",9,910,0,1990,"Italy","236053",0
"11",10,1052,0,1990,"Italy","236053",0
"12",11,1104,0,1990,"Italy","236053",0
"13",12,1023,0,1990,"Italy","236053",0
"14",13,1084,0,1990,"Italy","236053",0
"15",14,1037,0,1990,"Italy","236053",0
"16",15,1233,0,1990,"Italy","236053",0
"17",16,1237,0,1990,"Italy","236053",0
"18",17,1210,0,1990,"Italy","236053",0
"19",18,1239,0,1990,"Italy","236053",0
"20",19,1217,0,1990,"Italy","236053",0
"21",20,1294,0,1990,"Italy","236053",0
"22",21,1338,0,1990,"Italy","236053",0
"23",22,1344,0,1990,"Italy","236053",0
"24",23,1337,0,1990,"Italy","236053",0
"25",24,1241,0,1990,"Italy","236053",0
"26",25,1299,0,1990,"Italy","236053",0
"27",26,1292,0,1990,"Italy","236053",0
"28",27,1280,0,1990,"Italy","236053",0
"29",28,1197,2,1990,"Italy","236053",0.00167084377610693
"30",29,1282,0,1990,"Italy","236053",0
"31",30,1190,1,1990,"Italy","236053",0.000840336134453782
"32",31,1218,1,1990,"Italy","236053",0.000821018062397373
"33",32,1125,3,1990,"Italy","236053",0.00266666666666667
"34",33,1157,2,1990,"Italy","236053",0.0017286084701815
"35",34,1144,6,1990,"Italy","236053",0.00524475524475524
"36",35,1150,8,1990,"Italy","236053",0.00695652173913044
"37",36,1191,10,1990,"Italy","236053",0.00839630562552477
"38",37,1179,16,1990,"Italy","236053",0.0135708227311281
"39",38,1130,27,1990,"Italy","236053",0.0238938053097345
"40",39,1145,31,1990,"Italy","236053",0.0270742358078603
"41",40,1176,41,1990,"Italy","236053",0.0348639455782313
"42",41,1088,54,1990,"Italy","236053",0.0496323529411765
"43",42,1132,70,1990,"Italy","236053",0.0618374558303887
"44",43,1157,95,1990,"Italy","236053",0.0821089023336214
"45",44,1133,118,1990,"Italy","236053",0.10414827890556
"46",45,1103,151,1990,"Italy","236053",0.13689936536718
"47",46,1145,173,1990,"Italy","236053",0.151091703056769
"48",47,1094,215,1990,"Italy","236053",0.196526508226691
"49",48,1093,216,1990,"Italy","236053",0.197621225983532
"50",49,1122,295,1990,"Italy","236053",0.262923351158645
"51",50,1084,307,1990,"Italy","236053",0.283210332103321
"52",51,1096,364,1990,"Italy","236053",0.332116788321168
"53",52,1084,403,1990,"Italy","236053",0.371771217712177
"54",53,1057,399,1990,"Italy","236053",0.377483443708609
"55",54,1070,465,1990,"Italy","236053",0.434579439252336
"56",55,1086,503,1990,"Italy","236053",0.46316758747698
"57",56,1084,498,1990,"Italy","236053",0.459409594095941
"58",57,1060,563,1990,"Italy","236053",0.531132075471698
"59",58,1025,538,1990,"Italy","236053",0.524878048780488
"60",59,1023,554,1990,"Italy","236053",0.541544477028348
"61",60,1018,538,1990,"Italy","236053",0.528487229862475
"62",61,994,577,1990,"Italy","236053",0.580482897384306
"63",62,982,592,1990,"Italy","236053",0.602851323828921
"64",63,940,531,1990,"Italy","236053",0.564893617021277
"65",64,980,601,1990,"Italy","236053",0.613265306122449
"66",65,946,557,1990,"Italy","236053",0.588794926004228
"67",66,917,591,1990,"Italy","236053",0.644492911668484
"68",67,821,537,1990,"Italy","236053",0.654080389768575
"69",68,852,570,1990,"Italy","236053",0.669014084507042
"70",69,909,584,1990,"Italy","236053",0.642464246424643
"71",70,841,541,1990,"Italy","236053",0.643281807372176
"72",71,776,547,1990,"Italy","236053",0.704896907216495
"73",72,800,545,1990,"Italy","236053",0.68125
"74",73,728,475,1990,"Italy","236053",0.652472527472527
"75",74,651,441,1990,"Italy","236053",0.67741935483871
"76",75,651,424,1990,"Italy","236053",0.651305683563748
"77",76,663,442,1990,"Italy","236053",0.666666666666667
"78",77,569,396,1990,"Italy","236053",0.695957820738137
"79",78,514,348,1990,"Italy","236053",0.67704280155642
"80",79,511,355,1990,"Italy","236053",0.694716242661448
"81",80,467,333,1990,"Italy","236053",0.713062098501071
"82",81,460,295,1990,"Italy","236053",0.641304347826087
"83",82,369,253,1990,"Italy","236053",0.685636856368564
"84",83,320,219,1990,"Italy","236053",0.684375
"85",84,309,221,1990,"Italy","236053",0.715210355987055
"86",85,259,168,1990,"Italy","236053",0.648648648648649
"87",86,229,174,1990,"Italy","236053",0.759825327510917
"88",87,183,141,1990,"Italy","236053",0.770491803278688
"89",88,137,91,1990,"Italy","236053",0.664233576642336
"90",89,137,94,1990,"Italy","236053",0.686131386861314
"91",90,99,73,1990,"Italy","236053",0.737373737373737
"92",91,60,43,1990,"Italy","236053",0.716666666666667
"93",92,53,38,1990,"Italy","236053",0.716981132075472
"94",93,32,23,1990,"Italy","236053",0.71875
"95",94,40,23,1990,"Italy","236053",0.575
"96",95,29,24,1990,"Italy","236053",0.827586206896552
"97",96,15,10,1990,"Italy","236053",0.666666666666667
"98",97,12,6,1990,"Italy","236053",0.5
"99",98,8,6,1990,"Italy","236053",0.75
"100",0,791,0,1995,"Italy","236053",0
"101",1,827,0,1995,"Italy","236053",0
"102",2,755,0,1995,"Italy","236053",0
"103",3,759,0,1995,"Italy","236053",0
"104",4,737,0,1995,"Italy","236053",0
"105",5,805,0,1995,"Italy","236053",0
"106",6,775,0,1995,"Italy","236053",0
"107",7,767,0,1995,"Italy","236053",0
"108",8,779,0,1995,"Italy","236053",0
"109",9,800,0,1995,"Italy","236053",0
"110",10,887,0,1995,"Italy","236053",0
"111",11,869,0,1995,"Italy","236053",0
"112",12,911,0,1995,"Italy","236053",0
"113",13,865,0,1995,"Italy","236053",0
"114",14,909,0,1995,"Italy","236053",0
"115",15,1051,0,1995,"Italy","236053",0
"116",16,1102,0,1995,"Italy","236053",0
"117",17,1020,0,1995,"Italy","236053",0
"118",18,1083,0,1995,"Italy","236053",0
"119",19,1034,0,1995,"Italy","236053",0
"120",20,1229,0,1995,"Italy","236053",0
"121",21,1235,0,1995,"Italy","236053",0
"122",22,1207,0,1995,"Italy","236053",0
"123",23,1234,0,1995,"Italy","236053",0
"124",24,1214,0,1995,"Italy","236053",0
"125",25,1289,0,1995,"Italy","236053",0
"126",26,1334,0,1995,"Italy","236053",0
"127",27,1335,0,1995,"Italy","236053",0
"128",28,1332,0,1995,"Italy","236053",0
"129",29,1232,0,1995,"Italy","236053",0
"130",30,1294,0,1995,"Italy","236053",0
"131",31,1284,0,1995,"Italy","236053",0
"132",32,1277,0,1995,"Italy","236053",0
"133",33,1193,4,1995,"Italy","236053",0.00335289186923722
"134",34,1275,2,1995,"Italy","236053",0.00156862745098039
"135",35,1184,7,1995,"Italy","236053",0.00591216216216216
"136",36,1209,9,1995,"Italy","236053",0.00744416873449132
"137",37,1120,18,1995,"Italy","236053",0.0160714285714286
"138",38,1150,21,1995,"Italy","236053",0.0182608695652174
"139",39,1128,28,1995,"Italy","236053",0.024822695035461
"140",40,1147,31,1995,"Italy","236053",0.027027027027027
"141",41,1184,45,1995,"Italy","236053",0.0380067567567568
"142",42,1169,56,1995,"Italy","236053",0.0479041916167665
"143",43,1125,82,1995,"Italy","236053",0.0728888888888889
"144",44,1133,96,1995,"Italy","236053",0.0847308031774051
"145",45,1164,129,1995,"Italy","236053",0.110824742268041
"146",46,1081,159,1995,"Italy","236053",0.147086031452359
"147",47,1124,179,1995,"Italy","236053",0.159252669039146
"148",48,1146,229,1995,"Italy","236053",0.199825479930192
"149",49,1110,258,1995,"Italy","236053",0.232432432432432
"150",50,1092,274,1995,"Italy","236053",0.250915750915751
"151",51,1127,322,1995,"Italy","236053",0.285714285714286
"152",52,1076,368,1995,"Italy","236053",0.342007434944238
"153",53,1078,337,1995,"Italy","236053",0.312615955473098
"154",54,1100,446,1995,"Italy","236053",0.405454545454545
"155",55,1056,449,1995,"Italy","236053",0.425189393939394
"156",56,1072,500,1995,"Italy","236053",0.466417910447761
"157",57,1054,544,1995,"Italy","236053",0.516129032258065
"158",58,1032,529,1995,"Italy","236053",0.512596899224806
"159",59,1038,568,1995,"Italy","236053",0.547206165703276
"160",60,1041,587,1995,"Italy","236053",0.56388088376561
"161",61,1039,580,1995,"Italy","236053",0.55822906641001
"162",62,1015,623,1995,"Italy","236053",0.613793103448276
"163",63,986,582,1995,"Italy","236053",0.59026369168357
"164",64,965,579,1995,"Italy","236053",0.6
"165",65,951,573,1995,"Italy","236053",0.602523659305994
"166",66,929,592,1995,"Italy","236053",0.63724434876211
"167",67,893,574,1995,"Italy","236053",0.642777155655095
"168",68,863,520,1995,"Italy","236053",0.602549246813441
"169",69,898,575,1995,"Italy","236053",0.640311804008909
"170",70,869,529,1995,"Italy","236053",0.608745684695052
"171",71,807,538,1995,"Italy","236053",0.666666666666667
"172",72,718,493,1995,"Italy","236053",0.686629526462396
"173",73,746,514,1995,"Italy","236053",0.689008042895442
"174",74,789,519,1995,"Italy","236053",0.657794676806084
"175",75,721,471,1995,"Italy","236053",0.653259361997226
"176",76,637,456,1995,"Italy","236053",0.71585557299843
"177",77,671,458,1995,"Italy","236053",0.682563338301043
"178",78,606,387,1995,"Italy","236053",0.638613861386139
"179",79,527,363,1995,"Italy","236053",0.688804554079696
"180",80,471,312,1995,"Italy","236053",0.662420382165605
"181",81,488,336,1995,"Italy","236053",0.688524590163934
"182",82,423,301,1995,"Italy","236053",0.711583924349882
"183",83,352,245,1995,"Italy","236053",0.696022727272727
"184",84,336,238,1995,"Italy","236053",0.708333333333333
"185",85,303,214,1995,"Italy","236053",0.706270627062706
"186",86,260,166,1995,"Italy","236053",0.638461538461538
"187",87,218,147,1995,"Italy","236053",0.674311926605505
"188",88,172,122,1995,"Italy","236053",0.709302325581395
"189",89,165,117,1995,"Italy","236053",0.709090909090909
"190",90,127,84,1995,"Italy","236053",0.661417322834646
"191",91,85,68,1995,"Italy","236053",0.8
"192",92,79,59,1995,"Italy","236053",0.746835443037975
"193",93,43,31,1995,"Italy","236053",0.720930232558139
"194",94,39,26,1995,"Italy","236053",0.666666666666667
"195",95,30,26,1995,"Italy","236053",0.866666666666667
"196",96,12,8,1995,"Italy","236053",0.666666666666667
"197",97,12,5,1995,"Italy","236053",0.416666666666667
"198",98,9,7,1995,"Italy","236053",0.777777777777778
"199",99,4,2,1995,"Italy","236053",0.5
"200",0,709,0,2000,"Italy","236053",0
"201",1,688,0,2000,"Italy","236053",0
"202",2,744,0,2000,"Italy","236053",0
"203",3,787,0,2000,"Italy","236053",0
"204",4,763,0,2000,"Italy","236053",0
"205",5,787,0,2000,"Italy","236053",0
"206",6,827,0,2000,"Italy","236053",0
"207",7,754,0,2000,"Italy","236053",0
"208",8,758,0,2000,"Italy","236053",0
"209",9,735,0,2000,"Italy","236053",0
"210",10,805,0,2000,"Italy","236053",0
"211",11,775,0,2000,"Italy","236053",0
"212",12,767,0,2000,"Italy","236053",0
"213",13,779,0,2000,"Italy","236053",0
"214",14,800,0,2000,"Italy","236053",0
"215",15,885,0,2000,"Italy","236053",0
"216",16,869,0,2000,"Italy","236053",0
"217",17,909,0,2000,"Italy","236053",0
"218",18,863,0,2000,"Italy","236053",0
"219",19,907,0,2000,"Italy","236053",0
"220",20,1051,0,2000,"Italy","236053",0
"221",21,1101,0,2000,"Italy","236053",0
"222",22,1019,0,2000,"Italy","236053",0
"223",23,1080,0,2000,"Italy","236053",0
"224",24,1034,0,2000,"Italy","236053",0
"225",25,1225,0,2000,"Italy","236053",0
"226",26,1230,0,2000,"Italy","236053",0
"227",27,1202,0,2000,"Italy","236053",0
"228",28,1229,0,2000,"Italy","236053",0
"229",29,1208,0,2000,"Italy","236053",0
"230",30,1285,0,2000,"Italy","236053",0
"231",31,1331,1,2000,"Italy","236053",0.000751314800901578
"232",32,1333,1,2000,"Italy","236053",0.000750187546886722
"233",33,1329,1,2000,"Italy","236053",0.000752445447705041
"234",34,1227,2,2000,"Italy","236053",0.00162999185004075
"235",35,1293,3,2000,"Italy","236053",0.00232018561484919
"236",36,1280,8,2000,"Italy","236053",0.00625
"237",37,1268,7,2000,"Italy","236053",0.0055205047318612
"238",38,1184,14,2000,"Italy","236053",0.0118243243243243
"239",39,1266,17,2000,"Italy","236053",0.0134281200631912
"240",40,1176,32,2000,"Italy","236053",0.0272108843537415
"241",41,1200,33,2000,"Italy","236053",0.0275
"242",42,1114,46,2000,"Italy","236053",0.0412926391382406
"243",43,1142,68,2000,"Italy","236053",0.0595446584938704
"244",44,1122,86,2000,"Italy","236053",0.0766488413547237
"245",45,1133,93,2000,"Italy","236053",0.0820829655781112
"246",46,1167,128,2000,"Italy","236053",0.10968294772922
"247",47,1159,154,2000,"Italy","236053",0.132873166522865
"248",48,1114,181,2000,"Italy","236053",0.162477558348294
"249",49,1123,220,2000,"Italy","236053",0.195903829029386
"250",50,1152,263,2000,"Italy","236053",0.228298611111111
"251",51,1071,275,2000,"Italy","236053",0.256769374416433
"252",52,1109,311,2000,"Italy","236053",0.280432822362489
"253",53,1118,370,2000,"Italy","236053",0.330948121645796
"254",54,1091,386,2000,"Italy","236053",0.353803849679193
"255",55,1077,405,2000,"Italy","236053",0.376044568245125
"256",56,1099,448,2000,"Italy","236053",0.407643312101911
"257",57,1052,476,2000,"Italy","236053",0.452471482889734
"258",58,1056,458,2000,"Italy","236053",0.433712121212121
"259",59,1048,509,2000,"Italy","236053",0.485687022900763
"260",60,1011,525,2000,"Italy","236053",0.519287833827893
"261",61,1037,563,2000,"Italy","236053",0.54291224686596
"262",62,1004,601,2000,"Italy","236053",0.598605577689243
"263",63,992,575,2000,"Italy","236053",0.579637096774194
"264",64,989,612,2000,"Italy","236053",0.618806875631951
"265",65,990,606,2000,"Italy","236053",0.612121212121212
"266",66,961,582,2000,"Italy","236053",0.605619146722164
"267",67,951,628,2000,"Italy","236053",0.660357518401682
"268",68,913,573,2000,"Italy","236053",0.627601314348302
"269",69,890,564,2000,"Italy","236053",0.633707865168539
"270",70,874,551,2000,"Italy","236053",0.630434782608696
"271",71,835,551,2000,"Italy","236053",0.659880239520958
"272",72,794,522,2000,"Italy","236053",0.657430730478589
"273",73,764,475,2000,"Italy","236053",0.621727748691099
"274",74,795,529,2000,"Italy","236053",0.665408805031447
"275",75,765,469,2000,"Italy","236053",0.613071895424837
"276",76,681,459,2000,"Italy","236053",0.674008810572687
"277",77,594,406,2000,"Italy","236053",0.683501683501683
"278",78,629,436,2000,"Italy","236053",0.693163751987281
"279",79,632,421,2000,"Italy","236053",0.666139240506329
"280",80,564,367,2000,"Italy","236053",0.650709219858156
"281",81,494,353,2000,"Italy","236053",0.714574898785425
"282",82,498,342,2000,"Italy","236053",0.686746987951807
"283",83,440,287,2000,"Italy","236053",0.652272727272727
"284",84,350,248,2000,"Italy","236053",0.708571428571429
"285",85,326,206,2000,"Italy","236053",0.631901840490798
"286",86,286,192,2000,"Italy","236053",0.671328671328671
"287",87,245,174,2000,"Italy","236053",0.710204081632653
"288",88,202,141,2000,"Italy","236053",0.698019801980198
"289",89,157,105,2000,"Italy","236053",0.668789808917197
"290",90,143,106,2000,"Italy","236053",0.741258741258741
"291",91,105,72,2000,"Italy","236053",0.685714285714286
"292",92,77,53,2000,"Italy","236053",0.688311688311688
"293",93,69,46,2000,"Italy","236053",0.666666666666667
"294",94,64,45,2000,"Italy","236053",0.703125
"295",95,36,22,2000,"Italy","236053",0.611111111111111
"296",96,27,23,2000,"Italy","236053",0.851851851851852
"297",97,19,15,2000,"Italy","236053",0.789473684210526
"298",98,7,5,2000,"Italy","236053",0.714285714285714
"299",99,6,3,2000,"Italy","236053",0.5
"300",0,740,0,2005,"Italy","236053",0
"301",1,799,0,2005,"Italy","236053",0
"302",2,767,0,2005,"Italy","236053",0
"303",3,805,0,2005,"Italy","236053",0
"304",4,762,0,2005,"Italy","236053",0
"305",5,708,0,2005,"Italy","236053",0
"306",6,687,0,2005,"Italy","236053",0
"307",7,742,0,2005,"Italy","236053",0
"308",8,787,0,2005,"Italy","236053",0
"309",9,763,0,2005,"Italy","236053",0
"310",10,787,0,2005,"Italy","236053",0
"311",11,827,0,2005,"Italy","236053",0
"312",12,753,0,2005,"Italy","236053",0
"313",13,758,0,2005,"Italy","236053",0
"314",14,734,0,2005,"Italy","236053",0
"315",15,804,0,2005,"Italy","236053",0
