"","age","pop","gp","country","seed","year","share"
"1",0,1937,0,"Jamaica","103655",2022,0
"2",1,1984,0,"Jamaica","103655",2022,0
"3",2,1995,0,"Jamaica","103655",2022,0
"4",3,2071,0,"Jamaica","103655",2022,0
"5",4,2009,0,"Jamaica","103655",2022,0
"6",5,1905,0,"Jamaica","103655",2022,0
"7",6,1984,0,"Jamaica","103655",2022,0
"8",7,1987,0,"Jamaica","103655",2022,0
"9",8,2015,0,"Jamaica","103655",2022,0
"10",9,2024,0,"Jamaica","103655",2022,0
"11",10,1980,0,"Jamaica","103655",2022,0
"12",11,1952,0,"Jamaica","103655",2022,0
"13",12,2196,0,"Jamaica","103655",2022,0
"14",13,2120,0,"Jamaica","103655",2022,0
"15",14,2144,0,"Jamaica","103655",2022,0
"16",15,2286,0,"Jamaica","103655",2022,0
"17",16,2160,0,"Jamaica","103655",2022,0
"18",17,2245,0,"Jamaica","103655",2022,0
"19",18,2218,0,"Jamaica","103655",2022,0
"20",19,2279,0,"Jamaica","103655",2022,0
"21",20,2228,0,"Jamaica","103655",2022,0
"22",21,2221,0,"Jamaica","103655",2022,0
"23",22,2315,0,"Jamaica","103655",2022,0
"24",23,2289,1,"Jamaica","103655",2022,0.000436871996505024
"25",24,2312,0,"Jamaica","103655",2022,0
"26",25,2271,0,"Jamaica","103655",2022,0
"27",26,2368,0,"Jamaica","103655",2022,0
"28",27,2390,2,"Jamaica","103655",2022,0.000836820083682008
"29",28,2298,2,"Jamaica","103655",2022,0.000870322019147084
"30",29,2244,7,"Jamaica","103655",2022,0.00311942959001783
"31",30,2272,7,"Jamaica","103655",2022,0.00308098591549296
"32",31,2289,10,"Jamaica","103655",2022,0.00436871996505024
"33",32,2431,35,"Jamaica","103655",2022,0.0143973673385438
"34",33,2281,50,"Jamaica","103655",2022,0.0219202104340202
"35",34,2311,62,"Jamaica","103655",2022,0.0268282128948507
"36",35,2270,90,"Jamaica","103655",2022,0.039647577092511
"37",36,2188,135,"Jamaica","103655",2022,0.0617001828153565
"38",37,2316,181,"Jamaica","103655",2022,0.0781519861830743
"39",38,2169,232,"Jamaica","103655",2022,0.10696173351775
"40",39,2228,275,"Jamaica","103655",2022,0.12342908438061
"41",40,2143,329,"Jamaica","103655",2022,0.153523098460103
"42",41,2019,374,"Jamaica","103655",2022,0.185240217929668
"43",42,2164,477,"Jamaica","103655",2022,0.220425138632163
"44",43,2146,515,"Jamaica","103655",2022,0.239981360671016
"45",44,1945,583,"Jamaica","103655",2022,0.29974293059126
"46",45,1999,688,"Jamaica","103655",2022,0.344172086043022
"47",46,1902,688,"Jamaica","103655",2022,0.361724500525762
"48",47,2229,912,"Jamaica","103655",2022,0.409152086137281
"49",48,2113,910,"Jamaica","103655",2022,0.430667297681022
"50",49,2048,970,"Jamaica","103655",2022,0.4736328125
"51",50,2041,1015,"Jamaica","103655",2022,0.497305242528172
"52",51,2003,1080,"Jamaica","103655",2022,0.53919121318023
"53",52,2162,1167,"Jamaica","103655",2022,0.539777983348751
"54",53,2147,1180,"Jamaica","103655",2022,0.549604098742431
"55",54,2060,1252,"Jamaica","103655",2022,0.607766990291262
"56",55,2008,1243,"Jamaica","103655",2022,0.61902390438247
"57",56,1971,1260,"Jamaica","103655",2022,0.639269406392694
"58",57,1844,1192,"Jamaica","103655",2022,0.646420824295011
"59",58,1802,1231,"Jamaica","103655",2022,0.683129855715871
"60",59,1805,1234,"Jamaica","103655",2022,0.683656509695291
"61",60,1723,1281,"Jamaica","103655",2022,0.743470690655833
"62",61,1604,1215,"Jamaica","103655",2022,0.757481296758105
"63",62,1489,1134,"Jamaica","103655",2022,0.761584956346541
"64",63,1355,1037,"Jamaica","103655",2022,0.765313653136531
"65",64,1288,1010,"Jamaica","103655",2022,0.78416149068323
"66",65,1260,984,"Jamaica","103655",2022,0.780952380952381
"67",66,1275,966,"Jamaica","103655",2022,0.757647058823529
"68",67,1011,827,"Jamaica","103655",2022,0.818001978239367
"69",68,961,792,"Jamaica","103655",2022,0.82414151925078
"70",69,891,740,"Jamaica","103655",2022,0.830527497194164
"71",70,850,712,"Jamaica","103655",2022,0.837647058823529
"72",71,820,672,"Jamaica","103655",2022,0.819512195121951
"73",72,886,746,"Jamaica","103655",2022,0.841986455981941
"74",73,807,657,"Jamaica","103655",2022,0.814126394052045
"75",74,786,652,"Jamaica","103655",2022,0.829516539440204
"76",75,812,677,"Jamaica","103655",2022,0.833743842364532
"77",76,680,562,"Jamaica","103655",2022,0.826470588235294
"78",77,608,506,"Jamaica","103655",2022,0.832236842105263
"79",78,595,497,"Jamaica","103655",2022,0.835294117647059
"80",79,546,450,"Jamaica","103655",2022,0.824175824175824
"81",80,486,405,"Jamaica","103655",2022,0.833333333333333
"82",81,423,346,"Jamaica","103655",2022,0.817966903073286
"83",82,374,322,"Jamaica","103655",2022,0.86096256684492
"84",83,360,297,"Jamaica","103655",2022,0.825
"85",84,339,285,"Jamaica","103655",2022,0.84070796460177
"86",85,289,245,"Jamaica","103655",2022,0.847750865051903
"87",86,210,185,"Jamaica","103655",2022,0.880952380952381
"88",87,175,150,"Jamaica","103655",2022,0.857142857142857
"89",88,155,143,"Jamaica","103655",2022,0.92258064516129
"90",89,144,134,"Jamaica","103655",2022,0.930555555555556
"91",90,112,99,"Jamaica","103655",2022,0.883928571428571
"92",91,81,70,"Jamaica","103655",2022,0.864197530864197
"93",92,59,52,"Jamaica","103655",2022,0.88135593220339
"94",93,48,43,"Jamaica","103655",2022,0.895833333333333
"95",94,27,22,"Jamaica","103655",2022,0.814814814814815
"96",95,27,23,"Jamaica","103655",2022,0.851851851851852
"97",96,18,15,"Jamaica","103655",2022,0.833333333333333
"98",97,11,11,"Jamaica","103655",2022,1
"99",98,8,8,"Jamaica","103655",2022,1
