"","age","pop","gp","country","seed","year","share"
"1",0,611,0,"Jordan","221246",2022,0
"2",1,555,0,"Jordan","221246",2022,0
"3",2,606,0,"Jordan","221246",2022,0
"4",3,593,0,"Jordan","221246",2022,0
"5",4,577,0,"Jordan","221246",2022,0
"6",5,621,0,"Jordan","221246",2022,0
"7",6,559,0,"Jordan","221246",2022,0
"8",7,688,0,"Jordan","221246",2022,0
"9",8,642,0,"Jordan","221246",2022,0
"10",9,650,0,"Jordan","221246",2022,0
"11",10,621,0,"Jordan","221246",2022,0
"12",11,598,0,"Jordan","221246",2022,0
"13",12,660,0,"Jordan","221246",2022,0
"14",13,644,0,"Jordan","221246",2022,0
"15",14,648,0,"Jordan","221246",2022,0
"16",15,588,0,"Jordan","221246",2022,0
"17",16,650,0,"Jordan","221246",2022,0
"18",17,599,0,"Jordan","221246",2022,0
"19",18,584,0,"Jordan","221246",2022,0
"20",19,560,0,"Jordan","221246",2022,0
"21",20,526,0,"Jordan","221246",2022,0
"22",21,539,0,"Jordan","221246",2022,0
"23",22,545,0,"Jordan","221246",2022,0
"24",23,543,0,"Jordan","221246",2022,0
"25",24,507,0,"Jordan","221246",2022,0
"26",25,496,0,"Jordan","221246",2022,0
"27",26,509,0,"Jordan","221246",2022,0
"28",27,507,0,"Jordan","221246",2022,0
"29",28,509,0,"Jordan","221246",2022,0
"30",29,512,0,"Jordan","221246",2022,0
"31",30,459,0,"Jordan","221246",2022,0
"32",31,442,0,"Jordan","221246",2022,0
"33",32,474,2,"Jordan","221246",2022,0.00421940928270042
"34",33,483,1,"Jordan","221246",2022,0.0020703933747412
"35",34,457,2,"Jordan","221246",2022,0.00437636761487965
"36",35,417,9,"Jordan","221246",2022,0.0215827338129496
"37",36,432,8,"Jordan","221246",2022,0.0185185185185185
"38",37,456,14,"Jordan","221246",2022,0.0307017543859649
"39",38,480,20,"Jordan","221246",2022,0.0416666666666667
"40",39,418,21,"Jordan","221246",2022,0.0502392344497608
"41",40,381,23,"Jordan","221246",2022,0.0603674540682415
"42",41,401,33,"Jordan","221246",2022,0.0822942643391521
"43",42,372,51,"Jordan","221246",2022,0.137096774193548
"44",43,382,63,"Jordan","221246",2022,0.164921465968586
"45",44,337,78,"Jordan","221246",2022,0.231454005934718
"46",45,316,97,"Jordan","221246",2022,0.306962025316456
"47",46,317,109,"Jordan","221246",2022,0.34384858044164
"48",47,322,115,"Jordan","221246",2022,0.357142857142857
"49",48,299,128,"Jordan","221246",2022,0.42809364548495
"50",49,300,142,"Jordan","221246",2022,0.473333333333333
"51",50,279,156,"Jordan","221246",2022,0.559139784946237
"52",51,284,174,"Jordan","221246",2022,0.612676056338028
"53",52,263,161,"Jordan","221246",2022,0.612167300380228
"54",53,253,174,"Jordan","221246",2022,0.687747035573123
"55",54,240,168,"Jordan","221246",2022,0.7
"56",55,211,148,"Jordan","221246",2022,0.701421800947867
"57",56,218,164,"Jordan","221246",2022,0.752293577981651
"58",57,226,165,"Jordan","221246",2022,0.730088495575221
"59",58,205,170,"Jordan","221246",2022,0.829268292682927
"60",59,194,153,"Jordan","221246",2022,0.788659793814433
"61",60,193,167,"Jordan","221246",2022,0.865284974093264
"62",61,176,159,"Jordan","221246",2022,0.903409090909091
"63",62,162,147,"Jordan","221246",2022,0.907407407407407
"64",63,174,164,"Jordan","221246",2022,0.942528735632184
"65",64,132,126,"Jordan","221246",2022,0.954545454545455
"66",65,135,125,"Jordan","221246",2022,0.925925925925926
"67",66,121,111,"Jordan","221246",2022,0.917355371900826
"68",67,132,127,"Jordan","221246",2022,0.962121212121212
"69",68,102,100,"Jordan","221246",2022,0.980392156862745
"70",69,110,98,"Jordan","221246",2022,0.890909090909091
"71",70,88,77,"Jordan","221246",2022,0.875
"72",71,92,83,"Jordan","221246",2022,0.902173913043478
"73",72,74,68,"Jordan","221246",2022,0.918918918918919
"74",73,59,55,"Jordan","221246",2022,0.932203389830508
"75",74,59,57,"Jordan","221246",2022,0.966101694915254
"76",75,57,53,"Jordan","221246",2022,0.929824561403509
"77",76,57,52,"Jordan","221246",2022,0.912280701754386
"78",77,64,55,"Jordan","221246",2022,0.859375
"79",78,33,28,"Jordan","221246",2022,0.848484848484849
"80",79,42,34,"Jordan","221246",2022,0.80952380952381
"81",80,34,27,"Jordan","221246",2022,0.794117647058823
"82",81,28,26,"Jordan","221246",2022,0.928571428571429
"83",82,23,23,"Jordan","221246",2022,1
"84",83,27,26,"Jordan","221246",2022,0.962962962962963
"85",84,20,20,"Jordan","221246",2022,1
"86",85,24,21,"Jordan","221246",2022,0.875
"87",86,11,10,"Jordan","221246",2022,0.909090909090909
"88",87,12,12,"Jordan","221246",2022,1
"89",88,4,4,"Jordan","221246",2022,1
"90",89,9,9,"Jordan","221246",2022,1
"91",90,2,2,"Jordan","221246",2022,1
"92",91,1,1,"Jordan","221246",2022,1
"93",92,1,1,"Jordan","221246",2022,1
"94",93,2,2,"Jordan","221246",2022,1
"95",94,2,1,"Jordan","221246",2022,0.5
