"","age","pop","gp","country","seed","year","share"
"1",0,1306,0,"Kenya","156925",2022,0
"2",1,1209,0,"Kenya","156925",2022,0
"3",2,1281,0,"Kenya","156925",2022,0
"4",3,1218,0,"Kenya","156925",2022,0
"5",4,1157,0,"Kenya","156925",2022,0
"6",5,1114,0,"Kenya","156925",2022,0
"7",6,1163,0,"Kenya","156925",2022,0
"8",7,1246,0,"Kenya","156925",2022,0
"9",8,1196,0,"Kenya","156925",2022,0
"10",9,1181,0,"Kenya","156925",2022,0
"11",10,1074,0,"Kenya","156925",2022,0
"12",11,1157,0,"Kenya","156925",2022,0
"13",12,1216,0,"Kenya","156925",2022,0
"14",13,1150,0,"Kenya","156925",2022,0
"15",14,1119,0,"Kenya","156925",2022,0
"16",15,1047,0,"Kenya","156925",2022,0
"17",16,1045,0,"Kenya","156925",2022,0
"18",17,1156,0,"Kenya","156925",2022,0
"19",18,1013,0,"Kenya","156925",2022,0
"20",19,1024,0,"Kenya","156925",2022,0
"21",20,925,0,"Kenya","156925",2022,0
"22",21,966,0,"Kenya","156925",2022,0
"23",22,966,0,"Kenya","156925",2022,0
"24",23,961,0,"Kenya","156925",2022,0
"25",24,932,0,"Kenya","156925",2022,0
"26",25,808,0,"Kenya","156925",2022,0
"27",26,767,0,"Kenya","156925",2022,0
"28",27,788,1,"Kenya","156925",2022,0.00126903553299492
"29",28,820,0,"Kenya","156925",2022,0
"30",29,740,0,"Kenya","156925",2022,0
"31",30,737,4,"Kenya","156925",2022,0.00542740841248304
"32",31,643,13,"Kenya","156925",2022,0.0202177293934681
"33",32,750,15,"Kenya","156925",2022,0.02
"34",33,712,17,"Kenya","156925",2022,0.023876404494382
"35",34,667,34,"Kenya","156925",2022,0.0509745127436282
"36",35,653,40,"Kenya","156925",2022,0.0612557427258806
"37",36,627,63,"Kenya","156925",2022,0.100478468899522
"38",37,651,68,"Kenya","156925",2022,0.104454685099846
"39",38,625,100,"Kenya","156925",2022,0.16
"40",39,581,122,"Kenya","156925",2022,0.209982788296041
"41",40,617,147,"Kenya","156925",2022,0.238249594813614
"42",41,570,175,"Kenya","156925",2022,0.307017543859649
"43",42,575,194,"Kenya","156925",2022,0.337391304347826
"44",43,544,225,"Kenya","156925",2022,0.413602941176471
"45",44,464,232,"Kenya","156925",2022,0.5
"46",45,468,246,"Kenya","156925",2022,0.525641025641026
"47",46,451,245,"Kenya","156925",2022,0.543237250554324
"48",47,441,271,"Kenya","156925",2022,0.614512471655329
"49",48,454,308,"Kenya","156925",2022,0.6784140969163
"50",49,362,275,"Kenya","156925",2022,0.759668508287293
"51",50,357,292,"Kenya","156925",2022,0.817927170868347
"52",51,338,274,"Kenya","156925",2022,0.810650887573965
"53",52,328,281,"Kenya","156925",2022,0.856707317073171
"54",53,298,250,"Kenya","156925",2022,0.838926174496644
"55",54,276,239,"Kenya","156925",2022,0.865942028985507
"56",55,257,224,"Kenya","156925",2022,0.8715953307393
"57",56,231,204,"Kenya","156925",2022,0.883116883116883
"58",57,219,190,"Kenya","156925",2022,0.867579908675799
"59",58,214,198,"Kenya","156925",2022,0.925233644859813
"60",59,194,176,"Kenya","156925",2022,0.907216494845361
"61",60,189,176,"Kenya","156925",2022,0.931216931216931
"62",61,186,165,"Kenya","156925",2022,0.887096774193548
"63",62,160,144,"Kenya","156925",2022,0.9
"64",63,162,147,"Kenya","156925",2022,0.907407407407407
"65",64,132,123,"Kenya","156925",2022,0.931818181818182
"66",65,169,157,"Kenya","156925",2022,0.928994082840237
"67",66,121,113,"Kenya","156925",2022,0.933884297520661
"68",67,106,100,"Kenya","156925",2022,0.943396226415094
"69",68,97,93,"Kenya","156925",2022,0.958762886597938
"70",69,105,99,"Kenya","156925",2022,0.942857142857143
"71",70,95,92,"Kenya","156925",2022,0.968421052631579
"72",71,105,100,"Kenya","156925",2022,0.952380952380952
"73",72,84,82,"Kenya","156925",2022,0.976190476190476
"74",73,73,71,"Kenya","156925",2022,0.972602739726027
"75",74,78,75,"Kenya","156925",2022,0.961538461538462
"76",75,69,65,"Kenya","156925",2022,0.942028985507246
"77",76,44,40,"Kenya","156925",2022,0.909090909090909
"78",77,44,42,"Kenya","156925",2022,0.954545454545455
"79",78,42,42,"Kenya","156925",2022,1
"80",79,38,36,"Kenya","156925",2022,0.947368421052632
"81",80,38,36,"Kenya","156925",2022,0.947368421052632
"82",81,34,31,"Kenya","156925",2022,0.911764705882353
"83",82,16,16,"Kenya","156925",2022,1
"84",83,8,8,"Kenya","156925",2022,1
"85",84,14,14,"Kenya","156925",2022,1
"86",85,11,11,"Kenya","156925",2022,1
"87",86,15,15,"Kenya","156925",2022,1
"88",87,8,7,"Kenya","156925",2022,0.875
"89",88,3,3,"Kenya","156925",2022,1
"90",89,4,4,"Kenya","156925",2022,1
"91",91,1,1,"Kenya","156925",2022,1
"92",92,1,1,"Kenya","156925",2022,1
"93",93,1,1,"Kenya","156925",2022,1
"94",97,1,1,"Kenya","156925",2022,1
