"","age","pop","gp","year","country","seed","share"
"1",0,409,0,1960,"Kiribati","171416",0
"2",1,382,0,1960,"Kiribati","171416",0
"3",2,351,0,1960,"Kiribati","171416",0
"4",3,324,0,1960,"Kiribati","171416",0
"5",4,331,0,1960,"Kiribati","171416",0
"6",5,282,0,1960,"Kiribati","171416",0
"7",6,283,0,1960,"Kiribati","171416",0
"8",7,269,0,1960,"Kiribati","171416",0
"9",8,241,0,1960,"Kiribati","171416",0
"10",9,260,0,1960,"Kiribati","171416",0
"11",10,246,0,1960,"Kiribati","171416",0
"12",11,236,0,1960,"Kiribati","171416",0
"13",12,247,0,1960,"Kiribati","171416",0
"14",13,236,0,1960,"Kiribati","171416",0
"15",14,233,0,1960,"Kiribati","171416",0
"16",15,215,0,1960,"Kiribati","171416",0
"17",16,199,0,1960,"Kiribati","171416",0
"18",17,208,0,1960,"Kiribati","171416",0
"19",18,217,0,1960,"Kiribati","171416",0
"20",19,204,0,1960,"Kiribati","171416",0
"21",20,192,0,1960,"Kiribati","171416",0
"22",21,186,0,1960,"Kiribati","171416",0
"23",22,162,0,1960,"Kiribati","171416",0
"24",23,194,0,1960,"Kiribati","171416",0
"25",24,164,0,1960,"Kiribati","171416",0
"26",25,174,0,1960,"Kiribati","171416",0
"27",26,177,0,1960,"Kiribati","171416",0
"28",27,165,0,1960,"Kiribati","171416",0
"29",28,141,0,1960,"Kiribati","171416",0
"30",29,137,0,1960,"Kiribati","171416",0
"31",30,135,0,1960,"Kiribati","171416",0
"32",31,136,0,1960,"Kiribati","171416",0
"33",32,121,0,1960,"Kiribati","171416",0
"34",33,118,3,1960,"Kiribati","171416",0.0254237288135593
"35",34,113,4,1960,"Kiribati","171416",0.0353982300884956
"36",35,114,2,1960,"Kiribati","171416",0.0175438596491228
"37",36,106,4,1960,"Kiribati","171416",0.0377358490566038
"38",37,111,9,1960,"Kiribati","171416",0.0810810810810811
"39",38,103,7,1960,"Kiribati","171416",0.0679611650485437
"40",39,104,13,1960,"Kiribati","171416",0.125
"41",40,113,28,1960,"Kiribati","171416",0.247787610619469
"42",41,93,18,1960,"Kiribati","171416",0.193548387096774
"43",42,88,29,1960,"Kiribati","171416",0.329545454545455
"44",43,104,44,1960,"Kiribati","171416",0.423076923076923
"45",44,97,36,1960,"Kiribati","171416",0.371134020618557
"46",45,81,35,1960,"Kiribati","171416",0.432098765432099
"47",46,77,30,1960,"Kiribati","171416",0.38961038961039
"48",47,73,38,1960,"Kiribati","171416",0.520547945205479
"49",48,83,51,1960,"Kiribati","171416",0.614457831325301
"50",49,82,45,1960,"Kiribati","171416",0.548780487804878
"51",50,71,47,1960,"Kiribati","171416",0.661971830985915
"52",51,69,53,1960,"Kiribati","171416",0.768115942028985
"53",52,72,53,1960,"Kiribati","171416",0.736111111111111
"54",53,59,51,1960,"Kiribati","171416",0.864406779661017
"55",54,70,51,1960,"Kiribati","171416",0.728571428571429
"56",55,63,51,1960,"Kiribati","171416",0.80952380952381
"57",56,51,41,1960,"Kiribati","171416",0.803921568627451
"58",57,55,47,1960,"Kiribati","171416",0.854545454545454
"59",58,43,39,1960,"Kiribati","171416",0.906976744186046
"60",59,57,45,1960,"Kiribati","171416",0.789473684210526
"61",60,36,35,1960,"Kiribati","171416",0.972222222222222
"62",61,47,44,1960,"Kiribati","171416",0.936170212765957
"63",62,39,34,1960,"Kiribati","171416",0.871794871794872
"64",63,27,27,1960,"Kiribati","171416",1
"65",64,47,43,1960,"Kiribati","171416",0.914893617021277
"66",65,37,35,1960,"Kiribati","171416",0.945945945945946
"67",66,30,29,1960,"Kiribati","171416",0.966666666666667
"68",67,26,23,1960,"Kiribati","171416",0.884615384615385
"69",68,26,26,1960,"Kiribati","171416",1
"70",69,24,23,1960,"Kiribati","171416",0.958333333333333
"71",70,13,13,1960,"Kiribati","171416",1
"72",71,16,15,1960,"Kiribati","171416",0.9375
"73",72,16,15,1960,"Kiribati","171416",0.9375
