"","age","pop","gp","year","country","seed","share"
"1",0,1120,0,1960,"Kuwait","276306",0
"2",1,1066,0,1960,"Kuwait","276306",0
"3",2,1051,0,1960,"Kuwait","276306",0
"4",3,1003,0,1960,"Kuwait","276306",0
"5",4,924,0,1960,"Kuwait","276306",0
"6",5,887,0,1960,"Kuwait","276306",0
"7",6,832,0,1960,"Kuwait","276306",0
"8",7,780,0,1960,"Kuwait","276306",0
"9",8,760,0,1960,"Kuwait","276306",0
"10",9,754,0,1960,"Kuwait","276306",0
"11",10,876,0,1960,"Kuwait","276306",0
"12",11,840,0,1960,"Kuwait","276306",0
"13",12,762,0,1960,"Kuwait","276306",0
"14",13,748,0,1960,"Kuwait","276306",0
"15",14,744,0,1960,"Kuwait","276306",0
"16",15,725,0,1960,"Kuwait","276306",0
"17",16,647,0,1960,"Kuwait","276306",0
"18",17,674,0,1960,"Kuwait","276306",0
"19",18,641,0,1960,"Kuwait","276306",0
"20",19,600,0,1960,"Kuwait","276306",0
"21",20,616,1,1960,"Kuwait","276306",0.00162337662337662
"22",21,585,0,1960,"Kuwait","276306",0
"23",22,569,0,1960,"Kuwait","276306",0
"24",23,547,0,1960,"Kuwait","276306",0
"25",24,524,0,1960,"Kuwait","276306",0
"26",25,487,0,1960,"Kuwait","276306",0
"27",26,491,1,1960,"Kuwait","276306",0.00203665987780041
"28",27,464,1,1960,"Kuwait","276306",0.0021551724137931
"29",28,470,1,1960,"Kuwait","276306",0.00212765957446809
"30",29,422,0,1960,"Kuwait","276306",0
"31",30,432,7,1960,"Kuwait","276306",0.0162037037037037
"32",31,385,7,1960,"Kuwait","276306",0.0181818181818182
"33",32,390,4,1960,"Kuwait","276306",0.0102564102564103
"34",33,402,12,1960,"Kuwait","276306",0.0298507462686567
"35",34,347,19,1960,"Kuwait","276306",0.0547550432276657
"36",35,333,29,1960,"Kuwait","276306",0.0870870870870871
"37",36,332,46,1960,"Kuwait","276306",0.13855421686747
"38",37,321,55,1960,"Kuwait","276306",0.171339563862928
"39",38,307,70,1960,"Kuwait","276306",0.228013029315961
"40",39,262,102,1960,"Kuwait","276306",0.389312977099237
"41",40,289,135,1960,"Kuwait","276306",0.467128027681661
"42",41,261,128,1960,"Kuwait","276306",0.490421455938697
"43",42,259,164,1960,"Kuwait","276306",0.633204633204633
"44",43,217,145,1960,"Kuwait","276306",0.668202764976959
"45",44,248,187,1960,"Kuwait","276306",0.754032258064516
"46",45,206,158,1960,"Kuwait","276306",0.766990291262136
"47",46,192,154,1960,"Kuwait","276306",0.802083333333333
"48",47,219,183,1960,"Kuwait","276306",0.835616438356164
"49",48,189,164,1960,"Kuwait","276306",0.867724867724868
"50",49,197,178,1960,"Kuwait","276306",0.903553299492386
"51",50,162,150,1960,"Kuwait","276306",0.925925925925926
"52",51,166,154,1960,"Kuwait","276306",0.927710843373494
"53",52,174,164,1960,"Kuwait","276306",0.942528735632184
"54",53,169,159,1960,"Kuwait","276306",0.940828402366864
"55",54,149,140,1960,"Kuwait","276306",0.939597315436242
"56",55,143,133,1960,"Kuwait","276306",0.93006993006993
"57",56,157,149,1960,"Kuwait","276306",0.949044585987261
"58",57,120,116,1960,"Kuwait","276306",0.966666666666667
"59",58,156,151,1960,"Kuwait","276306",0.967948717948718
"60",59,138,134,1960,"Kuwait","276306",0.971014492753623
"61",60,146,134,1960,"Kuwait","276306",0.917808219178082
"62",61,92,90,1960,"Kuwait","276306",0.978260869565217
"63",62,96,91,1960,"Kuwait","276306",0.947916666666667
"64",63,89,87,1960,"Kuwait","276306",0.97752808988764
"65",64,76,76,1960,"Kuwait","276306",1
"66",65,83,80,1960,"Kuwait","276306",0.963855421686747
"67",66,73,71,1960,"Kuwait","276306",0.972602739726027
"68",67,69,64,1960,"Kuwait","276306",0.927536231884058
"69",68,67,64,1960,"Kuwait","276306",0.955223880597015
"70",69,60,60,1960,"Kuwait","276306",1
"71",70,63,60,1960,"Kuwait","276306",0.952380952380952
"72",71,61,60,1960,"Kuwait","276306",0.983606557377049
"73",72,33,32,1960,"Kuwait","276306",0.96969696969697
"74",73,43,40,1960,"Kuwait","276306",0.930232558139535
"75",74,41,41,1960,"Kuwait","276306",1
"76",75,33,30,1960,"Kuwait","276306",0.909090909090909
"77",76,32,32,1960,"Kuwait","276306",1
"78",77,25,24,1960,"Kuwait","276306",0.96
"79",78,26,25,1960,"Kuwait","276306",0.961538461538462
"80",79,12,12,1960,"Kuwait","276306",1
"81",80,8,8,1960,"Kuwait","276306",1
"82",81,14,13,1960,"Kuwait","276306",0.928571428571429
"83",82,9,9,1960,"Kuwait","276306",1
"84",83,9,9,1960,"Kuwait","276306",1
"85",84,7,6,1960,"Kuwait","276306",0.857142857142857
"86",85,3,3,1960,"Kuwait","276306",1
"87",86,1,1,1960,"Kuwait","276306",1
"88",87,1,1,1960,"Kuwait","276306",1
"89",89,1,1,1960,"Kuwait","276306",1
"90",92,1,1,1960,"Kuwait","276306",1
"91",94,1,0,1960,"Kuwait","276306",0
