"","age","pop","gp","year","country","seed","share"
"1",0,870,0,1960,"Kyrgyzstan","301398",0
"2",1,787,0,1960,"Kyrgyzstan","301398",0
"3",2,768,0,1960,"Kyrgyzstan","301398",0
"4",3,744,0,1960,"Kyrgyzstan","301398",0
"5",4,714,0,1960,"Kyrgyzstan","301398",0
"6",5,591,0,1960,"Kyrgyzstan","301398",0
"7",6,525,0,1960,"Kyrgyzstan","301398",0
"8",7,551,0,1960,"Kyrgyzstan","301398",0
"9",8,549,0,1960,"Kyrgyzstan","301398",0
"10",9,533,0,1960,"Kyrgyzstan","301398",0
"11",10,596,0,1960,"Kyrgyzstan","301398",0
"12",11,576,0,1960,"Kyrgyzstan","301398",0
"13",12,593,0,1960,"Kyrgyzstan","301398",0
"14",13,579,0,1960,"Kyrgyzstan","301398",0
"15",14,526,0,1960,"Kyrgyzstan","301398",0
"16",15,585,0,1960,"Kyrgyzstan","301398",0
"17",16,556,0,1960,"Kyrgyzstan","301398",0
"18",17,516,0,1960,"Kyrgyzstan","301398",0
"19",18,548,0,1960,"Kyrgyzstan","301398",0
"20",19,498,0,1960,"Kyrgyzstan","301398",0
"21",20,499,0,1960,"Kyrgyzstan","301398",0
"22",21,471,0,1960,"Kyrgyzstan","301398",0
"23",22,493,0,1960,"Kyrgyzstan","301398",0
"24",23,454,0,1960,"Kyrgyzstan","301398",0
"25",24,430,0,1960,"Kyrgyzstan","301398",0
"26",25,443,0,1960,"Kyrgyzstan","301398",0
"27",26,433,0,1960,"Kyrgyzstan","301398",0
"28",27,404,0,1960,"Kyrgyzstan","301398",0
"29",28,393,0,1960,"Kyrgyzstan","301398",0
"30",29,455,1,1960,"Kyrgyzstan","301398",0.0021978021978022
"31",30,391,0,1960,"Kyrgyzstan","301398",0
"32",31,393,2,1960,"Kyrgyzstan","301398",0.00508905852417303
"33",32,432,2,1960,"Kyrgyzstan","301398",0.00462962962962963
"34",33,374,2,1960,"Kyrgyzstan","301398",0.0053475935828877
"35",34,373,7,1960,"Kyrgyzstan","301398",0.0187667560321716
"36",35,382,11,1960,"Kyrgyzstan","301398",0.0287958115183246
"37",36,372,20,1960,"Kyrgyzstan","301398",0.0537634408602151
"38",37,328,16,1960,"Kyrgyzstan","301398",0.048780487804878
"39",38,335,21,1960,"Kyrgyzstan","301398",0.0626865671641791
"40",39,339,38,1960,"Kyrgyzstan","301398",0.112094395280236
"41",40,313,44,1960,"Kyrgyzstan","301398",0.140575079872204
"42",41,301,51,1960,"Kyrgyzstan","301398",0.169435215946844
"43",42,305,84,1960,"Kyrgyzstan","301398",0.275409836065574
"44",43,292,92,1960,"Kyrgyzstan","301398",0.315068493150685
"45",44,279,92,1960,"Kyrgyzstan","301398",0.329749103942652
"46",45,279,132,1960,"Kyrgyzstan","301398",0.473118279569892
"47",46,270,123,1960,"Kyrgyzstan","301398",0.455555555555556
"48",47,257,130,1960,"Kyrgyzstan","301398",0.505836575875486
"49",48,250,133,1960,"Kyrgyzstan","301398",0.532
"50",49,268,160,1960,"Kyrgyzstan","301398",0.597014925373134
"51",50,266,157,1960,"Kyrgyzstan","301398",0.590225563909774
"52",51,236,163,1960,"Kyrgyzstan","301398",0.690677966101695
"53",52,220,149,1960,"Kyrgyzstan","301398",0.677272727272727
"54",53,247,166,1960,"Kyrgyzstan","301398",0.672064777327935
"55",54,199,137,1960,"Kyrgyzstan","301398",0.688442211055276
"56",55,225,175,1960,"Kyrgyzstan","301398",0.777777777777778
"57",56,199,158,1960,"Kyrgyzstan","301398",0.793969849246231
"58",57,210,171,1960,"Kyrgyzstan","301398",0.814285714285714
"59",58,189,143,1960,"Kyrgyzstan","301398",0.756613756613757
"60",59,164,139,1960,"Kyrgyzstan","301398",0.847560975609756
"61",60,165,138,1960,"Kyrgyzstan","301398",0.836363636363636
"62",61,173,141,1960,"Kyrgyzstan","301398",0.815028901734104
"63",62,144,122,1960,"Kyrgyzstan","301398",0.847222222222222
"64",63,175,137,1960,"Kyrgyzstan","301398",0.782857142857143
"65",64,135,123,1960,"Kyrgyzstan","301398",0.911111111111111
"66",65,126,110,1960,"Kyrgyzstan","301398",0.873015873015873
"67",66,145,125,1960,"Kyrgyzstan","301398",0.862068965517241
"68",67,92,81,1960,"Kyrgyzstan","301398",0.880434782608696
