"","age","pop","gp","year","country","seed","share"
"1",0,1558,0,1960,"Latvia","11994",0
"2",1,1528,0,1960,"Latvia","11994",0
"3",2,1516,0,1960,"Latvia","11994",0
"4",3,1481,0,1960,"Latvia","11994",0
"5",4,1514,0,1960,"Latvia","11994",0
"6",5,1419,0,1960,"Latvia","11994",0
"7",6,1504,0,1960,"Latvia","11994",0
"8",7,1561,0,1960,"Latvia","11994",0
"9",8,1509,0,1960,"Latvia","11994",0
"10",9,1538,0,1960,"Latvia","11994",0
"11",10,1481,0,1960,"Latvia","11994",0
"12",11,1549,0,1960,"Latvia","11994",0
"13",12,1524,0,1960,"Latvia","11994",0
"14",13,1523,0,1960,"Latvia","11994",0
"15",14,1585,0,1960,"Latvia","11994",0
"16",15,1578,0,1960,"Latvia","11994",0
"17",16,1552,0,1960,"Latvia","11994",0
"18",17,1656,0,1960,"Latvia","11994",0
"19",18,1629,0,1960,"Latvia","11994",0
"20",19,1566,0,1960,"Latvia","11994",0
"21",20,1578,0,1960,"Latvia","11994",0
"22",21,1591,0,1960,"Latvia","11994",0
"23",22,1570,0,1960,"Latvia","11994",0
"24",23,1575,0,1960,"Latvia","11994",0
"25",24,1651,0,1960,"Latvia","11994",0
"26",25,1544,0,1960,"Latvia","11994",0
"27",26,1660,0,1960,"Latvia","11994",0
"28",27,1553,0,1960,"Latvia","11994",0
"29",28,1673,0,1960,"Latvia","11994",0
"30",29,1652,0,1960,"Latvia","11994",0
"31",30,1624,0,1960,"Latvia","11994",0
"32",31,1688,0,1960,"Latvia","11994",0
"33",32,1646,5,1960,"Latvia","11994",0.00303766707168894
"34",33,1706,4,1960,"Latvia","11994",0.00234466588511137
"35",34,1680,2,1960,"Latvia","11994",0.00119047619047619
"36",35,1714,12,1960,"Latvia","11994",0.00700116686114352
"37",36,1625,14,1960,"Latvia","11994",0.00861538461538462
"38",37,1725,21,1960,"Latvia","11994",0.0121739130434783
"39",38,1653,28,1960,"Latvia","11994",0.0169388989715668
"40",39,1770,52,1960,"Latvia","11994",0.0293785310734463
"41",40,1724,85,1960,"Latvia","11994",0.0493039443155452
"42",41,1684,92,1960,"Latvia","11994",0.0546318289786223
"43",42,1685,125,1960,"Latvia","11994",0.0741839762611276
"44",43,1729,168,1960,"Latvia","11994",0.097165991902834
"45",44,1724,202,1960,"Latvia","11994",0.117169373549884
"46",45,1726,256,1960,"Latvia","11994",0.148319814600232
"47",46,1794,301,1960,"Latvia","11994",0.16778149386845
"48",47,1807,338,1960,"Latvia","11994",0.18705035971223
"49",48,1689,404,1960,"Latvia","11994",0.239194789816459
"50",49,1670,450,1960,"Latvia","11994",0.269461077844311
"51",50,1682,510,1960,"Latvia","11994",0.30321046373365
"52",51,1701,592,1960,"Latvia","11994",0.348030570252792
"53",52,1686,584,1960,"Latvia","11994",0.34638196915777
"54",53,1618,630,1960,"Latvia","11994",0.389369592088999
"55",54,1624,704,1960,"Latvia","11994",0.433497536945813
"56",55,1639,796,1960,"Latvia","11994",0.485661989017694
"57",56,1660,797,1960,"Latvia","11994",0.480120481927711
"58",57,1592,802,1960,"Latvia","11994",0.503768844221106
"59",58,1586,796,1960,"Latvia","11994",0.501891551071879
"60",59,1627,878,1960,"Latvia","11994",0.539643515673018
"61",60,1630,888,1960,"Latvia","11994",0.54478527607362
"62",61,1572,865,1960,"Latvia","11994",0.550254452926209
"63",62,1520,883,1960,"Latvia","11994",0.580921052631579
"64",63,1566,930,1960,"Latvia","11994",0.593869731800766
"65",64,1567,957,1960,"Latvia","11994",0.610721123165284
"66",65,1478,911,1960,"Latvia","11994",0.61637347767253
"67",66,1437,862,1960,"Latvia","11994",0.599860821155184
"68",67,1497,936,1960,"Latvia","11994",0.625250501002004
"69",68,1436,876,1960,"Latvia","11994",0.610027855153203
"70",69,1363,862,1960,"Latvia","11994",0.632428466617755
"71",70,1395,893,1960,"Latvia","11994",0.640143369175627
"72",71,1269,781,1960,"Latvia","11994",0.615445232466509
"73",72,1222,770,1960,"Latvia","11994",0.630114566284779
"74",73,1183,778,1960,"Latvia","11994",0.657650042265427
"75",74,1164,729,1960,"Latvia","11994",0.626288659793814
"76",75,1020,649,1960,"Latvia","11994",0.636274509803922
"77",76,1013,629,1960,"Latvia","11994",0.620927936821323
"78",77,886,580,1960,"Latvia","11994",0.654627539503386
"79",78,852,538,1960,"Latvia","11994",0.631455399061033
"80",79,759,500,1960,"Latvia","11994",0.658761528326746
"81",80,719,463,1960,"Latvia","11994",0.643949930458971
"82",81,683,446,1960,"Latvia","11994",0.653001464128843
"83",82,536,338,1960,"Latvia","11994",0.630597014925373
"84",83,521,317,1960,"Latvia","11994",0.608445297504798
"85",84,429,271,1960,"Latvia","11994",0.631701631701632
"86",85,368,231,1960,"Latvia","11994",0.627717391304348
"87",86,336,195,1960,"Latvia","11994",0.580357142857143
"88",87,276,173,1960,"Latvia","11994",0.626811594202899
"89",88,222,137,1960,"Latvia","11994",0.617117117117117
"90",89,219,140,1960,"Latvia","11994",0.639269406392694
"91",90,138,78,1960,"Latvia","11994",0.565217391304348
"92",91,123,81,1960,"Latvia","11994",0.658536585365854
"93",92,91,53,1960,"Latvia","11994",0.582417582417582
"94",93,74,50,1960,"Latvia","11994",0.675675675675676
"95",94,55,37,1960,"Latvia","11994",0.672727272727273
"96",95,31,19,1960,"Latvia","11994",0.612903225806452
"97",96,14,8,1960,"Latvia","11994",0.571428571428571
"98",97,11,8,1960,"Latvia","11994",0.727272727272727
"99",98,10,7,1960,"Latvia","11994",0.7
"100",99,9,8,1960,"Latvia","11994",0.888888888888889
"101",0,1476,0,1965,"Latvia","11994",0
"102",1,1458,0,1965,"Latvia","11994",0
"103",2,1359,0,1965,"Latvia","11994",0
"104",3,1474,0,1965,"Latvia","11994",0
"105",4,1460,0,1965,"Latvia","11994",0
"106",5,1511,0,1965,"Latvia","11994",0
"107",6,1518,0,1965,"Latvia","11994",0
"108",7,1504,0,1965,"Latvia","11994",0
"109",8,1474,0,1965,"Latvia","11994",0
"110",9,1509,0,1965,"Latvia","11994",0
"111",10,1414,0,1965,"Latvia","11994",0
"112",11,1497,0,1965,"Latvia","11994",0
"113",12,1554,0,1965,"Latvia","11994",0
"114",13,1502,0,1965,"Latvia","11994",0
"115",14,1532,0,1965,"Latvia","11994",0
"116",15,1479,0,1965,"Latvia","11994",0
"117",16,1536,0,1965,"Latvia","11994",0
"118",17,1521,0,1965,"Latvia","11994",0
"119",18,1518,0,1965,"Latvia","11994",0
"120",19,1574,0,1965,"Latvia","11994",0
"121",20,1571,0,1965,"Latvia","11994",0
"122",21,1540,0,1965,"Latvia","11994",0
"123",22,1646,0,1965,"Latvia","11994",0
"124",23,1616,0,1965,"Latvia","11994",0
"125",24,1557,0,1965,"Latvia","11994",0
"126",25,1562,0,1965,"Latvia","11994",0
"127",26,1573,0,1965,"Latvia","11994",0
"128",27,1557,0,1965,"Latvia","11994",0
"129",28,1557,0,1965,"Latvia","11994",0
"130",29,1633,0,1965,"Latvia","11994",0
"131",30,1533,1,1965,"Latvia","11994",0.000652315720808871
"132",31,1640,1,1965,"Latvia","11994",0.000609756097560976
"133",32,1527,2,1965,"Latvia","11994",0.00130975769482646
"134",33,1661,4,1965,"Latvia","11994",0.00240818783865141
"135",34,1629,3,1965,"Latvia","11994",0.00184162062615101
"136",35,1608,9,1965,"Latvia","11994",0.00559701492537313
"137",36,1670,15,1965,"Latvia","11994",0.00898203592814371
"138",37,1626,34,1965,"Latvia","11994",0.020910209102091
"139",38,1683,35,1965,"Latvia","11994",0.0207961972667855
"140",39,1655,54,1965,"Latvia","11994",0.0326283987915408
"141",40,1688,76,1965,"Latvia","11994",0.0450236966824645
"142",41,1598,103,1965,"Latvia","11994",0.0644555694618273
"143",42,1695,143,1965,"Latvia","11994",0.0843657817109145
