"","age","pop","gp","year","country","seed","share"
"1",0,2516,0,1990,"Lebanon","118697",0
"2",1,2483,0,1990,"Lebanon","118697",0
"3",2,2387,0,1990,"Lebanon","118697",0
"4",3,2319,0,1990,"Lebanon","118697",0
"5",4,2372,0,1990,"Lebanon","118697",0
"6",5,2358,0,1990,"Lebanon","118697",0
"7",6,2283,0,1990,"Lebanon","118697",0
"8",7,2253,0,1990,"Lebanon","118697",0
"9",8,2236,0,1990,"Lebanon","118697",0
"10",9,2160,0,1990,"Lebanon","118697",0
"11",10,2328,0,1990,"Lebanon","118697",0
"12",11,2201,0,1990,"Lebanon","118697",0
"13",12,2184,0,1990,"Lebanon","118697",0
"14",13,2097,0,1990,"Lebanon","118697",0
"15",14,2085,0,1990,"Lebanon","118697",0
"16",15,2199,0,1990,"Lebanon","118697",0
"17",16,2097,0,1990,"Lebanon","118697",0
"18",17,2125,0,1990,"Lebanon","118697",0
"19",18,2111,0,1990,"Lebanon","118697",0
"20",19,1942,0,1990,"Lebanon","118697",0
"21",20,2163,0,1990,"Lebanon","118697",0
"22",21,2075,0,1990,"Lebanon","118697",0
"23",22,2064,0,1990,"Lebanon","118697",0
"24",23,1859,0,1990,"Lebanon","118697",0
"25",24,1861,0,1990,"Lebanon","118697",0
"26",25,1942,1,1990,"Lebanon","118697",0.000514933058702369
"27",26,1898,0,1990,"Lebanon","118697",0
"28",27,1862,2,1990,"Lebanon","118697",0.00107411385606874
"29",28,1787,0,1990,"Lebanon","118697",0
"30",29,1764,1,1990,"Lebanon","118697",0.000566893424036281
"31",30,1629,6,1990,"Lebanon","118697",0.00368324125230203
"32",31,1619,2,1990,"Lebanon","118697",0.00123533045089561
"33",32,1519,12,1990,"Lebanon","118697",0.00789993416721527
"34",33,1510,26,1990,"Lebanon","118697",0.0172185430463576
"35",34,1436,36,1990,"Lebanon","118697",0.0250696378830084
"36",35,1379,49,1990,"Lebanon","118697",0.0355329949238579
"37",36,1299,79,1990,"Lebanon","118697",0.0608160123171671
"38",37,1343,124,1990,"Lebanon","118697",0.0923306031273269
"39",38,1266,140,1990,"Lebanon","118697",0.110584518167457
"40",39,1246,217,1990,"Lebanon","118697",0.174157303370787
"41",40,1358,261,1990,"Lebanon","118697",0.19219440353461
"42",41,1373,333,1990,"Lebanon","118697",0.242534595775674
"43",42,1264,406,1990,"Lebanon","118697",0.32120253164557
"44",43,1297,474,1990,"Lebanon","118697",0.365458750963763
"45",44,1245,516,1990,"Lebanon","118697",0.414457831325301
"46",45,1155,570,1990,"Lebanon","118697",0.493506493506494
"47",46,1140,580,1990,"Lebanon","118697",0.508771929824561
"48",47,1105,610,1990,"Lebanon","118697",0.552036199095023
"49",48,1033,646,1990,"Lebanon","118697",0.625363020329138
"50",49,989,632,1990,"Lebanon","118697",0.639029322548028
"51",50,932,661,1990,"Lebanon","118697",0.709227467811159
"52",51,898,661,1990,"Lebanon","118697",0.736080178173719
"53",52,877,645,1990,"Lebanon","118697",0.735461801596351
"54",53,841,684,1990,"Lebanon","118697",0.813317479191439
"55",54,806,656,1990,"Lebanon","118697",0.813895781637717
"56",55,778,630,1990,"Lebanon","118697",0.809768637532134
"57",56,765,627,1990,"Lebanon","118697",0.819607843137255
"58",57,721,595,1990,"Lebanon","118697",0.825242718446602
"59",58,705,578,1990,"Lebanon","118697",0.819858156028369
"60",59,659,560,1990,"Lebanon","118697",0.849772382397572
"61",60,609,521,1990,"Lebanon","118697",0.855500821018062
"62",61,632,548,1990,"Lebanon","118697",0.867088607594937
"63",62,621,551,1990,"Lebanon","118697",0.887278582930757
"64",63,548,499,1990,"Lebanon","118697",0.910583941605839
"65",64,504,453,1990,"Lebanon","118697",0.898809523809524
"66",65,468,416,1990,"Lebanon","118697",0.888888888888889
"67",66,484,444,1990,"Lebanon","118697",0.917355371900826
"68",67,437,394,1990,"Lebanon","118697",0.901601830663616
"69",68,388,332,1990,"Lebanon","118697",0.855670103092783
"70",69,368,333,1990,"Lebanon","118697",0.904891304347826
"71",70,348,314,1990,"Lebanon","118697",0.902298850574713
"72",71,297,267,1990,"Lebanon","118697",0.898989898989899
