"","age","pop","gp","year","country","seed","share"
"1",0,1285,0,1990,"Lesotho","242707",0
"2",1,1217,0,1990,"Lesotho","242707",0
"3",2,1189,0,1990,"Lesotho","242707",0
"4",3,1207,0,1990,"Lesotho","242707",0
"5",4,1095,0,1990,"Lesotho","242707",0
"6",5,1197,0,1990,"Lesotho","242707",0
"7",6,1090,0,1990,"Lesotho","242707",0
"8",7,1064,0,1990,"Lesotho","242707",0
"9",8,1024,0,1990,"Lesotho","242707",0
"10",9,1006,0,1990,"Lesotho","242707",0
"11",10,1022,0,1990,"Lesotho","242707",0
"12",11,961,0,1990,"Lesotho","242707",0
"13",12,890,0,1990,"Lesotho","242707",0
"14",13,912,0,1990,"Lesotho","242707",0
"15",14,880,0,1990,"Lesotho","242707",0
"16",15,849,0,1990,"Lesotho","242707",0
"17",16,806,0,1990,"Lesotho","242707",0
"18",17,822,0,1990,"Lesotho","242707",0
"19",18,794,0,1990,"Lesotho","242707",0
"20",19,838,0,1990,"Lesotho","242707",0
"21",20,690,0,1990,"Lesotho","242707",0
"22",21,711,0,1990,"Lesotho","242707",0
"23",22,712,0,1990,"Lesotho","242707",0
"24",23,670,2,1990,"Lesotho","242707",0.00298507462686567
"25",24,662,1,1990,"Lesotho","242707",0.00151057401812689
"26",25,659,1,1990,"Lesotho","242707",0.00151745068285281
"27",26,597,2,1990,"Lesotho","242707",0.0033500837520938
"28",27,601,1,1990,"Lesotho","242707",0.00166389351081531
"29",28,635,2,1990,"Lesotho","242707",0.0031496062992126
"30",29,559,1,1990,"Lesotho","242707",0.00178890876565295
"31",30,573,3,1990,"Lesotho","242707",0.00523560209424084
"32",31,527,7,1990,"Lesotho","242707",0.0132827324478178
"33",32,525,6,1990,"Lesotho","242707",0.0114285714285714
"34",33,533,12,1990,"Lesotho","242707",0.0225140712945591
"35",34,494,15,1990,"Lesotho","242707",0.0303643724696356
"36",35,442,20,1990,"Lesotho","242707",0.0452488687782805
"37",36,460,29,1990,"Lesotho","242707",0.0630434782608696
"38",37,436,52,1990,"Lesotho","242707",0.119266055045872
"39",38,435,50,1990,"Lesotho","242707",0.114942528735632
"40",39,397,71,1990,"Lesotho","242707",0.178841309823678
"41",40,366,75,1990,"Lesotho","242707",0.204918032786885
"42",41,393,97,1990,"Lesotho","242707",0.246819338422392
"43",42,350,122,1990,"Lesotho","242707",0.348571428571429
"44",43,372,158,1990,"Lesotho","242707",0.424731182795699
"45",44,330,153,1990,"Lesotho","242707",0.463636363636364
"46",45,315,175,1990,"Lesotho","242707",0.555555555555556
"47",46,337,199,1990,"Lesotho","242707",0.590504451038576
"48",47,296,197,1990,"Lesotho","242707",0.665540540540541
"49",48,309,215,1990,"Lesotho","242707",0.6957928802589
"50",49,304,236,1990,"Lesotho","242707",0.776315789473684
"51",50,285,223,1990,"Lesotho","242707",0.782456140350877
"52",51,272,221,1990,"Lesotho","242707",0.8125
"53",52,282,235,1990,"Lesotho","242707",0.833333333333333
"54",53,261,204,1990,"Lesotho","242707",0.781609195402299
"55",54,238,208,1990,"Lesotho","242707",0.873949579831933
"56",55,244,206,1990,"Lesotho","242707",0.844262295081967
"57",56,206,179,1990,"Lesotho","242707",0.868932038834951
"58",57,207,181,1990,"Lesotho","242707",0.8743961352657
"59",58,216,190,1990,"Lesotho","242707",0.87962962962963
"60",59,180,158,1990,"Lesotho","242707",0.877777777777778
"61",60,179,168,1990,"Lesotho","242707",0.93854748603352
"62",61,154,135,1990,"Lesotho","242707",0.876623376623377
"63",62,144,131,1990,"Lesotho","242707",0.909722222222222
"64",63,165,153,1990,"Lesotho","242707",0.927272727272727
"65",64,164,149,1990,"Lesotho","242707",0.908536585365854
"66",65,110,97,1990,"Lesotho","242707",0.881818181818182
"67",66,145,134,1990,"Lesotho","242707",0.924137931034483
"68",67,120,102,1990,"Lesotho","242707",0.85
"69",68,120,110,1990,"Lesotho","242707",0.916666666666667
"70",69,99,89,1990,"Lesotho","242707",0.898989898989899
"71",70,111,100,1990,"Lesotho","242707",0.900900900900901
"72",71,91,81,1990,"Lesotho","242707",0.89010989010989
"73",72,75,67,1990,"Lesotho","242707",0.893333333333333
"74",73,69,67,1990,"Lesotho","242707",0.971014492753623
"75",74,64,60,1990,"Lesotho","242707",0.9375
"76",75,74,68,1990,"Lesotho","242707",0.918918918918919
"77",76,49,45,1990,"Lesotho","242707",0.918367346938776
"78",77,56,51,1990,"Lesotho","242707",0.910714285714286
"79",78,47,43,1990,"Lesotho","242707",0.914893617021277
"80",79,47,43,1990,"Lesotho","242707",0.914893617021277
"81",80,36,34,1990,"Lesotho","242707",0.944444444444444
"82",81,27,25,1990,"Lesotho","242707",0.925925925925926
"83",82,24,23,1990,"Lesotho","242707",0.958333333333333
"84",83,20,16,1990,"Lesotho","242707",0.8
"85",84,7,7,1990,"Lesotho","242707",1
"86",85,15,14,1990,"Lesotho","242707",0.933333333333333
"87",86,7,6,1990,"Lesotho","242707",0.857142857142857
"88",87,7,7,1990,"Lesotho","242707",1
"89",88,5,5,1990,"Lesotho","242707",1
"90",89,4,4,1990,"Lesotho","242707",1
"91",91,1,1,1990,"Lesotho","242707",1
"92",93,1,1,1990,"Lesotho","242707",1
"93",0,1384,0,1995,"Lesotho","242707",0
"94",1,1288,0,1995,"Lesotho","242707",0
"95",2,1246,0,1995,"Lesotho","242707",0
"96",3,1208,0,1995,"Lesotho","242707",0
"97",4,1178,0,1995,"Lesotho","242707",0
"98",5,1202,0,1995,"Lesotho","242707",0
"99",6,1176,0,1995,"Lesotho","242707",0
"100",7,1161,0,1995,"Lesotho","242707",0
"101",8,1179,0,1995,"Lesotho","242707",0
"102",9,1076,0,1995,"Lesotho","242707",0
"103",10,1179,0,1995,"Lesotho","242707",0
"104",11,1077,0,1995,"Lesotho","242707",0
"105",12,1052,0,1995,"Lesotho","242707",0
"106",13,1013,0,1995,"Lesotho","242707",0
"107",14,995,0,1995,"Lesotho","242707",0
"108",15,1012,0,1995,"Lesotho","242707",0
"109",16,950,0,1995,"Lesotho","242707",0
"110",17,885,0,1995,"Lesotho","242707",0
"111",18,902,0,1995,"Lesotho","242707",0
"112",19,873,0,1995,"Lesotho","242707",0
"113",20,840,0,1995,"Lesotho","242707",0
"114",21,790,0,1995,"Lesotho","242707",0
"115",22,812,0,1995,"Lesotho","242707",0
"116",23,774,0,1995,"Lesotho","242707",0
"117",24,818,0,1995,"Lesotho","242707",0
"118",25,680,0,1995,"Lesotho","242707",0
"119",26,693,0,1995,"Lesotho","242707",0
"120",27,699,1,1995,"Lesotho","242707",0.00143061516452074
"121",28,657,2,1995,"Lesotho","242707",0.0030441400304414
"122",29,642,1,1995,"Lesotho","242707",0.00155763239875389
"123",30,639,4,1995,"Lesotho","242707",0.00625978090766823
"124",31,578,7,1995,"Lesotho","242707",0.0121107266435986
"125",32,592,11,1995,"Lesotho","242707",0.0185810810810811
"126",33,624,23,1995,"Lesotho","242707",0.0368589743589744
"127",34,546,16,1995,"Lesotho","242707",0.0293040293040293
"128",35,559,26,1995,"Lesotho","242707",0.0465116279069767
"129",36,509,34,1995,"Lesotho","242707",0.0667976424361493
"130",37,510,52,1995,"Lesotho","242707",0.101960784313725
"131",38,509,64,1995,"Lesotho","242707",0.12573673870334
"132",39,470,80,1995,"Lesotho","242707",0.170212765957447
"133",40,427,87,1995,"Lesotho","242707",0.203747072599532
"134",41,442,127,1995,"Lesotho","242707",0.287330316742081
"135",42,416,150,1995,"Lesotho","242707",0.360576923076923
"136",43,410,152,1995,"Lesotho","242707",0.370731707317073
"137",44,375,179,1995,"Lesotho","242707",0.477333333333333
"138",45,348,189,1995,"Lesotho","242707",0.543103448275862
"139",46,364,207,1995,"Lesotho","242707",0.568681318681319
"140",47,328,224,1995,"Lesotho","242707",0.682926829268293
"141",48,351,257,1995,"Lesotho","242707",0.732193732193732
"142",49,315,225,1995,"Lesotho","242707",0.714285714285714
"143",50,301,239,1995,"Lesotho","242707",0.794019933554817
"144",51,318,259,1995,"Lesotho","242707",0.814465408805031
"145",52,281,238,1995,"Lesotho","242707",0.846975088967972
"146",53,295,260,1995,"Lesotho","242707",0.88135593220339
"147",54,278,241,1995,"Lesotho","242707",0.866906474820144
"148",55,267,230,1995,"Lesotho","242707",0.861423220973783
"149",56,256,227,1995,"Lesotho","242707",0.88671875
"150",57,259,227,1995,"Lesotho","242707",0.876447876447876
"151",58,243,212,1995,"Lesotho","242707",0.872427983539095
"152",59,218,203,1995,"Lesotho","242707",0.931192660550459
"153",60,217,191,1995,"Lesotho","242707",0.880184331797235
"154",61,180,159,1995,"Lesotho","242707",0.883333333333333
"155",62,190,173,1995,"Lesotho","242707",0.910526315789474
"156",63,187,170,1995,"Lesotho","242707",0.909090909090909
"157",64,144,127,1995,"Lesotho","242707",0.881944444444444
"158",65,152,143,1995,"Lesotho","242707",0.940789473684211
"159",66,127,113,1995,"Lesotho","242707",0.889763779527559
"160",67,124,114,1995,"Lesotho","242707",0.919354838709677
"161",68,135,126,1995,"Lesotho","242707",0.933333333333333
"162",69,135,124,1995,"Lesotho","242707",0.918518518518519
"163",70,88,79,1995,"Lesotho","242707",0.897727272727273
"164",71,121,111,1995,"Lesotho","242707",0.917355371900826
"165",72,88,75,1995,"Lesotho","242707",0.852272727272727
"166",73,95,89,1995,"Lesotho","242707",0.936842105263158
"167",74,69,63,1995,"Lesotho","242707",0.91304347826087
"168",75,77,72,1995,"Lesotho","242707",0.935064935064935
"169",76,67,62,1995,"Lesotho","242707",0.925373134328358
"170",77,48,42,1995,"Lesotho","242707",0.875
"171",78,38,36,1995,"Lesotho","242707",0.947368421052632
"172",79,37,34,1995,"Lesotho","242707",0.918918918918919
"173",80,41,38,1995,"Lesotho","242707",0.926829268292683
"174",81,28,27,1995,"Lesotho","242707",0.964285714285714
"175",82,29,26,1995,"Lesotho","242707",0.896551724137931
"176",83,20,17,1995,"Lesotho","242707",0.85
"177",84,20,17,1995,"Lesotho","242707",0.85
"178",85,16,14,1995,"Lesotho","242707",0.875
"179",86,8,8,1995,"Lesotho","242707",1
"180",87,7,6,1995,"Lesotho","242707",0.857142857142857
"181",88,5,3,1995,"Lesotho","242707",0.6
"182",89,1,1,1995,"Lesotho","242707",1
"183",90,3,3,1995,"Lesotho","242707",1
"184",91,1,1,1995,"Lesotho","242707",1
"185",0,1366,0,2000,"Lesotho","242707",0
"186",1,1330,0,2000,"Lesotho","242707",0
"187",2,1242,0,2000,"Lesotho","242707",0
"188",3,1219,0,2000,"Lesotho","242707",0
"189",4,1180,0,2000,"Lesotho","242707",0
"190",5,1278,0,2000,"Lesotho","242707",0
"191",6,1247,0,2000,"Lesotho","242707",0
"192",7,1213,0,2000,"Lesotho","242707",0
"193",8,1173,0,2000,"Lesotho","242707",0
"194",9,1161,0,2000,"Lesotho","242707",0
"195",10,1184,0,2000,"Lesotho","242707",0
"196",11,1164,0,2000,"Lesotho","242707",0
"197",12,1157,0,2000,"Lesotho","242707",0
"198",13,1164,0,2000,"Lesotho","242707",0
"199",14,1063,0,2000,"Lesotho","242707",0
"200",15,1167,0,2000,"Lesotho","242707",0
"201",16,1064,0,2000,"Lesotho","242707",0
"202",17,1039,0,2000,"Lesotho","242707",0
"203",18,1002,0,2000,"Lesotho","242707",0
"204",19,979,0,2000,"Lesotho","242707",0
"205",20,992,0,2000,"Lesotho","242707",0
"206",21,934,0,2000,"Lesotho","242707",0
"207",22,871,0,2000,"Lesotho","242707",0
"208",23,890,0,2000,"Lesotho","242707",0
"209",24,854,0,2000,"Lesotho","242707",0
"210",25,820,0,2000,"Lesotho","242707",0
"211",26,764,0,2000,"Lesotho","242707",0
"212",27,795,0,2000,"Lesotho","242707",0
"213",28,745,0,2000,"Lesotho","242707",0
"214",29,780,2,2000,"Lesotho","242707",0.00256410256410256
"215",30,648,2,2000,"Lesotho","242707",0.00308641975308642
"216",31,664,5,2000,"Lesotho","242707",0.00753012048192771
"217",32,667,9,2000,"Lesotho","242707",0.0134932533733133
"218",33,622,19,2000,"Lesotho","242707",0.0305466237942122
"219",34,601,15,2000,"Lesotho","242707",0.0249584026622296
"220",35,611,36,2000,"Lesotho","242707",0.0589198036006547
"221",36,538,35,2000,"Lesotho","242707",0.0650557620817844
"222",37,560,70,2000,"Lesotho","242707",0.125
"223",38,594,96,2000,"Lesotho","242707",0.161616161616162
"224",39,500,77,2000,"Lesotho","242707",0.154
"225",40,505,112,2000,"Lesotho","242707",0.221782178217822
"226",41,465,122,2000,"Lesotho","242707",0.262365591397849
"227",42,476,150,2000,"Lesotho","242707",0.315126050420168
"228",43,452,172,2000,"Lesotho","242707",0.380530973451327
"229",44,424,211,2000,"Lesotho","242707",0.497641509433962
"230",45,390,206,2000,"Lesotho","242707",0.528205128205128
"231",46,405,233,2000,"Lesotho","242707",0.575308641975309
"232",47,378,248,2000,"Lesotho","242707",0.656084656084656
"233",48,371,245,2000,"Lesotho","242707",0.660377358490566
