"","age","pop","gp","year","country","seed","share"
"1",0,467,0,1960,"Liberia","149931",0
"2",1,440,0,1960,"Liberia","149931",0
"3",2,428,0,1960,"Liberia","149931",0
"4",3,378,0,1960,"Liberia","149931",0
"5",4,334,0,1960,"Liberia","149931",0
"6",5,323,0,1960,"Liberia","149931",0
"7",6,312,0,1960,"Liberia","149931",0
"8",7,333,0,1960,"Liberia","149931",0
"9",8,299,0,1960,"Liberia","149931",0
"10",9,290,0,1960,"Liberia","149931",0
"11",10,340,0,1960,"Liberia","149931",0
"12",11,300,0,1960,"Liberia","149931",0
"13",12,317,0,1960,"Liberia","149931",0
"14",13,295,0,1960,"Liberia","149931",0
"15",14,329,0,1960,"Liberia","149931",0
"16",15,278,0,1960,"Liberia","149931",0
"17",16,283,2,1960,"Liberia","149931",0.00706713780918728
"18",17,266,0,1960,"Liberia","149931",0
"19",18,240,0,1960,"Liberia","149931",0
"20",19,254,0,1960,"Liberia","149931",0
"21",20,240,0,1960,"Liberia","149931",0
"22",21,257,0,1960,"Liberia","149931",0
"23",22,252,0,1960,"Liberia","149931",0
"24",23,214,0,1960,"Liberia","149931",0
"25",24,233,0,1960,"Liberia","149931",0
"26",25,201,0,1960,"Liberia","149931",0
"27",26,219,0,1960,"Liberia","149931",0
"28",27,219,0,1960,"Liberia","149931",0
"29",28,212,0,1960,"Liberia","149931",0
"30",29,208,0,1960,"Liberia","149931",0
"31",30,192,0,1960,"Liberia","149931",0
"32",31,187,2,1960,"Liberia","149931",0.0106951871657754
"33",32,186,7,1960,"Liberia","149931",0.0376344086021505
"34",33,167,8,1960,"Liberia","149931",0.0479041916167665
"35",34,163,7,1960,"Liberia","149931",0.0429447852760736
"36",35,169,23,1960,"Liberia","149931",0.136094674556213
"37",36,165,27,1960,"Liberia","149931",0.163636363636364
"38",37,147,23,1960,"Liberia","149931",0.156462585034014
"39",38,146,36,1960,"Liberia","149931",0.246575342465753
"40",39,135,50,1960,"Liberia","149931",0.37037037037037
"41",40,134,52,1960,"Liberia","149931",0.388059701492537
"42",41,144,59,1960,"Liberia","149931",0.409722222222222
"43",42,121,55,1960,"Liberia","149931",0.454545454545455
"44",43,111,64,1960,"Liberia","149931",0.576576576576577
"45",44,103,65,1960,"Liberia","149931",0.631067961165049
"46",45,126,84,1960,"Liberia","149931",0.666666666666667
"47",46,98,66,1960,"Liberia","149931",0.673469387755102
"48",47,102,70,1960,"Liberia","149931",0.686274509803922
"49",48,117,91,1960,"Liberia","149931",0.777777777777778
"50",49,91,65,1960,"Liberia","149931",0.714285714285714
"51",50,94,74,1960,"Liberia","149931",0.787234042553192
"52",51,83,64,1960,"Liberia","149931",0.771084337349398
"53",52,88,72,1960,"Liberia","149931",0.818181818181818
"54",53,84,67,1960,"Liberia","149931",0.797619047619048
"55",54,87,69,1960,"Liberia","149931",0.793103448275862
"56",55,95,85,1960,"Liberia","149931",0.894736842105263
"57",56,78,66,1960,"Liberia","149931",0.846153846153846
"58",57,76,66,1960,"Liberia","149931",0.868421052631579
"59",58,72,64,1960,"Liberia","149931",0.888888888888889
"60",59,58,54,1960,"Liberia","149931",0.931034482758621
"61",60,67,56,1960,"Liberia","149931",0.835820895522388
"62",61,65,60,1960,"Liberia","149931",0.923076923076923
"63",62,54,47,1960,"Liberia","149931",0.87037037037037
"64",63,51,44,1960,"Liberia","149931",0.862745098039216
"65",64,66,59,1960,"Liberia","149931",0.893939393939394
"66",65,43,35,1960,"Liberia","149931",0.813953488372093
"67",66,32,29,1960,"Liberia","149931",0.90625
"68",67,46,39,1960,"Liberia","149931",0.847826086956522
"69",68,40,35,1960,"Liberia","149931",0.875
"70",69,33,27,1960,"Liberia","149931",0.818181818181818
"71",70,37,33,1960,"Liberia","149931",0.891891891891892
"72",71,21,20,1960,"Liberia","149931",0.952380952380952
"73",72,25,19,1960,"Liberia","149931",0.76
"74",73,21,16,1960,"Liberia","149931",0.761904761904762
"75",74,20,15,1960,"Liberia","149931",0.75
"76",75,21,17,1960,"Liberia","149931",0.80952380952381
"77",76,23,19,1960,"Liberia","149931",0.826086956521739
"78",77,19,18,1960,"Liberia","149931",0.947368421052632
"79",78,18,16,1960,"Liberia","149931",0.888888888888889
"80",79,14,12,1960,"Liberia","149931",0.857142857142857
"81",80,5,4,1960,"Liberia","149931",0.8
"82",81,6,5,1960,"Liberia","149931",0.833333333333333
"83",82,8,8,1960,"Liberia","149931",1
"84",83,6,4,1960,"Liberia","149931",0.666666666666667
"85",84,3,3,1960,"Liberia","149931",1
"86",85,5,5,1960,"Liberia","149931",1
"87",86,2,2,1960,"Liberia","149931",1
"88",87,1,1,1960,"Liberia","149931",1
"89",88,1,1,1960,"Liberia","149931",1
"90",89,3,2,1960,"Liberia","149931",0.666666666666667
"91",91,1,1,1960,"Liberia","149931",1
"92",93,1,1,1960,"Liberia","149931",1
"93",0,544,0,1965,"Liberia","149931",0
"94",1,485,0,1965,"Liberia","149931",0
"95",2,418,0,1965,"Liberia","149931",0
"96",3,431,0,1965,"Liberia","149931",0
"97",4,380,0,1965,"Liberia","149931",0
"98",5,363,0,1965,"Liberia","149931",0
"99",6,356,0,1965,"Liberia","149931",0
"100",7,348,0,1965,"Liberia","149931",0
"101",8,326,0,1965,"Liberia","149931",0
"102",9,305,0,1965,"Liberia","149931",0
"103",10,304,0,1965,"Liberia","149931",0
"104",11,292,0,1965,"Liberia","149931",0
"105",12,319,0,1965,"Liberia","149931",0
"106",13,284,0,1965,"Liberia","149931",0
"107",14,276,0,1965,"Liberia","149931",0
"108",15,323,0,1965,"Liberia","149931",0
"109",16,278,0,1965,"Liberia","149931",0
"110",17,304,0,1965,"Liberia","149931",0
"111",18,286,0,1965,"Liberia","149931",0
"112",19,317,0,1965,"Liberia","149931",0
"113",20,262,0,1965,"Liberia","149931",0
"114",21,275,2,1965,"Liberia","149931",0.00727272727272727
"115",22,255,0,1965,"Liberia","149931",0
"116",23,230,0,1965,"Liberia","149931",0
"117",24,246,0,1965,"Liberia","149931",0
"118",25,224,0,1965,"Liberia","149931",0
"119",26,242,0,1965,"Liberia","149931",0
"120",27,237,0,1965,"Liberia","149931",0
"121",28,206,0,1965,"Liberia","149931",0
"122",29,220,0,1965,"Liberia","149931",0
"123",30,191,3,1965,"Liberia","149931",0.0157068062827225
"124",31,199,1,1965,"Liberia","149931",0.0050251256281407
"125",32,205,9,1965,"Liberia","149931",0.0439024390243902
"126",33,204,9,1965,"Liberia","149931",0.0441176470588235
"127",34,193,13,1965,"Liberia","149931",0.0673575129533679
"128",35,178,19,1965,"Liberia","149931",0.106741573033708
"129",36,173,31,1965,"Liberia","149931",0.179190751445087
"130",37,174,38,1965,"Liberia","149931",0.218390804597701
"131",38,153,39,1965,"Liberia","149931",0.254901960784314
