"","age","pop","gp","year","country","seed","share"
"1",0,890,0,1990,"Libya","106273",0
"2",1,843,0,1990,"Libya","106273",0
"3",2,815,0,1990,"Libya","106273",0
"4",3,750,0,1990,"Libya","106273",0
"5",4,720,0,1990,"Libya","106273",0
"6",5,850,0,1990,"Libya","106273",0
"7",6,825,0,1990,"Libya","106273",0
"8",7,784,0,1990,"Libya","106273",0
"9",8,767,0,1990,"Libya","106273",0
"10",9,731,0,1990,"Libya","106273",0
"11",10,817,0,1990,"Libya","106273",0
"12",11,796,0,1990,"Libya","106273",0
"13",12,753,0,1990,"Libya","106273",0
"14",13,713,0,1990,"Libya","106273",0
"15",14,656,0,1990,"Libya","106273",0
"16",15,721,0,1990,"Libya","106273",0
"17",16,664,0,1990,"Libya","106273",0
"18",17,652,0,1990,"Libya","106273",0
"19",18,662,0,1990,"Libya","106273",0
"20",19,594,0,1990,"Libya","106273",0
"21",20,564,0,1990,"Libya","106273",0
"22",21,553,0,1990,"Libya","106273",0
"23",22,575,0,1990,"Libya","106273",0
"24",23,505,0,1990,"Libya","106273",0
"25",24,540,0,1990,"Libya","106273",0
"26",25,429,0,1990,"Libya","106273",0
"27",26,423,0,1990,"Libya","106273",0
"28",27,411,0,1990,"Libya","106273",0
"29",28,394,0,1990,"Libya","106273",0
"30",29,380,0,1990,"Libya","106273",0
"31",30,348,0,1990,"Libya","106273",0
"32",31,340,1,1990,"Libya","106273",0.00294117647058824
"33",32,300,0,1990,"Libya","106273",0
"34",33,305,1,1990,"Libya","106273",0.00327868852459016
"35",34,286,3,1990,"Libya","106273",0.0104895104895105
"36",35,271,5,1990,"Libya","106273",0.018450184501845
"37",36,230,5,1990,"Libya","106273",0.0217391304347826
"38",37,232,10,1990,"Libya","106273",0.0431034482758621
"39",38,236,19,1990,"Libya","106273",0.0805084745762712
"40",39,241,25,1990,"Libya","106273",0.103734439834025
"41",40,226,45,1990,"Libya","106273",0.199115044247788
"42",41,207,43,1990,"Libya","106273",0.207729468599034
"43",42,210,70,1990,"Libya","106273",0.333333333333333
"44",43,180,67,1990,"Libya","106273",0.372222222222222
"45",44,208,78,1990,"Libya","106273",0.375
"46",45,184,93,1990,"Libya","106273",0.505434782608696
"47",46,199,120,1990,"Libya","106273",0.603015075376884
"48",47,187,128,1990,"Libya","106273",0.684491978609626
"49",48,160,121,1990,"Libya","106273",0.75625
"50",49,153,121,1990,"Libya","106273",0.790849673202614
"51",50,155,129,1990,"Libya","106273",0.832258064516129
"52",51,158,135,1990,"Libya","106273",0.854430379746835
"53",52,165,147,1990,"Libya","106273",0.890909090909091
"54",53,132,119,1990,"Libya","106273",0.901515151515151
"55",54,149,134,1990,"Libya","106273",0.899328859060403
"56",55,134,119,1990,"Libya","106273",0.888059701492537
