"","age","pop","gp","year","country","seed","share"
"1",0,2807,0,1990,"Lithuania","169506",0
"2",1,2874,0,1990,"Lithuania","169506",0
"3",2,2918,0,1990,"Lithuania","169506",0
"4",3,2842,0,1990,"Lithuania","169506",0
"5",4,2907,0,1990,"Lithuania","169506",0
"6",5,2889,0,1990,"Lithuania","169506",0
"7",6,2976,0,1990,"Lithuania","169506",0
"8",7,2793,0,1990,"Lithuania","169506",0
"9",8,2895,0,1990,"Lithuania","169506",0
"10",9,2866,0,1990,"Lithuania","169506",0
"11",10,3051,0,1990,"Lithuania","169506",0
"12",11,2982,0,1990,"Lithuania","169506",0
"13",12,2937,0,1990,"Lithuania","169506",0
"14",13,2991,0,1990,"Lithuania","169506",0
"15",14,3080,0,1990,"Lithuania","169506",0
"16",15,3262,0,1990,"Lithuania","169506",0
"17",16,3310,0,1990,"Lithuania","169506",0
"18",17,3244,0,1990,"Lithuania","169506",0
"19",18,3207,0,1990,"Lithuania","169506",0
"20",19,3209,0,1990,"Lithuania","169506",0
"21",20,3278,0,1990,"Lithuania","169506",0
"22",21,3201,0,1990,"Lithuania","169506",0
"23",22,3208,0,1990,"Lithuania","169506",0
"24",23,3145,0,1990,"Lithuania","169506",0
"25",24,3179,0,1990,"Lithuania","169506",0
"26",25,3350,0,1990,"Lithuania","169506",0
"27",26,3279,0,1990,"Lithuania","169506",0
"28",27,3142,1,1990,"Lithuania","169506",0.000318268618714195
"29",28,3168,0,1990,"Lithuania","169506",0
"30",29,3130,0,1990,"Lithuania","169506",0
"31",30,3352,6,1990,"Lithuania","169506",0.00178997613365155
"32",31,3284,4,1990,"Lithuania","169506",0.00121802679658952
"33",32,3263,10,1990,"Lithuania","169506",0.00306466441924609
"34",33,3159,26,1990,"Lithuania","169506",0.00823045267489712
"35",34,3224,37,1990,"Lithuania","169506",0.0114764267990074
"36",35,3229,41,1990,"Lithuania","169506",0.0126974295447507
"37",36,3246,60,1990,"Lithuania","169506",0.0184842883548983
"38",37,3126,107,1990,"Lithuania","169506",0.0342290467050544
"39",38,3135,138,1990,"Lithuania","169506",0.0440191387559809
"40",39,3098,217,1990,"Lithuania","169506",0.0700451904454487
"41",40,3340,281,1990,"Lithuania","169506",0.0841317365269461
"42",41,3295,419,1990,"Lithuania","169506",0.127162367223065
"43",42,3257,537,1990,"Lithuania","169506",0.164875652440897
"44",43,3153,610,1990,"Lithuania","169506",0.193466539803362
"45",44,3164,715,1990,"Lithuania","169506",0.225979772439949
"46",45,3186,871,1990,"Lithuania","169506",0.27338355304457
"47",46,3132,920,1990,"Lithuania","169506",0.293742017879949
"48",47,3111,1009,1990,"Lithuania","169506",0.324333011893282
"49",48,3102,1147,1990,"Lithuania","169506",0.369761444229529
"50",49,2966,1195,1990,"Lithuania","169506",0.402899527983817
"51",50,2919,1284,1990,"Lithuania","169506",0.439876670092497
"52",51,2929,1331,1990,"Lithuania","169506",0.454421304199385
"53",52,2882,1401,1990,"Lithuania","169506",0.486120749479528
"54",53,2781,1436,1990,"Lithuania","169506",0.51636102121539
"55",54,2808,1551,1990,"Lithuania","169506",0.552350427350427
"56",55,2746,1529,1990,"Lithuania","169506",0.556809905316825
"57",56,2721,1552,1990,"Lithuania","169506",0.570378537302462
"58",57,2660,1575,1990,"Lithuania","169506",0.592105263157895
"59",58,2567,1562,1990,"Lithuania","169506",0.60849240358395
"60",59,2610,1636,1990,"Lithuania","169506",0.626819923371647
"61",60,2555,1639,1990,"Lithuania","169506",0.641487279843444
"62",61,2473,1646,1990,"Lithuania","169506",0.665588354225637
"63",62,2464,1675,1990,"Lithuania","169506",0.679788961038961
"64",63,2433,1648,1990,"Lithuania","169506",0.677353062063296
"65",64,2306,1578,1990,"Lithuania","169506",0.684301821335646
"66",65,2227,1501,1990,"Lithuania","169506",0.674000898069151
"67",66,2215,1525,1990,"Lithuania","169506",0.688487584650113
"68",67,2136,1461,1990,"Lithuania","169506",0.683988764044944
"69",68,2088,1493,1990,"Lithuania","169506",0.715038314176245
"70",69,1985,1454,1990,"Lithuania","169506",0.732493702770781
"71",70,2030,1462,1990,"Lithuania","169506",0.720197044334975
"72",71,1854,1333,1990,"Lithuania","169506",0.71898597626753
"73",72,1863,1328,1990,"Lithuania","169506",0.712828770799785
"74",73,1736,1246,1990,"Lithuania","169506",0.717741935483871
"75",74,1624,1182,1990,"Lithuania","169506",0.727832512315271
"76",75,1537,1132,1990,"Lithuania","169506",0.736499674690956
"77",76,1440,1037,1990,"Lithuania","169506",0.720138888888889
"78",77,1316,969,1990,"Lithuania","169506",0.736322188449848
