"","age","pop","gp","year","country","seed","share"
"1",0,443,0,1990,"Luxembourg","102485",0
"2",1,381,0,1990,"Luxembourg","102485",0
"3",2,443,0,1990,"Luxembourg","102485",0
"4",3,435,0,1990,"Luxembourg","102485",0
"5",4,415,0,1990,"Luxembourg","102485",0
"6",5,452,0,1990,"Luxembourg","102485",0
"7",6,429,0,1990,"Luxembourg","102485",0
"8",7,446,0,1990,"Luxembourg","102485",0
"9",8,428,0,1990,"Luxembourg","102485",0
"10",9,406,0,1990,"Luxembourg","102485",0
"11",10,426,0,1990,"Luxembourg","102485",0
"12",11,444,0,1990,"Luxembourg","102485",0
"13",12,422,0,1990,"Luxembourg","102485",0
"14",13,392,0,1990,"Luxembourg","102485",0
"15",14,413,0,1990,"Luxembourg","102485",0
"16",15,484,0,1990,"Luxembourg","102485",0
"17",16,473,0,1990,"Luxembourg","102485",0
"18",17,512,0,1990,"Luxembourg","102485",0
"19",18,456,0,1990,"Luxembourg","102485",0
"20",19,517,0,1990,"Luxembourg","102485",0
"21",20,653,0,1990,"Luxembourg","102485",0
"22",21,624,0,1990,"Luxembourg","102485",0
"23",22,631,0,1990,"Luxembourg","102485",0
"24",23,616,0,1990,"Luxembourg","102485",0
"25",24,662,0,1990,"Luxembourg","102485",0
"26",25,663,0,1990,"Luxembourg","102485",0
"27",26,721,0,1990,"Luxembourg","102485",0
"28",27,696,0,1990,"Luxembourg","102485",0
"29",28,698,0,1990,"Luxembourg","102485",0
"30",29,714,0,1990,"Luxembourg","102485",0
"31",30,628,0,1990,"Luxembourg","102485",0
"32",31,677,0,1990,"Luxembourg","102485",0
"33",32,661,2,1990,"Luxembourg","102485",0.00302571860816944
"34",33,650,1,1990,"Luxembourg","102485",0.00153846153846154
"35",34,644,1,1990,"Luxembourg","102485",0.0015527950310559
"36",35,548,6,1990,"Luxembourg","102485",0.0109489051094891
"37",36,570,5,1990,"Luxembourg","102485",0.0087719298245614
"38",37,598,7,1990,"Luxembourg","102485",0.0117056856187291
"39",38,588,14,1990,"Luxembourg","102485",0.0238095238095238
"40",39,556,18,1990,"Luxembourg","102485",0.0323741007194245
"41",40,693,30,1990,"Luxembourg","102485",0.0432900432900433
"42",41,622,32,1990,"Luxembourg","102485",0.0514469453376206
"43",42,646,70,1990,"Luxembourg","102485",0.108359133126935
"44",43,669,90,1990,"Luxembourg","102485",0.134529147982063
"45",44,660,84,1990,"Luxembourg","102485",0.127272727272727
"46",45,701,119,1990,"Luxembourg","102485",0.169757489300999
"47",46,665,125,1990,"Luxembourg","102485",0.18796992481203
"48",47,645,178,1990,"Luxembourg","102485",0.275968992248062
"49",48,663,179,1990,"Luxembourg","102485",0.269984917043741
"50",49,640,196,1990,"Luxembourg","102485",0.30625
"51",50,631,242,1990,"Luxembourg","102485",0.38351822503962
"52",51,659,260,1990,"Luxembourg","102485",0.39453717754173
"53",52,628,267,1990,"Luxembourg","102485",0.42515923566879
"54",53,610,289,1990,"Luxembourg","102485",0.473770491803279
"55",54,615,278,1990,"Luxembourg","102485",0.452032520325203
"56",55,608,301,1990,"Luxembourg","102485",0.495065789473684
"57",56,622,316,1990,"Luxembourg","102485",0.508038585209003
"58",57,633,360,1990,"Luxembourg","102485",0.568720379146919
"59",58,595,330,1990,"Luxembourg","102485",0.554621848739496
"60",59,616,336,1990,"Luxembourg","102485",0.545454545454545
"61",60,606,348,1990,"Luxembourg","102485",0.574257425742574
"62",61,575,342,1990,"Luxembourg","102485",0.594782608695652
"63",62,614,344,1990,"Luxembourg","102485",0.560260586319218
"64",63,570,350,1990,"Luxembourg","102485",0.614035087719298
"65",64,593,344,1990,"Luxembourg","102485",0.580101180438449
"66",65,581,368,1990,"Luxembourg","102485",0.633390705679862
"67",66,561,337,1990,"Luxembourg","102485",0.600713012477718
"68",67,554,335,1990,"Luxembourg","102485",0.604693140794224
"69",68,499,324,1990,"Luxembourg","102485",0.649298597194389
"70",69,524,340,1990,"Luxembourg","102485",0.648854961832061
"71",70,556,357,1990,"Luxembourg","102485",0.642086330935252
"72",71,498,309,1990,"Luxembourg","102485",0.620481927710843
"73",72,479,299,1990,"Luxembourg","102485",0.624217118997912
"74",73,452,287,1990,"Luxembourg","102485",0.634955752212389
"75",74,425,279,1990,"Luxembourg","102485",0.656470588235294
"76",75,399,250,1990,"Luxembourg","102485",0.6265664160401
"77",76,407,244,1990,"Luxembourg","102485",0.599508599508599
"78",77,367,243,1990,"Luxembourg","102485",0.662125340599455
"79",78,311,216,1990,"Luxembourg","102485",0.694533762057878
"80",79,270,183,1990,"Luxembourg","102485",0.677777777777778
"81",80,281,182,1990,"Luxembourg","102485",0.647686832740214
"82",81,261,176,1990,"Luxembourg","102485",0.674329501915709
"83",82,232,147,1990,"Luxembourg","102485",0.633620689655172
"84",83,182,111,1990,"Luxembourg","102485",0.60989010989011
"85",84,173,105,1990,"Luxembourg","102485",0.606936416184971
"86",85,142,99,1990,"Luxembourg","102485",0.697183098591549
"87",86,112,82,1990,"Luxembourg","102485",0.732142857142857
"88",87,107,68,1990,"Luxembourg","102485",0.635514018691589
"89",88,77,51,1990,"Luxembourg","102485",0.662337662337662
"90",89,65,42,1990,"Luxembourg","102485",0.646153846153846
"91",90,68,45,1990,"Luxembourg","102485",0.661764705882353
"92",91,41,24,1990,"Luxembourg","102485",0.585365853658537
"93",92,33,20,1990,"Luxembourg","102485",0.606060606060606
"94",93,27,17,1990,"Luxembourg","102485",0.62962962962963
"95",94,26,15,1990,"Luxembourg","102485",0.576923076923077
"96",95,15,9,1990,"Luxembourg","102485",0.6
"97",96,12,8,1990,"Luxembourg","102485",0.666666666666667
"98",97,9,7,1990,"Luxembourg","102485",0.777777777777778
"99",0,448,0,1995,"Luxembourg","102485",0
"100",1,441,0,1995,"Luxembourg","102485",0
"101",2,477,0,1995,"Luxembourg","102485",0
"102",3,463,0,1995,"Luxembourg","102485",0
"103",4,448,0,1995,"Luxembourg","102485",0
"104",5,442,0,1995,"Luxembourg","102485",0
"105",6,377,0,1995,"Luxembourg","102485",0
"106",7,441,0,1995,"Luxembourg","102485",0
"107",8,435,0,1995,"Luxembourg","102485",0
"108",9,415,0,1995,"Luxembourg","102485",0
"109",10,450,0,1995,"Luxembourg","102485",0
"110",11,427,0,1995,"Luxembourg","102485",0
"111",12,445,0,1995,"Luxembourg","102485",0
"112",13,428,0,1995,"Luxembourg","102485",0
"113",14,406,0,1995,"Luxembourg","102485",0
"114",15,426,0,1995,"Luxembourg","102485",0
"115",16,443,0,1995,"Luxembourg","102485",0
"116",17,419,0,1995,"Luxembourg","102485",0
"117",18,392,0,1995,"Luxembourg","102485",0
"118",19,412,0,1995,"Luxembourg","102485",0
"119",20,479,0,1995,"Luxembourg","102485",0
"120",21,470,0,1995,"Luxembourg","102485",0
"121",22,511,0,1995,"Luxembourg","102485",0
"122",23,454,0,1995,"Luxembourg","102485",0
"123",24,513,0,1995,"Luxembourg","102485",0
"124",25,648,0,1995,"Luxembourg","102485",0
"125",26,619,0,1995,"Luxembourg","102485",0
"126",27,627,0,1995,"Luxembourg","102485",0
"127",28,612,0,1995,"Luxembourg","102485",0
"128",29,658,0,1995,"Luxembourg","102485",0
"129",30,661,0,1995,"Luxembourg","102485",0
"130",31,719,0,1995,"Luxembourg","102485",0
"131",32,693,1,1995,"Luxembourg","102485",0.00144300144300144
"132",33,697,1,1995,"Luxembourg","102485",0.00143472022955524
"133",34,712,5,1995,"Luxembourg","102485",0.00702247191011236
"134",35,622,0,1995,"Luxembourg","102485",0
"135",36,673,7,1995,"Luxembourg","102485",0.0104011887072808
"136",37,651,19,1995,"Luxembourg","102485",0.0291858678955453
"137",38,647,13,1995,"Luxembourg","102485",0.0200927357032458
"138",39,640,16,1995,"Luxembourg","102485",0.025
"139",40,542,29,1995,"Luxembourg","102485",0.0535055350553506
"140",41,563,36,1995,"Luxembourg","102485",0.063943161634103
