"","age","pop","gp","country","seed","year","share"
"1",0,1126,0,"Madagascar","135677",2022,0
"2",1,1161,0,"Madagascar","135677",2022,0
"3",2,1130,0,"Madagascar","135677",2022,0
"4",3,1120,0,"Madagascar","135677",2022,0
"5",4,1027,0,"Madagascar","135677",2022,0
"6",5,1062,0,"Madagascar","135677",2022,0
"7",6,1003,0,"Madagascar","135677",2022,0
"8",7,1135,0,"Madagascar","135677",2022,0
"9",8,1073,0,"Madagascar","135677",2022,0
"10",9,958,0,"Madagascar","135677",2022,0
"11",10,960,0,"Madagascar","135677",2022,0
"12",11,933,0,"Madagascar","135677",2022,0
"13",12,1003,0,"Madagascar","135677",2022,0
"14",13,995,0,"Madagascar","135677",2022,0
"15",14,887,0,"Madagascar","135677",2022,0
"16",15,954,0,"Madagascar","135677",2022,0
"17",16,904,0,"Madagascar","135677",2022,0
"18",17,950,0,"Madagascar","135677",2022,0
"19",18,927,0,"Madagascar","135677",2022,0
"20",19,868,0,"Madagascar","135677",2022,0
"21",20,859,0,"Madagascar","135677",2022,0
"22",21,821,0,"Madagascar","135677",2022,0
"23",22,845,0,"Madagascar","135677",2022,0
"24",23,822,0,"Madagascar","135677",2022,0
"25",24,811,0,"Madagascar","135677",2022,0
"26",25,772,0,"Madagascar","135677",2022,0
"27",26,756,0,"Madagascar","135677",2022,0
"28",27,775,0,"Madagascar","135677",2022,0
"29",28,790,0,"Madagascar","135677",2022,0
"30",29,725,4,"Madagascar","135677",2022,0.00551724137931034
"31",30,711,9,"Madagascar","135677",2022,0.0126582278481013
"32",31,644,14,"Madagascar","135677",2022,0.0217391304347826
"33",32,635,20,"Madagascar","135677",2022,0.031496062992126
"34",33,641,36,"Madagascar","135677",2022,0.0561622464898596
"35",34,620,49,"Madagascar","135677",2022,0.0790322580645161
"36",35,572,55,"Madagascar","135677",2022,0.0961538461538462
"37",36,548,77,"Madagascar","135677",2022,0.140510948905109
"38",37,594,109,"Madagascar","135677",2022,0.183501683501683
"39",38,569,117,"Madagascar","135677",2022,0.205623901581722
"40",39,539,148,"Madagascar","135677",2022,0.274582560296846
"41",40,494,169,"Madagascar","135677",2022,0.342105263157895
"42",41,478,184,"Madagascar","135677",2022,0.384937238493724
"43",42,537,207,"Madagascar","135677",2022,0.385474860335196
"44",43,458,195,"Madagascar","135677",2022,0.425764192139738
"45",44,428,224,"Madagascar","135677",2022,0.523364485981308
"46",45,431,228,"Madagascar","135677",2022,0.529002320185615
"47",46,444,275,"Madagascar","135677",2022,0.619369369369369
"48",47,409,274,"Madagascar","135677",2022,0.669926650366748
"49",48,442,298,"Madagascar","135677",2022,0.67420814479638
"50",49,388,269,"Madagascar","135677",2022,0.693298969072165
"51",50,406,270,"Madagascar","135677",2022,0.665024630541872
"52",51,388,279,"Madagascar","135677",2022,0.719072164948454
"53",52,367,295,"Madagascar","135677",2022,0.803814713896458
"54",53,352,264,"Madagascar","135677",2022,0.75
"55",54,321,271,"Madagascar","135677",2022,0.844236760124611
"56",55,315,257,"Madagascar","135677",2022,0.815873015873016
"57",56,308,255,"Madagascar","135677",2022,0.827922077922078
"58",57,323,281,"Madagascar","135677",2022,0.869969040247678
"59",58,284,242,"Madagascar","135677",2022,0.852112676056338
"60",59,261,225,"Madagascar","135677",2022,0.862068965517241
"61",60,247,219,"Madagascar","135677",2022,0.88663967611336
"62",61,241,196,"Madagascar","135677",2022,0.813278008298755
"63",62,225,194,"Madagascar","135677",2022,0.862222222222222
"64",63,235,202,"Madagascar","135677",2022,0.859574468085106
"65",64,197,176,"Madagascar","135677",2022,0.893401015228426
"66",65,200,179,"Madagascar","135677",2022,0.895
"67",66,183,161,"Madagascar","135677",2022,0.879781420765027
"68",67,163,144,"Madagascar","135677",2022,0.883435582822086
"69",68,152,139,"Madagascar","135677",2022,0.914473684210526
"70",69,138,126,"Madagascar","135677",2022,0.91304347826087
"71",70,139,126,"Madagascar","135677",2022,0.906474820143885
"72",71,144,132,"Madagascar","135677",2022,0.916666666666667
"73",72,134,122,"Madagascar","135677",2022,0.91044776119403
"74",73,135,118,"Madagascar","135677",2022,0.874074074074074
"75",74,135,120,"Madagascar","135677",2022,0.888888888888889
"76",75,93,78,"Madagascar","135677",2022,0.838709677419355
"77",76,92,82,"Madagascar","135677",2022,0.891304347826087
"78",77,90,79,"Madagascar","135677",2022,0.877777777777778
"79",78,72,65,"Madagascar","135677",2022,0.902777777777778
"80",79,69,59,"Madagascar","135677",2022,0.855072463768116
"81",80,48,41,"Madagascar","135677",2022,0.854166666666667
"82",81,44,39,"Madagascar","135677",2022,0.886363636363636
"83",82,42,36,"Madagascar","135677",2022,0.857142857142857
"84",83,41,34,"Madagascar","135677",2022,0.829268292682927
"85",84,27,24,"Madagascar","135677",2022,0.888888888888889
"86",85,29,26,"Madagascar","135677",2022,0.896551724137931
"87",86,16,15,"Madagascar","135677",2022,0.9375
"88",87,14,14,"Madagascar","135677",2022,1
"89",88,7,7,"Madagascar","135677",2022,1
"90",89,11,9,"Madagascar","135677",2022,0.818181818181818
"91",90,5,5,"Madagascar","135677",2022,1
"92",92,5,4,"Madagascar","135677",2022,0.8
"93",93,4,3,"Madagascar","135677",2022,0.75
"94",96,1,0,"Madagascar","135677",2022,0
"95",98,2,2,"Madagascar","135677",2022,1
