"","age","pop","gp","year","country","seed","share"
"1",0,246,0,1960,"Malawi","135792",0
"2",1,224,0,1960,"Malawi","135792",0
"3",2,220,0,1960,"Malawi","135792",0
"4",3,178,0,1960,"Malawi","135792",0
"5",4,182,0,1960,"Malawi","135792",0
"6",5,163,0,1960,"Malawi","135792",0
"7",6,171,0,1960,"Malawi","135792",0
"8",7,176,0,1960,"Malawi","135792",0
"9",8,175,0,1960,"Malawi","135792",0
"10",9,141,0,1960,"Malawi","135792",0
"11",10,173,0,1960,"Malawi","135792",0
"12",11,149,0,1960,"Malawi","135792",0
"13",12,167,0,1960,"Malawi","135792",0
"14",13,149,0,1960,"Malawi","135792",0
"15",14,136,0,1960,"Malawi","135792",0
"16",15,140,0,1960,"Malawi","135792",0
"17",16,154,0,1960,"Malawi","135792",0
"18",17,132,0,1960,"Malawi","135792",0
"19",18,152,0,1960,"Malawi","135792",0
"20",19,125,0,1960,"Malawi","135792",0
"21",20,133,0,1960,"Malawi","135792",0
"22",21,128,0,1960,"Malawi","135792",0
"23",22,120,0,1960,"Malawi","135792",0
"24",23,117,0,1960,"Malawi","135792",0
"25",24,123,0,1960,"Malawi","135792",0
"26",25,114,0,1960,"Malawi","135792",0
"27",26,115,0,1960,"Malawi","135792",0
"28",27,122,0,1960,"Malawi","135792",0
"29",28,105,0,1960,"Malawi","135792",0
"30",29,114,0,1960,"Malawi","135792",0
"31",30,99,3,1960,"Malawi","135792",0.0303030303030303
"32",31,105,5,1960,"Malawi","135792",0.0476190476190476
"33",32,106,5,1960,"Malawi","135792",0.0471698113207547
"34",33,108,5,1960,"Malawi","135792",0.0462962962962963
"35",34,81,7,1960,"Malawi","135792",0.0864197530864197
"36",35,105,9,1960,"Malawi","135792",0.0857142857142857
"37",36,69,15,1960,"Malawi","135792",0.217391304347826
"38",37,88,11,1960,"Malawi","135792",0.125
"39",38,81,11,1960,"Malawi","135792",0.135802469135802
"40",39,95,31,1960,"Malawi","135792",0.326315789473684
"41",40,74,22,1960,"Malawi","135792",0.297297297297297
"42",41,79,30,1960,"Malawi","135792",0.379746835443038
"43",42,70,29,1960,"Malawi","135792",0.414285714285714
"44",43,84,35,1960,"Malawi","135792",0.416666666666667
"45",44,69,32,1960,"Malawi","135792",0.463768115942029
"46",45,66,35,1960,"Malawi","135792",0.53030303030303
"47",46,64,27,1960,"Malawi","135792",0.421875
"48",47,60,37,1960,"Malawi","135792",0.616666666666667
"49",48,70,49,1960,"Malawi","135792",0.7
"50",49,73,49,1960,"Malawi","135792",0.671232876712329
"51",50,66,46,1960,"Malawi","135792",0.696969696969697
"52",51,56,43,1960,"Malawi","135792",0.767857142857143
"53",52,48,37,1960,"Malawi","135792",0.770833333333333
"54",53,48,35,1960,"Malawi","135792",0.729166666666667
"55",54,47,40,1960,"Malawi","135792",0.851063829787234
"56",55,53,37,1960,"Malawi","135792",0.69811320754717
"57",56,40,33,1960,"Malawi","135792",0.825
"58",57,46,38,1960,"Malawi","135792",0.826086956521739
"59",58,40,32,1960,"Malawi","135792",0.8
"60",59,34,24,1960,"Malawi","135792",0.705882352941177
"61",60,34,25,1960,"Malawi","135792",0.735294117647059
"62",61,47,38,1960,"Malawi","135792",0.808510638297872
"63",62,35,33,1960,"Malawi","135792",0.942857142857143
"64",63,36,31,1960,"Malawi","135792",0.861111111111111
"65",64,26,24,1960,"Malawi","135792",0.923076923076923
"66",65,27,24,1960,"Malawi","135792",0.888888888888889
"67",66,32,30,1960,"Malawi","135792",0.9375
"68",67,26,24,1960,"Malawi","135792",0.923076923076923
"69",68,30,25,1960,"Malawi","135792",0.833333333333333
"70",69,25,23,1960,"Malawi","135792",0.92
"71",70,16,13,1960,"Malawi","135792",0.8125
"72",71,18,16,1960,"Malawi","135792",0.888888888888889
"73",72,29,27,1960,"Malawi","135792",0.931034482758621
"74",73,18,17,1960,"Malawi","135792",0.944444444444444
"75",74,14,11,1960,"Malawi","135792",0.785714285714286
"76",75,12,11,1960,"Malawi","135792",0.916666666666667
"77",76,11,10,1960,"Malawi","135792",0.909090909090909
"78",77,15,14,1960,"Malawi","135792",0.933333333333333
"79",78,6,6,1960,"Malawi","135792",1
"80",79,15,15,1960,"Malawi","135792",1
"81",80,6,6,1960,"Malawi","135792",1
"82",81,4,4,1960,"Malawi","135792",1
"83",82,8,7,1960,"Malawi","135792",0.875
"84",83,8,5,1960,"Malawi","135792",0.625
"85",84,5,4,1960,"Malawi","135792",0.8
"86",85,3,3,1960,"Malawi","135792",1
"87",86,2,0,1960,"Malawi","135792",0
"88",87,1,0,1960,"Malawi","135792",0
"89",88,2,2,1960,"Malawi","135792",1
"90",89,2,2,1960,"Malawi","135792",1
"91",90,1,1,1960,"Malawi","135792",1
"92",92,1,1,1960,"Malawi","135792",1
"93",0,277,0,1965,"Malawi","135792",0
"94",1,253,0,1965,"Malawi","135792",0
"95",2,206,0,1965,"Malawi","135792",0
"96",3,217,0,1965,"Malawi","135792",0
"97",4,194,0,1965,"Malawi","135792",0
"98",5,186,0,1965,"Malawi","135792",0
"99",6,185,0,1965,"Malawi","135792",0
"100",7,183,0,1965,"Malawi","135792",0
"101",8,154,0,1965,"Malawi","135792",0
"102",9,170,0,1965,"Malawi","135792",0
"103",10,156,0,1965,"Malawi","135792",0
"104",11,165,0,1965,"Malawi","135792",0
"105",12,164,0,1965,"Malawi","135792",0
"106",13,168,0,1965,"Malawi","135792",0
"107",14,132,0,1965,"Malawi","135792",0
"108",15,168,0,1965,"Malawi","135792",0
"109",16,140,0,1965,"Malawi","135792",0
"110",17,162,0,1965,"Malawi","135792",0
"111",18,146,0,1965,"Malawi","135792",0
"112",19,129,0,1965,"Malawi","135792",0
"113",20,136,0,1965,"Malawi","135792",0
"114",21,150,0,1965,"Malawi","135792",0
"115",22,127,0,1965,"Malawi","135792",0
"116",23,149,0,1965,"Malawi","135792",0
"117",24,121,0,1965,"Malawi","135792",0
"118",25,128,0,1965,"Malawi","135792",0
"119",26,124,0,1965,"Malawi","135792",0
"120",27,111,0,1965,"Malawi","135792",0
"121",28,113,2,1965,"Malawi","135792",0.0176991150442478
"122",29,117,0,1965,"Malawi","135792",0
"123",30,108,1,1965,"Malawi","135792",0.00925925925925926
"124",31,108,1,1965,"Malawi","135792",0.00925925925925926
"125",32,115,4,1965,"Malawi","135792",0.0347826086956522
"126",33,100,3,1965,"Malawi","135792",0.03
"127",34,110,5,1965,"Malawi","135792",0.0454545454545455
"128",35,92,10,1965,"Malawi","135792",0.108695652173913
"129",36,101,16,1965,"Malawi","135792",0.158415841584158
"130",37,104,19,1965,"Malawi","135792",0.182692307692308
"131",38,106,14,1965,"Malawi","135792",0.132075471698113
"132",39,76,18,1965,"Malawi","135792",0.236842105263158
"133",40,103,34,1965,"Malawi","135792",0.330097087378641
"134",41,65,25,1965,"Malawi","135792",0.384615384615385
"135",42,84,30,1965,"Malawi","135792",0.357142857142857
"136",43,75,33,1965,"Malawi","135792",0.44
"137",44,90,48,1965,"Malawi","135792",0.533333333333333
"138",45,72,29,1965,"Malawi","135792",0.402777777777778
"139",46,75,38,1965,"Malawi","135792",0.506666666666667
"140",47,69,40,1965,"Malawi","135792",0.579710144927536
"141",48,80,49,1965,"Malawi","135792",0.6125
"142",49,64,39,1965,"Malawi","135792",0.609375
"143",50,63,46,1965,"Malawi","135792",0.73015873015873
"144",51,61,38,1965,"Malawi","135792",0.622950819672131
"145",52,56,41,1965,"Malawi","135792",0.732142857142857
"146",53,67,55,1965,"Malawi","135792",0.82089552238806
"147",54,70,58,1965,"Malawi","135792",0.828571428571429
"148",55,60,50,1965,"Malawi","135792",0.833333333333333
"149",56,51,45,1965,"Malawi","135792",0.88235294117647
"150",57,46,41,1965,"Malawi","135792",0.891304347826087
"151",58,42,36,1965,"Malawi","135792",0.857142857142857
"152",59,43,39,1965,"Malawi","135792",0.906976744186046
"153",60,47,37,1965,"Malawi","135792",0.787234042553192
"154",61,37,32,1965,"Malawi","135792",0.864864864864865
"155",62,40,36,1965,"Malawi","135792",0.9
"156",63,37,32,1965,"Malawi","135792",0.864864864864865
"157",64,27,21,1965,"Malawi","135792",0.777777777777778
"158",65,32,26,1965,"Malawi","135792",0.8125
"159",66,43,35,1965,"Malawi","135792",0.813953488372093
"160",67,29,28,1965,"Malawi","135792",0.96551724137931
"161",68,33,28,1965,"Malawi","135792",0.848484848484849
"162",69,24,22,1965,"Malawi","135792",0.916666666666667
