"","age","pop","gp","year","country","seed","share"
"1",0,2607,0,1990,"Malaysia","304715",0
"2",1,2467,0,1990,"Malaysia","304715",0
"3",2,2467,0,1990,"Malaysia","304715",0
"4",3,2368,0,1990,"Malaysia","304715",0
"5",4,2274,0,1990,"Malaysia","304715",0
"6",5,2433,0,1990,"Malaysia","304715",0
"7",6,2377,0,1990,"Malaysia","304715",0
"8",7,2364,0,1990,"Malaysia","304715",0
"9",8,2264,0,1990,"Malaysia","304715",0
"10",9,2195,0,1990,"Malaysia","304715",0
"11",10,2259,0,1990,"Malaysia","304715",0
"12",11,2190,0,1990,"Malaysia","304715",0
"13",12,2133,0,1990,"Malaysia","304715",0
"14",13,2050,0,1990,"Malaysia","304715",0
"15",14,1977,0,1990,"Malaysia","304715",0
"16",15,2055,0,1990,"Malaysia","304715",0
"17",16,2105,0,1990,"Malaysia","304715",0
"18",17,1995,0,1990,"Malaysia","304715",0
"19",18,1912,0,1990,"Malaysia","304715",0
"20",19,1844,0,1990,"Malaysia","304715",0
"21",20,2041,0,1990,"Malaysia","304715",0
"22",21,2028,0,1990,"Malaysia","304715",0
"23",22,1931,0,1990,"Malaysia","304715",0
"24",23,1911,0,1990,"Malaysia","304715",0
"25",24,1864,0,1990,"Malaysia","304715",0
"26",25,2058,0,1990,"Malaysia","304715",0
"27",26,1984,0,1990,"Malaysia","304715",0
"28",27,1825,0,1990,"Malaysia","304715",0
"29",28,1828,1,1990,"Malaysia","304715",0.000547045951859956
"30",29,1797,0,1990,"Malaysia","304715",0
"31",30,1681,1,1990,"Malaysia","304715",0.000594883997620464
"32",31,1597,5,1990,"Malaysia","304715",0.00313087038196619
"33",32,1518,7,1990,"Malaysia","304715",0.00461133069828722
"34",33,1528,12,1990,"Malaysia","304715",0.00785340314136126
"35",34,1403,24,1990,"Malaysia","304715",0.0171062009978617
"36",35,1343,24,1990,"Malaysia","304715",0.0178704393149665
"37",36,1276,36,1990,"Malaysia","304715",0.0282131661442006
"38",37,1220,81,1990,"Malaysia","304715",0.0663934426229508
"39",38,1157,101,1990,"Malaysia","304715",0.0872947277441659
"40",39,1158,117,1990,"Malaysia","304715",0.101036269430052
"41",40,1366,196,1990,"Malaysia","304715",0.143484626647145
"42",41,1296,261,1990,"Malaysia","304715",0.201388888888889
"43",42,1254,293,1990,"Malaysia","304715",0.233652312599681
"44",43,1173,336,1990,"Malaysia","304715",0.286445012787724
"45",44,1165,422,1990,"Malaysia","304715",0.362231759656652
"46",45,1080,454,1990,"Malaysia","304715",0.42037037037037
"47",46,1055,505,1990,"Malaysia","304715",0.478672985781991
"48",47,1014,537,1990,"Malaysia","304715",0.529585798816568
"49",48,1034,592,1990,"Malaysia","304715",0.572533849129594
"50",49,938,570,1990,"Malaysia","304715",0.607675906183369
"51",50,881,583,1990,"Malaysia","304715",0.661748013620885
"52",51,842,587,1990,"Malaysia","304715",0.697149643705463
"53",52,829,622,1990,"Malaysia","304715",0.750301568154403
"54",53,786,621,1990,"Malaysia","304715",0.790076335877863
"55",54,789,596,1990,"Malaysia","304715",0.755386565272497
"56",55,749,598,1990,"Malaysia","304715",0.798397863818425
"57",56,714,606,1990,"Malaysia","304715",0.848739495798319
"58",57,659,561,1990,"Malaysia","304715",0.851289833080425
"59",58,648,562,1990,"Malaysia","304715",0.867283950617284
"60",59,623,530,1990,"Malaysia","304715",0.850722311396469
"61",60,594,519,1990,"Malaysia","304715",0.873737373737374
"62",61,581,513,1990,"Malaysia","304715",0.882960413080895
"63",62,507,450,1990,"Malaysia","304715",0.887573964497041
"64",63,464,410,1990,"Malaysia","304715",0.883620689655172
"65",64,476,425,1990,"Malaysia","304715",0.892857142857143
"66",65,460,409,1990,"Malaysia","304715",0.889130434782609
"67",66,423,383,1990,"Malaysia","304715",0.905437352245863
"68",67,396,351,1990,"Malaysia","304715",0.886363636363636
"69",68,411,382,1990,"Malaysia","304715",0.929440389294404
"70",69,333,304,1990,"Malaysia","304715",0.912912912912913
"71",70,337,312,1990,"Malaysia","304715",0.925816023738872
"72",71,299,278,1990,"Malaysia","304715",0.929765886287625
"73",72,282,266,1990,"Malaysia","304715",0.943262411347518
"74",73,225,219,1990,"Malaysia","304715",0.973333333333333
"75",74,217,201,1990,"Malaysia","304715",0.926267281105991
"76",75,189,173,1990,"Malaysia","304715",0.915343915343915
"77",76,173,161,1990,"Malaysia","304715",0.930635838150289
"78",77,137,132,1990,"Malaysia","304715",0.963503649635037
"79",78,120,113,1990,"Malaysia","304715",0.941666666666667
"80",79,106,97,1990,"Malaysia","304715",0.915094339622642
"81",80,90,79,1990,"Malaysia","304715",0.877777777777778
"82",81,86,75,1990,"Malaysia","304715",0.872093023255814
"83",82,65,57,1990,"Malaysia","304715",0.876923076923077
"84",83,48,42,1990,"Malaysia","304715",0.875
