"","age","pop","gp","year","country","seed","share"
"1",0,2076,0,1960,"Maldives","262185",0
"2",1,1722,0,1960,"Maldives","262185",0
"3",2,1624,0,1960,"Maldives","262185",0
"4",3,1532,0,1960,"Maldives","262185",0
"5",4,1466,0,1960,"Maldives","262185",0
"6",5,1161,0,1960,"Maldives","262185",0
"7",6,1204,0,1960,"Maldives","262185",0
"8",7,1066,0,1960,"Maldives","262185",0
"9",8,1160,0,1960,"Maldives","262185",0
"10",9,1110,0,1960,"Maldives","262185",0
"11",10,1357,0,1960,"Maldives","262185",0
"12",11,1262,0,1960,"Maldives","262185",0
"13",12,1274,0,1960,"Maldives","262185",0
"14",13,1244,0,1960,"Maldives","262185",0
"15",14,1177,0,1960,"Maldives","262185",0
"16",15,1185,0,1960,"Maldives","262185",0
"17",16,1176,0,1960,"Maldives","262185",0
"18",17,1190,0,1960,"Maldives","262185",0
"19",18,1136,0,1960,"Maldives","262185",0
"20",19,1124,0,1960,"Maldives","262185",0
"21",20,1047,0,1960,"Maldives","262185",0
"22",21,1066,0,1960,"Maldives","262185",0
"23",22,1004,0,1960,"Maldives","262185",0
"24",23,953,0,1960,"Maldives","262185",0
"25",24,978,0,1960,"Maldives","262185",0
"26",25,982,3,1960,"Maldives","262185",0.00305498981670061
"27",26,911,3,1960,"Maldives","262185",0.00329308452250274
"28",27,868,2,1960,"Maldives","262185",0.00230414746543779
"29",28,908,2,1960,"Maldives","262185",0.00220264317180617
"30",29,857,8,1960,"Maldives","262185",0.00933488914819136
"31",30,858,10,1960,"Maldives","262185",0.0116550116550117
"32",31,881,22,1960,"Maldives","262185",0.0249716231555051
"33",32,817,29,1960,"Maldives","262185",0.0354957160342717
"34",33,798,36,1960,"Maldives","262185",0.0451127819548872
"35",34,788,70,1960,"Maldives","262185",0.0888324873096447
"36",35,736,88,1960,"Maldives","262185",0.119565217391304
"37",36,771,126,1960,"Maldives","262185",0.163424124513619
"38",37,718,129,1960,"Maldives","262185",0.17966573816156
"39",38,736,173,1960,"Maldives","262185",0.235054347826087
"40",39,700,200,1960,"Maldives","262185",0.285714285714286
"41",40,669,223,1960,"Maldives","262185",0.333333333333333
"42",41,703,264,1960,"Maldives","262185",0.375533428165007
"43",42,671,304,1960,"Maldives","262185",0.453055141579732
"44",43,619,317,1960,"Maldives","262185",0.512116316639742
"45",44,589,303,1960,"Maldives","262185",0.514431239388795
"46",45,567,311,1960,"Maldives","262185",0.548500881834215
