"","age","pop","gp","year","country","seed","share"
"1",0,1023,0,1990,"Mali","183199",0
"2",1,889,0,1990,"Mali","183199",0
"3",2,821,0,1990,"Mali","183199",0
"4",3,771,0,1990,"Mali","183199",0
"5",4,726,0,1990,"Mali","183199",0
"6",5,723,0,1990,"Mali","183199",0
"7",6,695,0,1990,"Mali","183199",0
"8",7,653,0,1990,"Mali","183199",0
"9",8,625,0,1990,"Mali","183199",0
"10",9,581,0,1990,"Mali","183199",0
"11",10,604,0,1990,"Mali","183199",0
"12",11,578,0,1990,"Mali","183199",0
"13",12,585,0,1990,"Mali","183199",0
"14",13,568,0,1990,"Mali","183199",0
"15",14,569,0,1990,"Mali","183199",0
"16",15,556,0,1990,"Mali","183199",0
"17",16,564,0,1990,"Mali","183199",0
"18",17,527,0,1990,"Mali","183199",0
"19",18,532,0,1990,"Mali","183199",0
"20",19,469,0,1990,"Mali","183199",0
"21",20,500,0,1990,"Mali","183199",0
"22",21,449,0,1990,"Mali","183199",0
"23",22,451,0,1990,"Mali","183199",0
"24",23,433,0,1990,"Mali","183199",0
"25",24,426,0,1990,"Mali","183199",0
"26",25,371,1,1990,"Mali","183199",0.00269541778975741
"27",26,409,1,1990,"Mali","183199",0.00244498777506112
"28",27,379,0,1990,"Mali","183199",0
"29",28,388,2,1990,"Mali","183199",0.00515463917525773
"30",29,375,8,1990,"Mali","183199",0.0213333333333333
"31",30,349,3,1990,"Mali","183199",0.00859598853868195
"32",31,325,14,1990,"Mali","183199",0.0430769230769231
"33",32,342,11,1990,"Mali","183199",0.0321637426900585
"34",33,299,24,1990,"Mali","183199",0.0802675585284281
"35",34,326,22,1990,"Mali","183199",0.0674846625766871
"36",35,320,42,1990,"Mali","183199",0.13125
"37",36,282,44,1990,"Mali","183199",0.156028368794326
"38",37,265,40,1990,"Mali","183199",0.150943396226415
"39",38,308,73,1990,"Mali","183199",0.237012987012987
"40",39,300,90,1990,"Mali","183199",0.3
"41",40,314,102,1990,"Mali","183199",0.32484076433121
"42",41,290,96,1990,"Mali","183199",0.331034482758621
"43",42,310,138,1990,"Mali","183199",0.445161290322581
"44",43,275,134,1990,"Mali","183199",0.487272727272727
"45",44,279,144,1990,"Mali","183199",0.516129032258065
"46",45,266,137,1990,"Mali","183199",0.515037593984962
"47",46,286,176,1990,"Mali","183199",0.615384615384615
"48",47,252,147,1990,"Mali","183199",0.583333333333333
"49",48,244,145,1990,"Mali","183199",0.594262295081967
"50",49,279,179,1990,"Mali","183199",0.6415770609319
"51",50,238,149,1990,"Mali","183199",0.626050420168067
"52",51,235,169,1990,"Mali","183199",0.719148936170213
"53",52,219,156,1990,"Mali","183199",0.712328767123288
"54",53,228,166,1990,"Mali","183199",0.728070175438597
"55",54,191,137,1990,"Mali","183199",0.717277486910995
"56",55,212,155,1990,"Mali","183199",0.731132075471698
"57",56,195,141,1990,"Mali","183199",0.723076923076923
"58",57,183,149,1990,"Mali","183199",0.814207650273224
"59",58,187,153,1990,"Mali","183199",0.818181818181818
"60",59,175,133,1990,"Mali","183199",0.76
"61",60,158,134,1990,"Mali","183199",0.848101265822785
"62",61,129,108,1990,"Mali","183199",0.837209302325581
"63",62,152,123,1990,"Mali","183199",0.809210526315789
"64",63,162,130,1990,"Mali","183199",0.802469135802469
"65",64,118,94,1990,"Mali","183199",0.796610169491525
"66",65,118,92,1990,"Mali","183199",0.779661016949153
"67",66,102,80,1990,"Mali","183199",0.784313725490196
"68",67,97,83,1990,"Mali","183199",0.855670103092783
"69",68,86,76,1990,"Mali","183199",0.883720930232558
"70",69,107,97,1990,"Mali","183199",0.906542056074766
"71",70,72,59,1990,"Mali","183199",0.819444444444444
"72",71,73,58,1990,"Mali","183199",0.794520547945205
"73",72,68,58,1990,"Mali","183199",0.852941176470588
"74",73,44,43,1990,"Mali","183199",0.977272727272727
"75",74,48,34,1990,"Mali","183199",0.708333333333333
"76",75,53,46,1990,"Mali","183199",0.867924528301887
"77",76,39,35,1990,"Mali","183199",0.897435897435897
"78",77,33,32,1990,"Mali","183199",0.96969696969697
"79",78,27,21,1990,"Mali","183199",0.777777777777778
"80",79,25,22,1990,"Mali","183199",0.88
"81",80,17,16,1990,"Mali","183199",0.941176470588235
"82",81,15,13,1990,"Mali","183199",0.866666666666667
"83",82,12,10,1990,"Mali","183199",0.833333333333333
"84",83,5,4,1990,"Mali","183199",0.8
"85",84,3,3,1990,"Mali","183199",1
"86",85,5,4,1990,"Mali","183199",0.8
"87",86,4,4,1990,"Mali","183199",1
"88",87,1,1,1990,"Mali","183199",1
"89",89,1,1,1990,"Mali","183199",1
"90",0,1091,0,1995,"Mali","183199",0
"91",1,1014,0,1995,"Mali","183199",0
"92",2,928,0,1995,"Mali","183199",0
"93",3,880,0,1995,"Mali","183199",0
"94",4,839,0,1995,"Mali","183199",0
"95",5,812,0,1995,"Mali","183199",0
"96",6,771,0,1995,"Mali","183199",0
"97",7,750,0,1995,"Mali","183199",0
"98",8,727,0,1995,"Mali","183199",0
"99",9,703,0,1995,"Mali","183199",0
"100",10,709,0,1995,"Mali","183199",0
"101",11,676,0,1995,"Mali","183199",0
"102",12,639,0,1995,"Mali","183199",0
"103",13,614,0,1995,"Mali","183199",0
"104",14,573,0,1995,"Mali","183199",0
"105",15,592,0,1995,"Mali","183199",0
"106",16,569,0,1995,"Mali","183199",0
"107",17,572,0,1995,"Mali","183199",0
"108",18,559,0,1995,"Mali","183199",0
"109",19,557,0,1995,"Mali","183199",0
