"","age","pop","gp","year","country","seed","share"
"1",0,1866,0,1960,"Martinique","218989",0
"2",1,1635,0,1960,"Martinique","218989",0
"3",2,1605,0,1960,"Martinique","218989",0
"4",3,1585,0,1960,"Martinique","218989",0
"5",4,1507,0,1960,"Martinique","218989",0
"6",5,1424,0,1960,"Martinique","218989",0
"7",6,1398,0,1960,"Martinique","218989",0
"8",7,1347,0,1960,"Martinique","218989",0
"9",8,1302,0,1960,"Martinique","218989",0
"10",9,1261,0,1960,"Martinique","218989",0
"11",10,1400,0,1960,"Martinique","218989",0
"12",11,1448,0,1960,"Martinique","218989",0
"13",12,1391,0,1960,"Martinique","218989",0
"14",13,1343,0,1960,"Martinique","218989",0
"15",14,1271,0,1960,"Martinique","218989",0
"16",15,1265,0,1960,"Martinique","218989",0
"17",16,1204,0,1960,"Martinique","218989",0
"18",17,1191,0,1960,"Martinique","218989",0
"19",18,1102,0,1960,"Martinique","218989",0
"20",19,1073,0,1960,"Martinique","218989",0
"21",20,1064,0,1960,"Martinique","218989",0
"22",21,1059,0,1960,"Martinique","218989",0
"23",22,982,0,1960,"Martinique","218989",0
"24",23,1001,0,1960,"Martinique","218989",0
"25",24,961,0,1960,"Martinique","218989",0
"26",25,931,0,1960,"Martinique","218989",0
"27",26,865,1,1960,"Martinique","218989",0.00115606936416185
"28",27,893,1,1960,"Martinique","218989",0.00111982082866741
"29",28,846,0,1960,"Martinique","218989",0
"30",29,772,0,1960,"Martinique","218989",0
"31",30,801,4,1960,"Martinique","218989",0.00499375780274657
"32",31,777,5,1960,"Martinique","218989",0.00643500643500643
"33",32,726,14,1960,"Martinique","218989",0.0192837465564738
"34",33,678,13,1960,"Martinique","218989",0.0191740412979351
"35",34,659,21,1960,"Martinique","218989",0.031866464339909
"36",35,645,21,1960,"Martinique","218989",0.0325581395348837
"37",36,682,44,1960,"Martinique","218989",0.0645161290322581
"38",37,623,59,1960,"Martinique","218989",0.0947030497592295
"39",38,616,80,1960,"Martinique","218989",0.12987012987013
"40",39,595,99,1960,"Martinique","218989",0.166386554621849
"41",40,567,122,1960,"Martinique","218989",0.215167548500882
"42",41,555,134,1960,"Martinique","218989",0.241441441441441
"43",42,502,182,1960,"Martinique","218989",0.362549800796813
"44",43,506,181,1960,"Martinique","218989",0.357707509881423
"45",44,496,222,1960,"Martinique","218989",0.44758064516129
"46",45,440,207,1960,"Martinique","218989",0.470454545454545
"47",46,460,251,1960,"Martinique","218989",0.545652173913043
"48",47,404,234,1960,"Martinique","218989",0.579207920792079
"49",48,404,247,1960,"Martinique","218989",0.611386138613861
"50",49,424,283,1960,"Martinique","218989",0.667452830188679
"51",50,362,254,1960,"Martinique","218989",0.701657458563536
"52",51,376,274,1960,"Martinique","218989",0.728723404255319
"53",52,344,272,1960,"Martinique","218989",0.790697674418605
"54",53,312,252,1960,"Martinique","218989",0.807692307692308
"55",54,324,264,1960,"Martinique","218989",0.814814814814815
"56",55,280,221,1960,"Martinique","218989",0.789285714285714
"57",56,266,215,1960,"Martinique","218989",0.808270676691729
"58",57,275,235,1960,"Martinique","218989",0.854545454545454
"59",58,249,213,1960,"Martinique","218989",0.855421686746988
"60",59,242,218,1960,"Martinique","218989",0.900826446280992
"61",60,226,196,1960,"Martinique","218989",0.867256637168142
"62",61,192,170,1960,"Martinique","218989",0.885416666666667
"63",62,209,188,1960,"Martinique","218989",0.899521531100478
"64",63,185,164,1960,"Martinique","218989",0.886486486486487
"65",64,181,154,1960,"Martinique","218989",0.850828729281768
"66",65,170,155,1960,"Martinique","218989",0.911764705882353
"67",66,158,140,1960,"Martinique","218989",0.886075949367089
"68",67,135,124,1960,"Martinique","218989",0.918518518518519
"69",68,99,91,1960,"Martinique","218989",0.919191919191919
"70",69,90,81,1960,"Martinique","218989",0.9
"71",70,101,84,1960,"Martinique","218989",0.831683168316832
"72",71,91,84,1960,"Martinique","218989",0.923076923076923
"73",72,73,63,1960,"Martinique","218989",0.863013698630137
"74",73,74,68,1960,"Martinique","218989",0.918918918918919
"75",74,59,54,1960,"Martinique","218989",0.915254237288136
"76",75,57,52,1960,"Martinique","218989",0.912280701754386
"77",76,43,42,1960,"Martinique","218989",0.976744186046512
"78",77,41,37,1960,"Martinique","218989",0.902439024390244
"79",78,43,39,1960,"Martinique","218989",0.906976744186046
"80",79,31,28,1960,"Martinique","218989",0.903225806451613
"81",80,21,19,1960,"Martinique","218989",0.904761904761905
"82",81,15,13,1960,"Martinique","218989",0.866666666666667
"83",82,21,20,1960,"Martinique","218989",0.952380952380952
"84",83,15,12,1960,"Martinique","218989",0.8
"85",84,12,9,1960,"Martinique","218989",0.75
"86",85,9,9,1960,"Martinique","218989",1
"87",86,8,8,1960,"Martinique","218989",1
"88",87,2,2,1960,"Martinique","218989",1
"89",88,4,4,1960,"Martinique","218989",1
"90",89,6,6,1960,"Martinique","218989",1
"91",90,1,1,1960,"Martinique","218989",1
"92",92,1,0,1960,"Martinique","218989",0
"93",95,1,1,1960,"Martinique","218989",1
"94",0,2022,0,1965,"Martinique","218989",0
"95",1,1871,0,1965,"Martinique","218989",0
"96",2,1860,0,1965,"Martinique","218989",0
"97",3,1810,0,1965,"Martinique","218989",0
"98",4,1688,0,1965,"Martinique","218989",0
"99",5,1778,0,1965,"Martinique","218989",0
"100",6,1611,0,1965,"Martinique","218989",0
"101",7,1576,0,1965,"Martinique","218989",0
"102",8,1569,0,1965,"Martinique","218989",0
"103",9,1500,0,1965,"Martinique","218989",0
"104",10,1412,0,1965,"Martinique","218989",0
"105",11,1391,0,1965,"Martinique","218989",0
"106",12,1334,0,1965,"Martinique","218989",0
"107",13,1295,0,1965,"Martinique","218989",0
"108",14,1261,0,1965,"Martinique","218989",0
"109",15,1394,0,1965,"Martinique","218989",0
"110",16,1443,0,1965,"Martinique","218989",0
"111",17,1386,0,1965,"Martinique","218989",0
"112",18,1336,0,1965,"Martinique","218989",0
"113",19,1263,0,1965,"Martinique","218989",0
"114",20,1255,0,1965,"Martinique","218989",0
"115",21,1198,0,1965,"Martinique","218989",0
"116",22,1182,0,1965,"Martinique","218989",0
"117",23,1090,0,1965,"Martinique","218989",0
"118",24,1064,0,1965,"Martinique","218989",0
"119",25,1055,0,1965,"Martinique","218989",0
"120",26,1048,0,1965,"Martinique","218989",0
"121",27,967,0,1965,"Martinique","218989",0
"122",28,995,1,1965,"Martinique","218989",0.00100502512562814
"123",29,951,0,1965,"Martinique","218989",0
"124",30,923,3,1965,"Martinique","218989",0.00325027085590466
"125",31,858,9,1965,"Martinique","218989",0.0104895104895105
"126",32,881,11,1965,"Martinique","218989",0.0124858115777526
