"","age","pop","gp","year","country","seed","share"
"1",0,845,0,1990,"Mauritania","21500",0
"2",1,788,0,1990,"Mauritania","21500",0
"3",2,732,0,1990,"Mauritania","21500",0
"4",3,704,0,1990,"Mauritania","21500",0
"5",4,651,0,1990,"Mauritania","21500",0
"6",5,692,0,1990,"Mauritania","21500",0
"7",6,636,0,1990,"Mauritania","21500",0
"8",7,608,0,1990,"Mauritania","21500",0
"9",8,639,0,1990,"Mauritania","21500",0
"10",9,609,0,1990,"Mauritania","21500",0
"11",10,583,0,1990,"Mauritania","21500",0
"12",11,548,0,1990,"Mauritania","21500",0
"13",12,538,0,1990,"Mauritania","21500",0
"14",13,525,0,1990,"Mauritania","21500",0
"15",14,475,0,1990,"Mauritania","21500",0
"16",15,547,0,1990,"Mauritania","21500",0
"17",16,488,0,1990,"Mauritania","21500",0
"18",17,473,0,1990,"Mauritania","21500",0
"19",18,437,0,1990,"Mauritania","21500",0
"20",19,424,0,1990,"Mauritania","21500",0
"21",20,385,0,1990,"Mauritania","21500",0
"22",21,406,0,1990,"Mauritania","21500",0
"23",22,380,0,1990,"Mauritania","21500",0
"24",23,385,0,1990,"Mauritania","21500",0
"25",24,372,0,1990,"Mauritania","21500",0
"26",25,334,0,1990,"Mauritania","21500",0
"27",26,348,0,1990,"Mauritania","21500",0
"28",27,342,0,1990,"Mauritania","21500",0
"29",28,313,2,1990,"Mauritania","21500",0.00638977635782748
"30",29,341,1,1990,"Mauritania","21500",0.00293255131964809
"31",30,295,5,1990,"Mauritania","21500",0.0169491525423729
"32",31,293,3,1990,"Mauritania","21500",0.0102389078498294
"33",32,273,7,1990,"Mauritania","21500",0.0256410256410256
"34",33,252,11,1990,"Mauritania","21500",0.0436507936507936
"35",34,278,22,1990,"Mauritania","21500",0.079136690647482
"36",35,209,14,1990,"Mauritania","21500",0.0669856459330144
"37",36,236,34,1990,"Mauritania","21500",0.144067796610169
"38",37,233,43,1990,"Mauritania","21500",0.184549356223176
"39",38,218,49,1990,"Mauritania","21500",0.224770642201835
"40",39,227,52,1990,"Mauritania","21500",0.229074889867841
"41",40,234,74,1990,"Mauritania","21500",0.316239316239316
"42",41,202,79,1990,"Mauritania","21500",0.391089108910891
"43",42,200,97,1990,"Mauritania","21500",0.485
"44",43,163,79,1990,"Mauritania","21500",0.484662576687117
"45",44,176,97,1990,"Mauritania","21500",0.551136363636364
"46",45,188,109,1990,"Mauritania","21500",0.579787234042553
"47",46,179,116,1990,"Mauritania","21500",0.64804469273743
"48",47,159,113,1990,"Mauritania","21500",0.710691823899371
"49",48,167,117,1990,"Mauritania","21500",0.70059880239521
"50",49,144,113,1990,"Mauritania","21500",0.784722222222222
"51",50,162,129,1990,"Mauritania","21500",0.796296296296296
"52",51,136,109,1990,"Mauritania","21500",0.801470588235294
"53",52,120,96,1990,"Mauritania","21500",0.8
"54",53,116,99,1990,"Mauritania","21500",0.853448275862069
"55",54,120,107,1990,"Mauritania","21500",0.891666666666667
"56",55,114,94,1990,"Mauritania","21500",0.824561403508772
"57",56,112,93,1990,"Mauritania","21500",0.830357142857143
"58",57,96,89,1990,"Mauritania","21500",0.927083333333333
"59",58,105,94,1990,"Mauritania","21500",0.895238095238095
