"","age","pop","gp","year","country","seed","share"
"1",0,3823,0,1990,"Mauritius","108286",0
"2",1,3760,0,1990,"Mauritius","108286",0
"3",2,3682,0,1990,"Mauritius","108286",0
"4",3,3609,0,1990,"Mauritius","108286",0
"5",4,3519,0,1990,"Mauritius","108286",0
"6",5,3600,0,1990,"Mauritius","108286",0
"7",6,3481,0,1990,"Mauritius","108286",0
"8",7,3379,0,1990,"Mauritius","108286",0
"9",8,3344,0,1990,"Mauritius","108286",0
"10",9,3287,0,1990,"Mauritius","108286",0
"11",10,4093,0,1990,"Mauritius","108286",0
"12",11,3968,0,1990,"Mauritius","108286",0
"13",12,3813,0,1990,"Mauritius","108286",0
"14",13,3744,0,1990,"Mauritius","108286",0
"15",14,3620,0,1990,"Mauritius","108286",0
"16",15,3852,0,1990,"Mauritius","108286",0
"17",16,3698,0,1990,"Mauritius","108286",0
"18",17,3509,0,1990,"Mauritius","108286",0
"19",18,3543,0,1990,"Mauritius","108286",0
"20",19,3275,0,1990,"Mauritius","108286",0
"21",20,4227,0,1990,"Mauritius","108286",0
"22",21,4115,0,1990,"Mauritius","108286",0
"23",22,4008,0,1990,"Mauritius","108286",0
"24",23,3910,0,1990,"Mauritius","108286",0
"25",24,3841,1,1990,"Mauritius","108286",0.000260348867482426
"26",25,4548,0,1990,"Mauritius","108286",0
"27",26,4461,0,1990,"Mauritius","108286",0
"28",27,4338,1,1990,"Mauritius","108286",0.000230520977408944
"29",28,4279,4,1990,"Mauritius","108286",0.000934797849964945
"30",29,4097,4,1990,"Mauritius","108286",0.000976324139614352
"31",30,3859,11,1990,"Mauritius","108286",0.00285047939880798
"32",31,3695,15,1990,"Mauritius","108286",0.0040595399188092
"33",32,3509,34,1990,"Mauritius","108286",0.00968937019093759
"34",33,3493,38,1990,"Mauritius","108286",0.0108789006584598
"35",34,3287,77,1990,"Mauritius","108286",0.0234256160632796
"36",35,3155,101,1990,"Mauritius","108286",0.0320126782884311
"37",36,3131,165,1990,"Mauritius","108286",0.0526988182689237
"38",37,2939,216,1990,"Mauritius","108286",0.0734943858455257
