"","age","pop","gp","year","country","seed","share"
"1",0,1630,0,1960,"Mexico","107578",0
"2",1,1539,0,1960,"Mexico","107578",0
"3",2,1413,0,1960,"Mexico","107578",0
"4",3,1391,0,1960,"Mexico","107578",0
"5",4,1309,0,1960,"Mexico","107578",0
"6",5,1262,0,1960,"Mexico","107578",0
"7",6,1163,0,1960,"Mexico","107578",0
"8",7,1212,0,1960,"Mexico","107578",0
"9",8,1077,0,1960,"Mexico","107578",0
"10",9,1078,0,1960,"Mexico","107578",0
"11",10,1252,0,1960,"Mexico","107578",0
"12",11,1180,0,1960,"Mexico","107578",0
"13",12,1169,0,1960,"Mexico","107578",0
"14",13,1180,0,1960,"Mexico","107578",0
"15",14,1112,0,1960,"Mexico","107578",0
"16",15,1028,0,1960,"Mexico","107578",0
"17",16,988,0,1960,"Mexico","107578",0
"18",17,972,0,1960,"Mexico","107578",0
"19",18,920,0,1960,"Mexico","107578",0
"20",19,901,0,1960,"Mexico","107578",0
"21",20,865,0,1960,"Mexico","107578",0
"22",21,876,0,1960,"Mexico","107578",0
"23",22,850,0,1960,"Mexico","107578",0
"24",23,873,0,1960,"Mexico","107578",0
"25",24,763,0,1960,"Mexico","107578",0
"26",25,792,0,1960,"Mexico","107578",0
"27",26,727,1,1960,"Mexico","107578",0.00137551581843191
"28",27,737,1,1960,"Mexico","107578",0.00135685210312076
"29",28,671,0,1960,"Mexico","107578",0
"30",29,626,3,1960,"Mexico","107578",0.00479233226837061
"31",30,616,4,1960,"Mexico","107578",0.00649350649350649
"32",31,613,7,1960,"Mexico","107578",0.0114192495921697
"33",32,589,19,1960,"Mexico","107578",0.032258064516129
"34",33,551,21,1960,"Mexico","107578",0.0381125226860254
"35",34,560,32,1960,"Mexico","107578",0.0571428571428571
"36",35,505,47,1960,"Mexico","107578",0.0930693069306931
"37",36,515,50,1960,"Mexico","107578",0.0970873786407767
"38",37,470,93,1960,"Mexico","107578",0.197872340425532
"39",38,458,96,1960,"Mexico","107578",0.209606986899563
"40",39,450,115,1960,"Mexico","107578",0.255555555555556
"41",40,434,142,1960,"Mexico","107578",0.327188940092166
"42",41,388,165,1960,"Mexico","107578",0.425257731958763
"43",42,392,178,1960,"Mexico","107578",0.454081632653061
"44",43,391,207,1960,"Mexico","107578",0.529411764705882
"45",44,393,216,1960,"Mexico","107578",0.549618320610687
"46",45,379,223,1960,"Mexico","107578",0.588390501319261
"47",46,352,206,1960,"Mexico","107578",0.585227272727273
"48",47,333,230,1960,"Mexico","107578",0.690690690690691
"49",48,294,218,1960,"Mexico","107578",0.741496598639456
"50",49,338,267,1960,"Mexico","107578",0.789940828402367
"51",50,281,211,1960,"Mexico","107578",0.750889679715303
"52",51,262,223,1960,"Mexico","107578",0.851145038167939
"53",52,276,241,1960,"Mexico","107578",0.873188405797101
"54",53,259,220,1960,"Mexico","107578",0.849420849420849
"55",54,256,223,1960,"Mexico","107578",0.87109375
"56",55,259,230,1960,"Mexico","107578",0.888030888030888
"57",56,232,207,1960,"Mexico","107578",0.892241379310345
"58",57,236,210,1960,"Mexico","107578",0.889830508474576
"59",58,185,169,1960,"Mexico","107578",0.913513513513514
"60",59,221,207,1960,"Mexico","107578",0.936651583710407
"61",60,192,175,1960,"Mexico","107578",0.911458333333333
"62",61,174,161,1960,"Mexico","107578",0.925287356321839
"63",62,153,145,1960,"Mexico","107578",0.947712418300654
"64",63,128,116,1960,"Mexico","107578",0.90625
"65",64,154,144,1960,"Mexico","107578",0.935064935064935
"66",65,116,107,1960,"Mexico","107578",0.922413793103448
"67",66,122,114,1960,"Mexico","107578",0.934426229508197
"68",67,125,112,1960,"Mexico","107578",0.896
"69",68,95,92,1960,"Mexico","107578",0.968421052631579
"70",69,110,104,1960,"Mexico","107578",0.945454545454545
"71",70,105,100,1960,"Mexico","107578",0.952380952380952
"72",71,83,79,1960,"Mexico","107578",0.951807228915663
"73",72,83,78,1960,"Mexico","107578",0.939759036144578
"74",73,76,70,1960,"Mexico","107578",0.921052631578947
"75",74,65,63,1960,"Mexico","107578",0.969230769230769
"76",75,77,73,1960,"Mexico","107578",0.948051948051948
"77",76,51,46,1960,"Mexico","107578",0.901960784313726
"78",77,39,38,1960,"Mexico","107578",0.974358974358974
"79",78,46,44,1960,"Mexico","107578",0.956521739130435
"80",79,33,31,1960,"Mexico","107578",0.93939393939394
"81",80,47,45,1960,"Mexico","107578",0.957446808510638
"82",81,24,22,1960,"Mexico","107578",0.916666666666667
"83",82,26,24,1960,"Mexico","107578",0.923076923076923
