"","age","pop","gp","year","country","seed","share"
"1",0,369,0,1960,"Mongolia","118551",0
"2",1,353,0,1960,"Mongolia","118551",0
"3",2,347,0,1960,"Mongolia","118551",0
"4",3,281,0,1960,"Mongolia","118551",0
"5",4,291,0,1960,"Mongolia","118551",0
"6",5,234,0,1960,"Mongolia","118551",0
"7",6,228,0,1960,"Mongolia","118551",0
"8",7,234,0,1960,"Mongolia","118551",0
"9",8,229,0,1960,"Mongolia","118551",0
"10",9,242,0,1960,"Mongolia","118551",0
"11",10,214,0,1960,"Mongolia","118551",0
"12",11,208,0,1960,"Mongolia","118551",0
"13",12,220,0,1960,"Mongolia","118551",0
"14",13,186,0,1960,"Mongolia","118551",0
"15",14,193,0,1960,"Mongolia","118551",0
"16",15,179,0,1960,"Mongolia","118551",0
"17",16,187,0,1960,"Mongolia","118551",0
"18",17,177,0,1960,"Mongolia","118551",0
"19",18,181,0,1960,"Mongolia","118551",0
"20",19,181,0,1960,"Mongolia","118551",0
"21",20,193,0,1960,"Mongolia","118551",0
"22",21,184,0,1960,"Mongolia","118551",0
"23",22,167,0,1960,"Mongolia","118551",0
"24",23,167,0,1960,"Mongolia","118551",0
"25",24,158,0,1960,"Mongolia","118551",0
"26",25,171,0,1960,"Mongolia","118551",0
"27",26,175,0,1960,"Mongolia","118551",0
"28",27,162,0,1960,"Mongolia","118551",0
"29",28,136,0,1960,"Mongolia","118551",0
"30",29,145,0,1960,"Mongolia","118551",0
"31",30,148,0,1960,"Mongolia","118551",0
"32",31,131,1,1960,"Mongolia","118551",0.00763358778625954
"33",32,119,2,1960,"Mongolia","118551",0.0168067226890756
"34",33,136,1,1960,"Mongolia","118551",0.00735294117647059
"35",34,143,5,1960,"Mongolia","118551",0.034965034965035
"36",35,120,4,1960,"Mongolia","118551",0.0333333333333333
"37",36,130,4,1960,"Mongolia","118551",0.0307692307692308
"38",37,119,8,1960,"Mongolia","118551",0.0672268907563025
"39",38,115,6,1960,"Mongolia","118551",0.0521739130434783
"40",39,110,15,1960,"Mongolia","118551",0.136363636363636
"41",40,106,14,1960,"Mongolia","118551",0.132075471698113
"42",41,113,21,1960,"Mongolia","118551",0.185840707964602
"43",42,104,25,1960,"Mongolia","118551",0.240384615384615
"44",43,106,31,1960,"Mongolia","118551",0.292452830188679
"45",44,110,35,1960,"Mongolia","118551",0.318181818181818
"46",45,96,30,1960,"Mongolia","118551",0.3125
"47",46,101,43,1960,"Mongolia","118551",0.425742574257426
"48",47,97,42,1960,"Mongolia","118551",0.43298969072165
"49",48,94,35,1960,"Mongolia","118551",0.372340425531915
"50",49,93,40,1960,"Mongolia","118551",0.43010752688172
"51",50,77,38,1960,"Mongolia","118551",0.493506493506494
"52",51,89,51,1960,"Mongolia","118551",0.573033707865168
"53",52,85,53,1960,"Mongolia","118551",0.623529411764706
"54",53,79,46,1960,"Mongolia","118551",0.582278481012658
"55",54,75,50,1960,"Mongolia","118551",0.666666666666667
"56",55,74,53,1960,"Mongolia","118551",0.716216216216216
"57",56,69,46,1960,"Mongolia","118551",0.666666666666667
"58",57,68,46,1960,"Mongolia","118551",0.676470588235294
"59",58,64,55,1960,"Mongolia","118551",0.859375
"60",59,48,34,1960,"Mongolia","118551",0.708333333333333
"61",60,70,54,1960,"Mongolia","118551",0.771428571428571
"62",61,61,52,1960,"Mongolia","118551",0.852459016393443
"63",62,62,48,1960,"Mongolia","118551",0.774193548387097
"64",63,57,45,1960,"Mongolia","118551",0.789473684210526
"65",64,40,31,1960,"Mongolia","118551",0.775
"66",65,40,30,1960,"Mongolia","118551",0.75
"67",66,38,25,1960,"Mongolia","118551",0.657894736842105
"68",67,30,25,1960,"Mongolia","118551",0.833333333333333
"69",68,37,34,1960,"Mongolia","118551",0.918918918918919
