"","age","pop","gp","year","country","seed","share"
"1",0,3414,0,1960,"Montenegro","154987",0
"2",1,3234,0,1960,"Montenegro","154987",0
"3",2,3144,0,1960,"Montenegro","154987",0
"4",3,3172,0,1960,"Montenegro","154987",0
"5",4,2955,0,1960,"Montenegro","154987",0
"6",5,3314,0,1960,"Montenegro","154987",0
"7",6,3145,0,1960,"Montenegro","154987",0
"8",7,3078,0,1960,"Montenegro","154987",0
"9",8,3026,0,1960,"Montenegro","154987",0
"10",9,2977,0,1960,"Montenegro","154987",0
"11",10,3368,0,1960,"Montenegro","154987",0
"12",11,3293,0,1960,"Montenegro","154987",0
"13",12,3292,0,1960,"Montenegro","154987",0
"14",13,3119,0,1960,"Montenegro","154987",0
"15",14,3104,0,1960,"Montenegro","154987",0
"16",15,3134,0,1960,"Montenegro","154987",0
"17",16,2944,0,1960,"Montenegro","154987",0
"18",17,2939,0,1960,"Montenegro","154987",0
"19",18,2840,0,1960,"Montenegro","154987",0
"20",19,2693,0,1960,"Montenegro","154987",0
"21",20,2736,0,1960,"Montenegro","154987",0
"22",21,2669,0,1960,"Montenegro","154987",0
"23",22,2660,0,1960,"Montenegro","154987",0
"24",23,2532,0,1960,"Montenegro","154987",0
"25",24,2528,0,1960,"Montenegro","154987",0
"26",25,2486,0,1960,"Montenegro","154987",0
"27",26,2431,0,1960,"Montenegro","154987",0
"28",27,2386,1,1960,"Montenegro","154987",0.000419111483654652
"29",28,2339,0,1960,"Montenegro","154987",0
"30",29,2284,0,1960,"Montenegro","154987",0
"31",30,2204,1,1960,"Montenegro","154987",0.000453720508166969
"32",31,2123,3,1960,"Montenegro","154987",0.00141309467734338
"33",32,2205,4,1960,"Montenegro","154987",0.0018140589569161
"34",33,2132,9,1960,"Montenegro","154987",0.00422138836772983
"35",34,2044,25,1960,"Montenegro","154987",0.0122309197651663
"36",35,2035,29,1960,"Montenegro","154987",0.0142506142506142
"37",36,2044,53,1960,"Montenegro","154987",0.0259295499021526
"38",37,1969,93,1960,"Montenegro","154987",0.0472320975114271
"39",38,1940,124,1960,"Montenegro","154987",0.0639175257731959
"40",39,1896,160,1960,"Montenegro","154987",0.0843881856540084
"41",40,1831,233,1960,"Montenegro","154987",0.127252867285636
"42",41,1750,281,1960,"Montenegro","154987",0.160571428571429
"43",42,1701,341,1960,"Montenegro","154987",0.200470311581423
"44",43,1701,439,1960,"Montenegro","154987",0.258083480305703
"45",44,1618,507,1960,"Montenegro","154987",0.313349814585909
"46",45,1607,547,1960,"Montenegro","154987",0.340385812072184
"47",46,1596,661,1960,"Montenegro","154987",0.414160401002506
"48",47,1474,690,1960,"Montenegro","154987",0.468113975576662
"49",48,1428,696,1960,"Montenegro","154987",0.487394957983193
"50",49,1379,772,1960,"Montenegro","154987",0.559825960841189
"51",50,1374,821,1960,"Montenegro","154987",0.597525473071325
"52",51,1337,802,1960,"Montenegro","154987",0.599850411368736
"53",52,1249,794,1960,"Montenegro","154987",0.635708566853483
"54",53,1244,842,1960,"Montenegro","154987",0.676848874598071
"55",54,1210,890,1960,"Montenegro","154987",0.735537190082645
"56",55,1163,834,1960,"Montenegro","154987",0.717110920034394
"57",56,1177,891,1960,"Montenegro","154987",0.757009345794392
"58",57,1114,874,1960,"Montenegro","154987",0.784560143626571
"59",58,1112,871,1960,"Montenegro","154987",0.783273381294964
"60",59,1068,869,1960,"Montenegro","154987",0.813670411985019
"61",60,1039,847,1960,"Montenegro","154987",0.815206929740135
"62",61,953,791,1960,"Montenegro","154987",0.830010493179433
"63",62,936,791,1960,"Montenegro","154987",0.84508547008547
"64",63,936,775,1960,"Montenegro","154987",0.827991452991453
"65",64,829,718,1960,"Montenegro","154987",0.866103739445115
"66",65,821,696,1960,"Montenegro","154987",0.847746650426309
"67",66,795,704,1960,"Montenegro","154987",0.885534591194969
"68",67,755,656,1960,"Montenegro","154987",0.86887417218543
"69",68,725,629,1960,"Montenegro","154987",0.867586206896552
"70",69,647,572,1960,"Montenegro","154987",0.884080370942813
"71",70,558,474,1960,"Montenegro","154987",0.849462365591398
"72",71,552,476,1960,"Montenegro","154987",0.86231884057971
"73",72,512,448,1960,"Montenegro","154987",0.875
"74",73,468,401,1960,"Montenegro","154987",0.856837606837607
"75",74,432,362,1960,"Montenegro","154987",0.837962962962963
"76",75,391,344,1960,"Montenegro","154987",0.879795396419437
"77",76,333,280,1960,"Montenegro","154987",0.840840840840841
"78",77,315,262,1960,"Montenegro","154987",0.831746031746032
"79",78,272,241,1960,"Montenegro","154987",0.886029411764706
"80",79,252,216,1960,"Montenegro","154987",0.857142857142857
"81",80,208,185,1960,"Montenegro","154987",0.889423076923077
"82",81,169,151,1960,"Montenegro","154987",0.893491124260355
"83",82,155,142,1960,"Montenegro","154987",0.916129032258065
"84",83,126,107,1960,"Montenegro","154987",0.849206349206349
"85",84,110,94,1960,"Montenegro","154987",0.854545454545454
"86",85,102,87,1960,"Montenegro","154987",0.852941176470588
"87",86,69,62,1960,"Montenegro","154987",0.898550724637681
"88",87,49,44,1960,"Montenegro","154987",0.897959183673469
"89",88,33,30,1960,"Montenegro","154987",0.909090909090909
"90",89,35,28,1960,"Montenegro","154987",0.8
"91",90,22,19,1960,"Montenegro","154987",0.863636363636364
"92",91,10,9,1960,"Montenegro","154987",0.9
"93",92,6,3,1960,"Montenegro","154987",0.5
"94",93,3,2,1960,"Montenegro","154987",0.666666666666667
"95",94,3,3,1960,"Montenegro","154987",1
"96",95,4,4,1960,"Montenegro","154987",1
"97",96,2,2,1960,"Montenegro","154987",1
"98",0,3610,0,1965,"Montenegro","154987",0
"99",1,3312,0,1965,"Montenegro","154987",0
"100",2,3200,0,1965,"Montenegro","154987",0
"101",3,3238,0,1965,"Montenegro","154987",0
"102",4,3222,0,1965,"Montenegro","154987",0
"103",5,3256,0,1965,"Montenegro","154987",0
"104",6,3206,0,1965,"Montenegro","154987",0
"105",7,3120,0,1965,"Montenegro","154987",0
"106",8,3159,0,1965,"Montenegro","154987",0
"107",9,2946,0,1965,"Montenegro","154987",0
"108",10,3302,0,1965,"Montenegro","154987",0
"109",11,3137,0,1965,"Montenegro","154987",0
"110",12,3069,0,1965,"Montenegro","154987",0
"111",13,3022,0,1965,"Montenegro","154987",0
"112",14,2968,0,1965,"Montenegro","154987",0
"113",15,3361,0,1965,"Montenegro","154987",0
"114",16,3278,0,1965,"Montenegro","154987",0
"115",17,3283,0,1965,"Montenegro","154987",0
"116",18,3113,0,1965,"Montenegro","154987",0
"117",19,3094,0,1965,"Montenegro","154987",0
"118",20,3118,0,1965,"Montenegro","154987",0
"119",21,2927,0,1965,"Montenegro","154987",0
"120",22,2923,0,1965,"Montenegro","154987",0
"121",23,2827,0,1965,"Montenegro","154987",0
"122",24,2670,0,1965,"Montenegro","154987",0
"123",25,2719,0,1965,"Montenegro","154987",0
"124",26,2638,0,1965,"Montenegro","154987",0
"125",27,2647,0,1965,"Montenegro","154987",0
"126",28,2515,0,1965,"Montenegro","154987",0
"127",29,2511,1,1965,"Montenegro","154987",0.000398247710075667
"128",30,2469,1,1965,"Montenegro","154987",0.000405022276225192
"129",31,2403,5,1965,"Montenegro","154987",0.00208073241781107
"130",32,2363,12,1965,"Montenegro","154987",0.00507829030892933
"131",33,2314,14,1965,"Montenegro","154987",0.00605012964563526
"132",34,2265,31,1965,"Montenegro","154987",0.0136865342163355
"133",35,2180,50,1965,"Montenegro","154987",0.0229357798165138
"134",36,2103,67,1965,"Montenegro","154987",0.0318592486923443
"135",37,2170,90,1965,"Montenegro","154987",0.0414746543778802
"136",38,2101,134,1965,"Montenegro","154987",0.0637791527843884
"137",39,2017,181,1965,"Montenegro","154987",0.0897372335151215
"138",40,2006,274,1965,"Montenegro","154987",0.136590229312064
"139",41,2006,339,1965,"Montenegro","154987",0.168993020937188
"140",42,1928,435,1965,"Montenegro","154987",0.225622406639004
"141",43,1897,500,1965,"Montenegro","154987",0.263574064312072
"142",44,1866,582,1965,"Montenegro","154987",0.311897106109325
"143",45,1786,621,1965,"Montenegro","154987",0.347704367301232
"144",46,1696,696,1965,"Montenegro","154987",0.410377358490566
"145",47,1670,746,1965,"Montenegro","154987",0.446706586826347
"146",48,1656,835,1965,"Montenegro","154987",0.504227053140097
"147",49,1564,869,1965,"Montenegro","154987",0.555626598465473
"148",50,1561,910,1965,"Montenegro","154987",0.582959641255605
"149",51,1533,967,1965,"Montenegro","154987",0.630789302022179
"150",52,1424,933,1965,"Montenegro","154987",0.655196629213483
"151",53,1355,914,1965,"Montenegro","154987",0.674538745387454
"152",54,1326,983,1965,"Montenegro","154987",0.74132730015083
"153",55,1320,988,1965,"Montenegro","154987",0.748484848484849
"154",56,1279,944,1965,"Montenegro","154987",0.73807662236122
"155",57,1164,898,1965,"Montenegro","154987",0.771477663230241
"156",58,1179,927,1965,"Montenegro","154987",0.786259541984733
