"","age","pop","gp","country","seed","year","share"
"1",0,1198,0,"Morocco","10925",2022,0
"2",1,1201,0,"Morocco","10925",2022,0
"3",2,1213,0,"Morocco","10925",2022,0
"4",3,1152,0,"Morocco","10925",2022,0
"5",4,1193,0,"Morocco","10925",2022,0
"6",5,1225,0,"Morocco","10925",2022,0
"7",6,1208,0,"Morocco","10925",2022,0
"8",7,1271,0,"Morocco","10925",2022,0
"9",8,1269,0,"Morocco","10925",2022,0
"10",9,1250,0,"Morocco","10925",2022,0
"11",10,1284,0,"Morocco","10925",2022,0
"12",11,1234,0,"Morocco","10925",2022,0
"13",12,1203,0,"Morocco","10925",2022,0
"14",13,1187,0,"Morocco","10925",2022,0
"15",14,1167,0,"Morocco","10925",2022,0
"16",15,1173,0,"Morocco","10925",2022,0
"17",16,1127,0,"Morocco","10925",2022,0
"18",17,1235,0,"Morocco","10925",2022,0
"19",18,1108,0,"Morocco","10925",2022,0
"20",19,1177,0,"Morocco","10925",2022,0
"21",20,1081,0,"Morocco","10925",2022,0
"22",21,1066,1,"Morocco","10925",2022,0.000938086303939962
"23",22,1158,0,"Morocco","10925",2022,0
"24",23,1120,0,"Morocco","10925",2022,0
"25",24,1085,0,"Morocco","10925",2022,0
"26",25,1090,0,"Morocco","10925",2022,0
"27",26,1055,0,"Morocco","10925",2022,0
"28",27,1220,0,"Morocco","10925",2022,0
"29",28,1175,2,"Morocco","10925",2022,0.00170212765957447
"30",29,1159,0,"Morocco","10925",2022,0
"31",30,1154,2,"Morocco","10925",2022,0.00173310225303293
"32",31,1122,1,"Morocco","10925",2022,0.00089126559714795
"33",32,1184,8,"Morocco","10925",2022,0.00675675675675676
"34",33,1225,11,"Morocco","10925",2022,0.00897959183673469
"35",34,1173,13,"Morocco","10925",2022,0.0110826939471441
"36",35,1142,18,"Morocco","10925",2022,0.0157618213660245
"37",36,1136,24,"Morocco","10925",2022,0.0211267605633803
"38",37,1260,31,"Morocco","10925",2022,0.0246031746031746
"39",38,1214,37,"Morocco","10925",2022,0.0304777594728171
"40",39,1171,77,"Morocco","10925",2022,0.0657557643040137
"41",40,1166,101,"Morocco","10925",2022,0.0866209262435678
"42",41,1092,102,"Morocco","10925",2022,0.0934065934065934
"43",42,1181,177,"Morocco","10925",2022,0.149872988992379
"44",43,1157,195,"Morocco","10925",2022,0.168539325842697
"45",44,1091,199,"Morocco","10925",2022,0.182401466544455
"46",45,1056,233,"Morocco","10925",2022,0.220643939393939
"47",46,1002,252,"Morocco","10925",2022,0.251497005988024
"48",47,1036,286,"Morocco","10925",2022,0.276061776061776
"49",48,1029,323,"Morocco","10925",2022,0.313896987366375
"50",49,1015,373,"Morocco","10925",2022,0.367487684729064
"51",50,926,396,"Morocco","10925",2022,0.427645788336933
"52",51,948,437,"Morocco","10925",2022,0.460970464135021
"53",52,967,434,"Morocco","10925",2022,0.448810754912099
"54",53,974,519,"Morocco","10925",2022,0.532854209445585
"55",54,892,498,"Morocco","10925",2022,0.55829596412556
"56",55,896,532,"Morocco","10925",2022,0.59375
"57",56,828,513,"Morocco","10925",2022,0.619565217391304
"58",57,817,547,"Morocco","10925",2022,0.669522643818849
"59",58,787,513,"Morocco","10925",2022,0.651842439644219
"60",59,842,592,"Morocco","10925",2022,0.703087885985748
"61",60,720,554,"Morocco","10925",2022,0.769444444444444
"62",61,679,488,"Morocco","10925",2022,0.718703976435935
"63",62,663,511,"Morocco","10925",2022,0.770739064856712
"64",63,622,497,"Morocco","10925",2022,0.79903536977492
"65",64,611,498,"Morocco","10925",2022,0.81505728314239
"66",65,574,486,"Morocco","10925",2022,0.846689895470383
"67",66,549,433,"Morocco","10925",2022,0.788706739526412
"68",67,493,411,"Morocco","10925",2022,0.83367139959432
"69",68,486,435,"Morocco","10925",2022,0.895061728395062
"70",69,426,368,"Morocco","10925",2022,0.863849765258216
"71",70,425,380,"Morocco","10925",2022,0.894117647058824
"72",71,397,346,"Morocco","10925",2022,0.871536523929471
"73",72,429,363,"Morocco","10925",2022,0.846153846153846
"74",73,447,382,"Morocco","10925",2022,0.854586129753915
"75",74,365,314,"Morocco","10925",2022,0.86027397260274
"76",75,353,297,"Morocco","10925",2022,0.841359773371105
"77",76,317,282,"Morocco","10925",2022,0.889589905362776
"78",77,285,258,"Morocco","10925",2022,0.905263157894737
"79",78,278,253,"Morocco","10925",2022,0.910071942446043
"80",79,224,204,"Morocco","10925",2022,0.910714285714286
"81",80,206,184,"Morocco","10925",2022,0.893203883495146
"82",81,201,177,"Morocco","10925",2022,0.880597014925373
"83",82,143,127,"Morocco","10925",2022,0.888111888111888
"84",83,118,100,"Morocco","10925",2022,0.847457627118644
"85",84,118,109,"Morocco","10925",2022,0.923728813559322
"86",85,91,81,"Morocco","10925",2022,0.89010989010989
"87",86,77,68,"Morocco","10925",2022,0.883116883116883
"88",87,45,40,"Morocco","10925",2022,0.888888888888889
"89",88,41,38,"Morocco","10925",2022,0.926829268292683
"90",89,26,24,"Morocco","10925",2022,0.923076923076923
"91",90,13,13,"Morocco","10925",2022,1
"92",91,12,11,"Morocco","10925",2022,0.916666666666667
"93",92,4,4,"Morocco","10925",2022,1
"94",93,5,3,"Morocco","10925",2022,0.6
"95",94,3,2,"Morocco","10925",2022,0.666666666666667
