"","age","pop","gp","year","country","seed","share"
"1",0,161,0,1960,"Mozambique","172143",0
"2",1,154,0,1960,"Mozambique","172143",0
"3",2,136,0,1960,"Mozambique","172143",0
"4",3,132,0,1960,"Mozambique","172143",0
"5",4,111,0,1960,"Mozambique","172143",0
"6",5,115,0,1960,"Mozambique","172143",0
"7",6,130,0,1960,"Mozambique","172143",0
"8",7,111,0,1960,"Mozambique","172143",0
"9",8,106,0,1960,"Mozambique","172143",0
"10",9,86,0,1960,"Mozambique","172143",0
"11",10,100,0,1960,"Mozambique","172143",0
"12",11,87,0,1960,"Mozambique","172143",0
"13",12,84,0,1960,"Mozambique","172143",0
"14",13,91,0,1960,"Mozambique","172143",0
"15",14,71,0,1960,"Mozambique","172143",0
"16",15,96,0,1960,"Mozambique","172143",0
"17",16,101,0,1960,"Mozambique","172143",0
"18",17,88,0,1960,"Mozambique","172143",0
"19",18,83,0,1960,"Mozambique","172143",0
"20",19,87,0,1960,"Mozambique","172143",0
"21",20,70,0,1960,"Mozambique","172143",0
"22",21,74,0,1960,"Mozambique","172143",0
"23",22,92,0,1960,"Mozambique","172143",0
"24",23,70,0,1960,"Mozambique","172143",0
"25",24,80,0,1960,"Mozambique","172143",0
"26",25,75,0,1960,"Mozambique","172143",0
"27",26,61,0,1960,"Mozambique","172143",0
"28",27,72,0,1960,"Mozambique","172143",0
"29",28,59,0,1960,"Mozambique","172143",0
"30",29,53,0,1960,"Mozambique","172143",0
"31",30,43,0,1960,"Mozambique","172143",0
"32",31,56,0,1960,"Mozambique","172143",0
"33",32,48,0,1960,"Mozambique","172143",0
"34",33,58,3,1960,"Mozambique","172143",0.0517241379310345
"35",34,55,5,1960,"Mozambique","172143",0.0909090909090909
"36",35,54,3,1960,"Mozambique","172143",0.0555555555555556
"37",36,45,6,1960,"Mozambique","172143",0.133333333333333
"38",37,46,4,1960,"Mozambique","172143",0.0869565217391304
"39",38,52,9,1960,"Mozambique","172143",0.173076923076923
"40",39,60,14,1960,"Mozambique","172143",0.233333333333333
"41",40,49,11,1960,"Mozambique","172143",0.224489795918367
"42",41,46,10,1960,"Mozambique","172143",0.217391304347826
"43",42,40,13,1960,"Mozambique","172143",0.325
"44",43,34,14,1960,"Mozambique","172143",0.411764705882353
"45",44,28,13,1960,"Mozambique","172143",0.464285714285714
"46",45,41,21,1960,"Mozambique","172143",0.51219512195122
"47",46,38,22,1960,"Mozambique","172143",0.578947368421053
"48",47,36,15,1960,"Mozambique","172143",0.416666666666667
"49",48,43,29,1960,"Mozambique","172143",0.674418604651163
"50",49,29,15,1960,"Mozambique","172143",0.517241379310345
"51",50,29,15,1960,"Mozambique","172143",0.517241379310345
"52",51,30,20,1960,"Mozambique","172143",0.666666666666667
"53",52,28,21,1960,"Mozambique","172143",0.75
"54",53,29,18,1960,"Mozambique","172143",0.620689655172414
"55",54,24,19,1960,"Mozambique","172143",0.791666666666667
"56",55,30,20,1960,"Mozambique","172143",0.666666666666667
"57",56,23,18,1960,"Mozambique","172143",0.782608695652174
"58",57,25,20,1960,"Mozambique","172143",0.8
"59",58,22,18,1960,"Mozambique","172143",0.818181818181818
"60",59,17,13,1960,"Mozambique","172143",0.764705882352941
"61",60,21,17,1960,"Mozambique","172143",0.80952380952381
"62",61,17,14,1960,"Mozambique","172143",0.823529411764706
"63",62,24,20,1960,"Mozambique","172143",0.833333333333333
"64",63,15,14,1960,"Mozambique","172143",0.933333333333333
"65",64,26,21,1960,"Mozambique","172143",0.807692307692308
"66",65,25,21,1960,"Mozambique","172143",0.84
"67",66,14,12,1960,"Mozambique","172143",0.857142857142857
"68",67,17,15,1960,"Mozambique","172143",0.88235294117647
"69",68,12,10,1960,"Mozambique","172143",0.833333333333333
"70",69,13,9,1960,"Mozambique","172143",0.692307692307692
"71",70,13,12,1960,"Mozambique","172143",0.923076923076923
"72",71,12,11,1960,"Mozambique","172143",0.916666666666667
