"","age","pop","gp","year","country","seed","share"
"1",0,3056,0,1990,"Myanmar","17662",0
"2",1,2877,0,1990,"Myanmar","17662",0
"3",2,2791,0,1990,"Myanmar","17662",0
"4",3,2715,0,1990,"Myanmar","17662",0
"5",4,2571,0,1990,"Myanmar","17662",0
"6",5,3024,0,1990,"Myanmar","17662",0
"7",6,2816,0,1990,"Myanmar","17662",0
"8",7,2779,0,1990,"Myanmar","17662",0
"9",8,2769,0,1990,"Myanmar","17662",0
"10",9,2625,0,1990,"Myanmar","17662",0
"11",10,2816,0,1990,"Myanmar","17662",0
"12",11,2768,0,1990,"Myanmar","17662",0
"13",12,2682,0,1990,"Myanmar","17662",0
"14",13,2604,0,1990,"Myanmar","17662",0
"15",14,2584,0,1990,"Myanmar","17662",0
"16",15,2702,0,1990,"Myanmar","17662",0
"17",16,2580,0,1990,"Myanmar","17662",0
"18",17,2556,0,1990,"Myanmar","17662",0
"19",18,2523,0,1990,"Myanmar","17662",0
"20",19,2484,0,1990,"Myanmar","17662",0
"21",20,2553,0,1990,"Myanmar","17662",0
"22",21,2457,0,1990,"Myanmar","17662",0
"23",22,2396,0,1990,"Myanmar","17662",0
"24",23,2289,1,1990,"Myanmar","17662",0.000436871996505024
"25",24,2327,0,1990,"Myanmar","17662",0
"26",25,2196,1,1990,"Myanmar","17662",0.000455373406193078
"27",26,2102,1,1990,"Myanmar","17662",0.000475737392959087
"28",27,2049,0,1990,"Myanmar","17662",0
"29",28,1917,3,1990,"Myanmar","17662",0.00156494522691706
"30",29,1915,2,1990,"Myanmar","17662",0.0010443864229765
"31",30,1870,4,1990,"Myanmar","17662",0.00213903743315508
"32",31,1688,5,1990,"Myanmar","17662",0.00296208530805687
"33",32,1701,13,1990,"Myanmar","17662",0.00764256319811875
"34",33,1694,28,1990,"Myanmar","17662",0.0165289256198347
"35",34,1561,48,1990,"Myanmar","17662",0.0307495195387572
"36",35,1451,59,1990,"Myanmar","17662",0.0406616126809097
"37",36,1385,63,1990,"Myanmar","17662",0.0454873646209386
"38",37,1336,105,1990,"Myanmar","17662",0.0785928143712575
"39",38,1345,161,1990,"Myanmar","17662",0.119702602230483
"40",39,1258,206,1990,"Myanmar","17662",0.163751987281399
"41",40,1471,252,1990,"Myanmar","17662",0.171312032630863
"42",41,1380,355,1990,"Myanmar","17662",0.257246376811594
"43",42,1362,400,1990,"Myanmar","17662",0.293685756240822
"44",43,1291,444,1990,"Myanmar","17662",0.343919442292796
"45",44,1294,477,1990,"Myanmar","17662",0.368624420401855
"46",45,1248,561,1990,"Myanmar","17662",0.449519230769231
"47",46,1169,600,1990,"Myanmar","17662",0.513259195893926
"48",47,1112,610,1990,"Myanmar","17662",0.548561151079137
"49",48,1136,632,1990,"Myanmar","17662",0.556338028169014
"50",49,1087,682,1990,"Myanmar","17662",0.627414903403864
"51",50,1086,701,1990,"Myanmar","17662",0.64548802946593
"52",51,1012,709,1990,"Myanmar","17662",0.700592885375494
"53",52,1001,719,1990,"Myanmar","17662",0.718281718281718
"54",53,943,676,1990,"Myanmar","17662",0.716861081654295
"55",54,873,676,1990,"Myanmar","17662",0.774341351660939
"56",55,808,642,1990,"Myanmar","17662",0.794554455445545
"57",56,795,649,1990,"Myanmar","17662",0.816352201257862
"58",57,762,615,1990,"Myanmar","17662",0.807086614173228
"59",58,724,619,1990,"Myanmar","17662",0.854972375690608
"60",59,733,601,1990,"Myanmar","17662",0.819918144611187
"61",60,669,576,1990,"Myanmar","17662",0.860986547085202
"62",61,661,559,1990,"Myanmar","17662",0.845688350983359
"63",62,610,519,1990,"Myanmar","17662",0.850819672131148
"64",63,590,510,1990,"Myanmar","17662",0.864406779661017
"65",64,564,502,1990,"Myanmar","17662",0.890070921985816
"66",65,603,515,1990,"Myanmar","17662",0.854063018242123
"67",66,519,454,1990,"Myanmar","17662",0.8747591522158
"68",67,426,384,1990,"Myanmar","17662",0.901408450704225
"69",68,422,376,1990,"Myanmar","17662",0.890995260663507
"70",69,377,341,1990,"Myanmar","17662",0.904509283819629
