"","age","pop","gp","year","country","seed","share"
"1",0,433,0,1990,"Namibia","175881",0
"2",1,382,0,1990,"Namibia","175881",0
"3",2,418,0,1990,"Namibia","175881",0
"4",3,375,0,1990,"Namibia","175881",0
"5",4,338,0,1990,"Namibia","175881",0
"6",5,326,0,1990,"Namibia","175881",0
"7",6,361,0,1990,"Namibia","175881",0
"8",7,349,0,1990,"Namibia","175881",0
"9",8,342,0,1990,"Namibia","175881",0
"10",9,311,0,1990,"Namibia","175881",0
"11",10,292,0,1990,"Namibia","175881",0
"12",11,299,0,1990,"Namibia","175881",0
"13",12,285,0,1990,"Namibia","175881",0
"14",13,282,0,1990,"Namibia","175881",0
"15",14,264,0,1990,"Namibia","175881",0
"16",15,278,0,1990,"Namibia","175881",0
"17",16,257,0,1990,"Namibia","175881",0
"18",17,270,0,1990,"Namibia","175881",0
"19",18,263,0,1990,"Namibia","175881",0
"20",19,243,0,1990,"Namibia","175881",0
"21",20,229,0,1990,"Namibia","175881",0
"22",21,209,0,1990,"Namibia","175881",0
"23",22,235,0,1990,"Namibia","175881",0
"24",23,204,0,1990,"Namibia","175881",0
"25",24,202,0,1990,"Namibia","175881",0
"26",25,164,0,1990,"Namibia","175881",0
"27",26,178,0,1990,"Namibia","175881",0
"28",27,151,0,1990,"Namibia","175881",0
"29",28,176,0,1990,"Namibia","175881",0
"30",29,160,0,1990,"Namibia","175881",0
"31",30,162,0,1990,"Namibia","175881",0
"32",31,150,2,1990,"Namibia","175881",0.0133333333333333
"33",32,138,2,1990,"Namibia","175881",0.0144927536231884
"34",33,130,1,1990,"Namibia","175881",0.00769230769230769
"35",34,147,5,1990,"Namibia","175881",0.0340136054421769
"36",35,143,10,1990,"Namibia","175881",0.0699300699300699
"37",36,144,14,1990,"Namibia","175881",0.0972222222222222
"38",37,121,11,1990,"Namibia","175881",0.0909090909090909
"39",38,116,26,1990,"Namibia","175881",0.224137931034483
"40",39,115,23,1990,"Namibia","175881",0.2
"41",40,120,41,1990,"Namibia","175881",0.341666666666667
"42",41,93,38,1990,"Namibia","175881",0.408602150537634
"43",42,95,42,1990,"Namibia","175881",0.442105263157895
"44",43,100,45,1990,"Namibia","175881",0.45
"45",44,76,36,1990,"Namibia","175881",0.473684210526316
"46",45,97,59,1990,"Namibia","175881",0.608247422680412
"47",46,82,52,1990,"Namibia","175881",0.634146341463415
"48",47,74,50,1990,"Namibia","175881",0.675675675675676
"49",48,74,55,1990,"Namibia","175881",0.743243243243243
"50",49,74,64,1990,"Namibia","175881",0.864864864864865
"51",50,69,60,1990,"Namibia","175881",0.869565217391304
"52",51,88,61,1990,"Namibia","175881",0.693181818181818
"53",52,69,57,1990,"Namibia","175881",0.826086956521739
"54",53,60,51,1990,"Namibia","175881",0.85
"55",54,58,48,1990,"Namibia","175881",0.827586206896552
"56",55,48,44,1990,"Namibia","175881",0.916666666666667
"57",56,56,51,1990,"Namibia","175881",0.910714285714286
"58",57,62,56,1990,"Namibia","175881",0.903225806451613
"59",58,66,59,1990,"Namibia","175881",0.893939393939394
