"","age","pop","gp","year","country","seed","share"
"1",0,1334,0,1960,"Nepal","182240",0
"2",1,1148,0,1960,"Nepal","182240",0
"3",2,1118,0,1960,"Nepal","182240",0
"4",3,1025,0,1960,"Nepal","182240",0
"5",4,1005,0,1960,"Nepal","182240",0
"6",5,969,0,1960,"Nepal","182240",0
"7",6,982,0,1960,"Nepal","182240",0
"8",7,892,0,1960,"Nepal","182240",0
"9",8,921,0,1960,"Nepal","182240",0
"10",9,895,0,1960,"Nepal","182240",0
"11",10,1004,0,1960,"Nepal","182240",0
"12",11,1050,0,1960,"Nepal","182240",0
"13",12,992,0,1960,"Nepal","182240",0
"14",13,907,0,1960,"Nepal","182240",0
"15",14,976,0,1960,"Nepal","182240",0
"16",15,919,0,1960,"Nepal","182240",0
"17",16,928,0,1960,"Nepal","182240",0
"18",17,857,0,1960,"Nepal","182240",0
"19",18,859,0,1960,"Nepal","182240",0
"20",19,839,0,1960,"Nepal","182240",0
"21",20,855,0,1960,"Nepal","182240",0
"22",21,811,0,1960,"Nepal","182240",0
"23",22,793,0,1960,"Nepal","182240",0
"24",23,779,0,1960,"Nepal","182240",0
"25",24,729,0,1960,"Nepal","182240",0
"26",25,772,0,1960,"Nepal","182240",0
"27",26,721,0,1960,"Nepal","182240",0
"28",27,724,1,1960,"Nepal","182240",0.00138121546961326
"29",28,694,2,1960,"Nepal","182240",0.00288184438040346
"30",29,650,4,1960,"Nepal","182240",0.00615384615384615
"31",30,651,5,1960,"Nepal","182240",0.00768049155145929
"32",31,634,9,1960,"Nepal","182240",0.0141955835962145
"33",32,609,12,1960,"Nepal","182240",0.0197044334975369
"34",33,603,14,1960,"Nepal","182240",0.0232172470978441
"35",34,610,34,1960,"Nepal","182240",0.0557377049180328
"36",35,561,39,1960,"Nepal","182240",0.0695187165775401
"37",36,527,48,1960,"Nepal","182240",0.0910815939278937
"38",37,544,72,1960,"Nepal","182240",0.132352941176471
"39",38,519,77,1960,"Nepal","182240",0.148362235067437
"40",39,506,96,1960,"Nepal","182240",0.189723320158103
"41",40,477,124,1960,"Nepal","182240",0.259958071278826
"42",41,478,143,1960,"Nepal","182240",0.299163179916318
"43",42,482,160,1960,"Nepal","182240",0.33195020746888
"44",43,432,165,1960,"Nepal","182240",0.381944444444444
"45",44,444,190,1960,"Nepal","182240",0.427927927927928
"46",45,458,183,1960,"Nepal","182240",0.399563318777293
"47",46,428,219,1960,"Nepal","182240",0.511682242990654
"48",47,373,195,1960,"Nepal","182240",0.522788203753351
"49",48,397,220,1960,"Nepal","182240",0.554156171284635
"50",49,386,218,1960,"Nepal","182240",0.564766839378238
"51",50,377,221,1960,"Nepal","182240",0.586206896551724
"52",51,345,221,1960,"Nepal","182240",0.640579710144928
"53",52,319,200,1960,"Nepal","182240",0.626959247648903
"54",53,335,225,1960,"Nepal","182240",0.671641791044776
"55",54,311,212,1960,"Nepal","182240",0.681672025723473
"56",55,308,219,1960,"Nepal","182240",0.711038961038961
"57",56,280,197,1960,"Nepal","182240",0.703571428571429
"58",57,251,197,1960,"Nepal","182240",0.784860557768924
"59",58,213,163,1960,"Nepal","182240",0.765258215962441
"60",59,224,174,1960,"Nepal","182240",0.776785714285714
"61",60,234,191,1960,"Nepal","182240",0.816239316239316
"62",61,235,190,1960,"Nepal","182240",0.808510638297872
"63",62,222,183,1960,"Nepal","182240",0.824324324324324
"64",63,195,168,1960,"Nepal","182240",0.861538461538462
"65",64,174,142,1960,"Nepal","182240",0.816091954022989
"66",65,158,140,1960,"Nepal","182240",0.886075949367089
"67",66,154,131,1960,"Nepal","182240",0.850649350649351
"68",67,150,123,1960,"Nepal","182240",0.82
"69",68,128,113,1960,"Nepal","182240",0.8828125
"70",69,117,99,1960,"Nepal","182240",0.846153846153846
"71",70,118,102,1960,"Nepal","182240",0.864406779661017
"72",71,108,86,1960,"Nepal","182240",0.796296296296296
"73",72,84,75,1960,"Nepal","182240",0.892857142857143
"74",73,64,56,1960,"Nepal","182240",0.875
"75",74,70,55,1960,"Nepal","182240",0.785714285714286
"76",75,56,46,1960,"Nepal","182240",0.821428571428571
"77",76,44,39,1960,"Nepal","182240",0.886363636363636
"78",77,40,33,1960,"Nepal","182240",0.825
"79",78,41,37,1960,"Nepal","182240",0.902439024390244
"80",79,26,24,1960,"Nepal","182240",0.923076923076923
"81",80,31,27,1960,"Nepal","182240",0.870967741935484
"82",81,15,12,1960,"Nepal","182240",0.8
"83",82,12,10,1960,"Nepal","182240",0.833333333333333
"84",83,9,8,1960,"Nepal","182240",0.888888888888889
"85",84,13,12,1960,"Nepal","182240",0.923076923076923
"86",85,12,11,1960,"Nepal","182240",0.916666666666667
"87",86,9,9,1960,"Nepal","182240",1
"88",87,5,5,1960,"Nepal","182240",1
"89",88,6,4,1960,"Nepal","182240",0.666666666666667
"90",89,4,3,1960,"Nepal","182240",0.75
"91",90,3,3,1960,"Nepal","182240",1
"92",91,2,2,1960,"Nepal","182240",1
"93",92,1,0,1960,"Nepal","182240",0
"94",93,1,1,1960,"Nepal","182240",1
"95",94,2,2,1960,"Nepal","182240",1
"96",0,1454,0,1965,"Nepal","182240",0
"97",1,1346,0,1965,"Nepal","182240",0
"98",2,1210,0,1965,"Nepal","182240",0
"99",3,1196,0,1965,"Nepal","182240",0
"100",4,1089,0,1965,"Nepal","182240",0
"101",5,1023,0,1965,"Nepal","182240",0
"102",6,1007,0,1965,"Nepal","182240",0
"103",7,1028,0,1965,"Nepal","182240",0
"104",8,954,0,1965,"Nepal","182240",0
"105",9,953,0,1965,"Nepal","182240",0
"106",10,944,0,1965,"Nepal","182240",0
"107",11,948,0,1965,"Nepal","182240",0
"108",12,864,0,1965,"Nepal","182240",0
"109",13,890,0,1965,"Nepal","182240",0
"110",14,864,0,1965,"Nepal","182240",0
"111",15,979,0,1965,"Nepal","182240",0
"112",16,1020,0,1965,"Nepal","182240",0
"113",17,962,0,1965,"Nepal","182240",0
"114",18,864,0,1965,"Nepal","182240",0
"115",19,946,0,1965,"Nepal","182240",0
"116",20,889,0,1965,"Nepal","182240",0
"117",21,885,0,1965,"Nepal","182240",0
"118",22,816,0,1965,"Nepal","182240",0
"119",23,809,0,1965,"Nepal","182240",0
"120",24,799,1,1965,"Nepal","182240",0.00125156445556946
"121",25,817,0,1965,"Nepal","182240",0
"122",26,774,0,1965,"Nepal","182240",0
"123",27,755,0,1965,"Nepal","182240",0
"124",28,749,3,1965,"Nepal","182240",0.00400534045393859
"125",29,684,3,1965,"Nepal","182240",0.0043859649122807
"126",30,717,3,1965,"Nepal","182240",0.00418410041841004
"127",31,680,12,1965,"Nepal","182240",0.0176470588235294
"128",32,682,11,1965,"Nepal","182240",0.0161290322580645
"129",33,667,22,1965,"Nepal","182240",0.0329835082458771
"130",34,609,35,1965,"Nepal","182240",0.0574712643678161
"131",35,616,41,1965,"Nepal","182240",0.0665584415584416
"132",36,586,56,1965,"Nepal","182240",0.0955631399317406
"133",37,571,69,1965,"Nepal","182240",0.120840630472855
"134",38,555,86,1965,"Nepal","182240",0.154954954954955
"135",39,561,119,1965,"Nepal","182240",0.212121212121212
"136",40,520,127,1965,"Nepal","182240",0.244230769230769
"137",41,485,130,1965,"Nepal","182240",0.268041237113402
"138",42,500,155,1965,"Nepal","182240",0.31
"139",43,484,177,1965,"Nepal","182240",0.365702479338843
"140",44,467,185,1965,"Nepal","182240",0.396145610278373
"141",45,434,202,1965,"Nepal","182240",0.465437788018433
"142",46,431,231,1965,"Nepal","182240",0.535962877030162
"143",47,445,234,1965,"Nepal","182240",0.525842696629213
"144",48,395,248,1965,"Nepal","182240",0.627848101265823
"145",49,402,239,1965,"Nepal","182240",0.59452736318408
"146",50,413,243,1965,"Nepal","182240",0.588377723970944
"147",51,385,249,1965,"Nepal","182240",0.646753246753247
"148",52,334,222,1965,"Nepal","182240",0.664670658682635
"149",53,363,253,1965,"Nepal","182240",0.696969696969697
"150",54,334,230,1965,"Nepal","182240",0.688622754491018
"151",55,334,229,1965,"Nepal","182240",0.68562874251497
"152",56,300,224,1965,"Nepal","182240",0.746666666666667
"153",57,277,201,1965,"Nepal","182240",0.725631768953069
"154",58,283,218,1965,"Nepal","182240",0.770318021201413
"155",59,249,194,1965,"Nepal","182240",0.779116465863454
"156",60,251,190,1965,"Nepal","182240",0.756972111553785
"157",61,233,173,1965,"Nepal","182240",0.742489270386266
"158",62,210,172,1965,"Nepal","182240",0.819047619047619
"159",63,170,146,1965,"Nepal","182240",0.858823529411765
"160",64,179,144,1965,"Nepal","182240",0.804469273743017
"161",65,182,155,1965,"Nepal","182240",0.851648351648352
"162",66,177,148,1965,"Nepal","182240",0.836158192090395
"163",67,168,146,1965,"Nepal","182240",0.869047619047619
"164",68,139,126,1965,"Nepal","182240",0.906474820143885
"165",69,135,110,1965,"Nepal","182240",0.814814814814815
"166",70,98,87,1965,"Nepal","182240",0.887755102040816
"167",71,117,101,1965,"Nepal","182240",0.863247863247863
"168",72,89,76,1965,"Nepal","182240",0.853932584269663
"169",73,91,78,1965,"Nepal","182240",0.857142857142857
"170",74,67,56,1965,"Nepal","182240",0.835820895522388
"171",75,74,66,1965,"Nepal","182240",0.891891891891892
"172",76,62,51,1965,"Nepal","182240",0.82258064516129
"173",77,50,44,1965,"Nepal","182240",0.88
"174",78,33,29,1965,"Nepal","182240",0.878787878787879
"175",79,37,30,1965,"Nepal","182240",0.810810810810811
"176",80,22,18,1965,"Nepal","182240",0.818181818181818
"177",81,17,17,1965,"Nepal","182240",1
"178",82,18,13,1965,"Nepal","182240",0.722222222222222
"179",83,15,15,1965,"Nepal","182240",1
"180",84,7,6,1965,"Nepal","182240",0.857142857142857
"181",85,12,12,1965,"Nepal","182240",1
"182",86,6,4,1965,"Nepal","182240",0.666666666666667
"183",87,7,5,1965,"Nepal","182240",0.714285714285714
"184",88,1,1,1965,"Nepal","182240",1
"185",89,4,4,1965,"Nepal","182240",1
"186",90,2,1,1965,"Nepal","182240",0.5
"187",91,1,1,1965,"Nepal","182240",1
"188",93,1,0,1965,"Nepal","182240",0
"189",0,1568,0,1970,"Nepal","182240",0
"190",1,1417,0,1970,"Nepal","182240",0
"191",2,1309,0,1970,"Nepal","182240",0
"192",3,1233,0,1970,"Nepal","182240",0
"193",4,1250,0,1970,"Nepal","182240",0
"194",5,1165,0,1970,"Nepal","182240",0
"195",6,1196,0,1970,"Nepal","182240",0
"196",7,1108,0,1970,"Nepal","182240",0
"197",8,1117,0,1970,"Nepal","182240",0
"198",9,1035,0,1970,"Nepal","182240",0
"199",10,995,0,1970,"Nepal","182240",0
"200",11,977,0,1970,"Nepal","182240",0
"201",12,1010,0,1970,"Nepal","182240",0
"202",13,932,0,1970,"Nepal","182240",0
"203",14,930,0,1970,"Nepal","182240",0
"204",15,916,0,1970,"Nepal","182240",0
"205",16,928,0,1970,"Nepal","182240",0
"206",17,841,0,1970,"Nepal","182240",0
"207",18,858,0,1970,"Nepal","182240",0
"208",19,838,0,1970,"Nepal","182240",0
"209",20,945,0,1970,"Nepal","182240",0
"210",21,977,0,1970,"Nepal","182240",0
"211",22,923,0,1970,"Nepal","182240",0
"212",23,830,0,1970,"Nepal","182240",0
"213",24,907,0,1970,"Nepal","182240",0
"214",25,861,0,1970,"Nepal","182240",0
"215",26,842,0,1970,"Nepal","182240",0
"216",27,775,1,1970,"Nepal","182240",0.00129032258064516
"217",28,776,0,1970,"Nepal","182240",0
"218",29,748,3,1970,"Nepal","182240",0.00401069518716578
"219",30,776,4,1970,"Nepal","182240",0.00515463917525773
"220",31,751,10,1970,"Nepal","182240",0.0133155792276964
"221",32,721,15,1970,"Nepal","182240",0.0208044382801664
"222",33,695,16,1970,"Nepal","182240",0.023021582733813
"223",34,637,29,1970,"Nepal","182240",0.0455259026687598
"224",35,687,45,1970,"Nepal","182240",0.0655021834061135
"225",36,635,67,1970,"Nepal","182240",0.105511811023622
"226",37,641,64,1970,"Nepal","182240",0.0998439937597504
"227",38,627,99,1970,"Nepal","182240",0.157894736842105
"228",39,569,114,1970,"Nepal","182240",0.200351493848858
"229",40,569,120,1970,"Nepal","182240",0.210896309314587
"230",41,554,167,1970,"Nepal","182240",0.3014440433213
"231",42,534,182,1970,"Nepal","182240",0.340823970037453
"232",43,522,215,1970,"Nepal","182240",0.411877394636015
"233",44,520,218,1970,"Nepal","182240",0.419230769230769
"234",45,472,220,1970,"Nepal","182240",0.466101694915254
"235",46,448,225,1970,"Nepal","182240",0.502232142857143
"236",47,467,241,1970,"Nepal","182240",0.516059957173448
"237",48,448,261,1970,"Nepal","182240",0.582589285714286
"238",49,424,239,1970,"Nepal","182240",0.563679245283019
"239",50,379,242,1970,"Nepal","182240",0.638522427440633
"240",51,384,258,1970,"Nepal","182240",0.671875
"241",52,407,262,1970,"Nepal","182240",0.643734643734644
"242",53,359,264,1970,"Nepal","182240",0.735376044568245
"243",54,358,259,1970,"Nepal","182240",0.723463687150838
"244",55,366,259,1970,"Nepal","182240",0.707650273224044
"245",56,342,252,1970,"Nepal","182240",0.736842105263158
"246",57,287,216,1970,"Nepal","182240",0.752613240418119
"247",58,312,245,1970,"Nepal","182240",0.78525641025641
"248",59,287,218,1970,"Nepal","182240",0.759581881533101
"249",60,302,231,1970,"Nepal","182240",0.764900662251656
"250",61,258,206,1970,"Nepal","182240",0.798449612403101
"251",62,242,188,1970,"Nepal","182240",0.776859504132231
"252",63,234,187,1970,"Nepal","182240",0.799145299145299
"253",64,193,157,1970,"Nepal","182240",0.813471502590674
"254",65,197,161,1970,"Nepal","182240",0.817258883248731
"255",66,176,141,1970,"Nepal","182240",0.801136363636364
"256",67,165,134,1970,"Nepal","182240",0.812121212121212
"257",68,131,115,1970,"Nepal","182240",0.877862595419847
"258",69,129,106,1970,"Nepal","182240",0.821705426356589
"259",70,133,116,1970,"Nepal","182240",0.87218045112782
"260",71,119,101,1970,"Nepal","182240",0.848739495798319
"261",72,111,94,1970,"Nepal","182240",0.846846846846847
"262",73,89,79,1970,"Nepal","182240",0.887640449438202
"263",74,84,68,1970,"Nepal","182240",0.80952380952381
"264",75,58,52,1970,"Nepal","182240",0.896551724137931
"265",76,64,58,1970,"Nepal","182240",0.90625
"266",77,58,52,1970,"Nepal","182240",0.896551724137931
"267",78,46,40,1970,"Nepal","182240",0.869565217391304
"268",79,37,33,1970,"Nepal","182240",0.891891891891892
"269",80,40,35,1970,"Nepal","182240",0.875
"270",81,30,23,1970,"Nepal","182240",0.766666666666667
"271",82,23,22,1970,"Nepal","182240",0.956521739130435
"272",83,12,11,1970,"Nepal","182240",0.916666666666667
"273",84,9,5,1970,"Nepal","182240",0.555555555555556
"274",85,10,8,1970,"Nepal","182240",0.8
"275",86,6,6,1970,"Nepal","182240",1
"276",87,2,2,1970,"Nepal","182240",1
"277",88,3,3,1970,"Nepal","182240",1
"278",89,2,2,1970,"Nepal","182240",1
"279",90,2,2,1970,"Nepal","182240",1
"280",91,1,1,1970,"Nepal","182240",1
"281",92,3,2,1970,"Nepal","182240",0.666666666666667
"282",94,1,1,1970,"Nepal","182240",1
"283",95,1,0,1970,"Nepal","182240",0
"284",98,1,0,1970,"Nepal","182240",0
"285",0,1650,0,1975,"Nepal","182240",0
"286",1,1542,0,1975,"Nepal","182240",0
"287",2,1399,0,1975,"Nepal","182240",0
"288",3,1409,0,1975,"Nepal","182240",0
"289",4,1273,0,1975,"Nepal","182240",0
"290",5,1300,0,1975,"Nepal","182240",0
"291",6,1291,0,1975,"Nepal","182240",0
"292",7,1216,0,1975,"Nepal","182240",0
"293",8,1167,0,1975,"Nepal","182240",0
"294",9,1211,0,1975,"Nepal","182240",0
"295",10,1123,0,1975,"Nepal","182240",0
"296",11,1172,0,1975,"Nepal","182240",0
"297",12,1079,0,1975,"Nepal","182240",0
"298",13,1077,0,1975,"Nepal","182240",0
"299",14,1018,0,1975,"Nepal","182240",0
"300",15,969,0,1975,"Nepal","182240",0
"301",16,955,0,1975,"Nepal","182240",0
"302",17,984,0,1975,"Nepal","182240",0
"303",18,904,0,1975,"Nepal","182240",0
"304",19,909,0,1975,"Nepal","182240",0
"305",20,885,0,1975,"Nepal","182240",0
"306",21,897,0,1975,"Nepal","182240",0
"307",22,809,0,1975,"Nepal","182240",0
"308",23,822,0,1975,"Nepal","182240",0
"309",24,801,1,1975,"Nepal","182240",0.00124843945068664
"310",25,902,0,1975,"Nepal","182240",0
"311",26,947,0,1975,"Nepal","182240",0
"312",27,876,1,1975,"Nepal","182240",0.00114155251141553
"313",28,794,1,1975,"Nepal","182240",0.00125944584382872
"314",29,871,2,1975,"Nepal","182240",0.00229621125143513
"315",30,827,3,1975,"Nepal","182240",0.00362756952841596
"316",31,786,11,1975,"Nepal","182240",0.0139949109414758
"317",32,736,21,1975,"Nepal","182240",0.0285326086956522
"318",33,742,24,1975,"Nepal","182240",0.032345013477089
"319",34,710,46,1975,"Nepal","182240",0.0647887323943662
"320",35,741,42,1975,"Nepal","182240",0.0566801619433198
"321",36,713,66,1975,"Nepal","182240",0.0925666199158485
"322",37,678,77,1975,"Nepal","182240",0.113569321533923
"323",38,652,103,1975,"Nepal","182240",0.157975460122699
"324",39,604,128,1975,"Nepal","182240",0.211920529801325
"325",40,638,139,1975,"Nepal","182240",0.217868338557994
"326",41,609,176,1975,"Nepal","182240",0.288998357963875
"327",42,601,176,1975,"Nepal","182240",0.292845257903494
"328",43,591,217,1975,"Nepal","182240",0.367174280879865
"329",44,533,218,1975,"Nepal","182240",0.409005628517824
"330",45,534,229,1975,"Nepal","182240",0.428838951310861
"331",46,509,259,1975,"Nepal","182240",0.508840864440079
"332",47,489,279,1975,"Nepal","182240",0.570552147239264
"333",48,489,292,1975,"Nepal","182240",0.597137014314928
"334",49,474,280,1975,"Nepal","182240",0.590717299578059
"335",50,433,286,1975,"Nepal","182240",0.660508083140878
"336",51,400,266,1975,"Nepal","182240",0.665
"337",52,434,286,1975,"Nepal","182240",0.658986175115207
"338",53,409,301,1975,"Nepal","182240",0.735941320293399
"339",54,381,274,1975,"Nepal","182240",0.719160104986877
"340",55,340,259,1975,"Nepal","182240",0.761764705882353
"341",56,349,261,1975,"Nepal","182240",0.74785100286533
"342",57,367,275,1975,"Nepal","182240",0.749318801089918
"343",58,304,235,1975,"Nepal","182240",0.773026315789474
"344",59,318,242,1975,"Nepal","182240",0.761006289308176
"345",60,312,236,1975,"Nepal","182240",0.756410256410256
"346",61,293,232,1975,"Nepal","182240",0.791808873720137
"347",62,238,191,1975,"Nepal","182240",0.802521008403361
"348",63,261,213,1975,"Nepal","182240",0.816091954022989
"349",64,242,192,1975,"Nepal","182240",0.793388429752066
"350",65,250,203,1975,"Nepal","182240",0.812
"351",66,212,178,1975,"Nepal","182240",0.839622641509434
"352",67,192,156,1975,"Nepal","182240",0.8125
"353",68,191,150,1975,"Nepal","182240",0.785340314136126
"354",69,144,121,1975,"Nepal","182240",0.840277777777778
"355",70,153,127,1975,"Nepal","182240",0.830065359477124
"356",71,123,103,1975,"Nepal","182240",0.83739837398374
"357",72,114,96,1975,"Nepal","182240",0.842105263157895
"358",73,96,86,1975,"Nepal","182240",0.895833333333333
"359",74,81,68,1975,"Nepal","182240",0.839506172839506
"360",75,81,71,1975,"Nepal","182240",0.876543209876543
