"","age","pop","gp","country","seed","year","share"
"1",0,1295,0,"Netherlands","150057",2022,0
"2",1,1294,0,"Netherlands","150057",2022,0
"3",2,1258,0,"Netherlands","150057",2022,0
"4",3,1300,0,"Netherlands","150057",2022,0
"5",4,1277,0,"Netherlands","150057",2022,0
"6",5,1233,0,"Netherlands","150057",2022,0
"7",6,1265,0,"Netherlands","150057",2022,0
"8",7,1297,0,"Netherlands","150057",2022,0
"9",8,1321,0,"Netherlands","150057",2022,0
"10",9,1312,0,"Netherlands","150057",2022,0
"11",10,1329,0,"Netherlands","150057",2022,0
"12",11,1370,0,"Netherlands","150057",2022,0
"13",12,1317,0,"Netherlands","150057",2022,0
"14",13,1397,0,"Netherlands","150057",2022,0
"15",14,1468,0,"Netherlands","150057",2022,0
"16",15,1395,0,"Netherlands","150057",2022,0
"17",16,1446,0,"Netherlands","150057",2022,0
"18",17,1560,0,"Netherlands","150057",2022,0
"19",18,1535,0,"Netherlands","150057",2022,0
"20",19,1626,0,"Netherlands","150057",2022,0
"21",20,1684,0,"Netherlands","150057",2022,0
"22",21,1731,0,"Netherlands","150057",2022,0
"23",22,1570,0,"Netherlands","150057",2022,0
"24",23,1634,0,"Netherlands","150057",2022,0
"25",24,1681,0,"Netherlands","150057",2022,0
"26",25,1692,0,"Netherlands","150057",2022,0
"27",26,1748,0,"Netherlands","150057",2022,0
"28",27,1814,0,"Netherlands","150057",2022,0
"29",28,1813,0,"Netherlands","150057",2022,0
"30",29,1834,0,"Netherlands","150057",2022,0
"31",30,1767,0,"Netherlands","150057",2022,0
"32",31,1750,0,"Netherlands","150057",2022,0
"33",32,1834,1,"Netherlands","150057",2022,0.00054525627044711
"34",33,1695,0,"Netherlands","150057",2022,0
"35",34,1788,0,"Netherlands","150057",2022,0
"36",35,1698,2,"Netherlands","150057",2022,0.00117785630153121
"37",36,1651,4,"Netherlands","150057",2022,0.00242277407631738
"38",37,1641,2,"Netherlands","150057",2022,0.0012187690432663
"39",38,1627,3,"Netherlands","150057",2022,0.00184388444990781
"40",39,1599,7,"Netherlands","150057",2022,0.00437773608505316
"41",40,1678,18,"Netherlands","150057",2022,0.0107270560190703
"42",41,1611,18,"Netherlands","150057",2022,0.0111731843575419
"43",42,1678,26,"Netherlands","150057",2022,0.0154946364719905
"44",43,1694,41,"Netherlands","150057",2022,0.0242030696576151
"45",44,1594,58,"Netherlands","150057",2022,0.0363864491844417
"46",45,1655,83,"Netherlands","150057",2022,0.0501510574018127
