"","age","pop","gp","country","seed","year","share"
"1",0,1235,0,"NewCaledonia","271990",2022,0
"2",1,1304,0,"NewCaledonia","271990",2022,0
"3",2,1337,0,"NewCaledonia","271990",2022,0
"4",3,1320,0,"NewCaledonia","271990",2022,0
"5",4,1305,0,"NewCaledonia","271990",2022,0
"6",5,1272,0,"NewCaledonia","271990",2022,0
"7",6,1297,0,"NewCaledonia","271990",2022,0
"8",7,1428,0,"NewCaledonia","271990",2022,0
"9",8,1489,0,"NewCaledonia","271990",2022,0
"10",9,1351,0,"NewCaledonia","271990",2022,0
"11",10,1446,0,"NewCaledonia","271990",2022,0
"12",11,1389,0,"NewCaledonia","271990",2022,0
"13",12,1477,0,"NewCaledonia","271990",2022,0
"14",13,1420,0,"NewCaledonia","271990",2022,0
"15",14,1378,0,"NewCaledonia","271990",2022,0
"16",15,1440,0,"NewCaledonia","271990",2022,0
"17",16,1415,0,"NewCaledonia","271990",2022,0
"18",17,1506,0,"NewCaledonia","271990",2022,0
"19",18,1471,0,"NewCaledonia","271990",2022,0
"20",19,1375,0,"NewCaledonia","271990",2022,0
"21",20,1421,0,"NewCaledonia","271990",2022,0
"22",21,1460,0,"NewCaledonia","271990",2022,0
"23",22,1638,0,"NewCaledonia","271990",2022,0
"24",23,1537,0,"NewCaledonia","271990",2022,0
"25",24,1521,0,"NewCaledonia","271990",2022,0
"26",25,1489,0,"NewCaledonia","271990",2022,0
"27",26,1490,0,"NewCaledonia","271990",2022,0
"28",27,1662,0,"NewCaledonia","271990",2022,0
"29",28,1603,1,"NewCaledonia","271990",2022,0.000623830318153462
"30",29,1546,1,"NewCaledonia","271990",2022,0.000646830530401035
"31",30,1511,0,"NewCaledonia","271990",2022,0
"32",31,1495,1,"NewCaledonia","271990",2022,0.000668896321070234
"33",32,1576,1,"NewCaledonia","271990",2022,0.000634517766497462
"34",33,1453,6,"NewCaledonia","271990",2022,0.00412938747419133
"35",34,1486,10,"NewCaledonia","271990",2022,0.00672947510094213
"36",35,1397,9,"NewCaledonia","271990",2022,0.00644237652111668
"37",36,1476,14,"NewCaledonia","271990",2022,0.00948509485094851
"38",37,1453,33,"NewCaledonia","271990",2022,0.0227116311080523
"39",38,1426,49,"NewCaledonia","271990",2022,0.0343618513323983
"40",39,1367,54,"NewCaledonia","271990",2022,0.0395025603511339
"41",40,1379,89,"NewCaledonia","271990",2022,0.0645395213923133
"42",41,1337,98,"NewCaledonia","271990",2022,0.0732984293193717
"43",42,1420,154,"NewCaledonia","271990",2022,0.108450704225352
"44",43,1459,190,"NewCaledonia","271990",2022,0.130226182316655
"45",44,1391,238,"NewCaledonia","271990",2022,0.171099928109274
"46",45,1383,290,"NewCaledonia","271990",2022,0.209689081706435
"47",46,1275,310,"NewCaledonia","271990",2022,0.243137254901961
"48",47,1636,473,"NewCaledonia","271990",2022,0.289119804400978
"49",48,1561,486,"NewCaledonia","271990",2022,0.311338885329917
"50",49,1585,578,"NewCaledonia","271990",2022,0.364668769716088
"51",50,1495,636,"NewCaledonia","271990",2022,0.425418060200669
"52",51,1434,667,"NewCaledonia","271990",2022,0.46513249651325
"53",52,1432,697,"NewCaledonia","271990",2022,0.486731843575419
"54",53,1385,742,"NewCaledonia","271990",2022,0.535740072202166
"55",54,1306,784,"NewCaledonia","271990",2022,0.600306278713629
"56",55,1249,714,"NewCaledonia","271990",2022,0.571657325860689
"57",56,1294,802,"NewCaledonia","271990",2022,0.619783616692427
"58",57,1236,809,"NewCaledonia","271990",2022,0.65453074433657
"59",58,1158,759,"NewCaledonia","271990",2022,0.655440414507772
"60",59,1099,766,"NewCaledonia","271990",2022,0.696997270245678
"61",60,1122,807,"NewCaledonia","271990",2022,0.719251336898396
"62",61,974,705,"NewCaledonia","271990",2022,0.723819301848049
"63",62,1012,746,"NewCaledonia","271990",2022,0.737154150197628
"64",63,954,742,"NewCaledonia","271990",2022,0.777777777777778
"65",64,936,715,"NewCaledonia","271990",2022,0.763888888888889
"66",65,870,681,"NewCaledonia","271990",2022,0.782758620689655
"67",66,776,620,"NewCaledonia","271990",2022,0.798969072164949
"68",67,824,680,"NewCaledonia","271990",2022,0.825242718446602
"69",68,726,604,"NewCaledonia","271990",2022,0.831955922865014
"70",69,717,606,"NewCaledonia","271990",2022,0.845188284518828
"71",70,647,545,"NewCaledonia","271990",2022,0.842349304482226
