"","age","pop","gp","year","country","seed","share"
"1",0,681,0,1990,"NewZealand","130651",0
"2",1,730,0,1990,"NewZealand","130651",0
"3",2,667,0,1990,"NewZealand","130651",0
"4",3,663,0,1990,"NewZealand","130651",0
"5",4,602,0,1990,"NewZealand","130651",0
"6",5,632,0,1990,"NewZealand","130651",0
"7",6,610,0,1990,"NewZealand","130651",0
"8",7,629,0,1990,"NewZealand","130651",0
"9",8,570,0,1990,"NewZealand","130651",0
"10",9,619,0,1990,"NewZealand","130651",0
"11",10,673,0,1990,"NewZealand","130651",0
"12",11,617,0,1990,"NewZealand","130651",0
"13",12,565,0,1990,"NewZealand","130651",0
"14",13,580,0,1990,"NewZealand","130651",0
"15",14,555,0,1990,"NewZealand","130651",0
"16",15,713,0,1990,"NewZealand","130651",0
"17",16,709,0,1990,"NewZealand","130651",0
"18",17,701,0,1990,"NewZealand","130651",0
"19",18,655,0,1990,"NewZealand","130651",0
"20",19,707,0,1990,"NewZealand","130651",0
"21",20,756,0,1990,"NewZealand","130651",0
"22",21,738,0,1990,"NewZealand","130651",0
"23",22,702,0,1990,"NewZealand","130651",0
"24",23,720,0,1990,"NewZealand","130651",0
"25",24,699,0,1990,"NewZealand","130651",0
"26",25,759,0,1990,"NewZealand","130651",0
"27",26,781,0,1990,"NewZealand","130651",0
"28",27,743,0,1990,"NewZealand","130651",0
"29",28,723,0,1990,"NewZealand","130651",0
"30",29,729,3,1990,"NewZealand","130651",0.00411522633744856
"31",30,745,3,1990,"NewZealand","130651",0.00402684563758389
"32",31,730,1,1990,"NewZealand","130651",0.00136986301369863
"33",32,721,2,1990,"NewZealand","130651",0.00277392510402219
"34",33,681,9,1990,"NewZealand","130651",0.013215859030837
"35",34,663,6,1990,"NewZealand","130651",0.00904977375565611
"36",35,565,17,1990,"NewZealand","130651",0.0300884955752212
"37",36,600,20,1990,"NewZealand","130651",0.0333333333333333
"38",37,576,34,1990,"NewZealand","130651",0.0590277777777778
"39",38,572,42,1990,"NewZealand","130651",0.0734265734265734
