"","age","pop","gp","year","country","seed","share"
"1",0,1667,0,1990,"Nicaragua","232142",0
"2",1,1638,0,1990,"Nicaragua","232142",0
"3",2,1526,0,1990,"Nicaragua","232142",0
"4",3,1465,0,1990,"Nicaragua","232142",0
"5",4,1395,0,1990,"Nicaragua","232142",0
"6",5,1556,0,1990,"Nicaragua","232142",0
"7",6,1498,0,1990,"Nicaragua","232142",0
"8",7,1401,0,1990,"Nicaragua","232142",0
"9",8,1343,0,1990,"Nicaragua","232142",0
"10",9,1332,0,1990,"Nicaragua","232142",0
"11",10,1366,0,1990,"Nicaragua","232142",0
"12",11,1306,0,1990,"Nicaragua","232142",0
"13",12,1295,0,1990,"Nicaragua","232142",0
"14",13,1236,0,1990,"Nicaragua","232142",0
"15",14,1227,0,1990,"Nicaragua","232142",0
"16",15,1200,0,1990,"Nicaragua","232142",0
"17",16,1164,0,1990,"Nicaragua","232142",0
"18",17,1187,0,1990,"Nicaragua","232142",0
"19",18,1098,0,1990,"Nicaragua","232142",0
"20",19,1095,0,1990,"Nicaragua","232142",0
"21",20,1076,0,1990,"Nicaragua","232142",0
"22",21,1083,0,1990,"Nicaragua","232142",0
"23",22,1003,0,1990,"Nicaragua","232142",0
"24",23,977,0,1990,"Nicaragua","232142",0
"25",24,960,0,1990,"Nicaragua","232142",0
"26",25,983,1,1990,"Nicaragua","232142",0.00101729399796541
"27",26,919,2,1990,"Nicaragua","232142",0.00217627856365615
"28",27,867,2,1990,"Nicaragua","232142",0.00230680507497117
"29",28,842,4,1990,"Nicaragua","232142",0.00475059382422803
"30",29,807,5,1990,"Nicaragua","232142",0.00619578686493185
"31",30,812,9,1990,"Nicaragua","232142",0.0110837438423645
"32",31,751,11,1990,"Nicaragua","232142",0.014647137150466
"33",32,689,27,1990,"Nicaragua","232142",0.0391872278664731
"34",33,680,36,1990,"Nicaragua","232142",0.0529411764705882
"35",34,635,60,1990,"Nicaragua","232142",0.094488188976378
"36",35,602,92,1990,"Nicaragua","232142",0.152823920265781
"37",36,602,101,1990,"Nicaragua","232142",0.167774086378738
"38",37,558,138,1990,"Nicaragua","232142",0.247311827956989
"39",38,533,156,1990,"Nicaragua","232142",0.292682926829268
"40",39,512,193,1990,"Nicaragua","232142",0.376953125
"41",40,606,245,1990,"Nicaragua","232142",0.404290429042904
"42",41,559,245,1990,"Nicaragua","232142",0.438282647584973
"43",42,563,294,1990,"Nicaragua","232142",0.522202486678508
"44",43,551,330,1990,"Nicaragua","232142",0.598911070780399
