"","age","pop","gp","year","country","seed","share"
"1",0,135,0,1960,"Niger","215397",0
"2",1,114,0,1960,"Niger","215397",0
"3",2,90,0,1960,"Niger","215397",0
"4",3,98,0,1960,"Niger","215397",0
"5",4,102,0,1960,"Niger","215397",0
"6",5,95,0,1960,"Niger","215397",0
"7",6,91,0,1960,"Niger","215397",0
"8",7,68,0,1960,"Niger","215397",0
"9",8,83,0,1960,"Niger","215397",0
"10",9,73,0,1960,"Niger","215397",0
"11",10,78,0,1960,"Niger","215397",0
"12",11,67,0,1960,"Niger","215397",0
"13",12,95,0,1960,"Niger","215397",0
"14",13,76,0,1960,"Niger","215397",0
"15",14,77,0,1960,"Niger","215397",0
"16",15,77,0,1960,"Niger","215397",0
"17",16,67,0,1960,"Niger","215397",0
"18",17,74,0,1960,"Niger","215397",0
"19",18,73,0,1960,"Niger","215397",0
"20",19,67,0,1960,"Niger","215397",0
"21",20,67,0,1960,"Niger","215397",0
"22",21,61,0,1960,"Niger","215397",0
"23",22,58,0,1960,"Niger","215397",0
"24",23,55,0,1960,"Niger","215397",0
"25",24,48,0,1960,"Niger","215397",0
"26",25,46,0,1960,"Niger","215397",0
"27",26,58,0,1960,"Niger","215397",0
"28",27,51,0,1960,"Niger","215397",0
"29",28,49,0,1960,"Niger","215397",0
"30",29,44,1,1960,"Niger","215397",0.0227272727272727
"31",30,45,0,1960,"Niger","215397",0
"32",31,40,0,1960,"Niger","215397",0
"33",32,39,2,1960,"Niger","215397",0.0512820512820513
"34",33,48,4,1960,"Niger","215397",0.0833333333333333
"35",34,49,5,1960,"Niger","215397",0.102040816326531
"36",35,38,6,1960,"Niger","215397",0.157894736842105
"37",36,33,5,1960,"Niger","215397",0.151515151515152
"38",37,32,8,1960,"Niger","215397",0.25
"39",38,42,6,1960,"Niger","215397",0.142857142857143
"40",39,29,8,1960,"Niger","215397",0.275862068965517
"41",40,40,14,1960,"Niger","215397",0.35
"42",41,38,19,1960,"Niger","215397",0.5
"43",42,28,16,1960,"Niger","215397",0.571428571428571
"44",43,32,26,1960,"Niger","215397",0.8125
"45",44,20,13,1960,"Niger","215397",0.65
"46",45,28,21,1960,"Niger","215397",0.75
"47",46,27,20,1960,"Niger","215397",0.740740740740741
"48",47,23,16,1960,"Niger","215397",0.695652173913043
"49",48,30,25,1960,"Niger","215397",0.833333333333333
"50",49,17,12,1960,"Niger","215397",0.705882352941177
"51",50,25,19,1960,"Niger","215397",0.76
"52",51,15,12,1960,"Niger","215397",0.8
"53",52,18,16,1960,"Niger","215397",0.888888888888889
"54",53,18,14,1960,"Niger","215397",0.777777777777778
"55",54,16,13,1960,"Niger","215397",0.8125
"56",55,15,14,1960,"Niger","215397",0.933333333333333
"57",56,21,16,1960,"Niger","215397",0.761904761904762
"58",57,16,13,1960,"Niger","215397",0.8125
"59",58,11,9,1960,"Niger","215397",0.818181818181818
"60",59,9,9,1960,"Niger","215397",1
"61",60,11,11,1960,"Niger","215397",1
"62",61,15,15,1960,"Niger","215397",1
"63",62,7,7,1960,"Niger","215397",1
"64",63,7,5,1960,"Niger","215397",0.714285714285714
"65",64,7,6,1960,"Niger","215397",0.857142857142857
