"","age","pop","gp","year","country","seed","share"
"1",0,622,0,1990,"Nigeria","250909",0
"2",1,576,0,1990,"Nigeria","250909",0
"3",2,528,0,1990,"Nigeria","250909",0
"4",3,490,0,1990,"Nigeria","250909",0
"5",4,467,0,1990,"Nigeria","250909",0
"6",5,494,0,1990,"Nigeria","250909",0
"7",6,476,0,1990,"Nigeria","250909",0
"8",7,472,0,1990,"Nigeria","250909",0
"9",8,423,0,1990,"Nigeria","250909",0
"10",9,413,0,1990,"Nigeria","250909",0
"11",10,448,0,1990,"Nigeria","250909",0
"12",11,407,0,1990,"Nigeria","250909",0
"13",12,411,0,1990,"Nigeria","250909",0
"14",13,380,0,1990,"Nigeria","250909",0
"15",14,366,0,1990,"Nigeria","250909",0
"16",15,352,0,1990,"Nigeria","250909",0
"17",16,386,0,1990,"Nigeria","250909",0
"18",17,334,0,1990,"Nigeria","250909",0
"19",18,316,0,1990,"Nigeria","250909",0
"20",19,339,0,1990,"Nigeria","250909",0
"21",20,316,0,1990,"Nigeria","250909",0
"22",21,298,0,1990,"Nigeria","250909",0
"23",22,285,0,1990,"Nigeria","250909",0
"24",23,289,0,1990,"Nigeria","250909",0
"25",24,274,0,1990,"Nigeria","250909",0
"26",25,288,1,1990,"Nigeria","250909",0.00347222222222222
"27",26,269,1,1990,"Nigeria","250909",0.00371747211895911
"28",27,278,0,1990,"Nigeria","250909",0
"29",28,255,1,1990,"Nigeria","250909",0.00392156862745098
"30",29,249,1,1990,"Nigeria","250909",0.00401606425702811
"31",30,238,3,1990,"Nigeria","250909",0.0126050420168067
"32",31,247,3,1990,"Nigeria","250909",0.0121457489878543
"33",32,240,8,1990,"Nigeria","250909",0.0333333333333333
"34",33,220,3,1990,"Nigeria","250909",0.0136363636363636
"35",34,206,13,1990,"Nigeria","250909",0.0631067961165049
"36",35,199,15,1990,"Nigeria","250909",0.0753768844221105
"37",36,190,29,1990,"Nigeria","250909",0.152631578947368
"38",37,190,29,1990,"Nigeria","250909",0.152631578947368
"39",38,182,41,1990,"Nigeria","250909",0.225274725274725
"40",39,159,39,1990,"Nigeria","250909",0.245283018867925
"41",40,213,51,1990,"Nigeria","250909",0.23943661971831
"42",41,204,71,1990,"Nigeria","250909",0.348039215686274
"43",42,171,77,1990,"Nigeria","250909",0.450292397660819
"44",43,184,80,1990,"Nigeria","250909",0.434782608695652
"45",44,190,90,1990,"Nigeria","250909",0.473684210526316
"46",45,186,81,1990,"Nigeria","250909",0.435483870967742
"47",46,172,85,1990,"Nigeria","250909",0.494186046511628
"48",47,189,119,1990,"Nigeria","250909",0.62962962962963
"49",48,160,99,1990,"Nigeria","250909",0.61875
"50",49,155,97,1990,"Nigeria","250909",0.625806451612903
"51",50,142,95,1990,"Nigeria","250909",0.669014084507042
"52",51,150,96,1990,"Nigeria","250909",0.64
"53",52,141,106,1990,"Nigeria","250909",0.75177304964539
"54",53,128,101,1990,"Nigeria","250909",0.7890625
"55",54,139,111,1990,"Nigeria","250909",0.798561151079137
"56",55,113,89,1990,"Nigeria","250909",0.787610619469027
"57",56,129,99,1990,"Nigeria","250909",0.767441860465116
"58",57,130,104,1990,"Nigeria","250909",0.8
"59",58,104,89,1990,"Nigeria","250909",0.855769230769231
"60",59,118,93,1990,"Nigeria","250909",0.788135593220339
"61",60,111,84,1990,"Nigeria","250909",0.756756756756757
