"","age","pop","gp","year","country","seed","share"
"1",0,1060,0,1990,"NorthMacedonia","17274",0
"2",1,953,0,1990,"NorthMacedonia","17274",0
"3",2,988,0,1990,"NorthMacedonia","17274",0
"4",3,1009,0,1990,"NorthMacedonia","17274",0
"5",4,982,0,1990,"NorthMacedonia","17274",0
"6",5,1015,0,1990,"NorthMacedonia","17274",0
"7",6,1050,0,1990,"NorthMacedonia","17274",0
"8",7,992,0,1990,"NorthMacedonia","17274",0
"9",8,1005,0,1990,"NorthMacedonia","17274",0
"10",9,1040,0,1990,"NorthMacedonia","17274",0
"11",10,1038,0,1990,"NorthMacedonia","17274",0
"12",11,1016,0,1990,"NorthMacedonia","17274",0
"13",12,970,0,1990,"NorthMacedonia","17274",0
"14",13,955,0,1990,"NorthMacedonia","17274",0
"15",14,998,0,1990,"NorthMacedonia","17274",0
"16",15,1121,0,1990,"NorthMacedonia","17274",0
"17",16,1104,0,1990,"NorthMacedonia","17274",0
"18",17,1077,0,1990,"NorthMacedonia","17274",0
"19",18,1051,0,1990,"NorthMacedonia","17274",0
"20",19,1046,0,1990,"NorthMacedonia","17274",0
"21",20,1174,0,1990,"NorthMacedonia","17274",0
"22",21,1160,0,1990,"NorthMacedonia","17274",0
"23",22,1186,0,1990,"NorthMacedonia","17274",0
"24",23,1125,0,1990,"NorthMacedonia","17274",0
"25",24,1114,0,1990,"NorthMacedonia","17274",0
"26",25,1108,0,1990,"NorthMacedonia","17274",0
"27",26,1075,0,1990,"NorthMacedonia","17274",0
"28",27,1071,1,1990,"NorthMacedonia","17274",0.000933706816059757
"29",28,1008,0,1990,"NorthMacedonia","17274",0
"30",29,1000,1,1990,"NorthMacedonia","17274",0.001
"31",30,1041,7,1990,"NorthMacedonia","17274",0.00672430355427474
"32",31,1064,6,1990,"NorthMacedonia","17274",0.0056390977443609
"33",32,986,5,1990,"NorthMacedonia","17274",0.0050709939148073
"34",33,1022,10,1990,"NorthMacedonia","17274",0.00978473581213307
"35",34,952,25,1990,"NorthMacedonia","17274",0.0262605042016807
"36",35,1088,40,1990,"NorthMacedonia","17274",0.0367647058823529
"37",36,1079,53,1990,"NorthMacedonia","17274",0.0491195551436515
"38",37,963,86,1990,"NorthMacedonia","17274",0.0893042575285566
"39",38,997,82,1990,"NorthMacedonia","17274",0.082246740220662
"40",39,961,101,1990,"NorthMacedonia","17274",0.105098855359001
"41",40,1102,176,1990,"NorthMacedonia","17274",0.159709618874773
"42",41,1085,220,1990,"NorthMacedonia","17274",0.202764976958525
"43",42,1067,239,1990,"NorthMacedonia","17274",0.223992502343018
"44",43,963,244,1990,"NorthMacedonia","17274",0.2533748701973
"45",44,993,323,1990,"NorthMacedonia","17274",0.32527693856999
"46",45,914,339,1990,"NorthMacedonia","17274",0.37089715536105
"47",46,917,378,1990,"NorthMacedonia","17274",0.412213740458015
"48",47,881,387,1990,"NorthMacedonia","17274",0.439273552780931
"49",48,922,433,1990,"NorthMacedonia","17274",0.469631236442516
"50",49,888,427,1990,"NorthMacedonia","17274",0.480855855855856
"51",50,851,413,1990,"NorthMacedonia","17274",0.485311398354877
"52",51,805,452,1990,"NorthMacedonia","17274",0.561490683229814
"53",52,804,485,1990,"NorthMacedonia","17274",0.603233830845771
"54",53,765,483,1990,"NorthMacedonia","17274",0.631372549019608
"55",54,724,467,1990,"NorthMacedonia","17274",0.645027624309392
"56",55,728,485,1990,"NorthMacedonia","17274",0.666208791208791
"57",56,691,482,1990,"NorthMacedonia","17274",0.69753979739508
"58",57,661,447,1990,"NorthMacedonia","17274",0.67624810892587
