"","age","pop","gp","year","country","seed","share"
"1",0,704,0,1990,"Norway","133636",0
"2",1,639,0,1990,"Norway","133636",0
"3",2,682,0,1990,"Norway","133636",0
"4",3,676,0,1990,"Norway","133636",0
"5",4,678,0,1990,"Norway","133636",0
"6",5,594,0,1990,"Norway","133636",0
"7",6,626,0,1990,"Norway","133636",0
"8",7,566,0,1990,"Norway","133636",0
"9",8,583,0,1990,"Norway","133636",0
"10",9,561,0,1990,"Norway","133636",0
"11",10,617,0,1990,"Norway","133636",0
"12",11,584,0,1990,"Norway","133636",0
"13",12,588,0,1990,"Norway","133636",0
"14",13,594,0,1990,"Norway","133636",0
"15",14,603,0,1990,"Norway","133636",0
"16",15,777,0,1990,"Norway","133636",0
"17",16,750,0,1990,"Norway","133636",0
"18",17,755,0,1990,"Norway","133636",0
"19",18,708,0,1990,"Norway","133636",0
"20",19,725,0,1990,"Norway","133636",0
"21",20,830,0,1990,"Norway","133636",0
"22",21,855,0,1990,"Norway","133636",0
"23",22,829,0,1990,"Norway","133636",0
"24",23,841,0,1990,"Norway","133636",0
"25",24,840,0,1990,"Norway","133636",0
"26",25,842,0,1990,"Norway","133636",0
"27",26,813,0,1990,"Norway","133636",0
"28",27,867,0,1990,"Norway","133636",0
"29",28,818,0,1990,"Norway","133636",0
"30",29,811,0,1990,"Norway","133636",0
"31",30,774,0,1990,"Norway","133636",0
"32",31,849,0,1990,"Norway","133636",0
"33",32,778,1,1990,"Norway","133636",0.0012853470437018
"34",33,788,3,1990,"Norway","133636",0.00380710659898477
"35",34,709,5,1990,"Norway","133636",0.00705218617771509
"36",35,718,9,1990,"Norway","133636",0.0125348189415042
"37",36,672,11,1990,"Norway","133636",0.0163690476190476
"38",37,666,20,1990,"Norway","133636",0.03003003003003
"39",38,654,13,1990,"Norway","133636",0.0198776758409786
"40",39,667,28,1990,"Norway","133636",0.0419790104947526
"41",40,676,38,1990,"Norway","133636",0.0562130177514793
"42",41,683,57,1990,"Norway","133636",0.0834553440702782
"43",42,615,63,1990,"Norway","133636",0.102439024390244
"44",43,671,106,1990,"Norway","133636",0.157973174366617
"45",44,659,104,1990,"Norway","133636",0.157814871016692
"46",45,643,150,1990,"Norway","133636",0.233281493001555
"47",46,637,169,1990,"Norway","133636",0.26530612244898
"48",47,678,189,1990,"Norway","133636",0.278761061946903
"49",48,640,226,1990,"Norway","133636",0.353125
"50",49,590,195,1990,"Norway","133636",0.330508474576271
"51",50,558,233,1990,"Norway","133636",0.417562724014337
"52",51,600,257,1990,"Norway","133636",0.428333333333333
"53",52,585,308,1990,"Norway","133636",0.526495726495727
"54",53,603,330,1990,"Norway","133636",0.54726368159204
"55",54,621,334,1990,"Norway","133636",0.537842190016103
"56",55,586,330,1990,"Norway","133636",0.563139931740614
