"","age","pop","gp","year","country","seed","share"
"1",0,231,0,1960,"Oman","328085",0
"2",1,199,0,1960,"Oman","328085",0
"3",2,180,0,1960,"Oman","328085",0
"4",3,153,0,1960,"Oman","328085",0
"5",4,168,0,1960,"Oman","328085",0
"6",5,135,0,1960,"Oman","328085",0
"7",6,131,0,1960,"Oman","328085",0
"8",7,127,0,1960,"Oman","328085",0
"9",8,127,0,1960,"Oman","328085",0
"10",9,131,0,1960,"Oman","328085",0
"11",10,133,0,1960,"Oman","328085",0
"12",11,133,0,1960,"Oman","328085",0
"13",12,126,0,1960,"Oman","328085",0
"14",13,116,0,1960,"Oman","328085",0
"15",14,104,0,1960,"Oman","328085",0
"16",15,129,0,1960,"Oman","328085",0
"17",16,101,0,1960,"Oman","328085",0
"18",17,96,0,1960,"Oman","328085",0
"19",18,94,0,1960,"Oman","328085",0
"20",19,95,0,1960,"Oman","328085",0
"21",20,101,0,1960,"Oman","328085",0
"22",21,84,0,1960,"Oman","328085",0
"23",22,92,0,1960,"Oman","328085",0
"24",23,101,0,1960,"Oman","328085",0
"25",24,67,0,1960,"Oman","328085",0
"26",25,88,0,1960,"Oman","328085",0
"27",26,99,0,1960,"Oman","328085",0
"28",27,81,0,1960,"Oman","328085",0
"29",28,70,1,1960,"Oman","328085",0.0142857142857143
"30",29,94,0,1960,"Oman","328085",0
"31",30,65,0,1960,"Oman","328085",0
"32",31,73,0,1960,"Oman","328085",0
"33",32,70,4,1960,"Oman","328085",0.0571428571428571
"34",33,75,6,1960,"Oman","328085",0.08
"35",34,76,3,1960,"Oman","328085",0.0394736842105263
"36",35,83,7,1960,"Oman","328085",0.0843373493975904
"37",36,64,7,1960,"Oman","328085",0.109375
"38",37,56,9,1960,"Oman","328085",0.160714285714286
"39",38,53,6,1960,"Oman","328085",0.113207547169811
"40",39,69,15,1960,"Oman","328085",0.217391304347826
"41",40,44,15,1960,"Oman","328085",0.340909090909091
"42",41,49,13,1960,"Oman","328085",0.26530612244898
"43",42,60,14,1960,"Oman","328085",0.233333333333333
"44",43,57,12,1960,"Oman","328085",0.210526315789474
"45",44,58,18,1960,"Oman","328085",0.310344827586207
"46",45,42,18,1960,"Oman","328085",0.428571428571429
"47",46,69,35,1960,"Oman","328085",0.507246376811594
"48",47,37,20,1960,"Oman","328085",0.540540540540541
"49",48,47,22,1960,"Oman","328085",0.468085106382979
"50",49,38,25,1960,"Oman","328085",0.657894736842105
"51",50,38,24,1960,"Oman","328085",0.631578947368421
"52",51,41,28,1960,"Oman","328085",0.682926829268293
