"","age","pop","gp","country","seed","year","share"
"1",0,866,0,"Pakistan","27633",2022,0
"2",1,838,0,"Pakistan","27633",2022,0
"3",2,822,0,"Pakistan","27633",2022,0
"4",3,857,0,"Pakistan","27633",2022,0
"5",4,831,0,"Pakistan","27633",2022,0
"6",5,752,0,"Pakistan","27633",2022,0
"7",6,836,0,"Pakistan","27633",2022,0
"8",7,814,0,"Pakistan","27633",2022,0
"9",8,748,0,"Pakistan","27633",2022,0
"10",9,723,0,"Pakistan","27633",2022,0
"11",10,741,0,"Pakistan","27633",2022,0
"12",11,732,0,"Pakistan","27633",2022,0
"13",12,738,0,"Pakistan","27633",2022,0
"14",13,683,0,"Pakistan","27633",2022,0
"15",14,702,0,"Pakistan","27633",2022,0
"16",15,669,0,"Pakistan","27633",2022,0
"17",16,656,0,"Pakistan","27633",2022,0
"18",17,651,0,"Pakistan","27633",2022,0
"19",18,691,0,"Pakistan","27633",2022,0
"20",19,621,0,"Pakistan","27633",2022,0
"21",20,641,0,"Pakistan","27633",2022,0
"22",21,619,0,"Pakistan","27633",2022,0
"23",22,657,0,"Pakistan","27633",2022,0
"24",23,629,0,"Pakistan","27633",2022,0
"25",24,626,0,"Pakistan","27633",2022,0
"26",25,577,0,"Pakistan","27633",2022,0
"27",26,580,0,"Pakistan","27633",2022,0
"28",27,612,0,"Pakistan","27633",2022,0
"29",28,613,0,"Pakistan","27633",2022,0
"30",29,536,1,"Pakistan","27633",2022,0.00186567164179104
"31",30,572,0,"Pakistan","27633",2022,0
"32",31,558,0,"Pakistan","27633",2022,0
"33",32,579,4,"Pakistan","27633",2022,0.00690846286701209
"34",33,493,4,"Pakistan","27633",2022,0.00811359026369168
"35",34,530,9,"Pakistan","27633",2022,0.0169811320754717
"36",35,514,9,"Pakistan","27633",2022,0.0175097276264591
"37",36,424,17,"Pakistan","27633",2022,0.0400943396226415
"38",37,471,21,"Pakistan","27633",2022,0.0445859872611465
"39",38,434,27,"Pakistan","27633",2022,0.0622119815668203
"40",39,401,36,"Pakistan","27633",2022,0.0897755610972569
"41",40,417,57,"Pakistan","27633",2022,0.136690647482014
"42",41,389,82,"Pakistan","27633",2022,0.210796915167095
"43",42,370,88,"Pakistan","27633",2022,0.237837837837838
"44",43,345,94,"Pakistan","27633",2022,0.272463768115942
"45",44,396,126,"Pakistan","27633",2022,0.318181818181818
"46",45,346,130,"Pakistan","27633",2022,0.375722543352601
"47",46,319,126,"Pakistan","27633",2022,0.394984326018809
"48",47,353,173,"Pakistan","27633",2022,0.490084985835694
"49",48,329,176,"Pakistan","27633",2022,0.534954407294833
"50",49,304,177,"Pakistan","27633",2022,0.582236842105263
"51",50,282,179,"Pakistan","27633",2022,0.634751773049645
"52",51,256,184,"Pakistan","27633",2022,0.71875
"53",52,283,202,"Pakistan","27633",2022,0.713780918727915
"54",53,279,211,"Pakistan","27633",2022,0.756272401433692
"55",54,249,202,"Pakistan","27633",2022,0.811244979919679
"56",55,220,186,"Pakistan","27633",2022,0.845454545454545
"57",56,252,225,"Pakistan","27633",2022,0.892857142857143
"58",57,231,203,"Pakistan","27633",2022,0.878787878787879
"59",58,217,185,"Pakistan","27633",2022,0.852534562211982
"60",59,189,162,"Pakistan","27633",2022,0.857142857142857
"61",60,205,178,"Pakistan","27633",2022,0.868292682926829
"62",61,199,178,"Pakistan","27633",2022,0.894472361809045
"63",62,159,145,"Pakistan","27633",2022,0.911949685534591
"64",63,164,146,"Pakistan","27633",2022,0.890243902439024
"65",64,149,140,"Pakistan","27633",2022,0.939597315436242
"66",65,158,142,"Pakistan","27633",2022,0.89873417721519
"67",66,140,123,"Pakistan","27633",2022,0.878571428571429
"68",67,141,131,"Pakistan","27633",2022,0.929078014184397
"69",68,98,86,"Pakistan","27633",2022,0.877551020408163
"70",69,104,97,"Pakistan","27633",2022,0.932692307692308
"71",70,99,94,"Pakistan","27633",2022,0.94949494949495
"72",71,90,84,"Pakistan","27633",2022,0.933333333333333
"73",72,83,76,"Pakistan","27633",2022,0.91566265060241
"74",73,89,82,"Pakistan","27633",2022,0.921348314606742
"75",74,82,73,"Pakistan","27633",2022,0.890243902439024
"76",75,63,58,"Pakistan","27633",2022,0.920634920634921
"77",76,63,62,"Pakistan","27633",2022,0.984126984126984
"78",77,54,50,"Pakistan","27633",2022,0.925925925925926
"79",78,56,55,"Pakistan","27633",2022,0.982142857142857
"80",79,52,49,"Pakistan","27633",2022,0.942307692307692
"81",80,45,43,"Pakistan","27633",2022,0.955555555555556
"82",81,34,33,"Pakistan","27633",2022,0.970588235294118
"83",82,24,23,"Pakistan","27633",2022,0.958333333333333
"84",83,23,23,"Pakistan","27633",2022,1
"85",84,18,18,"Pakistan","27633",2022,1
"86",85,19,19,"Pakistan","27633",2022,1
"87",86,13,9,"Pakistan","27633",2022,0.692307692307692
"88",87,12,11,"Pakistan","27633",2022,0.916666666666667
"89",88,9,9,"Pakistan","27633",2022,1
"90",89,5,4,"Pakistan","27633",2022,0.8
"91",90,3,3,"Pakistan","27633",2022,1
"92",91,6,5,"Pakistan","27633",2022,0.833333333333333
"93",92,2,2,"Pakistan","27633",2022,1
"94",93,1,1,"Pakistan","27633",2022,1
"95",95,1,1,"Pakistan","27633",2022,1
