"","age","pop","gp","year","country","seed","share"
"1",0,1032,0,1960,"Panama","118436",0
"2",1,1000,0,1960,"Panama","118436",0
"3",2,932,0,1960,"Panama","118436",0
"4",3,920,0,1960,"Panama","118436",0
"5",4,888,0,1960,"Panama","118436",0
"6",5,872,0,1960,"Panama","118436",0
"7",6,795,0,1960,"Panama","118436",0
"8",7,798,0,1960,"Panama","118436",0
"9",8,701,0,1960,"Panama","118436",0
"10",9,770,0,1960,"Panama","118436",0
"11",10,777,0,1960,"Panama","118436",0
"12",11,794,0,1960,"Panama","118436",0
"13",12,764,0,1960,"Panama","118436",0
"14",13,732,0,1960,"Panama","118436",0
"15",14,731,0,1960,"Panama","118436",0
"16",15,720,0,1960,"Panama","118436",0
"17",16,649,0,1960,"Panama","118436",0
"18",17,641,0,1960,"Panama","118436",0
"19",18,638,0,1960,"Panama","118436",0
"20",19,638,0,1960,"Panama","118436",0
"21",20,599,0,1960,"Panama","118436",0
"22",21,569,0,1960,"Panama","118436",0
"23",22,573,0,1960,"Panama","118436",0
"24",23,541,0,1960,"Panama","118436",0
"25",24,514,0,1960,"Panama","118436",0
"26",25,545,0,1960,"Panama","118436",0
"27",26,479,0,1960,"Panama","118436",0
"28",27,489,0,1960,"Panama","118436",0
"29",28,504,1,1960,"Panama","118436",0.00198412698412698
"30",29,439,3,1960,"Panama","118436",0.00683371298405467
"31",30,454,3,1960,"Panama","118436",0.0066079295154185
"32",31,430,9,1960,"Panama","118436",0.0209302325581395
"33",32,392,13,1960,"Panama","118436",0.0331632653061225
"34",33,383,21,1960,"Panama","118436",0.0548302872062663
"35",34,350,38,1960,"Panama","118436",0.108571428571429
"36",35,344,33,1960,"Panama","118436",0.0959302325581395
"37",36,339,64,1960,"Panama","118436",0.188790560471976
"38",37,353,95,1960,"Panama","118436",0.269121813031161
"39",38,334,95,1960,"Panama","118436",0.284431137724551
"40",39,324,102,1960,"Panama","118436",0.314814814814815
"41",40,298,112,1960,"Panama","118436",0.375838926174497
"42",41,304,142,1960,"Panama","118436",0.467105263157895
"43",42,304,156,1960,"Panama","118436",0.513157894736842
"44",43,281,144,1960,"Panama","118436",0.512455516014235
"45",44,271,178,1960,"Panama","118436",0.656826568265683
"46",45,238,149,1960,"Panama","118436",0.626050420168067
"47",46,237,170,1960,"Panama","118436",0.717299578059072
"48",47,230,173,1960,"Panama","118436",0.752173913043478
"49",48,220,180,1960,"Panama","118436",0.818181818181818
"50",49,249,193,1960,"Panama","118436",0.775100401606426
"51",50,206,179,1960,"Panama","118436",0.868932038834951
"52",51,194,154,1960,"Panama","118436",0.793814432989691
"53",52,205,176,1960,"Panama","118436",0.858536585365854
"54",53,181,153,1960,"Panama","118436",0.845303867403315
"55",54,205,165,1960,"Panama","118436",0.804878048780488
"56",55,200,164,1960,"Panama","118436",0.82
"57",56,186,163,1960,"Panama","118436",0.876344086021505
"58",57,160,136,1960,"Panama","118436",0.85
"59",58,155,144,1960,"Panama","118436",0.929032258064516
"60",59,147,137,1960,"Panama","118436",0.931972789115646
"61",60,126,112,1960,"Panama","118436",0.888888888888889
"62",61,133,117,1960,"Panama","118436",0.879699248120301
