"","age","pop","gp","year","country","seed","share"
"1",0,423,0,1960,"PapuaNewGuinea","443360",0
"2",1,354,0,1960,"PapuaNewGuinea","443360",0
"3",2,402,0,1960,"PapuaNewGuinea","443360",0
"4",3,372,0,1960,"PapuaNewGuinea","443360",0
"5",4,349,0,1960,"PapuaNewGuinea","443360",0
"6",5,333,0,1960,"PapuaNewGuinea","443360",0
"7",6,309,0,1960,"PapuaNewGuinea","443360",0
"8",7,316,0,1960,"PapuaNewGuinea","443360",0
"9",8,304,0,1960,"PapuaNewGuinea","443360",0
"10",9,276,0,1960,"PapuaNewGuinea","443360",0
"11",10,341,0,1960,"PapuaNewGuinea","443360",0
"12",11,331,0,1960,"PapuaNewGuinea","443360",0
"13",12,310,0,1960,"PapuaNewGuinea","443360",0
"14",13,336,0,1960,"PapuaNewGuinea","443360",0
"15",14,316,0,1960,"PapuaNewGuinea","443360",0
"16",15,316,0,1960,"PapuaNewGuinea","443360",0
"17",16,281,0,1960,"PapuaNewGuinea","443360",0
"18",17,295,0,1960,"PapuaNewGuinea","443360",0
"19",18,258,0,1960,"PapuaNewGuinea","443360",0
"20",19,271,0,1960,"PapuaNewGuinea","443360",0
"21",20,249,0,1960,"PapuaNewGuinea","443360",0
"22",21,250,0,1960,"PapuaNewGuinea","443360",0
"23",22,246,0,1960,"PapuaNewGuinea","443360",0
"24",23,235,0,1960,"PapuaNewGuinea","443360",0
"25",24,235,0,1960,"PapuaNewGuinea","443360",0
"26",25,217,0,1960,"PapuaNewGuinea","443360",0
"27",26,224,0,1960,"PapuaNewGuinea","443360",0
"28",27,191,0,1960,"PapuaNewGuinea","443360",0
"29",28,183,0,1960,"PapuaNewGuinea","443360",0
"30",29,192,0,1960,"PapuaNewGuinea","443360",0
"31",30,177,1,1960,"PapuaNewGuinea","443360",0.00564971751412429
"32",31,159,1,1960,"PapuaNewGuinea","443360",0.00628930817610063
"33",32,165,1,1960,"PapuaNewGuinea","443360",0.00606060606060606
"34",33,175,5,1960,"PapuaNewGuinea","443360",0.0285714285714286
"35",34,151,2,1960,"PapuaNewGuinea","443360",0.0132450331125828
"36",35,170,7,1960,"PapuaNewGuinea","443360",0.0411764705882353
"37",36,146,15,1960,"PapuaNewGuinea","443360",0.102739726027397
"38",37,155,29,1960,"PapuaNewGuinea","443360",0.187096774193548
"39",38,130,23,1960,"PapuaNewGuinea","443360",0.176923076923077
"40",39,152,33,1960,"PapuaNewGuinea","443360",0.217105263157895
"41",40,119,33,1960,"PapuaNewGuinea","443360",0.277310924369748
"42",41,142,46,1960,"PapuaNewGuinea","443360",0.323943661971831
"43",42,121,37,1960,"PapuaNewGuinea","443360",0.305785123966942
"44",43,114,38,1960,"PapuaNewGuinea","443360",0.333333333333333
"45",44,120,66,1960,"PapuaNewGuinea","443360",0.55
"46",45,123,64,1960,"PapuaNewGuinea","443360",0.520325203252033
"47",46,106,56,1960,"PapuaNewGuinea","443360",0.528301886792453
"48",47,99,53,1960,"PapuaNewGuinea","443360",0.535353535353535
"49",48,97,55,1960,"PapuaNewGuinea","443360",0.56701030927835
"50",49,82,64,1960,"PapuaNewGuinea","443360",0.780487804878049
"51",50,88,54,1960,"PapuaNewGuinea","443360",0.613636363636364
"52",51,90,54,1960,"PapuaNewGuinea","443360",0.6
"53",52,97,62,1960,"PapuaNewGuinea","443360",0.639175257731959
"54",53,67,47,1960,"PapuaNewGuinea","443360",0.701492537313433
"55",54,83,67,1960,"PapuaNewGuinea","443360",0.807228915662651
"56",55,72,54,1960,"PapuaNewGuinea","443360",0.75
"57",56,59,46,1960,"PapuaNewGuinea","443360",0.779661016949153
"58",57,63,53,1960,"PapuaNewGuinea","443360",0.841269841269841
"59",58,58,47,1960,"PapuaNewGuinea","443360",0.810344827586207
"60",59,78,67,1960,"PapuaNewGuinea","443360",0.858974358974359
"61",60,52,38,1960,"PapuaNewGuinea","443360",0.730769230769231
"62",61,48,39,1960,"PapuaNewGuinea","443360",0.8125
"63",62,46,40,1960,"PapuaNewGuinea","443360",0.869565217391304
"64",63,28,24,1960,"PapuaNewGuinea","443360",0.857142857142857
"65",64,35,30,1960,"PapuaNewGuinea","443360",0.857142857142857
"66",65,34,31,1960,"PapuaNewGuinea","443360",0.911764705882353
