"","age","pop","gp","year","country","seed","share"
"1",0,1616,0,1990,"Paraguay","172683",0
"2",1,1564,0,1990,"Paraguay","172683",0
"3",2,1546,0,1990,"Paraguay","172683",0
"4",3,1495,0,1990,"Paraguay","172683",0
"5",4,1458,0,1990,"Paraguay","172683",0
"6",5,1476,0,1990,"Paraguay","172683",0
"7",6,1443,0,1990,"Paraguay","172683",0
"8",7,1390,0,1990,"Paraguay","172683",0
"9",8,1317,0,1990,"Paraguay","172683",0
"10",9,1312,0,1990,"Paraguay","172683",0
"11",10,1270,0,1990,"Paraguay","172683",0
"12",11,1258,0,1990,"Paraguay","172683",0
"13",12,1233,0,1990,"Paraguay","172683",0
"14",13,1198,0,1990,"Paraguay","172683",0
"15",14,1149,0,1990,"Paraguay","172683",0
"16",15,1167,0,1990,"Paraguay","172683",0
"17",16,1091,0,1990,"Paraguay","172683",0
"18",17,1119,0,1990,"Paraguay","172683",0
"19",18,1048,0,1990,"Paraguay","172683",0
"20",19,1009,0,1990,"Paraguay","172683",0
"21",20,1144,0,1990,"Paraguay","172683",0
"22",21,1107,0,1990,"Paraguay","172683",0
"23",22,1121,0,1990,"Paraguay","172683",0
"24",23,1008,0,1990,"Paraguay","172683",0
"25",24,943,0,1990,"Paraguay","172683",0
"26",25,985,1,1990,"Paraguay","172683",0.00101522842639594
"27",26,945,1,1990,"Paraguay","172683",0.00105820105820106
"28",27,919,0,1990,"Paraguay","172683",0
"29",28,920,2,1990,"Paraguay","172683",0.00217391304347826
"30",29,835,1,1990,"Paraguay","172683",0.00119760479041916
"31",30,803,7,1990,"Paraguay","172683",0.0087173100871731
"32",31,801,9,1990,"Paraguay","172683",0.0112359550561798
"33",32,799,15,1990,"Paraguay","172683",0.0187734668335419
"34",33,747,23,1990,"Paraguay","172683",0.0307898259705489
"35",34,704,23,1990,"Paraguay","172683",0.0326704545454545
"36",35,676,46,1990,"Paraguay","172683",0.0680473372781065
"37",36,657,78,1990,"Paraguay","172683",0.118721461187215
"38",37,617,79,1990,"Paraguay","172683",0.128038897893031
"39",38,614,99,1990,"Paraguay","172683",0.161237785016287
"40",39,605,151,1990,"Paraguay","172683",0.249586776859504
"41",40,675,201,1990,"Paraguay","172683",0.297777777777778
"42",41,678,228,1990,"Paraguay","172683",0.336283185840708
"43",42,609,232,1990,"Paraguay","172683",0.380952380952381
"44",43,597,282,1990,"Paraguay","172683",0.472361809045226
"45",44,585,304,1990,"Paraguay","172683",0.51965811965812
"46",45,539,304,1990,"Paraguay","172683",0.564007421150278
"47",46,542,337,1990,"Paraguay","172683",0.621771217712177
