"","age","pop","gp","year","country","seed","share"
"1",0,547,0,1960,"Peru","354703",0
"2",1,500,0,1960,"Peru","354703",0
"3",2,478,0,1960,"Peru","354703",0
"4",3,460,0,1960,"Peru","354703",0
"5",4,424,0,1960,"Peru","354703",0
"6",5,398,0,1960,"Peru","354703",0
"7",6,395,0,1960,"Peru","354703",0
"8",7,394,0,1960,"Peru","354703",0
"9",8,359,0,1960,"Peru","354703",0
"10",9,385,0,1960,"Peru","354703",0
"11",10,350,0,1960,"Peru","354703",0
"12",11,313,0,1960,"Peru","354703",0
"13",12,304,0,1960,"Peru","354703",0
"14",13,330,0,1960,"Peru","354703",0
"15",14,308,0,1960,"Peru","354703",0
"16",15,307,0,1960,"Peru","354703",0
"17",16,297,0,1960,"Peru","354703",0
"18",17,264,0,1960,"Peru","354703",0
"19",18,271,0,1960,"Peru","354703",0
"20",19,254,0,1960,"Peru","354703",0
"21",20,252,0,1960,"Peru","354703",0
"22",21,233,0,1960,"Peru","354703",0
"23",22,223,0,1960,"Peru","354703",0
"24",23,224,0,1960,"Peru","354703",0
"25",24,219,0,1960,"Peru","354703",0
"26",25,185,0,1960,"Peru","354703",0
"27",26,221,0,1960,"Peru","354703",0
"28",27,214,1,1960,"Peru","354703",0.00467289719626168
"29",28,211,1,1960,"Peru","354703",0.004739336492891
"30",29,173,1,1960,"Peru","354703",0.00578034682080925
"31",30,175,1,1960,"Peru","354703",0.00571428571428571
"32",31,185,4,1960,"Peru","354703",0.0216216216216216
"33",32,166,4,1960,"Peru","354703",0.0240963855421687
"34",33,183,13,1960,"Peru","354703",0.0710382513661202
"35",34,177,9,1960,"Peru","354703",0.0508474576271186
"36",35,177,12,1960,"Peru","354703",0.0677966101694915
"37",36,152,15,1960,"Peru","354703",0.0986842105263158
"38",37,157,19,1960,"Peru","354703",0.121019108280255
"39",38,155,34,1960,"Peru","354703",0.219354838709677
"40",39,136,31,1960,"Peru","354703",0.227941176470588
"41",40,142,35,1960,"Peru","354703",0.246478873239437
"42",41,133,46,1960,"Peru","354703",0.345864661654135
"43",42,137,42,1960,"Peru","354703",0.306569343065693
"44",43,145,67,1960,"Peru","354703",0.462068965517241
"45",44,131,57,1960,"Peru","354703",0.435114503816794
"46",45,138,71,1960,"Peru","354703",0.514492753623188
"47",46,111,68,1960,"Peru","354703",0.612612612612613
"48",47,99,60,1960,"Peru","354703",0.606060606060606
"49",48,97,61,1960,"Peru","354703",0.628865979381443
"50",49,90,71,1960,"Peru","354703",0.788888888888889
"51",50,78,57,1960,"Peru","354703",0.730769230769231
"52",51,107,77,1960,"Peru","354703",0.719626168224299
"53",52,91,66,1960,"Peru","354703",0.725274725274725
"54",53,92,76,1960,"Peru","354703",0.826086956521739
"55",54,83,73,1960,"Peru","354703",0.879518072289157
"56",55,94,76,1960,"Peru","354703",0.808510638297872
"57",56,79,69,1960,"Peru","354703",0.873417721518987
"58",57,61,52,1960,"Peru","354703",0.852459016393443
"59",58,60,51,1960,"Peru","354703",0.85
"60",59,63,56,1960,"Peru","354703",0.888888888888889
"61",60,58,46,1960,"Peru","354703",0.793103448275862
"62",61,50,45,1960,"Peru","354703",0.9
"63",62,57,46,1960,"Peru","354703",0.807017543859649
"64",63,45,43,1960,"Peru","354703",0.955555555555556
"65",64,50,44,1960,"Peru","354703",0.88
"66",65,50,42,1960,"Peru","354703",0.84
"67",66,55,49,1960,"Peru","354703",0.890909090909091
"68",67,43,40,1960,"Peru","354703",0.930232558139535
"69",68,43,36,1960,"Peru","354703",0.837209302325581
"70",69,36,31,1960,"Peru","354703",0.861111111111111
"71",70,40,35,1960,"Peru","354703",0.875
"72",71,33,28,1960,"Peru","354703",0.848484848484849
"73",72,23,22,1960,"Peru","354703",0.956521739130435
"74",73,26,25,1960,"Peru","354703",0.961538461538462
"75",74,19,18,1960,"Peru","354703",0.947368421052632
"76",75,17,16,1960,"Peru","354703",0.941176470588235
"77",76,15,15,1960,"Peru","354703",1
"78",77,10,9,1960,"Peru","354703",0.9
"79",78,10,8,1960,"Peru","354703",0.8
"80",79,10,9,1960,"Peru","354703",0.9
"81",80,6,6,1960,"Peru","354703",1
"82",81,4,4,1960,"Peru","354703",1
"83",82,7,7,1960,"Peru","354703",1
"84",83,2,2,1960,"Peru","354703",1
"85",84,7,7,1960,"Peru","354703",1
"86",85,2,2,1960,"Peru","354703",1
"87",86,1,0,1960,"Peru","354703",0
"88",88,2,2,1960,"Peru","354703",1
"89",89,1,1,1960,"Peru","354703",1
"90",90,1,1,1960,"Peru","354703",1
"91",91,1,1,1960,"Peru","354703",1
"92",0,672,0,1965,"Peru","354703",0
"93",1,560,0,1965,"Peru","354703",0
"94",2,554,0,1965,"Peru","354703",0
"95",3,471,0,1965,"Peru","354703",0
"96",4,490,0,1965,"Peru","354703",0
"97",5,469,0,1965,"Peru","354703",0
"98",6,469,0,1965,"Peru","354703",0
"99",7,442,0,1965,"Peru","354703",0
"100",8,430,0,1965,"Peru","354703",0
"101",9,407,0,1965,"Peru","354703",0
"102",10,391,0,1965,"Peru","354703",0
"103",11,378,0,1965,"Peru","354703",0
"104",12,391,0,1965,"Peru","354703",0
"105",13,352,0,1965,"Peru","354703",0
"106",14,382,0,1965,"Peru","354703",0
"107",15,343,0,1965,"Peru","354703",0
"108",16,310,0,1965,"Peru","354703",0
"109",17,301,0,1965,"Peru","354703",0
"110",18,327,0,1965,"Peru","354703",0
"111",19,301,0,1965,"Peru","354703",0
"112",20,304,0,1965,"Peru","354703",0
"113",21,288,0,1965,"Peru","354703",0
"114",22,257,0,1965,"Peru","354703",0
"115",23,263,0,1965,"Peru","354703",0
"116",24,246,0,1965,"Peru","354703",0
"117",25,249,0,1965,"Peru","354703",0
