"","age","pop","gp","year","country","seed","share"
"1",0,907,0,1960,"Philippines","281703",0
"2",1,868,0,1960,"Philippines","281703",0
"3",2,849,0,1960,"Philippines","281703",0
"4",3,745,0,1960,"Philippines","281703",0
"5",4,731,0,1960,"Philippines","281703",0
"6",5,749,0,1960,"Philippines","281703",0
"7",6,722,0,1960,"Philippines","281703",0
"8",7,635,0,1960,"Philippines","281703",0
"9",8,637,0,1960,"Philippines","281703",0
"10",9,567,0,1960,"Philippines","281703",0
"11",10,703,0,1960,"Philippines","281703",0
"12",11,694,0,1960,"Philippines","281703",0
"13",12,700,0,1960,"Philippines","281703",0
"14",13,652,0,1960,"Philippines","281703",0
"15",14,641,0,1960,"Philippines","281703",0
"16",15,612,0,1960,"Philippines","281703",0
"17",16,581,0,1960,"Philippines","281703",0
"18",17,541,0,1960,"Philippines","281703",0
"19",18,557,0,1960,"Philippines","281703",0
"20",19,518,0,1960,"Philippines","281703",0
"21",20,502,0,1960,"Philippines","281703",0
"22",21,487,0,1960,"Philippines","281703",0
"23",22,469,0,1960,"Philippines","281703",0
"24",23,434,0,1960,"Philippines","281703",0
"25",24,430,0,1960,"Philippines","281703",0
"26",25,419,0,1960,"Philippines","281703",0
"27",26,401,0,1960,"Philippines","281703",0
"28",27,377,0,1960,"Philippines","281703",0
"29",28,384,0,1960,"Philippines","281703",0
"30",29,334,1,1960,"Philippines","281703",0.0029940119760479
"31",30,324,2,1960,"Philippines","281703",0.00617283950617284
"32",31,325,1,1960,"Philippines","281703",0.00307692307692308
"33",32,340,1,1960,"Philippines","281703",0.00294117647058824
"34",33,274,5,1960,"Philippines","281703",0.0182481751824818
"35",34,294,9,1960,"Philippines","281703",0.0306122448979592
"36",35,277,17,1960,"Philippines","281703",0.0613718411552347
"37",36,276,20,1960,"Philippines","281703",0.072463768115942
"38",37,275,28,1960,"Philippines","281703",0.101818181818182
"39",38,242,27,1960,"Philippines","281703",0.111570247933884
"40",39,220,39,1960,"Philippines","281703",0.177272727272727
"41",40,231,60,1960,"Philippines","281703",0.25974025974026
"42",41,222,76,1960,"Philippines","281703",0.342342342342342
"43",42,211,78,1960,"Philippines","281703",0.369668246445498
"44",43,234,108,1960,"Philippines","281703",0.461538461538462
"45",44,192,91,1960,"Philippines","281703",0.473958333333333
"46",45,170,107,1960,"Philippines","281703",0.629411764705882
"47",46,178,113,1960,"Philippines","281703",0.634831460674157
"48",47,144,108,1960,"Philippines","281703",0.75
"49",48,165,117,1960,"Philippines","281703",0.709090909090909
"50",49,156,116,1960,"Philippines","281703",0.743589743589744
"51",50,129,112,1960,"Philippines","281703",0.868217054263566
"52",51,149,123,1960,"Philippines","281703",0.825503355704698
"53",52,144,115,1960,"Philippines","281703",0.798611111111111
"54",53,143,129,1960,"Philippines","281703",0.902097902097902
"55",54,115,104,1960,"Philippines","281703",0.904347826086957
"56",55,120,110,1960,"Philippines","281703",0.916666666666667
"57",56,101,91,1960,"Philippines","281703",0.900990099009901
"58",57,116,108,1960,"Philippines","281703",0.931034482758621
"59",58,92,85,1960,"Philippines","281703",0.923913043478261
"60",59,99,95,1960,"Philippines","281703",0.95959595959596
"61",60,105,98,1960,"Philippines","281703",0.933333333333333
"62",61,84,78,1960,"Philippines","281703",0.928571428571429
"63",62,77,75,1960,"Philippines","281703",0.974025974025974
"64",63,83,75,1960,"Philippines","281703",0.903614457831325
"65",64,75,68,1960,"Philippines","281703",0.906666666666667
"66",65,78,75,1960,"Philippines","281703",0.961538461538462
"67",66,67,63,1960,"Philippines","281703",0.940298507462687
"68",67,57,56,1960,"Philippines","281703",0.982456140350877
"69",68,52,48,1960,"Philippines","281703",0.923076923076923
"70",69,39,37,1960,"Philippines","281703",0.948717948717949
"71",70,42,39,1960,"Philippines","281703",0.928571428571429
"72",71,45,42,1960,"Philippines","281703",0.933333333333333
"73",72,39,37,1960,"Philippines","281703",0.948717948717949
"74",73,35,34,1960,"Philippines","281703",0.971428571428571
"75",74,30,26,1960,"Philippines","281703",0.866666666666667
"76",75,22,22,1960,"Philippines","281703",1
"77",76,21,21,1960,"Philippines","281703",1
"78",77,11,10,1960,"Philippines","281703",0.909090909090909
"79",78,11,11,1960,"Philippines","281703",1
"80",79,13,12,1960,"Philippines","281703",0.923076923076923
"81",80,16,16,1960,"Philippines","281703",1
"82",81,8,7,1960,"Philippines","281703",0.875
"83",82,4,4,1960,"Philippines","281703",1
"84",83,4,3,1960,"Philippines","281703",0.75
"85",84,8,7,1960,"Philippines","281703",0.875
"86",85,3,3,1960,"Philippines","281703",1
"87",87,1,1,1960,"Philippines","281703",1
"88",88,1,1,1960,"Philippines","281703",1
"89",89,1,0,1960,"Philippines","281703",0
"90",0,1068,0,1965,"Philippines","281703",0
"91",1,1076,0,1965,"Philippines","281703",0
"92",2,942,0,1965,"Philippines","281703",0
"93",3,976,0,1965,"Philippines","281703",0
"94",4,883,0,1965,"Philippines","281703",0
"95",5,844,0,1965,"Philippines","281703",0
"96",6,830,0,1965,"Philippines","281703",0
"97",7,829,0,1965,"Philippines","281703",0
"98",8,732,0,1965,"Philippines","281703",0
"99",9,715,0,1965,"Philippines","281703",0
"100",10,742,0,1965,"Philippines","281703",0
"101",11,717,0,1965,"Philippines","281703",0
"102",12,630,0,1965,"Philippines","281703",0
"103",13,635,0,1965,"Philippines","281703",0
"104",14,562,0,1965,"Philippines","281703",0
"105",15,698,0,1965,"Philippines","281703",0
"106",16,690,0,1965,"Philippines","281703",0
"107",17,695,0,1965,"Philippines","281703",0
"108",18,645,0,1965,"Philippines","281703",0
"109",19,637,0,1965,"Philippines","281703",0
"110",20,606,0,1965,"Philippines","281703",0
"111",21,576,0,1965,"Philippines","281703",0
"112",22,534,0,1965,"Philippines","281703",0
"113",23,553,0,1965,"Philippines","281703",0
"114",24,510,0,1965,"Philippines","281703",0
"115",25,496,0,1965,"Philippines","281703",0
"116",26,483,0,1965,"Philippines","281703",0
"117",27,467,0,1965,"Philippines","281703",0
"118",28,430,1,1965,"Philippines","281703",0.00232558139534884
"119",29,429,0,1965,"Philippines","281703",0
"120",30,418,2,1965,"Philippines","281703",0.00478468899521531
"121",31,395,3,1965,"Philippines","281703",0.00759493670886076
"122",32,371,3,1965,"Philippines","281703",0.00808625336927224
"123",33,381,6,1965,"Philippines","281703",0.015748031496063
"124",34,333,13,1965,"Philippines","281703",0.039039039039039
"125",35,321,19,1965,"Philippines","281703",0.059190031152648
"126",36,321,16,1965,"Philippines","281703",0.0498442367601246
"127",37,332,20,1965,"Philippines","281703",0.0602409638554217
"128",38,269,34,1965,"Philippines","281703",0.12639405204461
"129",39,287,58,1965,"Philippines","281703",0.202090592334495
"130",40,276,70,1965,"Philippines","281703",0.253623188405797
"131",41,269,93,1965,"Philippines","281703",0.345724907063197
"132",42,268,99,1965,"Philippines","281703",0.369402985074627
"133",43,238,99,1965,"Philippines","281703",0.415966386554622
"134",44,217,109,1965,"Philippines","281703",0.502304147465438
"135",45,229,134,1965,"Philippines","281703",0.585152838427948
"136",46,212,145,1965,"Philippines","281703",0.683962264150943
"137",47,204,134,1965,"Philippines","281703",0.656862745098039
"138",48,232,173,1965,"Philippines","281703",0.745689655172414
"139",49,189,145,1965,"Philippines","281703",0.767195767195767
"140",50,166,136,1965,"Philippines","281703",0.819277108433735
"141",51,171,153,1965,"Philippines","281703",0.894736842105263
"142",52,140,127,1965,"Philippines","281703",0.907142857142857
"143",53,157,139,1965,"Philippines","281703",0.885350318471338
"144",54,148,136,1965,"Philippines","281703",0.918918918918919
"145",55,124,121,1965,"Philippines","281703",0.975806451612903
"146",56,144,132,1965,"Philippines","281703",0.916666666666667
"147",57,131,117,1965,"Philippines","281703",0.893129770992366
"148",58,138,128,1965,"Philippines","281703",0.927536231884058
"149",59,107,100,1965,"Philippines","281703",0.934579439252336
"150",60,115,106,1965,"Philippines","281703",0.921739130434783
"151",61,92,86,1965,"Philippines","281703",0.934782608695652
"152",62,104,98,1965,"Philippines","281703",0.942307692307692
"153",63,84,77,1965,"Philippines","281703",0.916666666666667
"154",64,90,86,1965,"Philippines","281703",0.955555555555556
"155",65,94,89,1965,"Philippines","281703",0.946808510638298
"156",66,73,69,1965,"Philippines","281703",0.945205479452055
"157",67,68,66,1965,"Philippines","281703",0.970588235294118
"158",68,66,60,1965,"Philippines","281703",0.909090909090909
"159",69,63,57,1965,"Philippines","281703",0.904761904761905
"160",70,60,58,1965,"Philippines","281703",0.966666666666667
"161",71,53,50,1965,"Philippines","281703",0.943396226415094
"162",72,52,51,1965,"Philippines","281703",0.980769230769231
"163",73,39,36,1965,"Philippines","281703",0.923076923076923
"164",74,32,31,1965,"Philippines","281703",0.96875
"165",75,30,29,1965,"Philippines","281703",0.966666666666667
"166",76,33,30,1965,"Philippines","281703",0.909090909090909
"167",77,18,17,1965,"Philippines","281703",0.944444444444444
"168",78,18,18,1965,"Philippines","281703",1
"169",79,20,18,1965,"Philippines","281703",0.9
"170",80,13,13,1965,"Philippines","281703",1
"171",81,7,7,1965,"Philippines","281703",1
"172",82,4,3,1965,"Philippines","281703",0.75
"173",83,8,8,1965,"Philippines","281703",1
"174",84,8,8,1965,"Philippines","281703",1
"175",85,5,5,1965,"Philippines","281703",1
"176",86,1,1,1965,"Philippines","281703",1
"177",87,3,3,1965,"Philippines","281703",1
"178",88,1,1,1965,"Philippines","281703",1
"179",89,1,1,1965,"Philippines","281703",1
"180",90,2,2,1965,"Philippines","281703",1
"181",94,1,0,1965,"Philippines","281703",0
"182",0,1181,0,1970,"Philippines","281703",0
"183",1,1165,0,1970,"Philippines","281703",0
"184",2,1067,0,1970,"Philippines","281703",0
"185",3,1072,0,1970,"Philippines","281703",0
"186",4,982,0,1970,"Philippines","281703",0
"187",5,997,0,1970,"Philippines","281703",0
"188",6,1039,0,1970,"Philippines","281703",0
"189",7,919,0,1970,"Philippines","281703",0
"190",8,966,0,1970,"Philippines","281703",0
"191",9,877,0,1970,"Philippines","281703",0
"192",10,840,0,1970,"Philippines","281703",0
"193",11,823,0,1970,"Philippines","281703",0
"194",12,821,0,1970,"Philippines","281703",0
"195",13,730,0,1970,"Philippines","281703",0
"196",14,709,0,1970,"Philippines","281703",0
"197",15,740,0,1970,"Philippines","281703",0
"198",16,713,0,1970,"Philippines","281703",0
"199",17,625,0,1970,"Philippines","281703",0
"200",18,628,0,1970,"Philippines","281703",0
"201",19,558,0,1970,"Philippines","281703",0
"202",20,693,0,1970,"Philippines","281703",0
"203",21,681,0,1970,"Philippines","281703",0
"204",22,690,0,1970,"Philippines","281703",0
"205",23,643,0,1970,"Philippines","281703",0
"206",24,633,0,1970,"Philippines","281703",0
"207",25,600,0,1970,"Philippines","281703",0
"208",26,572,0,1970,"Philippines","281703",0
