"","age","pop","gp","country","seed","year","share"
"1",0,1544,0,"PuertoRico","286362",2022,0
"2",1,1541,0,"PuertoRico","286362",2022,0
"3",2,1571,0,"PuertoRico","286362",2022,0
"4",3,1632,0,"PuertoRico","286362",2022,0
"5",4,1654,0,"PuertoRico","286362",2022,0
"6",5,1662,0,"PuertoRico","286362",2022,0
"7",6,1817,0,"PuertoRico","286362",2022,0
"8",7,2014,0,"PuertoRico","286362",2022,0
"9",8,2036,0,"PuertoRico","286362",2022,0
"10",9,2075,0,"PuertoRico","286362",2022,0
"11",10,2068,0,"PuertoRico","286362",2022,0
"12",11,2185,0,"PuertoRico","286362",2022,0
"13",12,2377,0,"PuertoRico","286362",2022,0
"14",13,2439,0,"PuertoRico","286362",2022,0
"15",14,2434,0,"PuertoRico","286362",2022,0
"16",15,2400,0,"PuertoRico","286362",2022,0
"17",16,2524,0,"PuertoRico","286362",2022,0
"18",17,2541,0,"PuertoRico","286362",2022,0
"19",18,2664,0,"PuertoRico","286362",2022,0
"20",19,2603,0,"PuertoRico","286362",2022,0
"21",20,2541,0,"PuertoRico","286362",2022,0
"22",21,2683,0,"PuertoRico","286362",2022,0
"23",22,2764,0,"PuertoRico","286362",2022,0
"24",23,2838,0,"PuertoRico","286362",2022,0
"25",24,2660,0,"PuertoRico","286362",2022,0
"26",25,2781,0,"PuertoRico","286362",2022,0
"27",26,2814,0,"PuertoRico","286362",2022,0
"28",27,2910,1,"PuertoRico","286362",2022,0.000343642611683849
"29",28,3065,2,"PuertoRico","286362",2022,0.00065252854812398
"30",29,2926,2,"PuertoRico","286362",2022,0.000683526999316473
"31",30,2998,6,"PuertoRico","286362",2022,0.00200133422281521
"32",31,3055,10,"PuertoRico","286362",2022,0.00327332242225859
"33",32,3141,20,"PuertoRico","286362",2022,0.00636739891754218
"34",33,3011,35,"PuertoRico","286362",2022,0.0116240451677184
"35",34,3017,36,"PuertoRico","286362",2022,0.0119323831620815
"36",35,3070,76,"PuertoRico","286362",2022,0.0247557003257329
"37",36,2957,109,"PuertoRico","286362",2022,0.0368616841393304
"38",37,3217,144,"PuertoRico","286362",2022,0.0447622008082064
"39",38,3201,214,"PuertoRico","286362",2022,0.0668541080912215
"40",39,3161,266,"PuertoRico","286362",2022,0.0841505852578298
"41",40,3113,340,"PuertoRico","286362",2022,0.109219402505622
"42",41,3179,378,"PuertoRico","286362",2022,0.11890531613715
"43",42,3360,518,"PuertoRico","286362",2022,0.154166666666667
"44",43,3268,581,"PuertoRico","286362",2022,0.177784577723378
"45",44,3262,699,"PuertoRico","286362",2022,0.214285714285714
"46",45,3153,747,"PuertoRico","286362",2022,0.236917221693625
"47",46,3117,831,"PuertoRico","286362",2022,0.26660250240616
"48",47,3156,932,"PuertoRico","286362",2022,0.29531051964512
"49",48,3136,1080,"PuertoRico","286362",2022,0.344387755102041
"50",49,3084,1129,"PuertoRico","286362",2022,0.366083009079118
"51",50,3028,1166,"PuertoRico","286362",2022,0.385072655217966
"52",51,2954,1207,"PuertoRico","286362",2022,0.408598510494245
"53",52,3146,1415,"PuertoRico","286362",2022,0.449777495232041
"54",53,3055,1404,"PuertoRico","286362",2022,0.459574468085106
"55",54,2992,1497,"PuertoRico","286362",2022,0.500334224598931
"56",55,2886,1541,"PuertoRico","286362",2022,0.533957033957034
"57",56,2910,1565,"PuertoRico","286362",2022,0.537800687285223
"58",57,3370,1808,"PuertoRico","286362",2022,0.536498516320475
"59",58,3204,1767,"PuertoRico","286362",2022,0.551498127340824
"60",59,3047,1809,"PuertoRico","286362",2022,0.593698720052511
"61",60,2917,1809,"PuertoRico","286362",2022,0.620157696263284
"62",61,2853,1830,"PuertoRico","286362",2022,0.64143007360673
"63",62,2949,1818,"PuertoRico","286362",2022,0.61648016276704
"64",63,2851,1851,"PuertoRico","286362",2022,0.649245878639074
"65",64,2670,1717,"PuertoRico","286362",2022,0.643071161048689
"66",65,2611,1728,"PuertoRico","286362",2022,0.661815396399847
"67",66,2465,1682,"PuertoRico","286362",2022,0.682352941176471
"68",67,2439,1682,"PuertoRico","286362",2022,0.689626896268963
"69",68,2301,1575,"PuertoRico","286362",2022,0.684485006518905
"70",69,2284,1634,"PuertoRico","286362",2022,0.715411558669002
"71",70,2179,1555,"PuertoRico","286362",2022,0.713630105553006
"72",71,2004,1435,"PuertoRico","286362",2022,0.716067864271457
"73",72,2174,1526,"PuertoRico","286362",2022,0.701931922723091
"74",73,2154,1526,"PuertoRico","286362",2022,0.708449396471681
"75",74,2006,1443,"PuertoRico","286362",2022,0.719341974077767
"76",75,1864,1395,"PuertoRico","286362",2022,0.748390557939914
"77",76,1831,1370,"PuertoRico","286362",2022,0.748225013653741
"78",77,1684,1273,"PuertoRico","286362",2022,0.755938242280285
"79",78,1575,1194,"PuertoRico","286362",2022,0.758095238095238
"80",79,1498,1159,"PuertoRico","286362",2022,0.77369826435247
"81",80,1396,1116,"PuertoRico","286362",2022,0.799426934097421
"82",81,1270,988,"PuertoRico","286362",2022,0.777952755905512
"83",82,1133,910,"PuertoRico","286362",2022,0.803177405119153
"84",83,1107,881,"PuertoRico","286362",2022,0.795844625112918
"85",84,895,754,"PuertoRico","286362",2022,0.842458100558659
"86",85,832,674,"PuertoRico","286362",2022,0.810096153846154
"87",86,744,622,"PuertoRico","286362",2022,0.836021505376344
"88",87,664,547,"PuertoRico","286362",2022,0.823795180722892
"89",88,569,490,"PuertoRico","286362",2022,0.86115992970123
"90",89,494,412,"PuertoRico","286362",2022,0.834008097165992
"91",90,449,370,"PuertoRico","286362",2022,0.824053452115813
"92",91,357,301,"PuertoRico","286362",2022,0.843137254901961
"93",92,294,243,"PuertoRico","286362",2022,0.826530612244898
"94",93,235,201,"PuertoRico","286362",2022,0.85531914893617
"95",94,178,160,"PuertoRico","286362",2022,0.898876404494382
"96",95,132,118,"PuertoRico","286362",2022,0.893939393939394
