"","age","pop","gp","country","seed","year","share"
"1",0,1359,0,"Qatar","11482",2022,0
"2",1,1330,0,"Qatar","11482",2022,0
"3",2,1447,0,"Qatar","11482",2022,0
"4",3,1375,0,"Qatar","11482",2022,0
"5",4,1357,0,"Qatar","11482",2022,0
"6",5,1341,0,"Qatar","11482",2022,0
"7",6,1287,0,"Qatar","11482",2022,0
"8",7,1360,0,"Qatar","11482",2022,0
"9",8,1386,0,"Qatar","11482",2022,0
"10",9,1431,0,"Qatar","11482",2022,0
"11",10,1307,0,"Qatar","11482",2022,0
"12",11,1313,0,"Qatar","11482",2022,0
"13",12,1459,0,"Qatar","11482",2022,0
"14",13,1424,0,"Qatar","11482",2022,0
"15",14,1414,0,"Qatar","11482",2022,0
"16",15,1398,0,"Qatar","11482",2022,0
"17",16,1358,0,"Qatar","11482",2022,0
"18",17,1666,0,"Qatar","11482",2022,0
"19",18,1590,0,"Qatar","11482",2022,0
"20",19,1665,0,"Qatar","11482",2022,0
"21",20,1555,0,"Qatar","11482",2022,0
"22",21,1535,0,"Qatar","11482",2022,0
"23",22,1829,0,"Qatar","11482",2022,0
"24",23,1753,0,"Qatar","11482",2022,0
"25",24,1670,0,"Qatar","11482",2022,0
"26",25,1620,0,"Qatar","11482",2022,0
"27",26,1579,0,"Qatar","11482",2022,0
"28",27,1655,0,"Qatar","11482",2022,0
"29",28,1628,0,"Qatar","11482",2022,0
"30",29,1536,1,"Qatar","11482",2022,0.000651041666666667
"31",30,1449,0,"Qatar","11482",2022,0
"32",31,1480,0,"Qatar","11482",2022,0
"33",32,1619,1,"Qatar","11482",2022,0.000617665225447807
"34",33,1592,2,"Qatar","11482",2022,0.00125628140703518
"35",34,1471,5,"Qatar","11482",2022,0.00339904826648538
"36",35,1417,8,"Qatar","11482",2022,0.00564573041637262
"37",36,1395,4,"Qatar","11482",2022,0.0028673835125448
"38",37,1574,15,"Qatar","11482",2022,0.00952986022871665
"39",38,1494,22,"Qatar","11482",2022,0.0147255689424364
"40",39,1442,27,"Qatar","11482",2022,0.0187239944521498
"41",40,1453,40,"Qatar","11482",2022,0.0275292498279422
"42",41,1304,49,"Qatar","11482",2022,0.0375766871165644
"43",42,1428,107,"Qatar","11482",2022,0.0749299719887955
"44",43,1385,138,"Qatar","11482",2022,0.0996389891696751
"45",44,1274,163,"Qatar","11482",2022,0.127943485086342
"46",45,1248,212,"Qatar","11482",2022,0.169871794871795
"47",46,1238,276,"Qatar","11482",2022,0.222940226171244
"48",47,1228,345,"Qatar","11482",2022,0.280944625407166
"49",48,1280,442,"Qatar","11482",2022,0.3453125
"50",49,1200,499,"Qatar","11482",2022,0.415833333333333
"51",50,1170,551,"Qatar","11482",2022,0.470940170940171
"52",51,1104,563,"Qatar","11482",2022,0.509963768115942
"53",52,1107,632,"Qatar","11482",2022,0.570912375790425
"54",53,998,647,"Qatar","11482",2022,0.648296593186373
"55",54,978,667,"Qatar","11482",2022,0.68200408997955
"56",55,954,685,"Qatar","11482",2022,0.718029350104822
"57",56,913,689,"Qatar","11482",2022,0.754654983570646
"58",57,874,694,"Qatar","11482",2022,0.794050343249428
"59",58,791,654,"Qatar","11482",2022,0.826801517067004
"60",59,770,660,"Qatar","11482",2022,0.857142857142857
"61",60,713,614,"Qatar","11482",2022,0.861150070126227
"62",61,704,625,"Qatar","11482",2022,0.887784090909091
"63",62,616,555,"Qatar","11482",2022,0.900974025974026
"64",63,622,570,"Qatar","11482",2022,0.916398713826367
"65",64,607,535,"Qatar","11482",2022,0.881383855024712
"66",65,591,553,"Qatar","11482",2022,0.935702199661591
"67",66,535,487,"Qatar","11482",2022,0.910280373831776
"68",67,515,484,"Qatar","11482",2022,0.939805825242718
"69",68,456,423,"Qatar","11482",2022,0.927631578947368
"70",69,434,405,"Qatar","11482",2022,0.933179723502304
"71",70,400,379,"Qatar","11482",2022,0.9475
"72",71,380,366,"Qatar","11482",2022,0.963157894736842
"73",72,340,321,"Qatar","11482",2022,0.944117647058824
"74",73,302,288,"Qatar","11482",2022,0.95364238410596
"75",74,291,280,"Qatar","11482",2022,0.962199312714777
"76",75,246,236,"Qatar","11482",2022,0.959349593495935
"77",76,240,235,"Qatar","11482",2022,0.979166666666667
"78",77,219,209,"Qatar","11482",2022,0.954337899543379
"79",78,231,224,"Qatar","11482",2022,0.96969696969697
"80",79,182,177,"Qatar","11482",2022,0.972527472527473
"81",80,167,164,"Qatar","11482",2022,0.982035928143713
"82",81,139,131,"Qatar","11482",2022,0.942446043165468
"83",82,123,119,"Qatar","11482",2022,0.967479674796748
"84",83,129,127,"Qatar","11482",2022,0.984496124031008
"85",84,124,121,"Qatar","11482",2022,0.975806451612903
"86",85,101,97,"Qatar","11482",2022,0.96039603960396
"87",86,89,85,"Qatar","11482",2022,0.955056179775281
"88",87,61,60,"Qatar","11482",2022,0.983606557377049
"89",88,61,57,"Qatar","11482",2022,0.934426229508197
"90",89,59,57,"Qatar","11482",2022,0.966101694915254
"91",90,50,48,"Qatar","11482",2022,0.96
"92",91,31,29,"Qatar","11482",2022,0.935483870967742
"93",92,45,41,"Qatar","11482",2022,0.911111111111111
"94",93,35,34,"Qatar","11482",2022,0.971428571428571
"95",94,22,21,"Qatar","11482",2022,0.954545454545455
"96",95,22,22,"Qatar","11482",2022,1
"97",96,15,15,"Qatar","11482",2022,1
"98",97,12,12,"Qatar","11482",2022,1
"99",98,11,10,"Qatar","11482",2022,0.909090909090909
"100",99,8,8,"Qatar","11482",2022,1
