"","age","pop","gp","year","country","seed","share"
"1",0,3911,0,1960,"RepublicofMoldova","121440",0
"2",1,3691,0,1960,"RepublicofMoldova","121440",0
"3",2,3628,0,1960,"RepublicofMoldova","121440",0
"4",3,3459,0,1960,"RepublicofMoldova","121440",0
"5",4,3452,0,1960,"RepublicofMoldova","121440",0
"6",5,3556,0,1960,"RepublicofMoldova","121440",0
"7",6,3476,0,1960,"RepublicofMoldova","121440",0
"8",7,3380,0,1960,"RepublicofMoldova","121440",0
"9",8,3271,0,1960,"RepublicofMoldova","121440",0
"10",9,3252,0,1960,"RepublicofMoldova","121440",0
"11",10,3505,0,1960,"RepublicofMoldova","121440",0
"12",11,3564,0,1960,"RepublicofMoldova","121440",0
"13",12,3466,0,1960,"RepublicofMoldova","121440",0
"14",13,3380,0,1960,"RepublicofMoldova","121440",0
"15",14,3342,0,1960,"RepublicofMoldova","121440",0
"16",15,3327,0,1960,"RepublicofMoldova","121440",0
"17",16,3266,0,1960,"RepublicofMoldova","121440",0
"18",17,3340,0,1960,"RepublicofMoldova","121440",0
"19",18,3173,0,1960,"RepublicofMoldova","121440",0
"20",19,3131,0,1960,"RepublicofMoldova","121440",0
"21",20,3062,0,1960,"RepublicofMoldova","121440",0
"22",21,3002,0,1960,"RepublicofMoldova","121440",0
"23",22,2998,0,1960,"RepublicofMoldova","121440",0
"24",23,2968,0,1960,"RepublicofMoldova","121440",0
"25",24,2896,0,1960,"RepublicofMoldova","121440",0
"26",25,2976,1,1960,"RepublicofMoldova","121440",0.000336021505376344
"27",26,2833,0,1960,"RepublicofMoldova","121440",0
"28",27,2737,0,1960,"RepublicofMoldova","121440",0
"29",28,2672,1,1960,"RepublicofMoldova","121440",0.000374251497005988
"30",29,2669,2,1960,"RepublicofMoldova","121440",0.000749344323716748
"31",30,2594,7,1960,"RepublicofMoldova","121440",0.00269853508095605
"32",31,2569,5,1960,"RepublicofMoldova","121440",0.00194628260023355
"33",32,2628,14,1960,"RepublicofMoldova","121440",0.00532724505327245
"34",33,2441,17,1960,"RepublicofMoldova","121440",0.00696435886931585
"35",34,2517,34,1960,"RepublicofMoldova","121440",0.0135081446166071
"36",35,2376,45,1960,"RepublicofMoldova","121440",0.0189393939393939
"37",36,2383,80,1960,"RepublicofMoldova","121440",0.0335711288292069
"38",37,2333,128,1960,"RepublicofMoldova","121440",0.0548649807115302
"39",38,2274,153,1960,"RepublicofMoldova","121440",0.0672823218997362
"40",39,2254,238,1960,"RepublicofMoldova","121440",0.105590062111801
"41",40,2155,295,1960,"RepublicofMoldova","121440",0.136890951276102
"42",41,2119,387,1960,"RepublicofMoldova","121440",0.182633317602643
"43",42,2127,496,1960,"RepublicofMoldova","121440",0.233192289609779
"44",43,2059,574,1960,"RepublicofMoldova","121440",0.278776104905294
"45",44,2091,701,1960,"RepublicofMoldova","121440",0.335246293639407
