"","age","pop","gp","year","country","seed","share"
"1",0,5097,0,1990,"Romania","295813",0
"2",1,4919,0,1990,"Romania","295813",0
"3",2,4785,0,1990,"Romania","295813",0
"4",3,4766,0,1990,"Romania","295813",0
"5",4,4603,0,1990,"Romania","295813",0
"6",5,4399,0,1990,"Romania","295813",0
"7",6,4329,0,1990,"Romania","295813",0
"8",7,4573,0,1990,"Romania","295813",0
"9",8,4529,0,1990,"Romania","295813",0
"10",9,4653,0,1990,"Romania","295813",0
"11",10,5247,0,1990,"Romania","295813",0
"12",11,5301,0,1990,"Romania","295813",0
"13",12,5258,0,1990,"Romania","295813",0
"14",13,5331,0,1990,"Romania","295813",0
"15",14,5453,0,1990,"Romania","295813",0
"16",15,5602,0,1990,"Romania","295813",0
"17",16,5704,0,1990,"Romania","295813",0
"18",17,5591,0,1990,"Romania","295813",0
"19",18,5614,0,1990,"Romania","295813",0
"20",19,5760,0,1990,"Romania","295813",0
"21",20,6087,0,1990,"Romania","295813",0
"22",21,5950,0,1990,"Romania","295813",0
"23",22,5850,0,1990,"Romania","295813",0
"24",23,5716,0,1990,"Romania","295813",0
"25",24,5754,0,1990,"Romania","295813",0
"26",25,4342,0,1990,"Romania","295813",0
"27",26,4289,2,1990,"Romania","295813",0.000466309162975052
"28",27,4161,2,1990,"Romania","295813",0.000480653689017063
"29",28,4099,9,1990,"Romania","295813",0.00219565747743352
"30",29,4220,10,1990,"Romania","295813",0.0023696682464455
"31",30,5158,20,1990,"Romania","295813",0.00387747188832881
"32",31,5126,48,1990,"Romania","295813",0.0093640265314085
"33",32,5005,60,1990,"Romania","295813",0.011988011988012
"34",33,4855,76,1990,"Romania","295813",0.015653964984552
"35",34,4856,145,1990,"Romania","295813",0.0298599670510708
"36",35,5215,229,1990,"Romania","295813",0.0439117929050815
"37",36,5273,330,1990,"Romania","295813",0.0625829698463873
"38",37,5108,454,1990,"Romania","295813",0.0888801879404855
"39",38,5044,618,1990,"Romania","295813",0.122521808088818
"40",39,5035,798,1990,"Romania","295813",0.158490566037736
"41",40,5384,1016,1990,"Romania","295813",0.188707280832095
"42",41,5446,1237,1990,"Romania","295813",0.227139184722732
"43",42,5318,1469,1990,"Romania","295813",0.276231666039865
"44",43,5298,1697,1990,"Romania","295813",0.320309550773877
"45",44,5239,1873,1990,"Romania","295813",0.35751097537698
"46",45,5116,1963,1990,"Romania","295813",0.383698201720094
"47",46,5047,2061,1990,"Romania","295813",0.408361402813553
