"","age","pop","gp","country","seed","year","share"
"1",0,1542,0,"Russia","110165",2022,0
"2",1,1612,0,"Russia","110165",2022,0
"3",2,1609,0,"Russia","110165",2022,0
"4",3,1623,0,"Russia","110165",2022,0
"5",4,1724,0,"Russia","110165",2022,0
"6",5,1754,0,"Russia","110165",2022,0
"7",6,1802,0,"Russia","110165",2022,0
"8",7,1703,0,"Russia","110165",2022,0
"9",8,1678,0,"Russia","110165",2022,0
"10",9,1722,0,"Russia","110165",2022,0
"11",10,1831,0,"Russia","110165",2022,0
"12",11,1873,0,"Russia","110165",2022,0
"13",12,1566,0,"Russia","110165",2022,0
"14",13,1567,0,"Russia","110165",2022,0
"15",14,1614,0,"Russia","110165",2022,0
"16",15,1659,0,"Russia","110165",2022,0
"17",16,1646,0,"Russia","110165",2022,0
"18",17,1504,0,"Russia","110165",2022,0
"19",18,1494,0,"Russia","110165",2022,0
"20",19,1474,0,"Russia","110165",2022,0
"21",20,1517,0,"Russia","110165",2022,0
"22",21,1436,0,"Russia","110165",2022,0
"23",22,1471,0,"Russia","110165",2022,0
"24",23,1410,0,"Russia","110165",2022,0
"25",24,1469,0,"Russia","110165",2022,0
"26",25,1447,0,"Russia","110165",2022,0
"27",26,1442,0,"Russia","110165",2022,0
"28",27,1686,0,"Russia","110165",2022,0
"29",28,1811,1,"Russia","110165",2022,0.000552181115405853
"30",29,1800,3,"Russia","110165",2022,0.00166666666666667
"31",30,1702,2,"Russia","110165",2022,0.00117508813160987
"32",31,1802,3,"Russia","110165",2022,0.00166481687014428
"33",32,2504,5,"Russia","110165",2022,0.00199680511182109
"34",33,2443,13,"Russia","110165",2022,0.00532132623823168
"35",34,2435,16,"Russia","110165",2022,0.00657084188911704
"36",35,2555,24,"Russia","110165",2022,0.00939334637964775
"37",36,2531,30,"Russia","110165",2022,0.0118530225207428
"38",37,2461,65,"Russia","110165",2022,0.0264120276310443
"39",38,2491,77,"Russia","110165",2022,0.0309112806101967
"40",39,2514,119,"Russia","110165",2022,0.0473349244232299
"41",40,2509,171,"Russia","110165",2022,0.068154643284177
"42",41,2473,219,"Russia","110165",2022,0.0885564092195714
"43",42,2333,254,"Russia","110165",2022,0.108872696099443
"44",43,2312,279,"Russia","110165",2022,0.120674740484429
"45",44,2315,395,"Russia","110165",2022,0.170626349892009
"46",45,2247,475,"Russia","110165",2022,0.211392968402314
"47",46,2313,526,"Russia","110165",2022,0.227410289667099
"48",47,2319,580,"Russia","110165",2022,0.2501078050884
"49",48,2348,620,"Russia","110165",2022,0.264054514480409
"50",49,2320,691,"Russia","110165",2022,0.297844827586207
"51",50,2318,836,"Russia","110165",2022,0.360655737704918
"52",51,2272,835,"Russia","110165",2022,0.367517605633803
"53",52,2212,896,"Russia","110165",2022,0.40506329113924
"54",53,2183,947,"Russia","110165",2022,0.433806688043976
"55",54,2152,943,"Russia","110165",2022,0.438197026022305
"56",55,2145,990,"Russia","110165",2022,0.461538461538462
"57",56,2087,1002,"Russia","110165",2022,0.480114997604217
"58",57,2546,1231,"Russia","110165",2022,0.483503534956795
"59",58,2491,1295,"Russia","110165",2022,0.519871537535126
"60",59,2486,1209,"Russia","110165",2022,0.486323411102172
"61",60,2328,1289,"Russia","110165",2022,0.553694158075601
"62",61,2349,1281,"Russia","110165",2022,0.545338441890166
"63",62,2415,1364,"Russia","110165",2022,0.5648033126294
"64",63,2296,1304,"Russia","110165",2022,0.56794425087108
"65",64,2203,1269,"Russia","110165",2022,0.576032682705402
"66",65,2144,1264,"Russia","110165",2022,0.58955223880597
"67",66,2051,1270,"Russia","110165",2022,0.619210141394442
"68",67,2054,1217,"Russia","110165",2022,0.592502434274586
"69",68,1896,1150,"Russia","110165",2022,0.606540084388186
"70",69,1813,1084,"Russia","110165",2022,0.597904026475455
"71",70,1774,1077,"Russia","110165",2022,0.607102593010147
"72",71,1619,1005,"Russia","110165",2022,0.620753551575046
"73",72,1804,1076,"Russia","110165",2022,0.596452328159645
"74",73,1651,1002,"Russia","110165",2022,0.606904906117505
"75",74,1574,987,"Russia","110165",2022,0.627064803049555
"76",75,1480,910,"Russia","110165",2022,0.614864864864865
"77",76,1400,824,"Russia","110165",2022,0.588571428571429
"78",77,1273,752,"Russia","110165",2022,0.590730557737628
"79",78,1173,695,"Russia","110165",2022,0.592497868712702
"80",79,1125,717,"Russia","110165",2022,0.637333333333333
"81",80,1055,659,"Russia","110165",2022,0.624644549763033
"82",81,983,597,"Russia","110165",2022,0.607324516785351
"83",82,770,486,"Russia","110165",2022,0.631168831168831
"84",83,764,484,"Russia","110165",2022,0.633507853403141
"85",84,711,463,"Russia","110165",2022,0.651195499296765
"86",85,578,362,"Russia","110165",2022,0.626297577854671
"87",86,468,287,"Russia","110165",2022,0.613247863247863
"88",87,431,282,"Russia","110165",2022,0.654292343387471
"89",88,360,235,"Russia","110165",2022,0.652777777777778
"90",89,341,228,"Russia","110165",2022,0.668621700879765
"91",90,242,145,"Russia","110165",2022,0.599173553719008
"92",91,188,121,"Russia","110165",2022,0.643617021276596
"93",92,143,91,"Russia","110165",2022,0.636363636363636
"94",93,97,59,"Russia","110165",2022,0.608247422680412
"95",94,80,55,"Russia","110165",2022,0.6875
"96",95,59,42,"Russia","110165",2022,0.711864406779661
"97",96,39,27,"Russia","110165",2022,0.692307692307692
"98",97,32,19,"Russia","110165",2022,0.59375
"99",98,23,19,"Russia","110165",2022,0.826086956521739
