"","age","pop","gp","year","country","seed","share"
"1",0,1343,0,1990,"SaoTomeandPrincipe","300077",0
"2",1,1268,0,1990,"SaoTomeandPrincipe","300077",0
"3",2,1169,0,1990,"SaoTomeandPrincipe","300077",0
"4",3,1175,0,1990,"SaoTomeandPrincipe","300077",0
"5",4,1131,0,1990,"SaoTomeandPrincipe","300077",0
"6",5,1135,0,1990,"SaoTomeandPrincipe","300077",0
"7",6,1110,0,1990,"SaoTomeandPrincipe","300077",0
"8",7,1066,0,1990,"SaoTomeandPrincipe","300077",0
"9",8,1042,0,1990,"SaoTomeandPrincipe","300077",0
"10",9,989,0,1990,"SaoTomeandPrincipe","300077",0
"11",10,1030,0,1990,"SaoTomeandPrincipe","300077",0
"12",11,1028,0,1990,"SaoTomeandPrincipe","300077",0
"13",12,937,0,1990,"SaoTomeandPrincipe","300077",0
"14",13,945,0,1990,"SaoTomeandPrincipe","300077",0
"15",14,929,0,1990,"SaoTomeandPrincipe","300077",0
"16",15,974,0,1990,"SaoTomeandPrincipe","300077",0
"17",16,888,0,1990,"SaoTomeandPrincipe","300077",0
"18",17,856,0,1990,"SaoTomeandPrincipe","300077",0
"19",18,853,0,1990,"SaoTomeandPrincipe","300077",0
"20",19,780,0,1990,"SaoTomeandPrincipe","300077",0
"21",20,808,0,1990,"SaoTomeandPrincipe","300077",0
"22",21,731,0,1990,"SaoTomeandPrincipe","300077",0
"23",22,779,0,1990,"SaoTomeandPrincipe","300077",0
"24",23,681,0,1990,"SaoTomeandPrincipe","300077",0
"25",24,738,0,1990,"SaoTomeandPrincipe","300077",0
"26",25,678,0,1990,"SaoTomeandPrincipe","300077",0
"27",26,637,1,1990,"SaoTomeandPrincipe","300077",0.00156985871271586
"28",27,601,4,1990,"SaoTomeandPrincipe","300077",0.00665557404326123
"29",28,601,2,1990,"SaoTomeandPrincipe","300077",0.00332778702163062
"30",29,571,3,1990,"SaoTomeandPrincipe","300077",0.00525394045534151
"31",30,541,5,1990,"SaoTomeandPrincipe","300077",0.00924214417744917
"32",31,545,12,1990,"SaoTomeandPrincipe","300077",0.0220183486238532
"33",32,502,12,1990,"SaoTomeandPrincipe","300077",0.0239043824701195
"34",33,499,25,1990,"SaoTomeandPrincipe","300077",0.0501002004008016
"35",34,474,38,1990,"SaoTomeandPrincipe","300077",0.080168776371308
"36",35,431,54,1990,"SaoTomeandPrincipe","300077",0.125290023201856
"37",36,467,67,1990,"SaoTomeandPrincipe","300077",0.143468950749465
"38",37,402,79,1990,"SaoTomeandPrincipe","300077",0.196517412935323
"39",38,387,83,1990,"SaoTomeandPrincipe","300077",0.214470284237726
"40",39,396,110,1990,"SaoTomeandPrincipe","300077",0.277777777777778
"41",40,475,182,1990,"SaoTomeandPrincipe","300077",0.383157894736842
"42",41,400,164,1990,"SaoTomeandPrincipe","300077",0.41
"43",42,438,203,1990,"SaoTomeandPrincipe","300077",0.463470319634703
"44",43,406,200,1990,"SaoTomeandPrincipe","300077",0.492610837438424
"45",44,388,210,1990,"SaoTomeandPrincipe","300077",0.541237113402062
"46",45,366,215,1990,"SaoTomeandPrincipe","300077",0.587431693989071
"47",46,380,244,1990,"SaoTomeandPrincipe","300077",0.642105263157895
"48",47,350,234,1990,"SaoTomeandPrincipe","300077",0.668571428571429
"49",48,316,221,1990,"SaoTomeandPrincipe","300077",0.699367088607595
"50",49,327,250,1990,"SaoTomeandPrincipe","300077",0.764525993883792
"51",50,326,254,1990,"SaoTomeandPrincipe","300077",0.779141104294479
"52",51,303,237,1990,"SaoTomeandPrincipe","300077",0.782178217821782
"53",52,306,216,1990,"SaoTomeandPrincipe","300077",0.705882352941177
"54",53,302,223,1990,"SaoTomeandPrincipe","300077",0.73841059602649
"55",54,264,210,1990,"SaoTomeandPrincipe","300077",0.795454545454545
"56",55,268,216,1990,"SaoTomeandPrincipe","300077",0.805970149253731
"57",56,231,207,1990,"SaoTomeandPrincipe","300077",0.896103896103896
"58",57,261,238,1990,"SaoTomeandPrincipe","300077",0.911877394636015
"59",58,227,207,1990,"SaoTomeandPrincipe","300077",0.911894273127753
"60",59,210,185,1990,"SaoTomeandPrincipe","300077",0.880952380952381
"61",60,218,188,1990,"SaoTomeandPrincipe","300077",0.862385321100917
"62",61,203,178,1990,"SaoTomeandPrincipe","300077",0.876847290640394
"63",62,187,163,1990,"SaoTomeandPrincipe","300077",0.871657754010695
"64",63,167,145,1990,"SaoTomeandPrincipe","300077",0.868263473053892
"65",64,171,149,1990,"SaoTomeandPrincipe","300077",0.871345029239766
"66",65,155,146,1990,"SaoTomeandPrincipe","300077",0.941935483870968
"67",66,131,114,1990,"SaoTomeandPrincipe","300077",0.870229007633588
"68",67,145,127,1990,"SaoTomeandPrincipe","300077",0.875862068965517
"69",68,129,115,1990,"SaoTomeandPrincipe","300077",0.891472868217054
"70",69,114,99,1990,"SaoTomeandPrincipe","300077",0.868421052631579
"71",70,111,97,1990,"SaoTomeandPrincipe","300077",0.873873873873874
"72",71,98,84,1990,"SaoTomeandPrincipe","300077",0.857142857142857
"73",72,83,75,1990,"SaoTomeandPrincipe","300077",0.903614457831325
"74",73,67,62,1990,"SaoTomeandPrincipe","300077",0.925373134328358
"75",74,80,70,1990,"SaoTomeandPrincipe","300077",0.875
"76",75,68,60,1990,"SaoTomeandPrincipe","300077",0.882352941176471
"77",76,53,48,1990,"SaoTomeandPrincipe","300077",0.905660377358491
"78",77,52,46,1990,"SaoTomeandPrincipe","300077",0.884615384615385
"79",78,46,41,1990,"SaoTomeandPrincipe","300077",0.891304347826087
"80",79,36,34,1990,"SaoTomeandPrincipe","300077",0.944444444444444
"81",80,37,35,1990,"SaoTomeandPrincipe","300077",0.945945945945946
"82",81,30,28,1990,"SaoTomeandPrincipe","300077",0.933333333333333
"83",82,21,19,1990,"SaoTomeandPrincipe","300077",0.904761904761905
"84",83,24,23,1990,"SaoTomeandPrincipe","300077",0.958333333333333
"85",84,9,9,1990,"SaoTomeandPrincipe","300077",1
"86",85,11,11,1990,"SaoTomeandPrincipe","300077",1
"87",86,9,8,1990,"SaoTomeandPrincipe","300077",0.888888888888889
"88",87,9,8,1990,"SaoTomeandPrincipe","300077",0.888888888888889
"89",88,3,3,1990,"SaoTomeandPrincipe","300077",1
"90",89,3,3,1990,"SaoTomeandPrincipe","300077",1
"91",90,5,5,1990,"SaoTomeandPrincipe","300077",1
"92",91,2,2,1990,"SaoTomeandPrincipe","300077",1
"93",92,2,2,1990,"SaoTomeandPrincipe","300077",1
"94",93,2,2,1990,"SaoTomeandPrincipe","300077",1
"95",94,2,2,1990,"SaoTomeandPrincipe","300077",1
"96",0,1528,0,1995,"SaoTomeandPrincipe","300077",0
"97",1,1394,0,1995,"SaoTomeandPrincipe","300077",0
"98",2,1326,0,1995,"SaoTomeandPrincipe","300077",0
"99",3,1322,0,1995,"SaoTomeandPrincipe","300077",0
"100",4,1252,0,1995,"SaoTomeandPrincipe","300077",0
"101",5,1241,0,1995,"SaoTomeandPrincipe","300077",0
"102",6,1228,0,1995,"SaoTomeandPrincipe","300077",0
"103",7,1141,0,1995,"SaoTomeandPrincipe","300077",0
"104",8,1142,0,1995,"SaoTomeandPrincipe","300077",0
"105",9,1115,0,1995,"SaoTomeandPrincipe","300077",0
"106",10,1125,0,1995,"SaoTomeandPrincipe","300077",0
"107",11,1098,0,1995,"SaoTomeandPrincipe","300077",0
"108",12,1055,0,1995,"SaoTomeandPrincipe","300077",0
"109",13,1036,0,1995,"SaoTomeandPrincipe","300077",0
"110",14,982,0,1995,"SaoTomeandPrincipe","300077",0
"111",15,1018,0,1995,"SaoTomeandPrincipe","300077",0
"112",16,1021,0,1995,"SaoTomeandPrincipe","300077",0
"113",17,921,0,1995,"SaoTomeandPrincipe","300077",0
"114",18,933,0,1995,"SaoTomeandPrincipe","300077",0
"115",19,919,0,1995,"SaoTomeandPrincipe","300077",0
"116",20,965,0,1995,"SaoTomeandPrincipe","300077",0
"117",21,877,0,1995,"SaoTomeandPrincipe","300077",0
"118",22,847,0,1995,"SaoTomeandPrincipe","300077",0
