"","age","pop","gp","year","country","seed","share"
"1",0,914,0,1960,"SaudiArabia","108979",0
"2",1,776,0,1960,"SaudiArabia","108979",0
"3",2,769,0,1960,"SaudiArabia","108979",0
"4",3,699,0,1960,"SaudiArabia","108979",0
"5",4,621,0,1960,"SaudiArabia","108979",0
"6",5,641,0,1960,"SaudiArabia","108979",0
"7",6,601,0,1960,"SaudiArabia","108979",0
"8",7,570,0,1960,"SaudiArabia","108979",0
"9",8,542,0,1960,"SaudiArabia","108979",0
"10",9,583,0,1960,"SaudiArabia","108979",0
"11",10,642,0,1960,"SaudiArabia","108979",0
"12",11,598,0,1960,"SaudiArabia","108979",0
"13",12,650,0,1960,"SaudiArabia","108979",0
"14",13,557,0,1960,"SaudiArabia","108979",0
"15",14,590,0,1960,"SaudiArabia","108979",0
"16",15,539,0,1960,"SaudiArabia","108979",0
"17",16,551,0,1960,"SaudiArabia","108979",0
"18",17,518,0,1960,"SaudiArabia","108979",0
"19",18,471,0,1960,"SaudiArabia","108979",0
"20",19,445,0,1960,"SaudiArabia","108979",0
"21",20,479,0,1960,"SaudiArabia","108979",0
"22",21,462,0,1960,"SaudiArabia","108979",0
"23",22,418,0,1960,"SaudiArabia","108979",0
"24",23,462,0,1960,"SaudiArabia","108979",0
"25",24,433,0,1960,"SaudiArabia","108979",0
"26",25,418,0,1960,"SaudiArabia","108979",0
"27",26,394,0,1960,"SaudiArabia","108979",0
"28",27,389,0,1960,"SaudiArabia","108979",0
"29",28,375,1,1960,"SaudiArabia","108979",0.00266666666666667
"30",29,344,2,1960,"SaudiArabia","108979",0.00581395348837209
"31",30,345,2,1960,"SaudiArabia","108979",0.00579710144927536
"32",31,364,9,1960,"SaudiArabia","108979",0.0247252747252747
"33",32,343,11,1960,"SaudiArabia","108979",0.032069970845481
"34",33,286,9,1960,"SaudiArabia","108979",0.0314685314685315
"35",34,296,18,1960,"SaudiArabia","108979",0.0608108108108108
"36",35,280,13,1960,"SaudiArabia","108979",0.0464285714285714
"37",36,287,38,1960,"SaudiArabia","108979",0.132404181184669
"38",37,289,45,1960,"SaudiArabia","108979",0.155709342560554
"39",38,241,53,1960,"SaudiArabia","108979",0.219917012448133
"40",39,234,53,1960,"SaudiArabia","108979",0.226495726495726
"41",40,253,72,1960,"SaudiArabia","108979",0.284584980237154
"42",41,233,83,1960,"SaudiArabia","108979",0.356223175965665
"43",42,248,81,1960,"SaudiArabia","108979",0.326612903225806
"44",43,232,91,1960,"SaudiArabia","108979",0.392241379310345
"45",44,221,107,1960,"SaudiArabia","108979",0.484162895927602
"46",45,210,96,1960,"SaudiArabia","108979",0.457142857142857
"47",46,219,122,1960,"SaudiArabia","108979",0.557077625570776
"48",47,219,132,1960,"SaudiArabia","108979",0.602739726027397
"49",48,184,120,1960,"SaudiArabia","108979",0.652173913043478
"50",49,171,109,1960,"SaudiArabia","108979",0.637426900584795
"51",50,155,131,1960,"SaudiArabia","108979",0.845161290322581
"52",51,184,133,1960,"SaudiArabia","108979",0.722826086956522
"53",52,167,117,1960,"SaudiArabia","108979",0.70059880239521
"54",53,164,117,1960,"SaudiArabia","108979",0.713414634146341
"55",54,161,114,1960,"SaudiArabia","108979",0.708074534161491
"56",55,137,118,1960,"SaudiArabia","108979",0.861313868613139
"57",56,148,130,1960,"SaudiArabia","108979",0.878378378378378
"58",57,119,101,1960,"SaudiArabia","108979",0.848739495798319
"59",58,112,96,1960,"SaudiArabia","108979",0.857142857142857
"60",59,113,92,1960,"SaudiArabia","108979",0.814159292035398
"61",60,106,93,1960,"SaudiArabia","108979",0.877358490566038
"62",61,102,94,1960,"SaudiArabia","108979",0.92156862745098
"63",62,94,85,1960,"SaudiArabia","108979",0.904255319148936
"64",63,84,72,1960,"SaudiArabia","108979",0.857142857142857
"65",64,86,80,1960,"SaudiArabia","108979",0.930232558139535
"66",65,82,79,1960,"SaudiArabia","108979",0.963414634146341
"67",66,78,72,1960,"SaudiArabia","108979",0.923076923076923
"68",67,66,63,1960,"SaudiArabia","108979",0.954545454545455
"69",68,79,71,1960,"SaudiArabia","108979",0.89873417721519
"70",69,65,61,1960,"SaudiArabia","108979",0.938461538461538
"71",70,55,51,1960,"SaudiArabia","108979",0.927272727272727
"72",71,53,49,1960,"SaudiArabia","108979",0.924528301886792
"73",72,63,58,1960,"SaudiArabia","108979",0.920634920634921
"74",73,34,32,1960,"SaudiArabia","108979",0.941176470588235
"75",74,38,35,1960,"SaudiArabia","108979",0.921052631578947
"76",75,35,34,1960,"SaudiArabia","108979",0.971428571428571
"77",76,29,27,1960,"SaudiArabia","108979",0.931034482758621
"78",77,34,32,1960,"SaudiArabia","108979",0.941176470588235
"79",78,30,29,1960,"SaudiArabia","108979",0.966666666666667
"80",79,19,17,1960,"SaudiArabia","108979",0.894736842105263
"81",80,19,19,1960,"SaudiArabia","108979",1
"82",81,9,9,1960,"SaudiArabia","108979",1
"83",82,11,10,1960,"SaudiArabia","108979",0.909090909090909
"84",83,10,9,1960,"SaudiArabia","108979",0.9
"85",84,10,10,1960,"SaudiArabia","108979",1
"86",85,2,2,1960,"SaudiArabia","108979",1
"87",86,5,5,1960,"SaudiArabia","108979",1
"88",87,2,2,1960,"SaudiArabia","108979",1
"89",88,1,1,1960,"SaudiArabia","108979",1
"90",89,2,1,1960,"SaudiArabia","108979",0.5
"91",91,1,1,1960,"SaudiArabia","108979",1
"92",92,1,1,1960,"SaudiArabia","108979",1
"93",93,1,1,1960,"SaudiArabia","108979",1
"94",0,1108,0,1965,"SaudiArabia","108979",0
"95",1,954,0,1965,"SaudiArabia","108979",0
"96",2,896,0,1965,"SaudiArabia","108979",0
"97",3,860,0,1965,"SaudiArabia","108979",0
"98",4,768,0,1965,"SaudiArabia","108979",0
"99",5,754,0,1965,"SaudiArabia","108979",0
"100",6,705,0,1965,"SaudiArabia","108979",0
"101",7,701,0,1965,"SaudiArabia","108979",0
"102",8,666,0,1965,"SaudiArabia","108979",0
"103",9,606,0,1965,"SaudiArabia","108979",0
"104",10,621,0,1965,"SaudiArabia","108979",0
"105",11,590,0,1965,"SaudiArabia","108979",0
"106",12,560,0,1965,"SaudiArabia","108979",0
"107",13,536,0,1965,"SaudiArabia","108979",0
"108",14,577,0,1965,"SaudiArabia","108979",0
"109",15,635,0,1965,"SaudiArabia","108979",0
"110",16,589,0,1965,"SaudiArabia","108979",0
"111",17,641,0,1965,"SaudiArabia","108979",0
"112",18,549,0,1965,"SaudiArabia","108979",0
"113",19,583,0,1965,"SaudiArabia","108979",0
"114",20,528,0,1965,"SaudiArabia","108979",0
"115",21,543,0,1965,"SaudiArabia","108979",0
"116",22,512,0,1965,"SaudiArabia","108979",0
"117",23,460,0,1965,"SaudiArabia","108979",0
"118",24,433,0,1965,"SaudiArabia","108979",0
"119",25,467,0,1965,"SaudiArabia","108979",0
"120",26,454,1,1965,"SaudiArabia","108979",0.00220264317180617
"121",27,407,1,1965,"SaudiArabia","108979",0.00245700245700246
"122",28,450,0,1965,"SaudiArabia","108979",0
"123",29,423,3,1965,"SaudiArabia","108979",0.00709219858156028
"124",30,403,1,1965,"SaudiArabia","108979",0.00248138957816377
"125",31,383,8,1965,"SaudiArabia","108979",0.02088772845953
"126",32,368,10,1965,"SaudiArabia","108979",0.0271739130434783
"127",33,361,17,1965,"SaudiArabia","108979",0.0470914127423823
"128",34,332,18,1965,"SaudiArabia","108979",0.0542168674698795
"129",35,334,31,1965,"SaudiArabia","108979",0.092814371257485
"130",36,357,46,1965,"SaudiArabia","108979",0.128851540616246
"131",37,331,60,1965,"SaudiArabia","108979",0.181268882175227
"132",38,274,53,1965,"SaudiArabia","108979",0.193430656934307
"133",39,284,68,1965,"SaudiArabia","108979",0.23943661971831
"134",40,271,80,1965,"SaudiArabia","108979",0.29520295202952
"135",41,273,101,1965,"SaudiArabia","108979",0.36996336996337
"136",42,275,120,1965,"SaudiArabia","108979",0.436363636363636
"137",43,231,120,1965,"SaudiArabia","108979",0.519480519480519
"138",44,226,122,1965,"SaudiArabia","108979",0.539823008849557
"139",45,228,119,1965,"SaudiArabia","108979",0.521929824561403
"140",46,223,138,1965,"SaudiArabia","108979",0.618834080717489
"141",47,236,137,1965,"SaudiArabia","108979",0.580508474576271
"142",48,221,144,1965,"SaudiArabia","108979",0.65158371040724
"143",49,205,151,1965,"SaudiArabia","108979",0.736585365853659
"144",50,202,147,1965,"SaudiArabia","108979",0.727722772277228
"145",51,209,156,1965,"SaudiArabia","108979",0.746411483253589
"146",52,203,154,1965,"SaudiArabia","108979",0.758620689655172
"147",53,168,134,1965,"SaudiArabia","108979",0.797619047619048
