"","age","pop","gp","year","country","seed","share"
"1",0,2977,0,1960,"Serbia","207682",0
"2",1,2817,0,1960,"Serbia","207682",0
"3",2,2814,0,1960,"Serbia","207682",0
"4",3,2652,0,1960,"Serbia","207682",0
"5",4,2756,0,1960,"Serbia","207682",0
"6",5,3245,0,1960,"Serbia","207682",0
"7",6,3171,0,1960,"Serbia","207682",0
"8",7,3171,0,1960,"Serbia","207682",0
"9",8,3073,0,1960,"Serbia","207682",0
"10",9,3020,0,1960,"Serbia","207682",0
"11",10,3318,0,1960,"Serbia","207682",0
"12",11,3330,0,1960,"Serbia","207682",0
"13",12,3435,0,1960,"Serbia","207682",0
"14",13,3397,0,1960,"Serbia","207682",0
"15",14,3289,0,1960,"Serbia","207682",0
"16",15,3271,0,1960,"Serbia","207682",0
"17",16,3174,0,1960,"Serbia","207682",0
"18",17,3129,0,1960,"Serbia","207682",0
"19",18,3021,0,1960,"Serbia","207682",0
"20",19,3165,0,1960,"Serbia","207682",0
"21",20,3101,0,1960,"Serbia","207682",0
"22",21,3007,0,1960,"Serbia","207682",0
"23",22,3020,0,1960,"Serbia","207682",0
"24",23,2915,0,1960,"Serbia","207682",0
"25",24,2978,0,1960,"Serbia","207682",0
"26",25,2848,0,1960,"Serbia","207682",0
"27",26,2834,0,1960,"Serbia","207682",0
"28",27,2818,1,1960,"Serbia","207682",0.00035486160397445
"29",28,2766,0,1960,"Serbia","207682",0
"30",29,2822,4,1960,"Serbia","207682",0.00141743444365698
"31",30,2747,7,1960,"Serbia","207682",0.00254823443756826
"32",31,2708,9,1960,"Serbia","207682",0.00332348596750369
"33",32,2702,22,1960,"Serbia","207682",0.0081421169504071
"34",33,2669,34,1960,"Serbia","207682",0.0127388535031847
"35",34,2619,53,1960,"Serbia","207682",0.0202367315769378
"36",35,2599,75,1960,"Serbia","207682",0.0288572527895344
"37",36,2599,135,1960,"Serbia","207682",0.051943055021162
"38",37,2550,201,1960,"Serbia","207682",0.0788235294117647
"39",38,2481,268,1960,"Serbia","207682",0.108020959290609
"40",39,2549,298,1960,"Serbia","207682",0.116908591604551
"41",40,2496,416,1960,"Serbia","207682",0.166666666666667
"42",41,2440,494,1960,"Serbia","207682",0.202459016393443
"43",42,2380,596,1960,"Serbia","207682",0.250420168067227
"44",43,2387,689,1960,"Serbia","207682",0.288646837033934
"45",44,2323,819,1960,"Serbia","207682",0.352561343090831
"46",45,2205,858,1960,"Serbia","207682",0.389115646258503
"47",46,2292,952,1960,"Serbia","207682",0.415357766143106
"48",47,2109,999,1960,"Serbia","207682",0.473684210526316
"49",48,2059,1050,1960,"Serbia","207682",0.509956289460903
"50",49,2167,1136,1960,"Serbia","207682",0.524227041993539
"51",50,2125,1197,1960,"Serbia","207682",0.563294117647059
"52",51,2143,1246,1960,"Serbia","207682",0.581427904806346
"53",52,2056,1217,1960,"Serbia","207682",0.59192607003891
"54",53,1945,1244,1960,"Serbia","207682",0.639588688946015
"55",54,1941,1260,1960,"Serbia","207682",0.649149922720247
"56",55,1852,1273,1960,"Serbia","207682",0.687365010799136
"57",56,1781,1236,1960,"Serbia","207682",0.693992139247614
"58",57,1769,1224,1960,"Serbia","207682",0.69191633691351
"59",58,1639,1200,1960,"Serbia","207682",0.73215375228798
"60",59,1699,1265,1960,"Serbia","207682",0.744555620953502
"61",60,1684,1267,1960,"Serbia","207682",0.752375296912114
"62",61,1522,1168,1960,"Serbia","207682",0.767411300919842
"63",62,1583,1228,1960,"Serbia","207682",0.775742261528743
"64",63,1420,1098,1960,"Serbia","207682",0.773239436619718
"65",64,1412,1132,1960,"Serbia","207682",0.801699716713881
"66",65,1363,1032,1960,"Serbia","207682",0.757153338224505
"67",66,1311,1027,1960,"Serbia","207682",0.783371472158658
"68",67,1253,966,1960,"Serbia","207682",0.770949720670391
"69",68,1116,875,1960,"Serbia","207682",0.78405017921147
"70",69,1118,877,1960,"Serbia","207682",0.784436493738819
"71",70,1050,808,1960,"Serbia","207682",0.76952380952381
"72",71,981,744,1960,"Serbia","207682",0.758409785932722
"73",72,945,725,1960,"Serbia","207682",0.767195767195767
"74",73,864,664,1960,"Serbia","207682",0.768518518518518
"75",74,807,612,1960,"Serbia","207682",0.758364312267658
"76",75,702,539,1960,"Serbia","207682",0.767806267806268
"77",76,677,522,1960,"Serbia","207682",0.771048744460857
"78",77,528,420,1960,"Serbia","207682",0.795454545454545
"79",78,495,375,1960,"Serbia","207682",0.757575757575758
"80",79,453,364,1960,"Serbia","207682",0.803532008830022
"81",80,393,324,1960,"Serbia","207682",0.824427480916031
"82",81,315,258,1960,"Serbia","207682",0.819047619047619
"83",82,267,213,1960,"Serbia","207682",0.797752808988764
"84",83,240,177,1960,"Serbia","207682",0.7375
"85",84,191,130,1960,"Serbia","207682",0.680628272251309
"86",85,178,144,1960,"Serbia","207682",0.808988764044944
"87",86,137,96,1960,"Serbia","207682",0.700729927007299
"88",87,87,68,1960,"Serbia","207682",0.781609195402299
"89",88,73,59,1960,"Serbia","207682",0.808219178082192
"90",89,43,34,1960,"Serbia","207682",0.790697674418605
"91",90,45,36,1960,"Serbia","207682",0.8
"92",91,31,23,1960,"Serbia","207682",0.741935483870968
"93",92,13,10,1960,"Serbia","207682",0.769230769230769
