"","age","pop","gp","country","seed","year","share"
"1",0,1659,0,"Seychelles","109983",2022,0
"2",1,1721,0,"Seychelles","109983",2022,0
"3",2,1741,0,"Seychelles","109983",2022,0
"4",3,1794,0,"Seychelles","109983",2022,0
"5",4,1795,0,"Seychelles","109983",2022,0
"6",5,1793,0,"Seychelles","109983",2022,0
"7",6,1833,0,"Seychelles","109983",2022,0
"8",7,1761,0,"Seychelles","109983",2022,0
"9",8,1704,0,"Seychelles","109983",2022,0
"10",9,1754,0,"Seychelles","109983",2022,0
"11",10,1785,0,"Seychelles","109983",2022,0
"12",11,1772,0,"Seychelles","109983",2022,0
"13",12,1752,0,"Seychelles","109983",2022,0
"14",13,1696,0,"Seychelles","109983",2022,0
"15",14,1712,0,"Seychelles","109983",2022,0
"16",15,1759,0,"Seychelles","109983",2022,0
"17",16,1788,0,"Seychelles","109983",2022,0
"18",17,1703,0,"Seychelles","109983",2022,0
"19",18,1704,0,"Seychelles","109983",2022,0
"20",19,1685,0,"Seychelles","109983",2022,0
"21",20,1685,0,"Seychelles","109983",2022,0
"22",21,1664,0,"Seychelles","109983",2022,0
"23",22,1642,0,"Seychelles","109983",2022,0
"24",23,1671,0,"Seychelles","109983",2022,0
"25",24,1640,0,"Seychelles","109983",2022,0
"26",25,1650,0,"Seychelles","109983",2022,0
"27",26,1600,0,"Seychelles","109983",2022,0
"28",27,1812,2,"Seychelles","109983",2022,0.0011037527593819
"29",28,1836,1,"Seychelles","109983",2022,0.000544662309368192
"30",29,1753,3,"Seychelles","109983",2022,0.00171135196805476
"31",30,1658,4,"Seychelles","109983",2022,0.00241254523522316
"32",31,1630,5,"Seychelles","109983",2022,0.00306748466257669
"33",32,1821,14,"Seychelles","109983",2022,0.00768808347062054
"34",33,1752,24,"Seychelles","109983",2022,0.0136986301369863
"35",34,1697,39,"Seychelles","109983",2022,0.0229817324690631
"36",35,1602,71,"Seychelles","109983",2022,0.0443196004993758
"37",36,1606,78,"Seychelles","109983",2022,0.0485678704856787
"38",37,1820,110,"Seychelles","109983",2022,0.0604395604395604
"39",38,1741,148,"Seychelles","109983",2022,0.0850086157380816
"40",39,1586,187,"Seychelles","109983",2022,0.117906683480454
"41",40,1647,254,"Seychelles","109983",2022,0.154219793564056
"42",41,1565,303,"Seychelles","109983",2022,0.193610223642173
"43",42,1861,410,"Seychelles","109983",2022,0.220311660397636
"44",43,1725,424,"Seychelles","109983",2022,0.245797101449275
"45",44,1706,496,"Seychelles","109983",2022,0.29073856975381
"46",45,1671,554,"Seychelles","109983",2022,0.331538001196888
"47",46,1704,630,"Seychelles","109983",2022,0.369718309859155
"48",47,1855,765,"Seychelles","109983",2022,0.412398921832884
"49",48,1862,783,"Seychelles","109983",2022,0.420515574650913
"50",49,1738,798,"Seychelles","109983",2022,0.459148446490219
"51",50,1677,823,"Seychelles","109983",2022,0.490757304710793
"52",51,1699,851,"Seychelles","109983",2022,0.50088287227781
"53",52,1769,938,"Seychelles","109983",2022,0.53024307518372
"54",53,1673,967,"Seychelles","109983",2022,0.578003586371787
"55",54,1702,1021,"Seychelles","109983",2022,0.599882491186839
"56",55,1557,962,"Seychelles","109983",2022,0.617854849068722
"57",56,1534,962,"Seychelles","109983",2022,0.627118644067797
"58",57,1449,943,"Seychelles","109983",2022,0.650793650793651
"59",58,1356,917,"Seychelles","109983",2022,0.676253687315634
"60",59,1281,903,"Seychelles","109983",2022,0.704918032786885
"61",60,1198,883,"Seychelles","109983",2022,0.737061769616027
"62",61,1169,863,"Seychelles","109983",2022,0.738237810094098
"63",62,1026,799,"Seychelles","109983",2022,0.778752436647174
"64",63,972,768,"Seychelles","109983",2022,0.790123456790123
"65",64,975,782,"Seychelles","109983",2022,0.802051282051282
"66",65,842,696,"Seychelles","109983",2022,0.826603325415677
"67",66,867,697,"Seychelles","109983",2022,0.803921568627451
"68",67,799,650,"Seychelles","109983",2022,0.81351689612015
"69",68,741,624,"Seychelles","109983",2022,0.842105263157895
"70",69,724,587,"Seychelles","109983",2022,0.810773480662983
"71",70,695,594,"Seychelles","109983",2022,0.854676258992806
"72",71,642,522,"Seychelles","109983",2022,0.813084112149533
"73",72,689,566,"Seychelles","109983",2022,0.821480406386067
"74",73,660,545,"Seychelles","109983",2022,0.825757575757576
"75",74,623,524,"Seychelles","109983",2022,0.841091492776886
"76",75,536,441,"Seychelles","109983",2022,0.822761194029851
"77",76,512,436,"Seychelles","109983",2022,0.8515625
"78",77,474,406,"Seychelles","109983",2022,0.856540084388186
"79",78,441,387,"Seychelles","109983",2022,0.877551020408163
"80",79,389,325,"Seychelles","109983",2022,0.83547557840617
"81",80,381,332,"Seychelles","109983",2022,0.871391076115486
"82",81,298,268,"Seychelles","109983",2022,0.899328859060403
