"","age","pop","gp","country","seed","year","share"
"1",0,1096,0,"SierraLeone","129934",2022,0
"2",1,1015,0,"SierraLeone","129934",2022,0
"3",2,1119,0,"SierraLeone","129934",2022,0
"4",3,1068,0,"SierraLeone","129934",2022,0
"5",4,1007,0,"SierraLeone","129934",2022,0
"6",5,992,0,"SierraLeone","129934",2022,0
"7",6,938,0,"SierraLeone","129934",2022,0
"8",7,1020,0,"SierraLeone","129934",2022,0
"9",8,941,0,"SierraLeone","129934",2022,0
"10",9,948,0,"SierraLeone","129934",2022,0
"11",10,878,0,"SierraLeone","129934",2022,0
"12",11,881,0,"SierraLeone","129934",2022,0
"13",12,1001,0,"SierraLeone","129934",2022,0
"14",13,937,0,"SierraLeone","129934",2022,0
"15",14,895,0,"SierraLeone","129934",2022,0
"16",15,867,0,"SierraLeone","129934",2022,0
"17",16,818,0,"SierraLeone","129934",2022,0
"18",17,904,0,"SierraLeone","129934",2022,0
"19",18,800,0,"SierraLeone","129934",2022,0
"20",19,816,0,"SierraLeone","129934",2022,0
"21",20,768,0,"SierraLeone","129934",2022,0
"22",21,777,0,"SierraLeone","129934",2022,0
"23",22,739,0,"SierraLeone","129934",2022,0
"24",23,715,0,"SierraLeone","129934",2022,0
"25",24,712,0,"SierraLeone","129934",2022,0
"26",25,671,0,"SierraLeone","129934",2022,0
"27",26,610,0,"SierraLeone","129934",2022,0
"28",27,631,1,"SierraLeone","129934",2022,0.00158478605388273
"29",28,597,6,"SierraLeone","129934",2022,0.0100502512562814
"30",29,570,3,"SierraLeone","129934",2022,0.00526315789473684
"31",30,567,12,"SierraLeone","129934",2022,0.0211640211640212
"32",31,551,9,"SierraLeone","129934",2022,0.0163339382940109
"33",32,540,13,"SierraLeone","129934",2022,0.0240740740740741
"34",33,509,34,"SierraLeone","129934",2022,0.0667976424361493
"35",34,522,29,"SierraLeone","129934",2022,0.0555555555555556
"36",35,477,38,"SierraLeone","129934",2022,0.079664570230608
"37",36,443,70,"SierraLeone","129934",2022,0.158013544018059
"38",37,470,93,"SierraLeone","129934",2022,0.197872340425532
"39",38,423,86,"SierraLeone","129934",2022,0.203309692671395
"40",39,452,130,"SierraLeone","129934",2022,0.287610619469027
"41",40,394,121,"SierraLeone","129934",2022,0.307106598984772
"42",41,417,158,"SierraLeone","129934",2022,0.378896882494005
"43",42,377,143,"SierraLeone","129934",2022,0.379310344827586
"44",43,364,152,"SierraLeone","129934",2022,0.417582417582418
"45",44,325,159,"SierraLeone","129934",2022,0.489230769230769
"46",45,344,199,"SierraLeone","129934",2022,0.578488372093023
"47",46,296,183,"SierraLeone","129934",2022,0.618243243243243
"48",47,330,209,"SierraLeone","129934",2022,0.633333333333333
"49",48,288,194,"SierraLeone","129934",2022,0.673611111111111
"50",49,291,204,"SierraLeone","129934",2022,0.701030927835051
"51",50,263,191,"SierraLeone","129934",2022,0.726235741444867
"52",51,264,192,"SierraLeone","129934",2022,0.727272727272727
"53",52,246,200,"SierraLeone","129934",2022,0.813008130081301
"54",53,252,206,"SierraLeone","129934",2022,0.817460317460317
"55",54,215,171,"SierraLeone","129934",2022,0.795348837209302
"56",55,196,166,"SierraLeone","129934",2022,0.846938775510204
"57",56,199,174,"SierraLeone","129934",2022,0.874371859296482
"58",57,177,152,"SierraLeone","129934",2022,0.858757062146893
"59",58,162,142,"SierraLeone","129934",2022,0.876543209876543
"60",59,173,151,"SierraLeone","129934",2022,0.872832369942196
"61",60,177,154,"SierraLeone","129934",2022,0.870056497175141
"62",61,152,134,"SierraLeone","129934",2022,0.881578947368421
"63",62,140,125,"SierraLeone","129934",2022,0.892857142857143
"64",63,114,101,"SierraLeone","129934",2022,0.885964912280702
"65",64,113,107,"SierraLeone","129934",2022,0.946902654867257
"66",65,120,111,"SierraLeone","129934",2022,0.925
"67",66,119,106,"SierraLeone","129934",2022,0.890756302521008
"68",67,100,90,"SierraLeone","129934",2022,0.9
"69",68,95,82,"SierraLeone","129934",2022,0.863157894736842
"70",69,102,92,"SierraLeone","129934",2022,0.901960784313726
"71",70,77,70,"SierraLeone","129934",2022,0.909090909090909
"72",71,68,63,"SierraLeone","129934",2022,0.926470588235294
"73",72,68,66,"SierraLeone","129934",2022,0.970588235294118
"74",73,81,72,"SierraLeone","129934",2022,0.888888888888889
"75",74,61,57,"SierraLeone","129934",2022,0.934426229508197
"76",75,65,61,"SierraLeone","129934",2022,0.938461538461538
"77",76,53,46,"SierraLeone","129934",2022,0.867924528301887
"78",77,43,38,"SierraLeone","129934",2022,0.883720930232558
"79",78,34,31,"SierraLeone","129934",2022,0.911764705882353
"80",79,31,29,"SierraLeone","129934",2022,0.935483870967742
"81",80,39,35,"SierraLeone","129934",2022,0.897435897435897
"82",81,19,18,"SierraLeone","129934",2022,0.947368421052632
"83",82,20,17,"SierraLeone","129934",2022,0.85
"84",83,21,21,"SierraLeone","129934",2022,1
"85",84,12,12,"SierraLeone","129934",2022,1
"86",85,7,6,"SierraLeone","129934",2022,0.857142857142857
"87",86,11,9,"SierraLeone","129934",2022,0.818181818181818
"88",87,7,5,"SierraLeone","129934",2022,0.714285714285714
"89",88,6,5,"SierraLeone","129934",2022,0.833333333333333
"90",89,5,5,"SierraLeone","129934",2022,1
"91",90,2,1,"SierraLeone","129934",2022,0.5
"92",91,1,1,"SierraLeone","129934",2022,1
"93",92,3,3,"SierraLeone","129934",2022,1
"94",93,1,1,"SierraLeone","129934",2022,1
"95",95,1,1,"SierraLeone","129934",2022,1
"96",99,1,1,"SierraLeone","129934",2022,1
