"","age","pop","gp","year","country","seed","share"
"1",0,1341,0,1960,"Slovenia","163432",0
"2",1,1337,0,1960,"Slovenia","163432",0
"3",2,1320,0,1960,"Slovenia","163432",0
"4",3,1321,0,1960,"Slovenia","163432",0
"5",4,1307,0,1960,"Slovenia","163432",0
"6",5,1407,0,1960,"Slovenia","163432",0
"7",6,1404,0,1960,"Slovenia","163432",0
"8",7,1437,0,1960,"Slovenia","163432",0
"9",8,1350,0,1960,"Slovenia","163432",0
"10",9,1401,0,1960,"Slovenia","163432",0
"11",10,1335,0,1960,"Slovenia","163432",0
"12",11,1343,0,1960,"Slovenia","163432",0
"13",12,1358,0,1960,"Slovenia","163432",0
"14",13,1293,0,1960,"Slovenia","163432",0
"15",14,1364,0,1960,"Slovenia","163432",0
"16",15,1310,0,1960,"Slovenia","163432",0
"17",16,1327,0,1960,"Slovenia","163432",0
"18",17,1317,0,1960,"Slovenia","163432",0
"19",18,1166,0,1960,"Slovenia","163432",0
"20",19,1326,0,1960,"Slovenia","163432",0
"21",20,1277,0,1960,"Slovenia","163432",0
"22",21,1332,0,1960,"Slovenia","163432",0
"23",22,1243,0,1960,"Slovenia","163432",0
"24",23,1188,0,1960,"Slovenia","163432",0
"25",24,1301,0,1960,"Slovenia","163432",0
"26",25,1272,0,1960,"Slovenia","163432",0
"27",26,1185,0,1960,"Slovenia","163432",0
"28",27,1213,1,1960,"Slovenia","163432",0.000824402308326463
"29",28,1201,0,1960,"Slovenia","163432",0
"30",29,1240,1,1960,"Slovenia","163432",0.000806451612903226
"31",30,1151,0,1960,"Slovenia","163432",0
"32",31,1143,1,1960,"Slovenia","163432",0.000874890638670166
"33",32,1179,1,1960,"Slovenia","163432",0.000848176420695505
"34",33,1127,2,1960,"Slovenia","163432",0.00177462289263532
"35",34,1124,4,1960,"Slovenia","163432",0.00355871886120996
"36",35,1149,8,1960,"Slovenia","163432",0.00696257615317668
"37",36,1110,15,1960,"Slovenia","163432",0.0135135135135135
"38",37,1060,22,1960,"Slovenia","163432",0.0207547169811321
"39",38,1091,25,1960,"Slovenia","163432",0.0229147571035747
"40",39,1035,45,1960,"Slovenia","163432",0.0434782608695652
"41",40,1041,46,1960,"Slovenia","163432",0.0441882804995197
"42",41,1053,88,1960,"Slovenia","163432",0.0835707502374169
"43",42,1079,108,1960,"Slovenia","163432",0.100092678405931
"44",43,995,148,1960,"Slovenia","163432",0.148743718592965
"45",44,1004,168,1960,"Slovenia","163432",0.167330677290837
"46",45,974,202,1960,"Slovenia","163432",0.207392197125257
"47",46,1006,241,1960,"Slovenia","163432",0.239562624254473
"48",47,987,282,1960,"Slovenia","163432",0.285714285714286
"49",48,945,280,1960,"Slovenia","163432",0.296296296296296
"50",49,987,368,1960,"Slovenia","163432",0.372847011144884
"51",50,928,341,1960,"Slovenia","163432",0.367456896551724
"52",51,918,391,1960,"Slovenia","163432",0.425925925925926
"53",52,860,400,1960,"Slovenia","163432",0.465116279069767
"54",53,875,440,1960,"Slovenia","163432",0.502857142857143
"55",54,847,457,1960,"Slovenia","163432",0.539551357733176
"56",55,819,451,1960,"Slovenia","163432",0.550671550671551
"57",56,827,481,1960,"Slovenia","163432",0.581620314389359
"58",57,844,488,1960,"Slovenia","163432",0.578199052132701
"59",58,788,505,1960,"Slovenia","163432",0.640862944162436
"60",59,787,485,1960,"Slovenia","163432",0.616264294790343
"61",60,785,514,1960,"Slovenia","163432",0.654777070063694
"62",61,688,479,1960,"Slovenia","163432",0.696220930232558
"63",62,660,461,1960,"Slovenia","163432",0.698484848484848
"64",63,648,463,1960,"Slovenia","163432",0.714506172839506
"65",64,628,429,1960,"Slovenia","163432",0.68312101910828
"66",65,632,431,1960,"Slovenia","163432",0.681962025316456
"67",66,625,449,1960,"Slovenia","163432",0.7184
"68",67,556,425,1960,"Slovenia","163432",0.764388489208633
"69",68,569,420,1960,"Slovenia","163432",0.738137082601054
"70",69,520,400,1960,"Slovenia","163432",0.769230769230769
"71",70,521,381,1960,"Slovenia","163432",0.731285988483685
"72",71,469,359,1960,"Slovenia","163432",0.76545842217484
"73",72,446,350,1960,"Slovenia","163432",0.7847533632287
"74",73,372,275,1960,"Slovenia","163432",0.739247311827957
"75",74,332,239,1960,"Slovenia","163432",0.719879518072289
"76",75,329,254,1960,"Slovenia","163432",0.772036474164134
"77",76,311,215,1960,"Slovenia","163432",0.691318327974277
"78",77,259,197,1960,"Slovenia","163432",0.760617760617761
"79",78,232,175,1960,"Slovenia","163432",0.754310344827586
"80",79,212,163,1960,"Slovenia","163432",0.768867924528302
"81",80,194,147,1960,"Slovenia","163432",0.757731958762887
"82",81,167,125,1960,"Slovenia","163432",0.748502994011976
"83",82,136,100,1960,"Slovenia","163432",0.735294117647059
"84",83,130,102,1960,"Slovenia","163432",0.784615384615385
"85",84,116,90,1960,"Slovenia","163432",0.775862068965517
"86",85,76,57,1960,"Slovenia","163432",0.75
"87",86,64,44,1960,"Slovenia","163432",0.6875
"88",87,57,40,1960,"Slovenia","163432",0.701754385964912
"89",88,33,23,1960,"Slovenia","163432",0.696969696969697
"90",89,31,29,1960,"Slovenia","163432",0.935483870967742
"91",90,14,10,1960,"Slovenia","163432",0.714285714285714
"92",91,9,5,1960,"Slovenia","163432",0.555555555555556
"93",92,10,7,1960,"Slovenia","163432",0.7
"94",93,10,8,1960,"Slovenia","163432",0.8
"95",94,6,5,1960,"Slovenia","163432",0.833333333333333
"96",95,1,1,1960,"Slovenia","163432",1
"97",96,1,1,1960,"Slovenia","163432",1
"98",97,1,1,1960,"Slovenia","163432",1
"99",98,1,1,1960,"Slovenia","163432",1
"100",99,1,0,1960,"Slovenia","163432",0
"101",0,1311,0,1965,"Slovenia","163432",0
"102",1,1320,0,1965,"Slovenia","163432",0
"103",2,1401,0,1965,"Slovenia","163432",0
"104",3,1336,0,1965,"Slovenia","163432",0
"105",4,1292,0,1965,"Slovenia","163432",0
"106",5,1327,0,1965,"Slovenia","163432",0
"107",6,1329,0,1965,"Slovenia","163432",0
"108",7,1318,0,1965,"Slovenia","163432",0
"109",8,1319,0,1965,"Slovenia","163432",0
"110",9,1307,0,1965,"Slovenia","163432",0
"111",10,1402,0,1965,"Slovenia","163432",0
"112",11,1398,0,1965,"Slovenia","163432",0
"113",12,1435,0,1965,"Slovenia","163432",0
"114",13,1348,0,1965,"Slovenia","163432",0
"115",14,1397,0,1965,"Slovenia","163432",0
"116",15,1332,0,1965,"Slovenia","163432",0
"117",16,1339,0,1965,"Slovenia","163432",0
"118",17,1352,0,1965,"Slovenia","163432",0
"119",18,1290,0,1965,"Slovenia","163432",0
"120",19,1359,0,1965,"Slovenia","163432",0
"121",20,1302,0,1965,"Slovenia","163432",0
"122",21,1324,0,1965,"Slovenia","163432",0
"123",22,1306,0,1965,"Slovenia","163432",0
"124",23,1154,0,1965,"Slovenia","163432",0
"125",24,1312,0,1965,"Slovenia","163432",0
"126",25,1270,0,1965,"Slovenia","163432",0
"127",26,1322,0,1965,"Slovenia","163432",0
"128",27,1235,0,1965,"Slovenia","163432",0
"129",28,1182,0,1965,"Slovenia","163432",0
"130",29,1295,2,1965,"Slovenia","163432",0.00154440154440154
"131",30,1267,1,1965,"Slovenia","163432",0.000789265982636148
"132",31,1180,1,1965,"Slovenia","163432",0.000847457627118644
"133",32,1204,9,1965,"Slovenia","163432",0.00747508305647841
"134",33,1191,4,1965,"Slovenia","163432",0.00335852225020991
