"","age","pop","gp","year","country","seed","share"
"1",0,500,0,1990,"SolomonIslands","189059",0
"2",1,489,0,1990,"SolomonIslands","189059",0
"3",2,482,0,1990,"SolomonIslands","189059",0
"4",3,467,0,1990,"SolomonIslands","189059",0
"5",4,424,0,1990,"SolomonIslands","189059",0
"6",5,445,0,1990,"SolomonIslands","189059",0
"7",6,425,0,1990,"SolomonIslands","189059",0
"8",7,406,0,1990,"SolomonIslands","189059",0
"9",8,423,0,1990,"SolomonIslands","189059",0
"10",9,423,0,1990,"SolomonIslands","189059",0
"11",10,445,0,1990,"SolomonIslands","189059",0
"12",11,386,0,1990,"SolomonIslands","189059",0
"13",12,396,0,1990,"SolomonIslands","189059",0
"14",13,382,0,1990,"SolomonIslands","189059",0
"15",14,356,0,1990,"SolomonIslands","189059",0
"16",15,409,0,1990,"SolomonIslands","189059",0
"17",16,379,0,1990,"SolomonIslands","189059",0
"18",17,366,0,1990,"SolomonIslands","189059",0
"19",18,324,0,1990,"SolomonIslands","189059",0
"20",19,347,0,1990,"SolomonIslands","189059",0
"21",20,264,0,1990,"SolomonIslands","189059",0
"22",21,298,0,1990,"SolomonIslands","189059",0
"23",22,273,0,1990,"SolomonIslands","189059",0
"24",23,319,0,1990,"SolomonIslands","189059",0
"25",24,257,0,1990,"SolomonIslands","189059",0
"26",25,247,1,1990,"SolomonIslands","189059",0.00404858299595142
"27",26,227,0,1990,"SolomonIslands","189059",0
"28",27,244,0,1990,"SolomonIslands","189059",0
"29",28,229,1,1990,"SolomonIslands","189059",0.00436681222707424
"30",29,209,2,1990,"SolomonIslands","189059",0.00956937799043062
"31",30,197,2,1990,"SolomonIslands","189059",0.0101522842639594
"32",31,193,5,1990,"SolomonIslands","189059",0.0259067357512953
"33",32,190,9,1990,"SolomonIslands","189059",0.0473684210526316
"34",33,160,6,1990,"SolomonIslands","189059",0.0375
"35",34,148,11,1990,"SolomonIslands","189059",0.0743243243243243
"36",35,169,11,1990,"SolomonIslands","189059",0.0650887573964497
"37",36,171,15,1990,"SolomonIslands","189059",0.087719298245614
