"","age","pop","gp","year","country","seed","share"
"1",0,749,0,1960,"SouthSudan","129026",0
"2",1,605,0,1960,"SouthSudan","129026",0
"3",2,572,0,1960,"SouthSudan","129026",0
"4",3,543,0,1960,"SouthSudan","129026",0
"5",4,505,0,1960,"SouthSudan","129026",0
"6",5,452,0,1960,"SouthSudan","129026",0
"7",6,429,0,1960,"SouthSudan","129026",0
"8",7,413,0,1960,"SouthSudan","129026",0
"9",8,413,0,1960,"SouthSudan","129026",0
"10",9,398,0,1960,"SouthSudan","129026",0
"11",10,487,0,1960,"SouthSudan","129026",0
"12",11,481,0,1960,"SouthSudan","129026",0
"13",12,473,0,1960,"SouthSudan","129026",0
"14",13,435,0,1960,"SouthSudan","129026",0
"15",14,429,0,1960,"SouthSudan","129026",0
"16",15,435,0,1960,"SouthSudan","129026",0
"17",16,411,0,1960,"SouthSudan","129026",0
"18",17,419,0,1960,"SouthSudan","129026",0
"19",18,387,0,1960,"SouthSudan","129026",0
"20",19,396,0,1960,"SouthSudan","129026",0
"21",20,382,0,1960,"SouthSudan","129026",0
"22",21,368,0,1960,"SouthSudan","129026",0
"23",22,360,0,1960,"SouthSudan","129026",0
"24",23,348,0,1960,"SouthSudan","129026",0
"25",24,334,0,1960,"SouthSudan","129026",0
"26",25,340,0,1960,"SouthSudan","129026",0
"27",26,322,1,1960,"SouthSudan","129026",0.0031055900621118
"28",27,311,0,1960,"SouthSudan","129026",0
"29",28,312,0,1960,"SouthSudan","129026",0
"30",29,317,2,1960,"SouthSudan","129026",0.00630914826498423
"31",30,284,2,1960,"SouthSudan","129026",0.00704225352112676
"32",31,294,4,1960,"SouthSudan","129026",0.0136054421768707
"33",32,287,12,1960,"SouthSudan","129026",0.0418118466898955
"34",33,263,7,1960,"SouthSudan","129026",0.026615969581749
"35",34,271,14,1960,"SouthSudan","129026",0.051660516605166
"36",35,248,15,1960,"SouthSudan","129026",0.0604838709677419
"37",36,272,43,1960,"SouthSudan","129026",0.158088235294118
"38",37,277,41,1960,"SouthSudan","129026",0.148014440433213
"39",38,231,42,1960,"SouthSudan","129026",0.181818181818182
"40",39,231,54,1960,"SouthSudan","129026",0.233766233766234
"41",40,236,70,1960,"SouthSudan","129026",0.296610169491525
"42",41,210,69,1960,"SouthSudan","129026",0.328571428571429
"43",42,209,77,1960,"SouthSudan","129026",0.368421052631579
"44",43,192,79,1960,"SouthSudan","129026",0.411458333333333
"45",44,177,96,1960,"SouthSudan","129026",0.542372881355932
"46",45,199,97,1960,"SouthSudan","129026",0.487437185929648
"47",46,171,82,1960,"SouthSudan","129026",0.47953216374269
"48",47,202,118,1960,"SouthSudan","129026",0.584158415841584
"49",48,173,110,1960,"SouthSudan","129026",0.635838150289017
"50",49,159,91,1960,"SouthSudan","129026",0.572327044025157
"51",50,161,118,1960,"SouthSudan","129026",0.732919254658385
"52",51,143,106,1960,"SouthSudan","129026",0.741258741258741
"53",52,146,104,1960,"SouthSudan","129026",0.712328767123288
"54",53,144,107,1960,"SouthSudan","129026",0.743055555555556
"55",54,128,98,1960,"SouthSudan","129026",0.765625
"56",55,113,92,1960,"SouthSudan","129026",0.814159292035398
"57",56,118,95,1960,"SouthSudan","129026",0.805084745762712
"58",57,108,84,1960,"SouthSudan","129026",0.777777777777778
"59",58,113,96,1960,"SouthSudan","129026",0.849557522123894
"60",59,100,82,1960,"SouthSudan","129026",0.82
"61",60,105,89,1960,"SouthSudan","129026",0.847619047619048
"62",61,104,86,1960,"SouthSudan","129026",0.826923076923077
"63",62,79,64,1960,"SouthSudan","129026",0.810126582278481
"64",63,80,68,1960,"SouthSudan","129026",0.85
"65",64,67,54,1960,"SouthSudan","129026",0.805970149253731
"66",65,86,73,1960,"SouthSudan","129026",0.848837209302326
"67",66,68,57,1960,"SouthSudan","129026",0.838235294117647
"68",67,53,45,1960,"SouthSudan","129026",0.849056603773585
"69",68,53,43,1960,"SouthSudan","129026",0.811320754716981
"70",69,51,43,1960,"SouthSudan","129026",0.843137254901961
"71",70,51,37,1960,"SouthSudan","129026",0.725490196078431
"72",71,32,29,1960,"SouthSudan","129026",0.90625
"73",72,39,34,1960,"SouthSudan","129026",0.871794871794872
"74",73,31,27,1960,"SouthSudan","129026",0.870967741935484
"75",74,25,22,1960,"SouthSudan","129026",0.88
"76",75,19,15,1960,"SouthSudan","129026",0.789473684210526
"77",76,27,25,1960,"SouthSudan","129026",0.925925925925926
"78",77,17,16,1960,"SouthSudan","129026",0.941176470588235
"79",78,16,13,1960,"SouthSudan","129026",0.8125
"80",79,7,6,1960,"SouthSudan","129026",0.857142857142857
"81",80,11,9,1960,"SouthSudan","129026",0.818181818181818
"82",81,3,3,1960,"SouthSudan","129026",1
"83",82,6,5,1960,"SouthSudan","129026",0.833333333333333
"84",83,2,2,1960,"SouthSudan","129026",1
"85",84,1,1,1960,"SouthSudan","129026",1
"86",85,2,1,1960,"SouthSudan","129026",0.5
"87",86,3,3,1960,"SouthSudan","129026",1
"88",90,1,1,1960,"SouthSudan","129026",1
"89",0,760,0,1965,"SouthSudan","129026",0
"90",1,687,0,1965,"SouthSudan","129026",0
"91",2,616,0,1965,"SouthSudan","129026",0
"92",3,599,0,1965,"SouthSudan","129026",0
"93",4,575,0,1965,"SouthSudan","129026",0
"94",5,560,0,1965,"SouthSudan","129026",0
"95",6,484,0,1965,"SouthSudan","129026",0
"96",7,486,0,1965,"SouthSudan","129026",0
"97",8,478,0,1965,"SouthSudan","129026",0
"98",9,448,0,1965,"SouthSudan","129026",0
"99",10,415,0,1965,"SouthSudan","129026",0
"100",11,399,0,1965,"SouthSudan","129026",0
"101",12,390,0,1965,"SouthSudan","129026",0
"102",13,387,0,1965,"SouthSudan","129026",0
"103",14,384,0,1965,"SouthSudan","129026",0
"104",15,462,0,1965,"SouthSudan","129026",0
"105",16,465,0,1965,"SouthSudan","129026",0
"106",17,454,0,1965,"SouthSudan","129026",0
"107",18,417,0,1965,"SouthSudan","129026",0
"108",19,413,0,1965,"SouthSudan","129026",0
"109",20,410,0,1965,"SouthSudan","129026",0
"110",21,388,0,1965,"SouthSudan","129026",0
"111",22,395,0,1965,"SouthSudan","129026",0
"112",23,366,0,1965,"SouthSudan","129026",0
"113",24,376,0,1965,"SouthSudan","129026",0
"114",25,363,0,1965,"SouthSudan","129026",0
"115",26,356,0,1965,"SouthSudan","129026",0
"116",27,329,1,1965,"SouthSudan","129026",0.00303951367781155
"117",28,332,1,1965,"SouthSudan","129026",0.00301204819277108
"118",29,319,2,1965,"SouthSudan","129026",0.00626959247648903
"119",30,318,2,1965,"SouthSudan","129026",0.00628930817610063
"120",31,310,6,1965,"SouthSudan","129026",0.0193548387096774
"121",32,297,6,1965,"SouthSudan","129026",0.0202020202020202
"122",33,284,8,1965,"SouthSudan","129026",0.028169014084507
"123",34,302,14,1965,"SouthSudan","129026",0.0463576158940397
"124",35,270,21,1965,"SouthSudan","129026",0.0777777777777778
"125",36,271,33,1965,"SouthSudan","129026",0.121771217712177
"126",37,269,52,1965,"SouthSudan","129026",0.193308550185874
"127",38,243,40,1965,"SouthSudan","129026",0.164609053497942
"128",39,258,61,1965,"SouthSudan","129026",0.236434108527132
"129",40,234,68,1965,"SouthSudan","129026",0.290598290598291
"130",41,259,95,1965,"SouthSudan","129026",0.366795366795367
"131",42,259,114,1965,"SouthSudan","129026",0.44015444015444
"132",43,216,91,1965,"SouthSudan","129026",0.421296296296296
"133",44,213,94,1965,"SouthSudan","129026",0.44131455399061
"134",45,217,121,1965,"SouthSudan","129026",0.557603686635945
"135",46,181,107,1965,"SouthSudan","129026",0.591160220994475
"136",47,192,123,1965,"SouthSudan","129026",0.640625
"137",48,169,115,1965,"SouthSudan","129026",0.680473372781065
"138",49,160,106,1965,"SouthSudan","129026",0.6625
"139",50,186,115,1965,"SouthSudan","129026",0.618279569892473
"140",51,150,102,1965,"SouthSudan","129026",0.68
"141",52,179,129,1965,"SouthSudan","129026",0.720670391061452
"142",53,148,116,1965,"SouthSudan","129026",0.783783783783784
"143",54,142,108,1965,"SouthSudan","129026",0.76056338028169
"144",55,139,114,1965,"SouthSudan","129026",0.820143884892086
"145",56,123,97,1965,"SouthSudan","129026",0.788617886178862
"146",57,130,108,1965,"SouthSudan","129026",0.830769230769231
"147",58,120,102,1965,"SouthSudan","129026",0.85
"148",59,107,87,1965,"SouthSudan","129026",0.813084112149533
"149",60,96,80,1965,"SouthSudan","129026",0.833333333333333
"150",61,100,85,1965,"SouthSudan","129026",0.85
"151",62,92,75,1965,"SouthSudan","129026",0.815217391304348
"152",63,89,76,1965,"SouthSudan","129026",0.853932584269663
"153",64,74,59,1965,"SouthSudan","129026",0.797297297297297
"154",65,86,76,1965,"SouthSudan","129026",0.883720930232558
"155",66,80,71,1965,"SouthSudan","129026",0.8875
"156",67,56,48,1965,"SouthSudan","129026",0.857142857142857
"157",68,64,56,1965,"SouthSudan","129026",0.875
"158",69,52,45,1965,"SouthSudan","129026",0.865384615384615
"159",70,60,53,1965,"SouthSudan","129026",0.883333333333333
"160",71,48,41,1965,"SouthSudan","129026",0.854166666666667
"161",72,34,28,1965,"SouthSudan","129026",0.823529411764706
"162",73,37,32,1965,"SouthSudan","129026",0.864864864864865
"163",74,33,27,1965,"SouthSudan","129026",0.818181818181818
"164",75,28,19,1965,"SouthSudan","129026",0.678571428571429
"165",76,18,17,1965,"SouthSudan","129026",0.944444444444444
"166",77,19,19,1965,"SouthSudan","129026",1
"167",78,18,15,1965,"SouthSudan","129026",0.833333333333333
"168",79,12,11,1965,"SouthSudan","129026",0.916666666666667
"169",80,11,10,1965,"SouthSudan","129026",0.909090909090909
"170",81,7,7,1965,"SouthSudan","129026",1
"171",82,5,5,1965,"SouthSudan","129026",1
"172",83,7,6,1965,"SouthSudan","129026",0.857142857142857
"173",84,3,2,1965,"SouthSudan","129026",0.666666666666667
"174",85,4,2,1965,"SouthSudan","129026",0.5
"175",87,2,2,1965,"SouthSudan","129026",1
"176",88,1,1,1965,"SouthSudan","129026",1
"177",91,1,1,1965,"SouthSudan","129026",1
"178",0,805,0,1970,"SouthSudan","129026",0
"179",1,745,0,1970,"SouthSudan","129026",0
"180",2,743,0,1970,"SouthSudan","129026",0
"181",3,695,0,1970,"SouthSudan","129026",0
"182",4,639,0,1970,"SouthSudan","129026",0
"183",5,548,0,1970,"SouthSudan","129026",0
"184",6,583,0,1970,"SouthSudan","129026",0
"185",7,542,0,1970,"SouthSudan","129026",0
